cell_id,Turdus plumbeus,Turdus plumbeus plumbeus,Turdus plumbeus [rubripes Group],Turdus plumbeus ardosiaceus/albiventris
84458d7ffffffff,4.0,0.0,1.0,0.0
84458ddffffffff,1.0,0.0,0.0,0.0
84458e1ffffffff,388.0,0.0,93.0,0.0
84458e5ffffffff,2.0,0.0,0.0,0.0
84458e7ffffffff,192.0,0.0,23.0,0.0
84458ebffffffff,18.0,0.0,2.0,0.0
84458edffffffff,243.0,0.0,26.0,0.0
8445903ffffffff,2.0,0.0,0.0,0.0
8445905ffffffff,7.0,0.0,2.0,0.0
8445909ffffffff,16.0,0.0,0.0,0.0
844590dffffffff,6.0,0.0,2.0,0.0
8445911ffffffff,180.0,0.0,29.0,0.0
8445913ffffffff,15.0,0.0,9.0,0.0
8445917ffffffff,7.0,0.0,2.0,0.0
8445923ffffffff,17.0,0.0,4.0,0.0
8445925ffffffff,16.0,0.0,0.0,0.0
8445927ffffffff,1.0,0.0,0.0,0.0
8445929ffffffff,5.0,0.0,0.0,0.0
844592bffffffff,1.0,0.0,0.0,0.0
844592dffffffff,2.0,0.0,0.0,0.0
8445933ffffffff,2.0,0.0,0.0,0.0
8445955ffffffff,3.0,0.0,0.0,0.0
8445967ffffffff,7.0,0.0,0.0,0.0
8445981ffffffff,836.0,0.0,164.0,0.0
8445989ffffffff,346.0,0.0,38.0,0.0
844598bffffffff,51.0,0.0,4.0,0.0
844598dffffffff,22.0,0.0,2.0,0.0
84459b7ffffffff,5.0,0.0,0.0,0.0
84459c1ffffffff,6.0,0.0,0.0,0.0
84459c3ffffffff,21.0,0.0,5.0,0.0
84459c7ffffffff,3.0,0.0,0.0,0.0
84459cbffffffff,1.0,0.0,0.0,0.0
84459d1ffffffff,2.0,0.0,0.0,0.0
84459d5ffffffff,2.0,0.0,0.0,0.0
84459d7ffffffff,90.0,0.0,8.0,0.0
84459d9ffffffff,59.0,0.0,8.0,0.0
84459dbffffffff,11.0,0.0,1.0,0.0
84459ddffffffff,77.0,0.0,5.0,0.0
84459e9ffffffff,59.0,0.0,9.0,0.0
84459ebffffffff,4.0,0.0,0.0,0.0
844c883ffffffff,5.0,0.0,0.0,0.0
844c893ffffffff,55.0,0.0,0.0,5.0
844c895ffffffff,6.0,0.0,0.0,0.0
844c897ffffffff,2.0,0.0,0.0,0.0
844c899ffffffff,22.0,0.0,0.0,0.0
844c89bffffffff,20.0,0.0,0.0,4.0
844c8bbffffffff,9.0,0.0,0.0,0.0
844c8bdffffffff,3.0,0.0,0.0,0.0
844c933ffffffff,219.0,0.0,3.0,0.0
844c937ffffffff,26.0,0.0,2.0,0.0
844c981ffffffff,3.0,0.0,0.0,0.0
844c985ffffffff,23.0,0.0,0.0,0.0
844c989ffffffff,71.0,0.0,17.0,0.0
844c98bffffffff,2.0,0.0,0.0,0.0
844c98dffffffff,56.0,0.0,21.0,0.0
844c9a1ffffffff,11.0,0.0,0.0,0.0
844c9a5ffffffff,1.0,0.0,1.0,0.0
844c9a9ffffffff,2.0,0.0,0.0,0.0
844c9abffffffff,31.0,0.0,0.0,0.0
844c9adffffffff,51.0,0.0,0.0,0.0
844c9e5ffffffff,2.0,0.0,0.0,0.0
844cb25ffffffff,2.0,0.0,0.0,0.0
844cb27ffffffff,7.0,0.0,0.0,0.0
844cc09ffffffff,75.0,0.0,0.0,0.0
844cc0bffffffff,103.0,0.0,0.0,4.0
844cc2dffffffff,5.0,0.0,0.0,0.0
844cc43ffffffff,295.0,0.0,0.0,2.0
844cc51ffffffff,1372.0,0.0,0.0,106.0
844cc53ffffffff,160.0,0.0,0.0,3.0
844cc55ffffffff,1109.0,0.0,0.0,80.0
844cc57ffffffff,794.0,0.0,0.0,14.0
844cc59ffffffff,2410.0,0.0,0.0,257.0
844cc5bffffffff,612.0,0.0,0.0,55.0
844cc5dffffffff,391.0,0.0,0.0,12.0
844cc61ffffffff,47.0,0.0,0.0,3.0
844cc67ffffffff,16.0,0.0,0.0,3.0
844cd09ffffffff,27.0,0.0,0.0,0.0
844cd0dffffffff,10.0,0.0,0.0,0.0
844cd25ffffffff,5.0,0.0,0.0,0.0
844cd29ffffffff,137.0,0.0,0.0,11.0
844cd2dffffffff,132.0,0.0,0.0,11.0
844cd41ffffffff,6.0,0.0,0.0,0.0
844cd43ffffffff,348.0,0.0,0.0,14.0
844cd45ffffffff,58.0,0.0,0.0,4.0
844cd47ffffffff,11.0,0.0,0.0,0.0
844cd4bffffffff,5.0,0.0,0.0,0.0
844cd4dffffffff,141.0,0.0,0.0,1.0
844cd5bffffffff,24.0,0.0,0.0,8.0
844cd63ffffffff,5.0,0.0,0.0,0.0
844cd65ffffffff,5.0,0.0,0.0,0.0
844cd67ffffffff,11.0,0.0,0.0,4.0
844cd69ffffffff,2.0,0.0,0.0,0.0
844cd6bffffffff,9.0,0.0,0.0,0.0
844ce85ffffffff,3.0,0.0,0.0,0.0
844cea9ffffffff,186.0,0.0,0.0,16.0
844ceadffffffff,463.0,0.0,0.0,42.0
844cee3ffffffff,171.0,0.0,0.0,6.0
844cee5ffffffff,2365.0,0.0,0.0,131.0
844cee7ffffffff,3925.0,0.0,0.0,132.0
844cf21ffffffff,56.0,0.0,0.0,4.0
844cf23ffffffff,2.0,0.0,0.0,0.0
844cf25ffffffff,38.0,0.0,0.0,0.0
844cf27ffffffff,107.0,0.0,0.0,0.0
844cf31ffffffff,2.0,0.0,0.0,0.0
844cf35ffffffff,4.0,0.0,0.0,0.0
844cf37ffffffff,63.0,0.0,0.0,10.0
845e43dffffffff,77.0,0.0,0.0,0.0
8467209ffffffff,2.0,0.0,0.0,0.0
8467251ffffffff,25.0,0.0,0.0,0.0
8467253ffffffff,6.0,0.0,0.0,2.0
8467255ffffffff,12.0,0.0,0.0,0.0
8467259ffffffff,4.0,0.0,0.0,0.0
846725bffffffff,671.0,0.0,0.0,53.0
846725dffffffff,13.0,0.0,0.0,0.0
8467261ffffffff,6.0,0.0,0.0,0.0
8467263ffffffff,24.0,0.0,0.0,0.0
8467267ffffffff,15.0,0.0,0.0,0.0
846735bffffffff,4.0,0.0,0.0,0.0
