cell_id,Notharchus tectus,Notharchus tectus subtectus,Notharchus tectus tectus/picatus
838a45fffffffff,13.0,0.0,1.0
838a52fffffffff,2.0,0.0,0.0
838a5afffffffff,1.0,0.0,0.0
838a63fffffffff,2.0,0.0,0.0
838a69fffffffff,15.0,0.0,0.0
838a6dfffffffff,25.0,0.0,0.0
838a80fffffffff,13.0,0.0,0.0
838a82fffffffff,3.0,0.0,0.0
838a8cfffffffff,3.0,0.0,0.0
838a90fffffffff,1.0,0.0,0.0
838a92fffffffff,24.0,0.0,0.0
838a9cfffffffff,20.0,0.0,1.0
838aa8fffffffff,20.0,0.0,0.0
838aa9fffffffff,2.0,0.0,0.0
838aaafffffffff,11.0,0.0,0.0
838aabfffffffff,5.0,0.0,0.0
838ad8fffffffff,2.0,0.0,1.0
838adbfffffffff,12.0,0.0,2.0
838adcfffffffff,2.0,0.0,0.0
838ae5fffffffff,2.0,0.0,0.0
838af0fffffffff,45.0,0.0,2.0
838af1fffffffff,2.0,0.0,0.0
838af2fffffffff,35.0,0.0,6.0
838af4fffffffff,1.0,0.0,0.0
838af6fffffffff,139.0,0.0,5.0
838b1afffffffff,1.0,0.0,0.0
838b1efffffffff,4.0,0.0,0.0
838b44fffffffff,8.0,0.0,0.0
838b45fffffffff,4.0,0.0,0.0
838b4efffffffff,4.0,0.0,0.0
838b56fffffffff,4.0,0.0,0.0
838b62fffffffff,1.0,0.0,0.0
838b63fffffffff,24.0,0.0,0.0
838b69fffffffff,2.0,0.0,0.0
838b82fffffffff,4.0,0.0,0.0
838b84fffffffff,34.0,0.0,0.0
838b88fffffffff,12.0,0.0,0.0
838b8afffffffff,1.0,0.0,0.0
838b99fffffffff,22.0,0.0,0.0
838b9dfffffffff,111.0,0.0,5.0
838ba0fffffffff,13.0,0.0,0.0
838ba6fffffffff,5.0,0.0,0.0
838bb5fffffffff,2.0,0.0,0.0
838f28fffffffff,2.0,0.0,0.0
838f2bfffffffff,2.0,0.0,0.0
838f2cfffffffff,8.0,0.0,0.0
838f44fffffffff,4.0,0.0,0.0
838f48fffffffff,8.0,0.0,0.0
838f60fffffffff,1.0,0.0,0.0
838f61fffffffff,4.0,0.0,0.0
838f63fffffffff,1.0,0.0,0.0
838f65fffffffff,3.0,0.0,0.0
838f6bfffffffff,2.0,0.0,2.0
838f6efffffffff,2.0,0.0,0.0
838f74fffffffff,6.0,0.0,0.0
