cell_id,Amazilia yucatanensis,Amazilia yucatanensis yucatanensis,Amazilia yucatanensis cerviniventris/chalconota
84450c1ffffffff,15.0,2.0,0.0
84450c5ffffffff,73.0,20.0,0.0
84450c7ffffffff,14.0,0.0,0.0
84450c9ffffffff,7.0,0.0,0.0
84450cdffffffff,26.0,1.0,0.0
84450d1ffffffff,19.0,14.0,0.0
84450d3ffffffff,296.0,161.0,0.0
84450d5ffffffff,41.0,32.0,0.0
84450d7ffffffff,8.0,0.0,0.0
84450d9ffffffff,5.0,0.0,0.0
84450dbffffffff,10.0,3.0,0.0
84450ddffffffff,18.0,5.0,0.0
84450e1ffffffff,30.0,0.0,0.0
84450e3ffffffff,273.0,37.0,0.0
84450e7ffffffff,1.0,0.0,0.0
84450ebffffffff,236.0,52.0,0.0
844519bffffffff,7.0,0.0,0.0
8445213ffffffff,11.0,0.0,0.0
844521bffffffff,2.0,0.0,0.0
8445233ffffffff,5.0,0.0,0.0
8445281ffffffff,11.0,0.0,0.0
8445283ffffffff,27.0,5.0,0.0
8445285ffffffff,12.0,0.0,0.0
8445287ffffffff,130.0,43.0,0.0
8445289ffffffff,30.0,3.0,0.0
844528dffffffff,14.0,0.0,0.0
8445291ffffffff,12.0,0.0,0.0
8445295ffffffff,1.0,0.0,0.0
8445297ffffffff,6.0,0.0,0.0
844529bffffffff,3.0,0.0,0.0
84452a1ffffffff,25.0,2.0,0.0
84452a3ffffffff,9.0,0.0,0.0
84452a5ffffffff,205.0,0.0,0.0
84452a7ffffffff,20.0,3.0,0.0
84452a9ffffffff,11.0,1.0,0.0
84452abffffffff,14.0,2.0,0.0
84452adffffffff,348.0,18.0,0.0
84452b5ffffffff,10.0,0.0,0.0
84452b9ffffffff,81.0,16.0,0.0
84452bdffffffff,127.0,25.0,0.0
84452c3ffffffff,36.0,2.0,0.0
84452c5ffffffff,4.0,0.0,0.0
84452c7ffffffff,47.0,5.0,0.0
84452c9ffffffff,5.0,2.0,0.0
84452dbffffffff,8.0,0.0,0.0
84452ddffffffff,2.0,0.0,0.0
84452e1ffffffff,30.0,0.0,0.0
84452e3ffffffff,32.0,0.0,0.0
84452e5ffffffff,107.0,9.0,0.0
84452e7ffffffff,2.0,0.0,0.0
84452ebffffffff,100.0,8.0,0.0
8445649ffffffff,14.0,0.0,2.0
84456dbffffffff,13.0,0.0,0.0
8445721ffffffff,73.0,27.0,0.0
8445725ffffffff,39.0,28.0,0.0
8445727ffffffff,11.0,3.0,0.0
844572dffffffff,4.0,0.0,0.0
8445749ffffffff,295.0,4.0,0.0
844574dffffffff,17.0,0.0,0.0
8445761ffffffff,2.0,0.0,0.0
8445765ffffffff,5.0,3.0,0.0
8445767ffffffff,10.0,1.0,0.0
8445769ffffffff,2.0,0.0,0.0
8448825ffffffff,5.0,0.0,0.0
8448865ffffffff,7.0,0.0,0.0
8448903ffffffff,34.0,0.0,0.0
8448907ffffffff,4.0,0.0,0.0
844890bffffffff,695.0,0.0,8.0
8448911ffffffff,10.0,0.0,0.0
8448915ffffffff,504.0,0.0,0.0
8448917ffffffff,3.0,0.0,0.0
8448919ffffffff,18.0,0.0,0.0
844891dffffffff,26.0,0.0,0.0
8448923ffffffff,101.0,0.0,0.0
8448935ffffffff,4.0,0.0,0.0
844893dffffffff,14.0,0.0,0.0
8448951ffffffff,657.0,0.0,6.0
8448953ffffffff,10.0,0.0,0.0
8448955ffffffff,471.0,0.0,1.0
8448957ffffffff,33.0,0.0,0.0
8448959ffffffff,133.0,0.0,0.0
844895bffffffff,19.0,0.0,0.0
844895dffffffff,4.0,0.0,0.0
84489e9ffffffff,11.0,0.0,0.0
8448a21ffffffff,377.0,0.0,0.0
8448a29ffffffff,1.0,0.0,0.0
8448a2dffffffff,31.0,0.0,0.0
8448a67ffffffff,6.0,0.0,0.0
8448b13ffffffff,44.0,0.0,0.0
8448b15ffffffff,3478.0,0.0,151.0
8448b17ffffffff,48.0,0.0,0.0
8448b1dffffffff,2.0,0.0,0.0
8448b23ffffffff,1322.0,0.0,60.0
8448b2bffffffff,1469.0,0.0,10.0
8448b31ffffffff,34.0,0.0,0.0
8448b33ffffffff,12.0,0.0,0.0
8448b35ffffffff,20.0,0.0,0.0
8448b37ffffffff,386.0,0.0,3.0
8448b39ffffffff,15687.0,0.0,486.0
8448b3bffffffff,33.0,0.0,0.0
8448b3dffffffff,2074.0,0.0,39.0
8448b4dffffffff,11.0,0.0,0.0
8448b59ffffffff,2.0,0.0,0.0
8448b5bffffffff,20.0,0.0,0.0
8449901ffffffff,23.0,0.0,0.0
8449903ffffffff,10.0,0.0,0.0
8449905ffffffff,17.0,0.0,4.0
8449907ffffffff,12.0,0.0,0.0
8449913ffffffff,2.0,0.0,0.0
8449917ffffffff,1.0,0.0,0.0
844991dffffffff,2.0,0.0,0.0
8449929ffffffff,37.0,0.0,0.0
844992bffffffff,56.0,0.0,17.0
8449931ffffffff,1.0,0.0,0.0
8449933ffffffff,1.0,0.0,0.0
8449937ffffffff,6.0,0.0,6.0
8449939ffffffff,1.0,0.0,0.0
844993bffffffff,3.0,0.0,3.0
844993dffffffff,23.0,0.0,2.0
8449961ffffffff,621.0,0.0,79.0
8449963ffffffff,162.0,0.0,13.0
8449965ffffffff,3192.0,0.0,133.0
8449967ffffffff,414.0,0.0,13.0
8449969ffffffff,402.0,0.0,16.0
844996bffffffff,4.0,0.0,0.0
844996dffffffff,154.0,0.0,14.0
8449981ffffffff,22.0,0.0,0.0
8449983ffffffff,1.0,0.0,0.0
8449987ffffffff,192.0,0.0,0.0
84499a3ffffffff,6.0,0.0,0.0
84499abffffffff,7.0,0.0,0.0
84499b1ffffffff,11.0,0.0,0.0
84499b5ffffffff,5.0,0.0,0.0
84499b7ffffffff,2.0,0.0,0.0
84499bdffffffff,1.0,0.0,0.0
84499c1ffffffff,2.0,0.0,0.0
84499c5ffffffff,32.0,0.0,0.0
84499cdffffffff,4.0,0.0,0.0
84499e3ffffffff,19.0,0.0,0.0
84499e7ffffffff,3.0,0.0,0.0
84499e9ffffffff,6.0,0.0,0.0
84499ebffffffff,31.0,0.0,0.0
846d201ffffffff,4.0,0.0,0.0
846d203ffffffff,8.0,0.0,0.0
846d207ffffffff,3.0,0.0,0.0
846d209ffffffff,18.0,0.0,0.0
846d20bffffffff,13.0,0.0,0.0
846d20dffffffff,139.0,0.0,0.0
846d219ffffffff,8.0,0.0,0.0
846d21dffffffff,20.0,0.0,0.0
846d223ffffffff,5.0,0.0,0.0
846d22bffffffff,5.0,0.0,0.0
846d231ffffffff,82.0,0.0,0.0
846d239ffffffff,127.0,0.0,0.0
846d23dffffffff,175.0,0.0,0.0
846d241ffffffff,9.0,0.0,0.0
846d243ffffffff,12.0,0.0,0.0
846d247ffffffff,2.0,0.0,0.0
846d24bffffffff,37.0,0.0,0.0
846d251ffffffff,48.0,7.0,0.0
846d253ffffffff,51.0,0.0,0.0
846d255ffffffff,69.0,13.0,0.0
846d257ffffffff,32.0,0.0,0.0
846d25dffffffff,81.0,2.0,0.0
846d267ffffffff,2.0,0.0,0.0
846d26bffffffff,15.0,0.0,0.0
846d2c9ffffffff,2.0,0.0,0.0
846d309ffffffff,1.0,0.0,0.0
846d30bffffffff,2.0,0.0,0.0
846d30dffffffff,39.0,0.0,0.0
846d311ffffffff,3.0,0.0,0.0
846d319ffffffff,16.0,0.0,0.0
846d31bffffffff,8.0,0.0,0.0
846d341ffffffff,141.0,0.0,0.0
846d343ffffffff,10.0,0.0,0.0
846d345ffffffff,2.0,0.0,0.0
846d347ffffffff,6.0,0.0,2.0
846d34bffffffff,55.0,0.0,0.0
846d34dffffffff,1826.0,0.0,45.0
846d35bffffffff,1710.0,0.0,2.0
846d35dffffffff,134.0,0.0,3.0
846d369ffffffff,18.0,0.0,0.0
846d36bffffffff,3.0,0.0,0.0
