cell_id,Chalcothraupis ruficervix,Chalcothraupis ruficervix [ruficervix Group],Chalcothraupis ruficervix [fulvicervix Group]
848e6c9ffffffff,6.0,0.0,0.0
848f0d9ffffffff,6.0,0.0,0.0
848f0dbffffffff,80.0,4.0,0.0
848f291ffffffff,29.0,0.0,0.0
848f295ffffffff,2.0,0.0,0.0
848f297ffffffff,6.0,0.0,0.0
848f2bbffffffff,30.0,0.0,0.0
848f2d5ffffffff,5.0,0.0,0.0
848f421ffffffff,21.0,0.0,0.0
848f42dffffffff,6.0,0.0,0.0
848f439ffffffff,72.0,0.0,0.0
848f463ffffffff,8.0,0.0,0.0
848f465ffffffff,10.0,0.0,0.0
848f467ffffffff,6.0,0.0,0.0
848f4a5ffffffff,6.0,0.0,0.0
848f4a7ffffffff,4.0,0.0,0.0
848f4adffffffff,2.0,0.0,0.0
848f541ffffffff,5.0,0.0,0.0
848f549ffffffff,39.0,0.0,0.0
848f54bffffffff,4.0,0.0,0.0
848f555ffffffff,4.0,0.0,0.0
848f559ffffffff,5.0,0.0,0.0
848f55dffffffff,5.0,0.0,0.0
848f59bffffffff,2.0,0.0,0.0
848f5d9ffffffff,4.0,0.0,0.0
848f5ddffffffff,10.0,0.0,0.0
848f705ffffffff,6.0,0.0,0.0
848f721ffffffff,37.0,0.0,0.0
848f727ffffffff,5.0,0.0,0.0
848f729ffffffff,29.0,0.0,0.0
848f733ffffffff,92.0,0.0,0.0
848f737ffffffff,1.0,0.0,0.0
848f765ffffffff,1.0,0.0,0.0
848f76bffffffff,21.0,0.0,0.0
84b3219ffffffff,1.0,0.0,0.0
84b3253ffffffff,16.0,0.0,0.0
84b325bffffffff,3.0,0.0,0.0
