cell_id,Cardellina pusilla,Cardellina pusilla pileolata,Cardellina pusilla pusilla,Cardellina pusilla chryseola
8412727ffffffff,2.0,0.0,0.0,0.0
841272bffffffff,2.0,0.0,0.0,0.0
8412753ffffffff,2.0,0.0,0.0,0.0
8412759ffffffff,5.0,0.0,0.0,0.0
841275bffffffff,8.0,0.0,0.0,0.0
8412801ffffffff,6.0,0.0,0.0,0.0
8412805ffffffff,53.0,0.0,0.0,0.0
841280bffffffff,2.0,0.0,0.0,0.0
841280dffffffff,14.0,0.0,0.0,0.0
8412819ffffffff,2.0,0.0,0.0,0.0
8412841ffffffff,1.0,0.0,0.0,0.0
8412847ffffffff,52.0,0.0,0.0,0.0
841284bffffffff,1.0,0.0,0.0,0.0
8412851ffffffff,25.0,0.0,0.0,0.0
8412853ffffffff,4.0,0.0,0.0,0.0
8412857ffffffff,16.0,0.0,0.0,0.0
841285dffffffff,4.0,0.0,0.0,0.0
8412865ffffffff,2.0,0.0,0.0,0.0
841286bffffffff,4.0,0.0,0.0,0.0
841286dffffffff,12.0,0.0,0.0,0.0
8412887ffffffff,14.0,0.0,0.0,0.0
841288dffffffff,14.0,0.0,0.0,0.0
8412891ffffffff,17.0,0.0,0.0,0.0
8412893ffffffff,20.0,0.0,0.0,0.0
8412895ffffffff,1.0,0.0,0.0,0.0
8412897ffffffff,2.0,0.0,0.0,0.0
841289bffffffff,35.0,0.0,0.0,0.0
84128abffffffff,4.0,0.0,0.0,0.0
84128b1ffffffff,8.0,0.0,0.0,0.0
84128bdffffffff,824.0,0.0,0.0,0.0
84128d3ffffffff,16.0,0.0,0.0,0.0
84128d9ffffffff,2.0,0.0,0.0,0.0
84128dbffffffff,15.0,0.0,0.0,0.0
84128ddffffffff,2.0,0.0,0.0,0.0
84128e1ffffffff,2.0,0.0,0.0,0.0
84128e3ffffffff,9.0,0.0,0.0,0.0
84128e5ffffffff,2.0,0.0,0.0,0.0
84128e7ffffffff,29.0,0.0,0.0,0.0
8412939ffffffff,2.0,0.0,0.0,0.0
8412947ffffffff,3.0,0.0,0.0,0.0
841298dffffffff,45.0,0.0,0.0,0.0
8412991ffffffff,4.0,0.0,0.0,0.0
8412993ffffffff,18.0,0.0,0.0,0.0
84129a3ffffffff,4.0,0.0,0.0,0.0
84129abffffffff,4.0,0.0,0.0,0.0
84129b1ffffffff,1.0,0.0,0.0,0.0
84129b3ffffffff,2.0,0.0,0.0,0.0
84129b5ffffffff,4.0,0.0,0.0,0.0
84129b7ffffffff,19.0,0.0,0.0,0.0
84129b9ffffffff,7.0,0.0,0.0,0.0
84129bbffffffff,14.0,0.0,0.0,0.0
84129bdffffffff,2.0,0.0,0.0,0.0
84129c3ffffffff,2.0,0.0,0.0,0.0
84129c7ffffffff,4.0,0.0,0.0,0.0
84129d9ffffffff,4.0,0.0,0.0,0.0
8412a25ffffffff,20.0,0.0,0.0,0.0
8412a2dffffffff,2.0,0.0,0.0,0.0
8412a33ffffffff,15.0,0.0,0.0,0.0
8412a37ffffffff,17.0,0.0,0.0,0.0
8412a55ffffffff,1.0,0.0,0.0,0.0
8412a69ffffffff,5.0,0.0,0.0,0.0
8412a83ffffffff,1.0,0.0,0.0,0.0
8412a87ffffffff,1.0,0.0,0.0,0.0
8412a89ffffffff,4.0,0.0,0.0,0.0
8412a8bffffffff,3.0,0.0,0.0,0.0
8412a8dffffffff,3.0,0.0,0.0,0.0
8412a95ffffffff,1.0,0.0,0.0,0.0
8412a97ffffffff,22.0,0.0,0.0,0.0
8412a99ffffffff,7.0,0.0,0.0,0.0
8412a9dffffffff,3.0,0.0,0.0,0.0
8412aa3ffffffff,6.0,0.0,0.0,0.0
8412aa5ffffffff,11.0,0.0,0.0,0.0
8412aa7ffffffff,6.0,0.0,0.0,0.0
8412aabffffffff,1.0,0.0,0.0,0.0
8412ab1ffffffff,2.0,0.0,0.0,0.0
8412ab3ffffffff,81.0,0.0,0.0,0.0
8412ab5ffffffff,11.0,0.0,0.0,0.0
8412ab7ffffffff,7.0,0.0,0.0,0.0
8412abdffffffff,6.0,0.0,0.0,0.0
8412ad7ffffffff,132.0,0.0,0.0,0.0
8412aebffffffff,1.0,0.0,0.0,0.0
8412b01ffffffff,99.0,0.0,0.0,0.0
8412b03ffffffff,90.0,0.0,0.0,0.0
8412b0bffffffff,13.0,0.0,0.0,0.0
