cell_id,Numenius phaeopus,Numenius phaeopus hudsonicus,Numenius phaeopus phaeopus,Numenius phaeopus alboaxillaris,Numenius phaeopus variegatus/rogachevae,Numenius phaeopus [phaeopus Group]
8408d39ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8408d43ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8408d49ffffffff,9.0,0.0,0.0,0.0,0.0,0.0
8408d51ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8408d57ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8408d81ffffffff,22.0,0.0,2.0,0.0,0.0,0.0
8408d83ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8408d87ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8408d8bffffffff,9.0,0.0,0.0,0.0,0.0,0.0
8408dbdffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8408dd9ffffffff,1.0,0.0,1.0,0.0,0.0,0.0
8408de7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8408e59ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8408e9bffffffff,7.0,0.0,3.0,0.0,0.0,0.0
8408ea3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8408eb3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8408ec1ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8408ecdffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8408ed3ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8408ed7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8408edbffffffff,15.0,0.0,0.0,0.0,0.0,0.0
8408f25ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84094b5ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84094b7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8409583ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8409587ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8409591ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8409599ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
84095a9ffffffff,9.0,0.0,0.0,0.0,0.0,0.0
84095adffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84095b5ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8409805ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8409819ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8409821ffffffff,5.0,0.0,2.0,0.0,0.0,0.0
8409829ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
840982bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840982dffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8409883ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8409893ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
84098a9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84098bbffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84098c3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84098d9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84098ddffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8409911ffffffff,21.0,0.0,1.0,0.0,0.0,0.0
8409917ffffffff,10.0,0.0,8.0,0.0,0.0,0.0
840991bffffffff,53.0,0.0,2.0,0.0,0.0,0.0
8409937ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8409993ffffffff,4.0,0.0,1.0,0.0,0.0,0.0
8409997ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84099b9ffffffff,2.0,0.0,2.0,0.0,0.0,0.0
84099bdffffffff,15.0,0.0,0.0,0.0,0.0,0.0
84099e9ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84099ebffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8409a09ffffffff,71.0,0.0,3.0,0.0,0.0,0.0
8409a41ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8409a43ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8409a45ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8409a47ffffffff,6.0,0.0,2.0,0.0,0.0,0.0
8409a4dffffffff,16.0,0.0,2.0,0.0,0.0,0.0
8409a55ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8409a69ffffffff,8.0,0.0,2.0,0.0,0.0,0.0
8409a6bffffffff,5.0,0.0,0.0,0.0,0.0,0.0
840a337ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840c033ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
840c037ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
840c03bffffffff,49.0,2.0,0.0,0.0,0.0,0.0
840c067ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840c06dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840c141ffffffff,76.0,0.0,0.0,0.0,0.0,0.0
840c143ffffffff,532.0,0.0,0.0,0.0,0.0,0.0
840c145ffffffff,75.0,0.0,0.0,0.0,0.0,0.0
840c147ffffffff,646.0,0.0,0.0,0.0,0.0,0.0
840c149ffffffff,480.0,0.0,0.0,0.0,0.0,0.0
840c14bffffffff,87.0,0.0,0.0,0.0,0.0,0.0
840c14dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840c15dffffffff,54.0,0.0,0.0,0.0,0.0,0.0
840c1b1ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
840c1e1ffffffff,277.0,0.0,0.0,0.0,0.0,0.0
840c213ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840c217ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840c231ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
840c267ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840c2a9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840c309ffffffff,25.0,0.0,0.0,0.0,0.0,0.0
840c335ffffffff,219.0,0.0,0.0,0.0,0.0,0.0
840c341ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
840c34bffffffff,6.0,0.0,0.0,0.0,0.0,0.0
840c353ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840c415ffffffff,173.0,2.0,0.0,0.0,0.0,0.0
840c425ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840c427ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
840c42dffffffff,60.0,0.0,0.0,0.0,0.0,0.0
840c441ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
840c445ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840c451ffffffff,19.0,0.0,0.0,0.0,0.0,0.0
840c455ffffffff,114.0,0.0,0.0,0.0,0.0,0.0
840c45dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840c461ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
840c465ffffffff,9.0,0.0,0.0,0.0,0.0,0.0
840c469ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
840c46bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840c46dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840c503ffffffff,292.0,29.0,0.0,0.0,0.0,0.0
840c50bffffffff,5.0,0.0,0.0,0.0,0.0,0.0
840c511ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
840c51dffffffff,265.0,19.0,0.0,0.0,0.0,0.0
840c54bffffffff,103.0,0.0,0.0,0.0,0.0,0.0
840c551ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
840c555ffffffff,194.0,2.0,0.0,0.0,0.0,0.0
840c55dffffffff,4.0,0.0,0.0,0.0,0.0,0.0
840c5a1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840c5a5ffffffff,18.0,0.0,0.0,0.0,0.0,0.0
840c5a7ffffffff,20.0,0.0,0.0,0.0,0.0,0.0
840c5adffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840c621ffffffff,5.0,1.0,0.0,0.0,0.0,0.0
