cell_id,Anaplectes rubriceps,Anaplectes rubriceps leuconotos,Anaplectes rubriceps rubriceps
839719fffffffff,51.0,0.0,0.0
83971bfffffffff,3.0,0.0,0.0
83971dfffffffff,5.0,0.0,0.0
839724fffffffff,9.0,0.0,0.0
839728fffffffff,104.0,0.0,20.0
839729fffffffff,30.0,0.0,9.0
83972afffffffff,3.0,0.0,0.0
83972cfffffffff,119.0,0.0,25.0
83972dfffffffff,1.0,0.0,0.0
83972efffffffff,100.0,0.0,21.0
839731fffffffff,7.0,0.0,0.0
839740fffffffff,5.0,0.0,0.0
839741fffffffff,36.0,0.0,1.0
839743fffffffff,49.0,0.0,0.0
839745fffffffff,2.0,0.0,0.0
839746fffffffff,4.0,0.0,0.0
839748fffffffff,1.0,0.0,0.0
83974afffffffff,41.0,0.0,0.0
83974bfffffffff,48.0,0.0,8.0
83974efffffffff,7.0,0.0,3.0
839750fffffffff,15.0,0.0,0.0
839751fffffffff,101.0,0.0,10.0
839752fffffffff,1.0,0.0,0.0
839755fffffffff,11.0,0.0,0.0
83975cfffffffff,65.0,0.0,0.0
83975dfffffffff,4.0,0.0,0.0
83975efffffffff,6.0,0.0,2.0
839764fffffffff,2.0,0.0,0.0
839771fffffffff,2.0,0.0,0.0
839772fffffffff,20.0,0.0,0.0
839773fffffffff,5.0,0.0,0.0
839774fffffffff,2.0,0.0,0.0
839775fffffffff,2.0,0.0,0.0
83978bfffffffff,12.0,0.0,0.0
83978dfffffffff,2.0,0.0,0.0
8397a8fffffffff,11.0,0.0,0.0
8397aafffffffff,2.0,0.0,0.0
8397abfffffffff,4.0,0.0,0.0
83ac80fffffffff,7.0,0.0,0.0
83ac86fffffffff,36.0,0.0,0.0
83ac8afffffffff,8.0,0.0,0.0
83ac8efffffffff,4.0,0.0,0.0
83ac93fffffffff,2.0,0.0,0.0
83ac96fffffffff,19.0,0.0,0.0
83acaafffffffff,1.0,0.0,0.0
83acaefffffffff,5.0,0.0,0.0
83acb1fffffffff,1.0,0.0,0.0
83acb3fffffffff,9.0,0.0,0.0
83bc99fffffffff,5.0,0.0,0.0
83bcc3fffffffff,1.0,0.0,1.0
83bcc8fffffffff,2.0,0.0,0.0
83bcd0fffffffff,102.0,0.0,14.0
83bcd1fffffffff,11.0,0.0,5.0
83bcd2fffffffff,367.0,0.0,37.0
83bcd3fffffffff,38.0,0.0,16.0
83bcd4fffffffff,14.0,0.0,0.0
83bcd6fffffffff,50.0,0.0,9.0
83bcd8fffffffff,16.0,0.0,6.0
83bcd9fffffffff,3.0,0.0,0.0
83bcdafffffffff,4.0,0.0,0.0
83bcdcfffffffff,42.0,0.0,12.0
83bcddfffffffff,3.0,0.0,0.0
83bcdefffffffff,3.0,0.0,0.0
