cell_id,Loriotus cristatus,Loriotus cristatus [cristatus Group],Loriotus cristatus nattereri
848b8a5ffffffff,3.0,0.0,0.0
848b8ddffffffff,1.0,0.0,0.0
848b96dffffffff,1.0,0.0,0.0
848b999ffffffff,46.0,0.0,0.0
848b99dffffffff,25.0,2.0,0.0
848b9d1ffffffff,5.0,0.0,0.0
848b9d5ffffffff,318.0,0.0,0.0
848ba09ffffffff,4.0,0.0,0.0
848ba47ffffffff,2.0,0.0,0.0
848ba63ffffffff,2.0,0.0,0.0
848ba65ffffffff,2.0,0.0,0.0
848bb59ffffffff,49.0,0.0,0.0
848f617ffffffff,1.0,0.0,0.0
848f61bffffffff,2.0,0.0,0.0
848f657ffffffff,3.0,0.0,0.0
848f6b5ffffffff,3.0,0.0,0.0
848f705ffffffff,15.0,0.0,0.0
848f70dffffffff,8.0,0.0,0.0
848f71bffffffff,7.0,0.0,0.0
848f71dffffffff,4.0,0.0,0.0
848f729ffffffff,126.0,0.0,0.0
848f72bffffffff,239.0,0.0,0.0
848f73dffffffff,2.0,0.0,0.0
848f745ffffffff,11.0,0.0,0.0
848f74bffffffff,7.0,0.0,0.0
848f763ffffffff,11.0,0.0,0.0
848f76bffffffff,7.0,0.0,0.0
84a5967ffffffff,1.0,1.0,0.0
84a5969ffffffff,29.0,4.0,0.0
84a596dffffffff,2.0,0.0,0.0
84a8005ffffffff,2.0,0.0,0.0
84a8061ffffffff,34.0,27.0,0.0
84a8065ffffffff,2.0,2.0,0.0
84a8067ffffffff,7.0,4.0,0.0
84a806dffffffff,1.0,0.0,0.0
84a8101ffffffff,5.0,2.0,0.0
84a8105ffffffff,187.0,37.0,0.0
84a8107ffffffff,4.0,0.0,0.0
84a8109ffffffff,315.0,224.0,0.0
84a810bffffffff,48.0,19.0,0.0
84a810dffffffff,68.0,42.0,0.0
84a8125ffffffff,20.0,6.0,0.0
84a8129ffffffff,26.0,16.0,0.0
84a812dffffffff,239.0,31.0,0.0
84a8131ffffffff,2.0,2.0,0.0
84a8143ffffffff,359.0,164.0,0.0
84a8151ffffffff,5.0,1.0,0.0
84a8155ffffffff,160.0,65.0,0.0
84a8157ffffffff,20.0,10.0,0.0
84a8159ffffffff,2.0,0.0,0.0
84a815bffffffff,17.0,3.0,0.0
84a815dffffffff,2.0,0.0,0.0
84a8163ffffffff,68.0,20.0,0.0
84a8167ffffffff,9.0,6.0,0.0
84a81c7ffffffff,3.0,0.0,0.0
84a8311ffffffff,72.0,16.0,0.0
84a8313ffffffff,15.0,3.0,0.0
84a8315ffffffff,10.0,2.0,0.0
84a8317ffffffff,44.0,14.0,0.0
84a8319ffffffff,4.0,2.0,0.0
84a831dffffffff,48.0,14.0,0.0
84a8331ffffffff,2.0,0.0,0.0
84a8333ffffffff,44.0,12.0,0.0
84a8337ffffffff,11.0,6.0,0.0
84a833bffffffff,88.0,10.0,0.0
84a8353ffffffff,35.0,5.0,0.0
84a8357ffffffff,53.0,17.0,0.0
84a835dffffffff,1.0,0.0,0.0
84a8591ffffffff,1.0,0.0,0.0
84a882dffffffff,1.0,0.0,0.0
84a8849ffffffff,14.0,0.0,0.0
84a884bffffffff,2.0,0.0,0.0
84a884dffffffff,1.0,0.0,0.0
84a8863ffffffff,2.0,2.0,0.0
84a8917ffffffff,121.0,31.0,0.0
84a8919ffffffff,27.0,14.0,0.0
84a891bffffffff,6.0,0.0,0.0
84a891dffffffff,5.0,5.0,0.0
84a8951ffffffff,2.0,2.0,0.0
84a8953ffffffff,31.0,9.0,0.0
84a8a03ffffffff,19.0,13.0,0.0
84a8a07ffffffff,281.0,39.0,0.0
84a8a11ffffffff,2.0,2.0,0.0
84a8a13ffffffff,11.0,6.0,0.0
84a8a15ffffffff,42.0,18.0,0.0
84a8a19ffffffff,253.0,66.0,0.0
84a8a1dffffffff,72.0,37.0,0.0
84a8a21ffffffff,24.0,6.0,0.0
84a8a23ffffffff,411.0,89.0,0.0
84a8a25ffffffff,4.0,0.0,0.0
84a8a27ffffffff,73.0,15.0,0.0
84a8a2bffffffff,35.0,29.0,0.0
84a8a31ffffffff,2.0,0.0,0.0
84a8a39ffffffff,30.0,7.0,0.0
84a8a3dffffffff,135.0,47.0,0.0
84a8a53ffffffff,384.0,93.0,0.0
84a8a57ffffffff,1.0,0.0,0.0
84a8b13ffffffff,6.0,3.0,0.0
84a8b1bffffffff,14.0,6.0,0.0
84a8c97ffffffff,20.0,0.0,0.0
