cell_id,Pipreola riefferii,Pipreola riefferii [riefferii Group],Pipreola riefferii tallmanorum
8466e07ffffffff,7.0,0.0,0.0
8466e09ffffffff,51.0,4.0,0.0
8466e0bffffffff,460.0,14.0,0.0
8466e27ffffffff,5.0,0.0,0.0
8466e2dffffffff,20.0,0.0,0.0
8466e41ffffffff,3.0,0.0,0.0
8466e43ffffffff,185.0,5.0,0.0
8466e47ffffffff,428.0,3.0,0.0
8466e49ffffffff,9.0,0.0,0.0
8466e51ffffffff,5.0,0.0,0.0
8466e55ffffffff,191.0,0.0,0.0
8466e57ffffffff,5.0,0.0,0.0
8466e59ffffffff,6.0,0.0,0.0
8466e5dffffffff,15.0,0.0,0.0
8466e61ffffffff,113.0,0.0,0.0
8466e63ffffffff,4.0,0.0,0.0
8466e65ffffffff,353.0,6.0,0.0
8466e67ffffffff,130.0,1.0,0.0
8466e69ffffffff,39.0,0.0,0.0
8466e6dffffffff,2332.0,111.0,0.0
8466f0bffffffff,18.0,0.0,0.0
8466f15ffffffff,50.0,0.0,0.0
8466f19ffffffff,96.0,0.0,0.0
8466f1bffffffff,1.0,0.0,0.0
8466f1dffffffff,1400.0,37.0,0.0
8466f33ffffffff,5.0,0.0,0.0
8466f37ffffffff,1.0,0.0,0.0
8466f3bffffffff,17.0,0.0,0.0
8466f51ffffffff,2.0,0.0,0.0
8466f53ffffffff,196.0,0.0,0.0
8466f57ffffffff,14.0,0.0,0.0
8466f59ffffffff,100.0,0.0,0.0
8466f5bffffffff,143.0,4.0,0.0
8466f5dffffffff,34.0,2.0,0.0
8467413ffffffff,4.0,0.0,0.0
8467417ffffffff,83.0,3.0,0.0
84675adffffffff,94.0,1.0,0.0
848f293ffffffff,7.0,0.0,0.0
848f2bbffffffff,2.0,0.0,0.0
848f2d3ffffffff,2.0,0.0,0.0
848f2d5ffffffff,7.0,0.0,0.0
848f421ffffffff,11.0,0.0,0.0
848f425ffffffff,13.0,0.0,0.0
848f42dffffffff,6.0,0.0,0.0
848f465ffffffff,24.0,0.0,0.0
848f467ffffffff,9.0,0.0,0.0
848f487ffffffff,2.0,0.0,0.0
848f4a5ffffffff,7.0,0.0,0.0
848f541ffffffff,13.0,0.0,0.0
848f549ffffffff,12.0,0.0,0.0
848f54bffffffff,18.0,0.0,0.0
848f551ffffffff,1.0,0.0,0.0
848f553ffffffff,10.0,0.0,0.0
848f559ffffffff,33.0,3.0,0.0
848f55bffffffff,4.0,0.0,0.0
848f5cbffffffff,2.0,0.0,0.0
848f5ddffffffff,4.0,0.0,0.0
848f705ffffffff,26.0,0.0,0.0
848f70dffffffff,1.0,0.0,0.0
848f721ffffffff,360.0,64.0,0.0
848f727ffffffff,13.0,0.0,0.0
848f729ffffffff,6.0,0.0,0.0
848f72dffffffff,32.0,3.0,0.0
848f733ffffffff,692.0,54.0,0.0
848f745ffffffff,37.0,4.0,0.0
848f761ffffffff,1.0,0.0,0.0
848f763ffffffff,1.0,0.0,0.0
848f769ffffffff,17.0,1.0,0.0
848f76bffffffff,13.0,0.0,0.0
