cell_id,Ortygospiza atricollis,Ortygospiza atricollis [atricollis Group],Ortygospiza atricollis [fuscocrissa Group],Ortygospiza atricollis [gabonensis Group]
846ac3dffffffff,79.0,17.0,0.0,32.0
846ac93ffffffff,4.0,0.0,3.0,0.0
846adc9ffffffff,13.0,2.0,0.0,0.0
846ae85ffffffff,6.0,2.0,0.0,0.0
846aea1ffffffff,3.0,3.0,0.0,0.0
846aea9ffffffff,1.0,0.0,0.0,0.0
846aeabffffffff,4.0,4.0,0.0,0.0
846aee3ffffffff,29.0,11.0,0.0,0.0
8475209ffffffff,2.0,0.0,0.0,0.0
847520bffffffff,6.0,5.0,0.0,0.0
8475257ffffffff,1.0,0.0,0.0,0.0
8475293ffffffff,1.0,1.0,0.0,0.0
847529bffffffff,18.0,13.0,0.0,0.0
84752abffffffff,1.0,1.0,0.0,0.0
8475761ffffffff,16.0,15.0,0.0,0.0
8475769ffffffff,1.0,1.0,0.0,0.0
847a401ffffffff,4.0,0.0,0.0,0.0
847a407ffffffff,7.0,0.0,0.0,0.0
847a40bffffffff,4.0,0.0,0.0,0.0
847a417ffffffff,1.0,0.0,0.0,0.0
847a41dffffffff,2.0,0.0,2.0,0.0
847a457ffffffff,5.0,0.0,4.0,0.0
847a459ffffffff,1.0,0.0,0.0,0.0
847a45bffffffff,1.0,0.0,0.0,0.0
847a483ffffffff,10.0,0.0,0.0,0.0
847a491ffffffff,2.0,2.0,0.0,0.0
847a495ffffffff,2.0,0.0,0.0,0.0
847a4b1ffffffff,1.0,0.0,0.0,0.0
847a4d1ffffffff,3.0,0.0,2.0,0.0
847a4ddffffffff,2.0,0.0,0.0,0.0
847a615ffffffff,2.0,0.0,2.0,0.0
847a619ffffffff,1.0,0.0,1.0,0.0
847a61dffffffff,13.0,0.0,6.0,0.0
847a657ffffffff,3.0,0.0,0.0,0.0
847a681ffffffff,66.0,0.0,20.0,0.0
847a683ffffffff,90.0,0.0,62.0,0.0
847a689ffffffff,2.0,0.0,2.0,0.0
847a68bffffffff,24.0,0.0,10.0,0.0
847a69dffffffff,5.0,0.0,5.0,0.0
847a6a1ffffffff,14.0,0.0,8.0,0.0
847a6adffffffff,23.0,0.0,4.0,0.0
847a6d1ffffffff,45.0,0.0,20.0,0.0
847a6d3ffffffff,3.0,0.0,0.0,0.0
847a6d9ffffffff,8.0,0.0,2.0,2.0
847a6dbffffffff,9.0,0.0,7.0,0.0
847a6ddffffffff,1.0,0.0,0.0,0.0
847a6e1ffffffff,2.0,0.0,2.0,0.0
847a6e5ffffffff,108.0,0.0,30.0,0.0
847a6e7ffffffff,2.0,0.0,0.0,0.0
847a6e9ffffffff,1.0,0.0,0.0,0.0
847a6edffffffff,2.0,0.0,1.0,0.0
847aca3ffffffff,17.0,0.0,16.0,0.0
847acb5ffffffff,2.0,0.0,2.0,0.0
847ad93ffffffff,1.0,0.0,1.0,0.0
8482a81ffffffff,2.0,0.0,0.0,2.0
8483263ffffffff,2.0,0.0,0.0,0.0
848333dffffffff,3.0,0.0,0.0,0.0
848335bffffffff,2.0,0.0,0.0,0.0
84838adffffffff,1.0,0.0,0.0,1.0
8496009ffffffff,2.0,0.0,0.0,0.0
8496095ffffffff,1.0,0.0,0.0,1.0
8496097ffffffff,5.0,0.0,0.0,1.0
84960bbffffffff,1.0,0.0,0.0,1.0
8496239ffffffff,2.0,0.0,0.0,0.0
8496283ffffffff,1.0,0.0,0.0,0.0
84962b1ffffffff,2.0,0.0,0.0,0.0
84962b9ffffffff,6.0,0.0,0.0,0.0
84962c5ffffffff,7.0,0.0,0.0,0.0
84962d7ffffffff,1.0,0.0,0.0,0.0
8496569ffffffff,3.0,0.0,0.0,3.0
849668bffffffff,1.0,0.0,0.0,0.0
849670bffffffff,1.0,0.0,0.0,0.0
8496747ffffffff,3.0,0.0,2.0,0.0
8496753ffffffff,2.0,0.0,0.0,0.0
8496757ffffffff,5.0,0.0,0.0,0.0
8496861ffffffff,5.0,0.0,0.0,0.0
8496905ffffffff,5.0,0.0,4.0,0.0
8496907ffffffff,4.0,0.0,0.0,0.0
8496921ffffffff,5.0,0.0,0.0,0.0
8496923ffffffff,9.0,0.0,0.0,0.0
8496931ffffffff,1.0,0.0,0.0,0.0
8496933ffffffff,3.0,0.0,2.0,0.0
8496935ffffffff,41.0,0.0,24.0,0.0
8496937ffffffff,3.0,0.0,3.0,0.0
849693dffffffff,1.0,0.0,1.0,0.0
84969a1ffffffff,1.0,0.0,1.0,0.0
84969adffffffff,1.0,0.0,0.0,0.0
8496a2dffffffff,2.0,0.0,0.0,0.0
8496ae3ffffffff,1.0,0.0,0.0,0.0
8496b13ffffffff,3.0,0.0,3.0,0.0
8496b19ffffffff,2.0,0.0,0.0,0.0
84970e3ffffffff,2.0,0.0,1.0,0.0
8497119ffffffff,14.0,0.0,10.0,0.0
8497151ffffffff,34.0,0.0,15.0,0.0
8497159ffffffff,3.0,0.0,3.0,0.0
849719bffffffff,4.0,0.0,2.0,0.0
84971d3ffffffff,3.0,0.0,3.0,0.0
8497245ffffffff,1.0,0.0,1.0,0.0
849728dffffffff,2.0,0.0,0.0,0.0
84972c5ffffffff,1.0,0.0,0.0,0.0
84972cdffffffff,1.0,0.0,0.0,0.0
84972d9ffffffff,2.0,0.0,0.0,0.0
84972dbffffffff,1.0,0.0,0.0,0.0
8497357ffffffff,2.0,0.0,0.0,0.0
8497415ffffffff,1.0,0.0,0.0,0.0
8497435ffffffff,2.0,0.0,2.0,0.0
849743bffffffff,9.0,0.0,4.0,0.0
849746bffffffff,3.0,0.0,0.0,0.0
84974abffffffff,8.0,0.0,1.0,0.0
84974edffffffff,1.0,0.0,0.0,0.0
8497513ffffffff,2.0,0.0,2.0,0.0
8497515ffffffff,3.0,0.0,0.0,0.0
8497517ffffffff,2.0,0.0,0.0,0.0
8497535ffffffff,4.0,0.0,4.0,0.0
8497557ffffffff,3.0,0.0,0.0,0.0
8497583ffffffff,5.0,0.0,0.0,0.0
84975c7ffffffff,5.0,0.0,3.0,0.0
84975ebffffffff,2.0,0.0,2.0,0.0
8497725ffffffff,6.0,0.0,0.0,0.0
84ac805ffffffff,6.0,0.0,6.0,0.0
84ac81bffffffff,2.0,0.0,2.0,0.0
84ac829ffffffff,3.0,0.0,3.0,0.0
84ac82dffffffff,6.0,0.0,4.0,0.0
84ac867ffffffff,7.0,0.0,7.0,0.0
84ac961ffffffff,3.0,0.0,0.0,0.0
84ac969ffffffff,1.0,0.0,0.0,0.0
84ac9dbffffffff,3.0,0.0,3.0,0.0
84aca61ffffffff,4.0,0.0,4.0,0.0
84ad32dffffffff,6.0,0.0,2.0,0.0
84ad361ffffffff,5.0,0.0,2.0,0.0
84ad365ffffffff,1.0,0.0,0.0,0.0
84ad36dffffffff,2.0,0.0,0.0,0.0
84ada61ffffffff,1.0,0.0,0.0,0.0
84adb07ffffffff,2.0,0.0,2.0,0.0
84adb4dffffffff,1.0,0.0,1.0,0.0
84bc19bffffffff,16.0,0.0,16.0,0.0
84bc1bbffffffff,3.0,0.0,0.0,0.0
84bc453ffffffff,1.0,0.0,0.0,0.0
84bc501ffffffff,10.0,0.0,0.0,0.0
84bc50bffffffff,5.0,0.0,1.0,0.0
84bc561ffffffff,1.0,0.0,1.0,0.0
84bc5c9ffffffff,1.0,0.0,1.0,0.0
84bc5edffffffff,2.0,0.0,0.0,0.0
84bc6a3ffffffff,3.0,0.0,0.0,0.0
84bc6b9ffffffff,2.0,0.0,0.0,0.0
84bc717ffffffff,2.0,0.0,2.0,0.0
84bc723ffffffff,2.0,0.0,0.0,0.0
84bc891ffffffff,13.0,0.0,2.0,0.0
84bc897ffffffff,7.0,0.0,7.0,0.0
84bc899ffffffff,7.0,0.0,0.0,0.0
84bcc17ffffffff,2.0,0.0,2.0,0.0
84bcc21ffffffff,15.0,0.0,5.0,0.0
84bcc23ffffffff,11.0,0.0,6.0,0.0
84bcc27ffffffff,2.0,0.0,0.0,0.0
84bcc29ffffffff,7.0,0.0,2.0,0.0
84bcc2bffffffff,11.0,0.0,6.0,0.0
84bcc31ffffffff,2.0,0.0,2.0,0.0
84bcc33ffffffff,14.0,0.0,4.0,0.0
84bcc35ffffffff,11.0,0.0,11.0,0.0
84bcc37ffffffff,2.0,0.0,2.0,0.0
84bcc3bffffffff,5.0,0.0,5.0,0.0
84bcc3dffffffff,46.0,0.0,15.0,0.0
84bcc41ffffffff,2.0,0.0,2.0,0.0
84bcc45ffffffff,2.0,0.0,2.0,0.0
84bcc4dffffffff,3.0,0.0,0.0,0.0
84bcc51ffffffff,2.0,0.0,0.0,0.0
84bcc65ffffffff,70.0,0.0,46.0,0.0
84bcc69ffffffff,2.0,0.0,0.0,0.0
84bcc6dffffffff,17.0,0.0,7.0,0.0
84bcc85ffffffff,2.0,0.0,0.0,0.0
84bcca5ffffffff,13.0,0.0,12.0,0.0
84bcca7ffffffff,2.0,0.0,0.0,0.0
84bccc7ffffffff,5.0,0.0,3.0,0.0
84bccc9ffffffff,2.0,0.0,2.0,0.0
84bcce9ffffffff,2.0,0.0,2.0,0.0
84bcd07ffffffff,3.0,0.0,2.0,0.0
84bcd0bffffffff,2.0,0.0,2.0,0.0
84bcd11ffffffff,2.0,0.0,0.0,0.0
84bcd13ffffffff,9.0,0.0,6.0,0.0
84bcd15ffffffff,7.0,0.0,5.0,0.0
84bcd19ffffffff,2.0,0.0,2.0,0.0
84bcd1bffffffff,4.0,0.0,2.0,0.0
84bcd1dffffffff,3.0,0.0,2.0,0.0
84bcd21ffffffff,3.0,0.0,0.0,0.0
84bcd25ffffffff,9.0,0.0,3.0,0.0
84bcd29ffffffff,4.0,0.0,0.0,0.0
84bcd2dffffffff,2.0,0.0,0.0,0.0
84bcd43ffffffff,4.0,0.0,2.0,0.0
84bcd57ffffffff,5.0,0.0,1.0,0.0
84bcd59ffffffff,1.0,0.0,0.0,0.0
84bcd63ffffffff,1.0,0.0,0.0,0.0
84bcd67ffffffff,2.0,0.0,2.0,0.0
84bcd6dffffffff,14.0,0.0,11.0,0.0
84bcd8dffffffff,1.0,0.0,1.0,0.0
84bcdc1ffffffff,37.0,0.0,29.0,0.0
84bcdc3ffffffff,19.0,0.0,11.0,0.0
84bcdc5ffffffff,16.0,0.0,8.0,0.0
84bcdc7ffffffff,3.0,0.0,3.0,0.0
84bcdc9ffffffff,13.0,0.0,7.0,0.0
84bcdcbffffffff,1.0,0.0,0.0,0.0
84bcdcdffffffff,27.0,0.0,18.0,0.0
84bcdd1ffffffff,6.0,0.0,6.0,0.0
84bcdd9ffffffff,1.0,0.0,1.0,0.0
84bcdddffffffff,5.0,0.0,5.0,0.0
84bcde3ffffffff,1.0,0.0,1.0,0.0
84bcde5ffffffff,11.0,0.0,4.0,0.0
84bcdebffffffff,5.0,0.0,2.0,0.0
84bce09ffffffff,3.0,0.0,3.0,0.0
84bce21ffffffff,1.0,0.0,0.0,0.0
84bce23ffffffff,2.0,0.0,2.0,0.0
84bce27ffffffff,3.0,0.0,3.0,0.0
84bce29ffffffff,20.0,0.0,13.0,0.0
84bce2dffffffff,4.0,0.0,4.0,0.0
84bce61ffffffff,3.0,0.0,3.0,0.0
84bce63ffffffff,15.0,0.0,13.0,0.0
84bce67ffffffff,2.0,0.0,2.0,0.0
84bce83ffffffff,14.0,0.0,7.0,0.0
84bce85ffffffff,2.0,0.0,0.0,0.0
84bce89ffffffff,2.0,0.0,2.0,0.0
84bce95ffffffff,6.0,0.0,5.0,0.0
84bce99ffffffff,1.0,0.0,1.0,0.0
84bcecbffffffff,3.0,0.0,0.0,0.0
84bcecdffffffff,1.0,0.0,0.0,0.0
84bcf15ffffffff,3.0,0.0,0.0,0.0
84bcf17ffffffff,3.0,0.0,3.0,0.0
84bcf1bffffffff,5.0,0.0,0.0,0.0
84bcf1dffffffff,4.0,0.0,4.0,0.0
84bcf21ffffffff,2.0,0.0,0.0,0.0
84bcf29ffffffff,45.0,0.0,35.0,0.0
84bcf2dffffffff,10.0,0.0,7.0,0.0
84bcf33ffffffff,28.0,0.0,16.0,0.0
84bcf3bffffffff,6.0,0.0,0.0,0.0
84bcf51ffffffff,1.0,0.0,1.0,0.0
84bcf5bffffffff,21.0,0.0,13.0,0.0
84bcf61ffffffff,2.0,0.0,2.0,0.0
84bcf63ffffffff,4.0,0.0,4.0,0.0
84bcf67ffffffff,5.0,0.0,4.0,0.0
