cell_id,Lichenostomus melanops,Lichenostomus melanops melanops/meltoni,Lichenostomus melanops cassidix
84be74dffffffff,43.0,3.0,0.0
84be751ffffffff,32.0,3.0,0.0
84be753ffffffff,1.0,0.0,0.0
84be755ffffffff,8.0,0.0,0.0
84be75bffffffff,12.0,0.0,0.0
84be75dffffffff,24.0,4.0,0.0
84be761ffffffff,8.0,0.0,0.0
84be767ffffffff,1.0,0.0,0.0
84be76dffffffff,6.0,0.0,0.0
84be883ffffffff,2.0,0.0,0.0
84be887ffffffff,3.0,0.0,0.0
84be891ffffffff,4.0,0.0,0.0
84be895ffffffff,5.0,0.0,0.0
84be89dffffffff,15.0,0.0,0.0
84be8b1ffffffff,2.0,0.0,0.0
84be8b3ffffffff,2.0,0.0,0.0
84be8b7ffffffff,15.0,0.0,0.0
84be8b9ffffffff,4.0,0.0,0.0
84be8bbffffffff,2.0,0.0,0.0
84be8d1ffffffff,76.0,0.0,0.0
84bed45ffffffff,6.0,0.0,0.0
84bed47ffffffff,3.0,1.0,0.0
84bede5ffffffff,5.0,0.0,0.0
84bededffffffff,7.0,0.0,0.0
84bee01ffffffff,45.0,4.0,0.0
84bee05ffffffff,1.0,0.0,0.0
84bee2dffffffff,37.0,3.0,0.0
84bee49ffffffff,22.0,3.0,0.0
84bee4bffffffff,24.0,2.0,0.0
84bee5bffffffff,10.0,2.0,0.0
84bee67ffffffff,13.0,1.0,0.0
84bee6dffffffff,16.0,0.0,0.0
84bef03ffffffff,1.0,0.0,0.0
84bef05ffffffff,378.0,15.0,0.0
84bef07ffffffff,7.0,4.0,0.0
84bef0dffffffff,422.0,83.0,0.0
84bef15ffffffff,2.0,2.0,0.0
84bef23ffffffff,2.0,2.0,0.0
84bef25ffffffff,3.0,0.0,0.0
84bef2dffffffff,11.0,0.0,0.0
84bef43ffffffff,44.0,2.0,0.0
84bef47ffffffff,6.0,0.0,0.0
84bef49ffffffff,5.0,5.0,0.0
84bef4bffffffff,2.0,0.0,0.0
84bef4dffffffff,2.0,0.0,0.0
84bef51ffffffff,12.0,0.0,0.0
84bef55ffffffff,6.0,2.0,0.0
84bef59ffffffff,7.0,0.0,0.0
84bef5dffffffff,38.0,0.0,0.0
84bef67ffffffff,17.0,2.0,0.0
84bef6bffffffff,11.0,4.0,0.0
