cell_id,Pogoniulus bilineatus,Pogoniulus bilineatus [bilineatus Group],Pogoniulus bilineatus makawai
836ae1fffffffff,2.0,0.0,0.0
836ae8fffffffff,7.0,0.0,0.0
836aeafffffffff,100.0,0.0,0.0
836aebfffffffff,17.0,0.0,0.0
836aeefffffffff,6.0,0.0,0.0
837508fffffffff,5.0,0.0,0.0
83750afffffffff,1.0,0.0,0.0
83750dfffffffff,156.0,21.0,0.0
837519fffffffff,3.0,0.0,0.0
837520fffffffff,7.0,0.0,0.0
837529fffffffff,107.0,4.0,0.0
83752afffffffff,29.0,3.0,0.0
83752bfffffffff,3.0,0.0,0.0
83752dfffffffff,9.0,0.0,0.0
83752efffffffff,4.0,0.0,0.0
8375a0fffffffff,5.0,0.0,0.0
8375a1fffffffff,2.0,0.0,0.0
8375a3fffffffff,8.0,0.0,0.0
8375a5fffffffff,2.0,0.0,0.0
837a40fffffffff,21.0,0.0,0.0
837a41fffffffff,17.0,0.0,0.0
837a45fffffffff,325.0,0.0,0.0
837a48fffffffff,75.0,0.0,0.0
837a4cfffffffff,515.0,0.0,0.0
837a4dfffffffff,110.0,0.0,0.0
837a63fffffffff,10.0,0.0,0.0
837a65fffffffff,2.0,0.0,0.0
837a66fffffffff,2.0,0.0,0.0
837a68fffffffff,67.0,0.0,0.0
837a69fffffffff,4.0,0.0,0.0
837a6afffffffff,15.0,0.0,0.0
837a6bfffffffff,24.0,0.0,0.0
837a6dfffffffff,1.0,0.0,0.0
837a6efffffffff,578.0,0.0,0.0
837b48fffffffff,20.0,0.0,0.0
837b4afffffffff,52.0,0.0,0.0
837b4cfffffffff,5.0,0.0,0.0
837b4dfffffffff,2.0,0.0,0.0
837b59fffffffff,66.0,0.0,0.0
837b68fffffffff,2.0,0.0,0.0
837b6afffffffff,27.0,0.0,0.0
837b6bfffffffff,3.0,0.0,0.0
83821bfffffffff,1.0,0.0,0.0
838285fffffffff,4.0,0.0,0.0
83828afffffffff,2.0,0.0,0.0
83828bfffffffff,67.0,0.0,0.0
83828dfffffffff,226.0,0.0,0.0
8382a0fffffffff,26.0,0.0,0.0
8382a3fffffffff,6.0,0.0,0.0
8382a5fffffffff,3.0,0.0,0.0
8382a8fffffffff,9.0,0.0,0.0
8382aafffffffff,4.0,0.0,0.0
8382abfffffffff,31.0,0.0,0.0
8382b2fffffffff,1.0,0.0,0.0
8382d0fffffffff,65.0,0.0,0.0
8382d1fffffffff,17.0,0.0,0.0
8382d2fffffffff,26.0,0.0,0.0
8382d3fffffffff,31.0,0.0,0.0
8382d4fffffffff,1.0,0.0,0.0
8382d6fffffffff,3.0,0.0,0.0
8382dbfffffffff,2.0,0.0,0.0
8382f0fffffffff,6.0,0.0,0.0
8382f2fffffffff,6.0,0.0,0.0
8382f4fffffffff,2.0,0.0,0.0
838312fffffffff,6.0,0.0,0.0
838315fffffffff,11.0,2.0,0.0
83838afffffffff,1.0,0.0,0.0
83838efffffffff,2.0,0.0,0.0
838398fffffffff,44.0,0.0,0.0
8383a8fffffffff,5.0,0.0,0.0
8383acfffffffff,15.0,7.0,0.0
839600fffffffff,14.0,0.0,0.0
839601fffffffff,9.0,0.0,0.0
839602fffffffff,19.0,0.0,0.0
839604fffffffff,1.0,0.0,0.0
839608fffffffff,5.0,0.0,0.0
839609fffffffff,37.0,0.0,0.0
83960bfffffffff,7.0,0.0,0.0
83960efffffffff,6.0,0.0,0.0
839610fffffffff,1.0,0.0,0.0
839615fffffffff,1.0,0.0,0.0
839628fffffffff,2.0,0.0,0.0
83962efffffffff,3.0,0.0,0.0
839656fffffffff,6.0,0.0,0.0
839672fffffffff,3.0,0.0,0.0
83968dfffffffff,18.0,0.0,0.0
8396aefffffffff,2.0,0.0,0.0
8396b0fffffffff,17.0,0.0,0.0
8396b1fffffffff,6.0,0.0,0.0
8396b4fffffffff,4.0,0.0,0.0
8396b5fffffffff,2.0,0.0,0.0
8396b6fffffffff,30.0,0.0,0.0
8396d2fffffffff,2.0,0.0,0.0
8396d6fffffffff,1.0,0.0,0.0
839700fffffffff,6.0,0.0,0.0
839702fffffffff,56.0,0.0,0.0
839703fffffffff,62.0,13.0,0.0
839710fffffffff,50.0,2.0,0.0
839711fffffffff,73.0,0.0,0.0
839713fffffffff,17.0,0.0,0.0
839715fffffffff,7.0,0.0,0.0
83971cfffffffff,48.0,1.0,0.0
839724fffffffff,3.0,0.0,0.0
839731fffffffff,2.0,0.0,0.0
839735fffffffff,23.0,0.0,0.0
839789fffffffff,6.0,0.0,0.0
83978bfffffffff,8.0,0.0,0.0
839793fffffffff,5.0,0.0,0.0
8397a3fffffffff,4.0,0.0,0.0
8397a8fffffffff,18.0,0.0,0.0
8397acfffffffff,4.0,0.0,0.0
8397b0fffffffff,2.0,0.0,0.0
83bc09fffffffff,1.0,0.0,0.0
83bc19fffffffff,14.0,3.0,0.0
83bc1bfffffffff,100.0,7.0,0.0
83bc89fffffffff,53.0,5.0,0.0
83bc8bfffffffff,3.0,0.0,0.0
83bc99fffffffff,30.0,1.0,0.0
83bc9bfffffffff,2.0,0.0,0.0
83bcd0fffffffff,47.0,0.0,0.0
83bcd2fffffffff,7.0,0.0,0.0
83bcd3fffffffff,5.0,0.0,0.0
83bcd4fffffffff,24.0,0.0,0.0
83bcd6fffffffff,63.0,5.0,0.0
83bce6fffffffff,7.0,0.0,0.0
83bcf0fffffffff,189.0,36.0,0.0
83bcf2fffffffff,233.0,63.0,0.0
83bcf4fffffffff,193.0,49.0,0.0
83bcf5fffffffff,116.0,14.0,0.0
83bcf6fffffffff,836.0,221.0,0.0
