cell_id,Northiella haematogaster,Northiella haematogaster haematogaster/pallescens,Northiella haematogaster haematorrhoa
84b9b2bffffffff,50.0,3.0,0.0
84b9b31ffffffff,48.0,14.0,0.0
84b9b33ffffffff,6.0,2.0,0.0
84b9b37ffffffff,6.0,2.0,0.0
84b9b3dffffffff,19.0,1.0,0.0
84b9b43ffffffff,2.0,0.0,0.0
84b9b45ffffffff,2.0,0.0,0.0
84b9b47ffffffff,12.0,4.0,0.0
84b9b49ffffffff,1.0,0.0,0.0
84b9b4bffffffff,4.0,0.0,0.0
84b9b4dffffffff,8.0,0.0,0.0
84b9b51ffffffff,6.0,0.0,0.0
84b9b55ffffffff,21.0,0.0,0.0
84b9b5dffffffff,1.0,0.0,0.0
84b9b63ffffffff,2.0,0.0,0.0
84be401ffffffff,4.0,0.0,0.0
84be403ffffffff,68.0,9.0,0.0
84be405ffffffff,2.0,0.0,0.0
84be407ffffffff,8.0,0.0,0.0
84be411ffffffff,11.0,0.0,0.0
84be413ffffffff,5.0,0.0,0.0
84be415ffffffff,11.0,0.0,0.0
84be417ffffffff,57.0,9.0,0.0
84be41dffffffff,6.0,2.0,0.0
84be421ffffffff,99.0,24.0,0.0
84be423ffffffff,4.0,0.0,0.0
84be425ffffffff,6.0,0.0,0.0
84be429ffffffff,102.0,29.0,0.0
84be42bffffffff,6.0,0.0,0.0
84be42dffffffff,4.0,0.0,0.0
84be431ffffffff,19.0,2.0,0.0
84be433ffffffff,41.0,5.0,0.0
84be435ffffffff,21.0,5.0,0.0
84be437ffffffff,3.0,1.0,0.0
84be439ffffffff,275.0,57.0,0.0
84be43bffffffff,223.0,59.0,0.0
84be43dffffffff,1.0,1.0,0.0
84be457ffffffff,2.0,0.0,0.0
84be461ffffffff,7.0,2.0,0.0
84be463ffffffff,3.0,0.0,0.0
84be465ffffffff,4.0,1.0,0.0
84be46dffffffff,1.0,0.0,0.0
84be481ffffffff,7.0,0.0,0.0
84be483ffffffff,2.0,0.0,0.0
84be485ffffffff,7.0,0.0,0.0
84be487ffffffff,4.0,0.0,0.0
84be48bffffffff,2.0,0.0,0.0
84be48dffffffff,2.0,0.0,0.0
84be491ffffffff,1.0,0.0,0.0
84be493ffffffff,1.0,0.0,0.0
84be495ffffffff,3.0,0.0,0.0
84be497ffffffff,4.0,0.0,0.0
84be4a1ffffffff,117.0,51.0,0.0
84be4a3ffffffff,71.0,3.0,0.0
84be4a5ffffffff,11.0,2.0,0.0
84be4a7ffffffff,6.0,0.0,0.0
84be4a9ffffffff,76.0,32.0,0.0
84be4abffffffff,88.0,10.0,0.0
84be4adffffffff,73.0,10.0,0.0
84be4b3ffffffff,94.0,5.0,0.0
84be4b5ffffffff,16.0,0.0,0.0
84be4b7ffffffff,18.0,8.0,0.0
84be4b9ffffffff,3.0,3.0,0.0
84be4bbffffffff,2.0,0.0,0.0
84be4bdffffffff,10.0,0.0,0.0
84be4c5ffffffff,46.0,3.0,0.0
84be4e1ffffffff,110.0,11.0,0.0
84be4e3ffffffff,91.0,10.0,0.0
84be4e5ffffffff,223.0,56.0,0.0
84be4e7ffffffff,20.0,0.0,0.0
84be4e9ffffffff,339.0,125.0,0.0
84be4ebffffffff,132.0,38.0,0.0
84be4edffffffff,67.0,26.0,0.0
84be501ffffffff,32.0,0.0,2.0
84be503ffffffff,11.0,0.0,0.0
84be505ffffffff,29.0,0.0,1.0
84be507ffffffff,241.0,8.0,5.0
84be509ffffffff,15.0,0.0,0.0
84be50bffffffff,9.0,0.0,0.0
84be50dffffffff,29.0,0.0,0.0
84be511ffffffff,8.0,1.0,0.0
84be515ffffffff,11.0,0.0,0.0
84be517ffffffff,12.0,8.0,0.0
84be519ffffffff,9.0,2.0,0.0
84be51dffffffff,2.0,0.0,0.0
84be525ffffffff,3.0,0.0,0.0
84be529ffffffff,9.0,1.0,0.0
84be52bffffffff,8.0,0.0,2.0
84be531ffffffff,55.0,3.0,8.0
84be533ffffffff,75.0,9.0,14.0
84be535ffffffff,4.0,0.0,2.0
84be537ffffffff,1.0,1.0,0.0
84be539ffffffff,113.0,7.0,1.0
84be53bffffffff,20.0,3.0,0.0
84be543ffffffff,7.0,0.0,0.0
84be545ffffffff,119.0,3.0,0.0
84be547ffffffff,8.0,0.0,0.0
84be551ffffffff,5.0,0.0,0.0
84be555ffffffff,9.0,0.0,0.0
84be557ffffffff,135.0,2.0,0.0
84be55bffffffff,4.0,0.0,0.0
84be55dffffffff,2.0,0.0,0.0
84be561ffffffff,26.0,7.0,0.0
84be563ffffffff,6.0,3.0,0.0
84be565ffffffff,3.0,1.0,0.0
84be567ffffffff,5.0,0.0,0.0
84be569ffffffff,13.0,0.0,0.0
84be56bffffffff,8.0,4.0,0.0
84be587ffffffff,2.0,2.0,0.0
84be58bffffffff,4.0,4.0,0.0
84be591ffffffff,9.0,1.0,0.0
84be599ffffffff,7.0,0.0,0.0
84be59bffffffff,12.0,0.0,0.0
84be5a5ffffffff,2.0,0.0,0.0
84be5a7ffffffff,8.0,0.0,2.0
84be5b1ffffffff,4.0,0.0,0.0
84be5b3ffffffff,2.0,0.0,0.0
84be5b9ffffffff,32.0,2.0,5.0
84be5c7ffffffff,4.0,0.0,0.0
84be5cbffffffff,3.0,0.0,0.0
84be5d1ffffffff,4.0,0.0,0.0
84be5d3ffffffff,73.0,13.0,0.0
84be5d5ffffffff,81.0,22.0,0.0
84be5d7ffffffff,1.0,0.0,0.0
84be5d9ffffffff,2.0,2.0,0.0
84be5dbffffffff,58.0,13.0,0.0
84be5e1ffffffff,4.0,0.0,0.0
84bec0dffffffff,1.0,0.0,0.0
84bec17ffffffff,23.0,5.0,0.0
84bec19ffffffff,3.0,0.0,0.0
84bec25ffffffff,1.0,0.0,1.0
84bec41ffffffff,2.0,0.0,0.0
84bec45ffffffff,2.0,0.0,0.0
84bec49ffffffff,4.0,0.0,0.0
84bec4dffffffff,23.0,0.0,2.0
84bec55ffffffff,3.0,0.0,3.0
84bec57ffffffff,1.0,0.0,0.0
84bec5dffffffff,41.0,0.0,6.0
84bec63ffffffff,4.0,0.0,0.0
84bec69ffffffff,1.0,0.0,0.0
84bec6bffffffff,2.0,0.0,0.0
84bec6dffffffff,5.0,0.0,0.0
84bec8bffffffff,32.0,0.0,0.0
84bec95ffffffff,2.0,0.0,0.0
84beca3ffffffff,2.0,0.0,0.0
84becb5ffffffff,6.0,0.0,0.0
84becb7ffffffff,3.0,0.0,0.0
84becc7ffffffff,4.0,0.0,0.0
84becd1ffffffff,6.0,0.0,0.0
84becd5ffffffff,1.0,0.0,0.0
84becddffffffff,2.0,0.0,0.0
84bece9ffffffff,303.0,19.0,0.0
84becebffffffff,58.0,9.0,0.0
84bed41ffffffff,4.0,0.0,0.0
84bed45ffffffff,1.0,0.0,0.0
84bed4dffffffff,2.0,0.0,0.0
84bed59ffffffff,2.0,0.0,0.0
84bed5bffffffff,2.0,0.0,0.0
84bedc3ffffffff,2.0,0.0,0.0
84bedd1ffffffff,2.0,0.0,0.0
84bee01ffffffff,10.0,0.0,0.0
84bee03ffffffff,5.0,0.0,0.0
84bee05ffffffff,1.0,0.0,0.0
84bee07ffffffff,4.0,0.0,0.0
84bee0bffffffff,7.0,0.0,0.0
84bee11ffffffff,5.0,0.0,0.0
84bee13ffffffff,13.0,0.0,8.0
84bee15ffffffff,14.0,0.0,0.0
84bee17ffffffff,52.0,0.0,4.0
84bee19ffffffff,4.0,0.0,1.0
84bee1bffffffff,20.0,0.0,7.0
84bee21ffffffff,4.0,0.0,0.0
84bee23ffffffff,9.0,0.0,0.0
84bee29ffffffff,10.0,0.0,0.0
84bee2bffffffff,3.0,0.0,0.0
84bee2dffffffff,2.0,0.0,0.0
84bee31ffffffff,2.0,0.0,0.0
84bee33ffffffff,2.0,0.0,0.0
84bee35ffffffff,4.0,0.0,0.0
84bee37ffffffff,5.0,0.0,0.0
84bee3bffffffff,32.0,0.0,0.0
84bee3dffffffff,4.0,0.0,2.0
84bee51ffffffff,14.0,0.0,0.0
84bee53ffffffff,4.0,0.0,0.0
84bee55ffffffff,7.0,0.0,0.0
84bee57ffffffff,4.0,0.0,0.0
84bee59ffffffff,2.0,0.0,0.0
84bee5bffffffff,1.0,0.0,0.0
84bee61ffffffff,7.0,0.0,0.0
84bee67ffffffff,2.0,0.0,0.0
84bee83ffffffff,6.0,0.0,0.0
84bee85ffffffff,41.0,4.0,3.0
84bee8dffffffff,1.0,0.0,0.0
84bee93ffffffff,3.0,2.0,0.0
84beea7ffffffff,1.0,0.0,0.0
84beea9ffffffff,24.0,4.0,2.0
84beeabffffffff,30.0,10.0,2.0
84beeb1ffffffff,4.0,2.0,0.0
84beeb3ffffffff,2.0,0.0,0.0
84beebdffffffff,1.0,0.0,0.0
84beec3ffffffff,7.0,2.0,0.0
84beec5ffffffff,3.0,0.0,0.0
84beec9ffffffff,9.0,0.0,0.0
84beecdffffffff,15.0,0.0,3.0
84beed1ffffffff,4.0,0.0,0.0
84beed3ffffffff,3.0,0.0,0.0
84beed5ffffffff,3.0,2.0,0.0
84beee5ffffffff,3.0,0.0,0.0
84beee7ffffffff,5.0,0.0,0.0
84beee9ffffffff,5.0,0.0,0.0
84beeedffffffff,5.0,0.0,0.0
84bef01ffffffff,1.0,0.0,0.0
84bef03ffffffff,11.0,0.0,1.0
84bef05ffffffff,2.0,0.0,0.0
84bef07ffffffff,271.0,0.0,37.0
84bef13ffffffff,2.0,0.0,0.0
84bef15ffffffff,18.0,0.0,0.0
84bef17ffffffff,2.0,0.0,0.0
84bef1bffffffff,12.0,0.0,1.0
84bef1dffffffff,5.0,0.0,0.0
84bef21ffffffff,43.0,0.0,3.0
84bef23ffffffff,2.0,0.0,0.0
84bef25ffffffff,2.0,0.0,0.0
84bef27ffffffff,5.0,0.0,0.0
84bef2bffffffff,1.0,0.0,0.0
84bef3dffffffff,4.0,0.0,0.0
84bef51ffffffff,2.0,0.0,0.0
84bef53ffffffff,2.0,0.0,0.0
84bef63ffffffff,1.0,0.0,0.0
