cell_id,Dumetia hyperythra,Dumetia hyperythra hyperythra,Dumetia hyperythra albogularis/phillipsi
836081fffffffff,3.0,0.0,0.0
836082fffffffff,3.0,0.0,0.0
836084fffffffff,55.0,0.0,0.0
836086fffffffff,2.0,0.0,0.0
836088fffffffff,221.0,0.0,0.0
83608afffffffff,85.0,0.0,0.0
83608bfffffffff,665.0,0.0,0.0
83608cfffffffff,12.0,0.0,0.0
83608dfffffffff,26.0,0.0,0.0
836090fffffffff,58.0,0.0,0.0
836091fffffffff,25.0,0.0,0.0
836092fffffffff,189.0,0.0,0.0
836093fffffffff,50.0,0.0,0.0
836094fffffffff,23.0,0.0,0.0
836096fffffffff,102.0,0.0,0.0
836098fffffffff,6.0,0.0,0.0
836099fffffffff,31.0,0.0,0.0
83609afffffffff,11.0,0.0,0.0
83609bfffffffff,26.0,0.0,0.0
83609cfffffffff,6.0,0.0,0.0
83609efffffffff,123.0,0.0,0.0
8360a0fffffffff,6.0,0.0,0.0
8360a1fffffffff,59.0,0.0,0.0
8360a2fffffffff,459.0,0.0,0.0
8360a4fffffffff,9.0,0.0,0.0
8360a5fffffffff,6.0,0.0,0.0
8360a6fffffffff,292.0,0.0,0.0
8360a8fffffffff,32.0,0.0,0.0
8360a9fffffffff,309.0,0.0,0.0
8360abfffffffff,18.0,0.0,0.0
8360acfffffffff,1.0,0.0,0.0
8360adfffffffff,2.0,0.0,0.0
8360aefffffffff,15.0,0.0,0.0
8360b0fffffffff,3.0,0.0,0.0
8360b1fffffffff,163.0,0.0,0.0
8360b2fffffffff,17.0,0.0,0.0
8360b3fffffffff,7.0,0.0,0.0
8360b4fffffffff,32.0,0.0,0.0
8360b5fffffffff,21.0,0.0,0.0
8360b6fffffffff,2.0,0.0,0.0
836102fffffffff,212.0,0.0,0.0
836106fffffffff,67.0,0.0,0.0
836111fffffffff,210.0,0.0,0.0
836113fffffffff,1.0,0.0,0.0
836115fffffffff,17.0,0.0,0.0
83611cfffffffff,22.0,0.0,0.0
83611efffffffff,27.0,0.0,0.0
836188fffffffff,303.0,0.0,0.0
836189fffffffff,345.0,0.0,0.0
83618afffffffff,15.0,0.0,0.0
83618bfffffffff,249.0,0.0,0.0
83618cfffffffff,112.0,0.0,0.0
83618dfffffffff,82.0,0.0,0.0
836199fffffffff,1.0,0.0,0.0
83619afffffffff,17.0,0.0,0.0
83619bfffffffff,7.0,0.0,0.0
8361abfffffffff,1.0,0.0,0.0
