cell_id,Eupsittula nana,Eupsittula nana astec/vicinalis,Eupsittula nana nana
84452e3ffffffff,986.0,41.0,0.0
84452e5ffffffff,1902.0,140.0,0.0
84452e7ffffffff,411.0,16.0,0.0
84452e9ffffffff,107.0,4.0,0.0
84452ebffffffff,1478.0,195.0,0.0
84452edffffffff,46.0,2.0,0.0
8445303ffffffff,25.0,0.0,0.0
8445305ffffffff,8.0,0.0,0.0
8445307ffffffff,6.0,0.0,0.0
8445309ffffffff,34.0,0.0,0.0
844530dffffffff,11.0,0.0,0.0
8445315ffffffff,1.0,0.0,0.0
8445319ffffffff,73.0,0.0,0.0
844531dffffffff,2.0,0.0,0.0
8445321ffffffff,53.0,0.0,0.0
8445329ffffffff,2.0,0.0,0.0
844532bffffffff,114.0,0.0,0.0
8445343ffffffff,28.0,0.0,0.0
8445345ffffffff,7.0,0.0,0.0
8445347ffffffff,4.0,0.0,0.0
844534dffffffff,7.0,0.0,0.0
8445351ffffffff,66.0,0.0,0.0
8445353ffffffff,169.0,0.0,0.0
8445355ffffffff,18.0,0.0,0.0
8445357ffffffff,4.0,0.0,0.0
8445359ffffffff,1.0,0.0,0.0
844535dffffffff,14.0,0.0,0.0
8445363ffffffff,21.0,0.0,0.0
8445365ffffffff,131.0,0.0,0.0
8445367ffffffff,47.0,0.0,0.0
8445649ffffffff,35.0,2.0,0.0
84456dbffffffff,19.0,0.0,0.0
8445721ffffffff,716.0,191.0,0.0
8445723ffffffff,38.0,12.0,0.0
8445725ffffffff,173.0,15.0,0.0
8445727ffffffff,172.0,83.0,0.0
8445729ffffffff,4.0,0.0,0.0
844572dffffffff,26.0,0.0,0.0
8445745ffffffff,6.0,0.0,0.0
8445749ffffffff,364.0,0.0,0.0
844574dffffffff,44.0,0.0,0.0
8445761ffffffff,107.0,8.0,0.0
8445765ffffffff,25.0,1.0,0.0
8445767ffffffff,138.0,18.0,0.0
8445769ffffffff,14.0,0.0,0.0
844576dffffffff,2.0,0.0,0.0
8445b07ffffffff,22.0,0.0,2.0
8445b21ffffffff,226.0,0.0,19.0
8445b23ffffffff,144.0,0.0,29.0
8445b25ffffffff,29.0,0.0,0.0
8445b27ffffffff,272.0,0.0,60.0
8445b29ffffffff,274.0,0.0,0.0
8445b2bffffffff,79.0,0.0,4.0
8445b2dffffffff,129.0,0.0,18.0
8445b3dffffffff,5.0,0.0,0.0
8449901ffffffff,2.0,0.0,0.0
8449905ffffffff,6.0,4.0,0.0
8449907ffffffff,9.0,1.0,0.0
8449929ffffffff,19.0,0.0,0.0
844992bffffffff,23.0,4.0,0.0
8449931ffffffff,2.0,0.0,0.0
8449933ffffffff,1.0,1.0,0.0
844993bffffffff,1.0,1.0,0.0
844993dffffffff,8.0,0.0,0.0
8449961ffffffff,8.0,0.0,0.0
8449963ffffffff,6.0,6.0,0.0
8449965ffffffff,1310.0,164.0,0.0
8449967ffffffff,536.0,79.0,0.0
8449969ffffffff,12.0,1.0,0.0
844996dffffffff,39.0,5.0,0.0
8449983ffffffff,1.0,1.0,0.0
8449987ffffffff,8.0,4.0,0.0
844998dffffffff,4.0,0.0,0.0
84499bdffffffff,3.0,1.0,0.0
84499c5ffffffff,13.0,0.0,0.0
84499e3ffffffff,32.0,0.0,0.0
84499e7ffffffff,5.0,0.0,0.0
84499ebffffffff,14.0,0.0,0.0
844cd2dffffffff,25.0,0.0,2.0
844cd43ffffffff,6.0,0.0,0.0
844cd67ffffffff,1.0,0.0,0.0
844cf25ffffffff,2.0,0.0,0.0
8466a65ffffffff,90.0,14.0,0.0
8466a67ffffffff,2.0,0.0,0.0
8466b49ffffffff,76.0,0.0,0.0
8466b4bffffffff,7.0,0.0,0.0
8466b4dffffffff,6.0,0.0,0.0
8466b59ffffffff,219.0,10.0,0.0
8466b5bffffffff,73.0,4.0,0.0
8467253ffffffff,2.0,0.0,0.0
846725bffffffff,245.0,0.0,22.0
8467305ffffffff,243.0,0.0,70.0
8467325ffffffff,7.0,0.0,5.0
8467329ffffffff,251.0,0.0,73.0
846732dffffffff,10.0,0.0,6.0
8467363ffffffff,203.0,0.0,66.0
8467365ffffffff,60.0,0.0,11.0
8467367ffffffff,297.0,0.0,92.0
8467903ffffffff,2.0,0.0,0.0
8467909ffffffff,11.0,0.0,0.0
846790dffffffff,47.0,0.0,0.0
8467915ffffffff,1.0,0.0,0.0
8467921ffffffff,5.0,0.0,0.0
8467923ffffffff,6.0,0.0,0.0
8467929ffffffff,4.0,0.0,0.0
846792dffffffff,15.0,0.0,0.0
8467931ffffffff,2.0,0.0,0.0
8467933ffffffff,18.0,0.0,0.0
8467935ffffffff,1.0,0.0,0.0
8467937ffffffff,14.0,0.0,0.0
846793bffffffff,26.0,0.0,0.0
8467941ffffffff,5.0,0.0,0.0
8467945ffffffff,19.0,0.0,0.0
8467947ffffffff,7.0,0.0,0.0
8467949ffffffff,10.0,0.0,0.0
846794bffffffff,6.0,0.0,0.0
846794dffffffff,5.0,0.0,0.0
846795dffffffff,8.0,0.0,0.0
8467961ffffffff,52.0,0.0,0.0
8467963ffffffff,32.0,0.0,0.0
8467965ffffffff,2.0,0.0,0.0
8467967ffffffff,5.0,0.0,0.0
8467969ffffffff,17.0,0.0,0.0
846796bffffffff,33.0,0.0,0.0
84679a1ffffffff,468.0,0.0,0.0
84679a3ffffffff,72.0,0.0,0.0
84679a5ffffffff,2887.0,0.0,0.0
84679a7ffffffff,299.0,0.0,0.0
84679adffffffff,118.0,0.0,0.0
84679b3ffffffff,332.0,17.0,0.0
84679b5ffffffff,123.0,0.0,0.0
84679b7ffffffff,649.0,4.0,0.0
84679e5ffffffff,2.0,0.0,0.0
8467b27ffffffff,15.0,0.0,0.0
8467b2bffffffff,1.0,0.0,0.0
8467b37ffffffff,2.0,0.0,0.0
846d069ffffffff,1.0,1.0,0.0
846d201ffffffff,31.0,0.0,0.0
846d203ffffffff,67.0,2.0,0.0
846d205ffffffff,2.0,0.0,0.0
846d207ffffffff,19.0,0.0,0.0
846d209ffffffff,14.0,0.0,0.0
846d20bffffffff,34.0,0.0,0.0
846d20dffffffff,179.0,0.0,0.0
846d211ffffffff,5.0,5.0,0.0
846d219ffffffff,17.0,7.0,0.0
846d21bffffffff,25.0,10.0,0.0
846d21dffffffff,305.0,71.0,0.0
846d223ffffffff,10.0,4.0,0.0
846d225ffffffff,2.0,0.0,0.0
846d22bffffffff,33.0,4.0,0.0
846d23dffffffff,32.0,11.0,0.0
846d241ffffffff,9.0,0.0,0.0
846d243ffffffff,13.0,0.0,0.0
846d247ffffffff,13.0,0.0,0.0
846d24bffffffff,14.0,0.0,0.0
846d251ffffffff,79.0,27.0,0.0
846d253ffffffff,118.0,5.0,0.0
846d255ffffffff,79.0,7.0,0.0
846d257ffffffff,72.0,20.0,0.0
846d25bffffffff,5.0,0.0,0.0
846d25dffffffff,26.0,2.0,0.0
846d261ffffffff,2.0,0.0,0.0
846d263ffffffff,9.0,2.0,0.0
846d267ffffffff,5.0,0.0,0.0
846d26bffffffff,13.0,0.0,0.0
846d2c1ffffffff,74.0,47.0,0.0
846d2c3ffffffff,82.0,3.0,0.0
846d2c5ffffffff,7.0,2.0,0.0
846d2c7ffffffff,1.0,0.0,0.0
846d2c9ffffffff,499.0,116.0,0.0
846d2cbffffffff,142.0,54.0,0.0
846d2cdffffffff,2.0,0.0,0.0
846d2d1ffffffff,247.0,49.0,0.0
846d2d3ffffffff,14.0,6.0,0.0
846d2d5ffffffff,6.0,0.0,0.0
846d2d7ffffffff,80.0,29.0,0.0
846d2d9ffffffff,69.0,48.0,0.0
846d2dbffffffff,61.0,21.0,0.0
846d2ddffffffff,60.0,18.0,0.0
846d301ffffffff,2.0,0.0,0.0
846d303ffffffff,2.0,0.0,0.0
846d305ffffffff,3.0,0.0,0.0
846d309ffffffff,2.0,0.0,0.0
846d30bffffffff,6.0,3.0,0.0
846d30dffffffff,502.0,126.0,0.0
846d311ffffffff,27.0,1.0,0.0
846d319ffffffff,260.0,93.0,0.0
846d31bffffffff,70.0,3.0,0.0
846d341ffffffff,55.0,14.0,0.0
846d343ffffffff,8.0,0.0,0.0
846d345ffffffff,2.0,0.0,0.0
846d347ffffffff,21.0,0.0,0.0
846d34bffffffff,31.0,2.0,0.0
846d34dffffffff,165.0,2.0,0.0
846d35bffffffff,61.0,5.0,0.0
846d35dffffffff,125.0,17.0,0.0
846d369ffffffff,2.0,0.0,0.0
846d36bffffffff,4.0,0.0,0.0
846d36dffffffff,5.0,0.0,0.0
846d641ffffffff,5.0,0.0,0.0
846d645ffffffff,187.0,0.0,0.0
846d64bffffffff,4.0,0.0,0.0
846d64dffffffff,22.0,0.0,0.0
846d651ffffffff,13.0,0.0,0.0
846d653ffffffff,22.0,0.0,0.0
846d659ffffffff,1.0,0.0,0.0
846d65dffffffff,8.0,0.0,0.0
846d681ffffffff,82.0,0.0,0.0
846d683ffffffff,17.0,0.0,0.0
846d685ffffffff,2.0,0.0,0.0
846d689ffffffff,265.0,0.0,0.0
846d68bffffffff,2395.0,0.0,0.0
846d68dffffffff,5.0,0.0,0.0
846d691ffffffff,18.0,0.0,0.0
846d699ffffffff,727.0,0.0,0.0
846d69bffffffff,396.0,0.0,0.0
846d69dffffffff,432.0,0.0,0.0
846d6c3ffffffff,17.0,0.0,0.0
846d6c9ffffffff,8.0,0.0,0.0
846d6cbffffffff,4.0,0.0,0.0
846d6d1ffffffff,75.0,0.0,0.0
846d6d3ffffffff,407.0,0.0,0.0
846d6d5ffffffff,941.0,0.0,0.0
846d6d7ffffffff,69.0,0.0,0.0
846d6dbffffffff,8.0,0.0,0.0
846d6ddffffffff,9.0,0.0,0.0
