cell_id,Setophaga palmarum,Setophaga palmarum palmarum,Setophaga palmarum hypochrysea
83291efffffffff,15.0,0.0,0.0
832981fffffffff,9.0,0.0,0.0
832984fffffffff,7.0,0.0,0.0
832985fffffffff,19.0,6.0,0.0
832986fffffffff,15.0,3.0,0.0
832989fffffffff,6.0,3.0,0.0
83298cfffffffff,44.0,8.0,0.0
832995fffffffff,1.0,1.0,0.0
83299afffffffff,3.0,3.0,0.0
8329a0fffffffff,79.0,6.0,0.0
8329a1fffffffff,250.0,80.0,0.0
8329a3fffffffff,30.0,9.0,0.0
8329a4fffffffff,333.0,56.0,20.0
8329a5fffffffff,411.0,68.0,0.0
8329a6fffffffff,18.0,4.0,0.0
8329a8fffffffff,5.0,4.0,0.0
8329aafffffffff,1.0,1.0,0.0
8329acfffffffff,6.0,4.0,0.0
8329adfffffffff,151.0,49.0,0.0
8329aefffffffff,6.0,5.0,0.0
8329b1fffffffff,3.0,0.0,0.0
8329b2fffffffff,7.0,0.0,0.0
8329b5fffffffff,3.0,3.0,0.0
8329b6fffffffff,19.0,3.0,0.0
832a06fffffffff,21.0,8.0,0.0
832a10fffffffff,710.0,218.0,131.0
832a12fffffffff,491.0,20.0,60.0
832a13fffffffff,862.0,57.0,65.0
832a14fffffffff,109.0,15.0,14.0
832a15fffffffff,61.0,32.0,4.0
832a16fffffffff,43.0,4.0,5.0
832a1afffffffff,19.0,10.0,5.0
832a1efffffffff,10.0,0.0,10.0
832a30fffffffff,280.0,30.0,82.0
832a31fffffffff,218.0,101.0,57.0
832a32fffffffff,177.0,32.0,75.0
832a33fffffffff,143.0,30.0,35.0
832a34fffffffff,78.0,19.0,11.0
832a36fffffffff,46.0,9.0,9.0
832a4cfffffffff,15.0,15.0,0.0
832a80fffffffff,13.0,1.0,7.0
832a81fffffffff,26.0,6.0,6.0
832a82fffffffff,8.0,2.0,0.0
832a84fffffffff,33.0,10.0,7.0
832a85fffffffff,78.0,17.0,42.0
832a86fffffffff,8.0,0.0,0.0
832a88fffffffff,20.0,7.0,0.0
832a89fffffffff,44.0,0.0,7.0
832a8afffffffff,84.0,22.0,2.0
832a8bfffffffff,10.0,0.0,2.0
832a8cfffffffff,76.0,25.0,14.0
832a8dfffffffff,89.0,29.0,10.0
832a8efffffffff,37.0,3.0,5.0
832a90fffffffff,8.0,3.0,0.0
832a91fffffffff,3.0,2.0,0.0
832a92fffffffff,1.0,0.0,0.0
832a93fffffffff,26.0,3.0,0.0
832a94fffffffff,9.0,0.0,3.0
832a95fffffffff,48.0,13.0,10.0
832a96fffffffff,2.0,0.0,0.0
832a99fffffffff,21.0,5.0,3.0
832a9afffffffff,18.0,7.0,2.0
832a9bfffffffff,13.0,5.0,0.0
832a9cfffffffff,11.0,0.0,0.0
832a9dfffffffff,3.0,0.0,0.0
832a9efffffffff,5.0,3.0,0.0
832aa0fffffffff,5.0,5.0,0.0
832aa1fffffffff,91.0,58.0,15.0
832aa3fffffffff,44.0,28.0,5.0
832aa4fffffffff,145.0,30.0,72.0
832aa5fffffffff,11.0,3.0,2.0
832aa6fffffffff,35.0,0.0,5.0
832aa8fffffffff,444.0,125.0,174.0
832aa9fffffffff,321.0,141.0,98.0
832aaafffffffff,133.0,7.0,26.0
832aabfffffffff,55.0,8.0,6.0
832aacfffffffff,1357.0,82.0,221.0
832aadfffffffff,237.0,36.0,33.0
832aaefffffffff,72.0,29.0,23.0
832ab0fffffffff,53.0,13.0,8.0
832ab1fffffffff,2.0,0.0,0.0
832ab2fffffffff,252.0,88.0,16.0
832ab3fffffffff,37.0,4.0,6.0
832ab4fffffffff,53.0,10.0,4.0
832ab5fffffffff,133.0,57.0,12.0
832ab6fffffffff,30.0,1.0,0.0
832ac6fffffffff,10.0,0.0,0.0
832ad3fffffffff,2.0,0.0,0.0
832ad4fffffffff,4.0,0.0,3.0
832ad5fffffffff,4.0,0.0,0.0
832ad6fffffffff,55.0,2.0,23.0
832af0fffffffff,18.0,2.0,4.0
832af1fffffffff,4.0,1.0,0.0
832af2fffffffff,7.0,0.0,5.0
832af4fffffffff,2.0,2.0,0.0
832af6fffffffff,101.0,22.0,27.0
