cell_id,Formicarius analis,Formicarius analis [hoffmanni Group],Formicarius analis [analis Group]
8366b4fffffffff,382.0,0.0,0.0
8366b5fffffffff,1552.0,1.0,0.0
8366b6fffffffff,3.0,0.0,0.0
8366c2fffffffff,7.0,0.0,0.0
8366cefffffffff,9.0,0.0,0.0
8366d1fffffffff,9.0,0.0,0.0
8366d8fffffffff,17.0,0.0,2.0
8366dafffffffff,12.0,0.0,0.0
8366dbfffffffff,13.0,0.0,1.0
8366dcfffffffff,117.0,0.0,21.0
8366ddfffffffff,13.0,0.0,7.0
8366defffffffff,59.0,0.0,4.0
8366e3fffffffff,2.0,0.0,0.0
8366e4fffffffff,5.0,0.0,0.0
8366e5fffffffff,5.0,0.0,0.0
8366eefffffffff,4.0,0.0,0.0
836741fffffffff,13.0,0.0,0.0
836742fffffffff,91.0,0.0,0.0
836743fffffffff,452.0,0.0,10.0
83674cfffffffff,28.0,0.0,0.0
83674dfffffffff,1.0,0.0,0.0
83674efffffffff,35.0,0.0,0.0
836751fffffffff,152.0,0.0,0.0
836753fffffffff,8.0,0.0,0.0
83675afffffffff,12.0,0.0,0.0
83675cfffffffff,91.0,0.0,0.0
83675efffffffff,86.0,0.0,1.0
836790fffffffff,15.0,0.0,0.0
836792fffffffff,8.0,0.0,0.0
836794fffffffff,8.0,0.0,0.0
836796fffffffff,109.0,0.0,0.0
83679afffffffff,201.0,0.0,0.0
83679bfffffffff,154.0,0.0,0.0
836d64fffffffff,3.0,0.0,0.0
836d65fffffffff,670.0,0.0,0.0
836d68fffffffff,164.0,0.0,0.0
836d69fffffffff,2291.0,0.0,0.0
836d6dfffffffff,108.0,0.0,0.0
838044fffffffff,6.0,0.0,0.0
838046fffffffff,8.0,0.0,0.0
838061fffffffff,17.0,0.0,0.0
838065fffffffff,57.0,0.0,0.0
838066fffffffff,4.0,0.0,0.0
838071fffffffff,11.0,0.0,0.0
838072fffffffff,3.0,0.0,0.0
838074fffffffff,11.0,0.0,1.0
838075fffffffff,13.0,0.0,0.0
838140fffffffff,2.0,0.0,0.0
83814afffffffff,64.0,0.0,0.0
83814dfffffffff,33.0,0.0,0.0
83814efffffffff,26.0,0.0,0.0
838159fffffffff,12.0,0.0,0.0
83815afffffffff,9.0,0.0,0.0
838a10fffffffff,2.0,0.0,0.0
838a15fffffffff,10.0,0.0,0.0
838a63fffffffff,2.0,0.0,0.0
838a68fffffffff,2.0,0.0,0.0
838a69fffffffff,16.0,0.0,0.0
838a6dfffffffff,17.0,0.0,0.0
838a70fffffffff,7.0,0.0,0.0
838a80fffffffff,15.0,0.0,0.0
838a82fffffffff,2.0,0.0,0.0
838a83fffffffff,1.0,0.0,0.0
838a85fffffffff,2.0,0.0,0.0
838a92fffffffff,2.0,0.0,0.0
838a9cfffffffff,30.0,0.0,0.0
838aaafffffffff,1.0,0.0,0.0
838af0fffffffff,2.0,0.0,2.0
838af2fffffffff,2.0,0.0,0.0
838af6fffffffff,220.0,0.0,12.0
838b05fffffffff,2.0,0.0,0.0
838b21fffffffff,14.0,0.0,0.0
838b22fffffffff,14.0,0.0,0.0
838b23fffffffff,2.0,0.0,0.0
838b2bfffffffff,5.0,0.0,0.0
838b2cfffffffff,18.0,0.0,0.0
838b2efffffffff,13.0,0.0,0.0
838b40fffffffff,178.0,0.0,1.0
838b42fffffffff,13.0,0.0,0.0
838b44fffffffff,581.0,0.0,3.0
838b45fffffffff,24.0,0.0,0.0
838b46fffffffff,28.0,0.0,0.0
838b48fffffffff,1.0,0.0,1.0
838b4efffffffff,22.0,0.0,0.0
838b50fffffffff,4.0,0.0,0.0
838b51fffffffff,4.0,0.0,0.0
838b52fffffffff,16.0,0.0,0.0
838b56fffffffff,9.0,0.0,0.0
838b5cfffffffff,25.0,0.0,0.0
838b5dfffffffff,3.0,0.0,0.0
838b60fffffffff,2.0,0.0,0.0
838b61fffffffff,427.0,0.0,10.0
838b62fffffffff,81.0,0.0,4.0
838b63fffffffff,460.0,0.0,6.0
838b68fffffffff,9.0,0.0,0.0
838b69fffffffff,43.0,0.0,0.0
838b6cfffffffff,11.0,0.0,0.0
838b6dfffffffff,3.0,0.0,0.0
838b6efffffffff,189.0,0.0,0.0
838b71fffffffff,1149.0,0.0,2.0
838b74fffffffff,70.0,0.0,4.0
838b75fffffffff,77.0,0.0,3.0
838b76fffffffff,7.0,0.0,0.0
838b99fffffffff,3.0,0.0,0.0
838b9dfffffffff,2.0,0.0,0.0
838e64fffffffff,55.0,0.0,0.0
838e65fffffffff,7.0,0.0,0.0
838e6cfffffffff,2.0,0.0,0.0
838f40fffffffff,99.0,0.0,0.0
838f41fffffffff,2.0,0.0,0.0
838f42fffffffff,2.0,0.0,0.0
838f43fffffffff,2.0,0.0,0.0
838f46fffffffff,27.0,0.0,0.0
838f48fffffffff,38.0,0.0,0.0
838f4afffffffff,16.0,0.0,0.0
838f4bfffffffff,3.0,0.0,0.0
838f4efffffffff,4.0,0.0,0.0
838f5dfffffffff,3.0,0.0,0.0
838f61fffffffff,13.0,0.0,0.0
838f6bfffffffff,23.0,0.0,9.0
838f6efffffffff,2.0,0.0,0.0
838f71fffffffff,2.0,0.0,0.0
838f72fffffffff,68.0,0.0,15.0
838f73fffffffff,5.0,0.0,0.0
838f74fffffffff,6.0,0.0,0.0
838f76fffffffff,9.0,0.0,0.0
