cell_id,Vireolanius leucotis,Vireolanius leucotis mikettae,Vireolanius leucotis [leucotis Group]
848b639ffffffff,2.0,0.0,0.0
848b63bffffffff,4.0,0.0,0.0
848b691ffffffff,3.0,0.0,0.0
848b693ffffffff,14.0,0.0,0.0
848b69bffffffff,10.0,0.0,0.0
848b6bbffffffff,2.0,0.0,0.0
848b6c5ffffffff,6.0,0.0,0.0
848b6cbffffffff,2.0,0.0,0.0
848b6e5ffffffff,2.0,0.0,0.0
848b6e7ffffffff,22.0,0.0,0.0
848b6edffffffff,4.0,0.0,0.0
848b709ffffffff,47.0,0.0,0.0
848b713ffffffff,3.0,0.0,0.0
848b71bffffffff,2.0,0.0,0.0
848b743ffffffff,1.0,0.0,0.0
848b747ffffffff,2.0,0.0,0.0
848b751ffffffff,5.0,0.0,0.0
848b759ffffffff,5.0,0.0,0.0
848b75bffffffff,2.0,0.0,0.0
848b763ffffffff,1.0,0.0,0.0
848b839ffffffff,3.0,0.0,0.0
848b849ffffffff,20.0,0.0,0.0
848b881ffffffff,4.0,0.0,0.0
848b88dffffffff,1.0,0.0,0.0
848b8a1ffffffff,1.0,0.0,0.0
848b8a5ffffffff,2.0,0.0,0.0
848b999ffffffff,1.0,0.0,0.0
848b9d1ffffffff,7.0,0.0,0.0
848b9d5ffffffff,159.0,0.0,0.0
848b9d7ffffffff,4.0,0.0,0.0
848bb59ffffffff,2.0,0.0,0.0
848e649ffffffff,30.0,0.0,0.0
848e64bffffffff,1.0,0.0,0.0
848e659ffffffff,2.0,0.0,0.0
848e65bffffffff,1.0,0.0,0.0
848e6c9ffffffff,2.0,0.0,0.0
848f2c3ffffffff,5.0,0.0,0.0
848f2cbffffffff,19.0,0.0,0.0
848f401ffffffff,119.0,0.0,0.0
848f429ffffffff,7.0,0.0,0.0
848f42dffffffff,5.0,0.0,0.0
848f439ffffffff,57.0,0.0,1.0
848f461ffffffff,5.0,0.0,0.0
848f463ffffffff,58.0,0.0,0.0
848f465ffffffff,3.0,0.0,0.0
848f467ffffffff,2.0,0.0,0.0
848f4a5ffffffff,5.0,0.0,0.0
848f4b3ffffffff,8.0,0.0,0.0
848f4c7ffffffff,4.0,0.0,0.0
848f5d3ffffffff,1.0,0.0,0.0
848f5d9ffffffff,1.0,0.0,0.0
848f5ddffffffff,2.0,0.0,0.0
848f6b5ffffffff,4.0,0.0,0.0
848f705ffffffff,4.0,0.0,0.0
848f70dffffffff,1.0,0.0,0.0
848f729ffffffff,28.0,0.0,0.0
848f72bffffffff,171.0,0.0,24.0
848f733ffffffff,8.0,0.0,1.0
848f741ffffffff,1.0,0.0,0.0
848f745ffffffff,4.0,0.0,0.0
848f74dffffffff,3.0,0.0,0.0
848f763ffffffff,9.0,0.0,0.0
848f76bffffffff,1.0,0.0,0.0
84b324bffffffff,18.0,0.0,0.0
84b3259ffffffff,2.0,0.0,0.0
