cell_id,Zimmerius chrysops,Zimmerius chrysops minimus/cumanensis,Zimmerius chrysops chrysops
84661d3ffffffff,3.0,0.0,0.0
84661d5ffffffff,169.0,0.0,0.0
84661d7ffffffff,75.0,0.0,0.0
84661d9ffffffff,11.0,0.0,0.0
84661ddffffffff,40.0,0.0,0.0
84661ebffffffff,34.0,0.0,0.0
8466203ffffffff,1.0,0.0,0.0
8466205ffffffff,9.0,5.0,0.0
8466207ffffffff,5.0,3.0,0.0
8466211ffffffff,19.0,0.0,0.0
8466213ffffffff,17.0,0.0,0.0
8466217ffffffff,35.0,0.0,0.0
846622bffffffff,706.0,382.0,0.0
846623dffffffff,6.0,2.0,0.0
8466291ffffffff,12.0,0.0,0.0
8466293ffffffff,7.0,0.0,0.0
8466295ffffffff,9.0,0.0,0.0
8466299ffffffff,7.0,0.0,0.0
846629bffffffff,5.0,0.0,0.0
846629dffffffff,41.0,0.0,1.0
84662b5ffffffff,1.0,0.0,0.0
84662b7ffffffff,73.0,0.0,0.0
84662d3ffffffff,5.0,0.0,0.0
84662dbffffffff,2.0,0.0,0.0
84662e1ffffffff,4.0,0.0,0.0
84662e5ffffffff,40.0,0.0,0.0
84662e9ffffffff,10.0,0.0,0.0
846656dffffffff,19.0,0.0,0.0
846670dffffffff,6.0,0.0,0.0
8466c0dffffffff,565.0,0.0,6.0
8466c21ffffffff,246.0,0.0,0.0
8466c25ffffffff,24.0,0.0,0.0
8466c27ffffffff,13.0,0.0,0.0
8466c29ffffffff,164.0,0.0,0.0
8466c2dffffffff,120.0,0.0,0.0
8466c45ffffffff,54.0,0.0,0.0
8466c47ffffffff,80.0,0.0,0.0
8466c49ffffffff,6.0,0.0,0.0
8466c4bffffffff,15.0,0.0,0.0
8466c4dffffffff,54.0,0.0,0.0
8466c61ffffffff,58.0,0.0,0.0
8466c63ffffffff,943.0,0.0,38.0
8466c65ffffffff,38.0,0.0,0.0
8466c67ffffffff,186.0,0.0,0.0
8466c69ffffffff,34.0,0.0,0.0
8466c6bffffffff,167.0,0.0,0.0
8466c6dffffffff,1122.0,0.0,9.0
8466d0bffffffff,427.0,0.0,33.0
8466d0dffffffff,10.0,0.0,0.0
8466d11ffffffff,6.0,0.0,4.0
8466d13ffffffff,6.0,0.0,0.0
8466d19ffffffff,16.0,0.0,0.0
8466d1bffffffff,192.0,0.0,0.0
8466d1dffffffff,5.0,0.0,0.0
8466d49ffffffff,7.0,0.0,0.0
8466d51ffffffff,14.0,0.0,0.0
8466d53ffffffff,34.0,0.0,0.0
8466d55ffffffff,8.0,0.0,0.0
8466d57ffffffff,19.0,0.0,0.0
8466d59ffffffff,5.0,0.0,0.0
8466d5bffffffff,20.0,0.0,0.0
8466d81ffffffff,6.0,0.0,0.0
8466d89ffffffff,2.0,0.0,0.0
8466da1ffffffff,4.0,0.0,0.0
8466da3ffffffff,3.0,0.0,0.0
8466da7ffffffff,53.0,0.0,7.0
8466da9ffffffff,3.0,0.0,0.0
8466dadffffffff,177.0,0.0,26.0
8466dc3ffffffff,128.0,0.0,14.0
8466dc7ffffffff,2.0,0.0,0.0
8466dd5ffffffff,18.0,0.0,4.0
8466dddffffffff,4.0,0.0,0.0
8466de1ffffffff,2852.0,0.0,484.0
8466de3ffffffff,46.0,0.0,8.0
8466de7ffffffff,30.0,0.0,0.0
8466de9ffffffff,26.0,0.0,1.0
8466debffffffff,60.0,0.0,15.0
8466dedffffffff,88.0,0.0,4.0
8466e01ffffffff,19.0,0.0,0.0
8466e03ffffffff,106.0,0.0,0.0
8466e05ffffffff,5.0,0.0,2.0
8466e07ffffffff,22.0,0.0,4.0
8466e09ffffffff,183.0,0.0,0.0
8466e0bffffffff,447.0,0.0,26.0
8466e0dffffffff,367.0,0.0,6.0
8466e15ffffffff,12.0,0.0,0.0
8466e25ffffffff,2.0,0.0,0.0
8466e27ffffffff,32.0,0.0,3.0
8466e29ffffffff,3.0,0.0,0.0
8466e2bffffffff,1.0,0.0,0.0
8466e2dffffffff,135.0,0.0,0.0
8466e35ffffffff,2.0,0.0,0.0
8466e39ffffffff,24.0,0.0,0.0
8466e3bffffffff,21.0,0.0,0.0
8466e3dffffffff,23.0,0.0,0.0
8466e41ffffffff,479.0,0.0,23.0
8466e43ffffffff,8.0,0.0,0.0
8466e45ffffffff,129.0,0.0,0.0
8466e47ffffffff,585.0,0.0,17.0
8466e49ffffffff,88.0,0.0,0.0
8466e4bffffffff,5.0,0.0,0.0
8466e4dffffffff,26.0,0.0,0.0
8466e51ffffffff,84.0,0.0,0.0
8466e55ffffffff,102.0,0.0,0.0
8466e57ffffffff,483.0,0.0,0.0
8466e59ffffffff,524.0,0.0,15.0
8466e5dffffffff,88.0,0.0,0.0
8466e61ffffffff,50.0,0.0,0.0
8466e63ffffffff,113.0,0.0,0.0
8466e65ffffffff,4507.0,0.0,183.0
8466e67ffffffff,624.0,0.0,13.0
8466e69ffffffff,958.0,0.0,4.0
8466e6bffffffff,75.0,0.0,0.0
8466e6dffffffff,9043.0,0.0,250.0
8466f01ffffffff,4.0,0.0,0.0
8466f03ffffffff,497.0,0.0,8.0
8466f0bffffffff,152.0,0.0,1.0
8466f11ffffffff,69.0,0.0,0.0
8466f13ffffffff,5.0,0.0,0.0
8466f15ffffffff,324.0,0.0,10.0
8466f17ffffffff,93.0,0.0,0.0
8466f19ffffffff,514.0,0.0,0.0
8466f1bffffffff,17.0,0.0,0.0
8466f1dffffffff,4606.0,0.0,123.0
8466f33ffffffff,13.0,0.0,0.0
8466f37ffffffff,1.0,0.0,0.0
8466f3bffffffff,4.0,0.0,0.0
8466f51ffffffff,86.0,0.0,0.0
8466f53ffffffff,445.0,0.0,0.0
8466f57ffffffff,1461.0,0.0,30.0
8466f59ffffffff,839.0,0.0,2.0
8466f5bffffffff,707.0,0.0,9.0
8466f5dffffffff,37.0,0.0,0.0
8467531ffffffff,2.0,0.0,0.0
84675a5ffffffff,49.0,0.0,4.0
84675a9ffffffff,5.0,0.0,0.0
84675abffffffff,4.0,0.0,0.0
84675adffffffff,10.0,0.0,0.0
84675c7ffffffff,13.0,0.0,0.0
84675e3ffffffff,26.0,0.0,0.0
84675e7ffffffff,10.0,0.0,0.0
84675ebffffffff,74.0,0.0,2.0
848f29bffffffff,10.0,0.0,0.0
848f705ffffffff,110.0,0.0,17.0
848f70dffffffff,8.0,0.0,0.0
848f721ffffffff,102.0,0.0,20.0
848f729ffffffff,209.0,0.0,39.0
848f72bffffffff,88.0,0.0,18.0
848f745ffffffff,88.0,0.0,6.0
848f74bffffffff,7.0,0.0,0.0
848f74dffffffff,45.0,0.0,0.0
848f763ffffffff,33.0,0.0,7.0
848f767ffffffff,2.0,0.0,0.0
848f76bffffffff,139.0,0.0,0.0
