cell_id,Chalybura buffonii,Chalybura buffonii [buffonii Group],Chalybura buffonii caeruleogaster,Chalybura buffonii intermedia
8466165ffffffff,32.0,8.0,0.0,0.0
8466167ffffffff,49.0,4.0,0.0,0.0
8466183ffffffff,81.0,5.0,0.0,0.0
8466185ffffffff,2.0,0.0,0.0,0.0
8466189ffffffff,5.0,0.0,0.0,0.0
846618bffffffff,3.0,0.0,0.0,0.0
8466191ffffffff,58.0,2.0,0.0,0.0
8466193ffffffff,524.0,17.0,0.0,0.0
8466195ffffffff,14.0,0.0,0.0,0.0
8466197ffffffff,72.0,0.0,0.0,0.0
8466199ffffffff,26.0,0.0,0.0,0.0
846619bffffffff,330.0,13.0,0.0,0.0
846619dffffffff,18.0,4.0,0.0,0.0
84661a5ffffffff,12.0,0.0,0.0,0.0
84661a7ffffffff,7.0,0.0,0.0,0.0
84661adffffffff,1.0,0.0,0.0,0.0
84661b1ffffffff,6.0,0.0,0.0,0.0
84661b3ffffffff,223.0,3.0,0.0,0.0
84661b7ffffffff,2.0,0.0,0.0,0.0
84661b9ffffffff,63.0,0.0,0.0,0.0
84661bbffffffff,32.0,0.0,0.0,0.0
84661bdffffffff,1.0,0.0,0.0,0.0
84661c3ffffffff,15.0,0.0,0.0,0.0
84661c5ffffffff,3.0,0.0,0.0,0.0
84661cdffffffff,2.0,0.0,0.0,0.0
84661d1ffffffff,8.0,6.0,0.0,0.0
84661d5ffffffff,10.0,0.0,0.0,0.0
84661d7ffffffff,1.0,0.0,0.0,0.0
84661ddffffffff,5.0,0.0,0.0,0.0
84661e9ffffffff,1.0,0.0,0.0,0.0
84661ebffffffff,15.0,0.0,0.0,0.0
8466201ffffffff,53.0,2.0,0.0,0.0
8466203ffffffff,3.0,0.0,0.0,0.0
8466205ffffffff,111.0,1.0,0.0,0.0
8466207ffffffff,25.0,4.0,0.0,0.0
8466211ffffffff,8.0,0.0,0.0,0.0
8466213ffffffff,17.0,0.0,0.0,0.0
8466217ffffffff,153.0,0.0,0.0,0.0
8466219ffffffff,8.0,0.0,0.0,0.0
8466221ffffffff,5.0,0.0,0.0,0.0
8466227ffffffff,2.0,0.0,0.0,0.0
846622bffffffff,1989.0,155.0,0.0,0.0
8466231ffffffff,2.0,0.0,0.0,0.0
846623dffffffff,11.0,0.0,0.0,0.0
8466291ffffffff,4.0,0.0,0.0,0.0
8466293ffffffff,4.0,0.0,0.0,0.0
8466295ffffffff,2.0,0.0,0.0,0.0
846629bffffffff,9.0,0.0,0.0,0.0
846629dffffffff,9.0,0.0,0.0,0.0
84662b5ffffffff,5.0,0.0,0.0,0.0
84662b7ffffffff,37.0,0.0,0.0,0.0
84662bbffffffff,1.0,0.0,0.0,0.0
84662cdffffffff,1.0,0.0,0.0,0.0
84662d3ffffffff,7.0,0.0,0.0,0.0
84662d7ffffffff,2.0,0.0,0.0,0.0
84662dbffffffff,6.0,0.0,0.0,0.0
84662e1ffffffff,10.0,0.0,0.0,0.0
84662e5ffffffff,36.0,0.0,0.0,0.0
84662e9ffffffff,32.0,0.0,0.0,0.0
84662edffffffff,6.0,0.0,0.0,0.0
8466313ffffffff,8.0,0.0,0.0,0.0
8466561ffffffff,5.0,0.0,0.0,0.0
8466565ffffffff,4.0,0.0,0.0,0.0
846656dffffffff,97.0,0.0,4.0,0.0
8466635ffffffff,2.0,0.0,0.0,0.0
8466725ffffffff,2.0,0.0,0.0,0.0
8466a01ffffffff,4.0,0.0,0.0,0.0
8466a0bffffffff,741.0,38.0,0.0,0.0
8466a1dffffffff,4.0,0.0,0.0,0.0
8466a51ffffffff,2419.0,103.0,0.0,0.0
8466a53ffffffff,3.0,0.0,0.0,0.0
8466a55ffffffff,8.0,0.0,0.0,0.0
8466a57ffffffff,221.0,14.0,0.0,0.0
8466a59ffffffff,24.0,0.0,0.0,0.0
8466a5bffffffff,391.0,0.0,0.0,0.0
8466a5dffffffff,18.0,0.0,0.0,0.0
8466c0dffffffff,50.0,0.0,0.0,0.0
8466c41ffffffff,155.0,0.0,0.0,0.0
8466c45ffffffff,77.0,2.0,0.0,0.0
8466c47ffffffff,128.0,0.0,0.0,0.0
8466c49ffffffff,98.0,0.0,0.0,0.0
8466c4bffffffff,2.0,0.0,0.0,0.0
8466c4dffffffff,61.0,0.0,0.0,0.0
8466c61ffffffff,7.0,0.0,0.0,0.0
8466c63ffffffff,492.0,28.0,0.0,0.0
8466c69ffffffff,22.0,0.0,0.0,0.0
8466c6bffffffff,14.0,0.0,0.0,0.0
8466c6dffffffff,8.0,0.0,0.0,0.0
8466d51ffffffff,14.0,0.0,0.0,0.0
8466d53ffffffff,4.0,0.0,0.0,0.0
8466d59ffffffff,1.0,0.0,0.0,0.0
8466d5bffffffff,5.0,0.0,0.0,0.0
8466e01ffffffff,12.0,0.0,0.0,0.0
8466e03ffffffff,57.0,0.0,11.0,0.0
8466e05ffffffff,21.0,0.0,0.0,0.0
8466e07ffffffff,2.0,0.0,0.0,0.0
8466e09ffffffff,22.0,0.0,0.0,0.0
8466e0bffffffff,179.0,0.0,36.0,0.0
8466e0dffffffff,544.0,2.0,0.0,0.0
8466e15ffffffff,26.0,0.0,14.0,0.0
8466e1dffffffff,2.0,0.0,0.0,0.0
8466e21ffffffff,2.0,0.0,0.0,0.0
8466e23ffffffff,27.0,0.0,0.0,0.0
8466e25ffffffff,2.0,0.0,0.0,0.0
8466e27ffffffff,40.0,0.0,0.0,0.0
8466e29ffffffff,30.0,0.0,0.0,0.0
8466e2bffffffff,71.0,0.0,0.0,0.0
8466e2dffffffff,62.0,2.0,0.0,0.0
8466e35ffffffff,3.0,0.0,0.0,0.0
8466e39ffffffff,14.0,0.0,2.0,0.0
8466e3bffffffff,22.0,0.0,18.0,0.0
8466e3dffffffff,4.0,0.0,0.0,0.0
8466e41ffffffff,1056.0,24.0,0.0,0.0
8466e43ffffffff,6.0,0.0,0.0,0.0
8466e45ffffffff,156.0,0.0,0.0,0.0
8466e47ffffffff,556.0,1.0,0.0,0.0
8466e49ffffffff,94.0,0.0,0.0,0.0
8466e4dffffffff,13.0,0.0,0.0,0.0
8466e51ffffffff,94.0,0.0,15.0,0.0
8466e53ffffffff,4.0,0.0,0.0,0.0
8466e55ffffffff,5.0,0.0,0.0,0.0
8466e57ffffffff,494.0,0.0,82.0,0.0
8466e59ffffffff,312.0,0.0,54.0,0.0
8466e5bffffffff,1.0,0.0,0.0,0.0
8466e5dffffffff,14.0,0.0,0.0,0.0
8466e61ffffffff,26.0,0.0,0.0,0.0
8466e63ffffffff,372.0,4.0,0.0,0.0
8466e65ffffffff,495.0,0.0,0.0,0.0
8466e67ffffffff,969.0,2.0,0.0,0.0
8466e69ffffffff,401.0,2.0,0.0,0.0
8466e6bffffffff,45.0,0.0,0.0,0.0
8466e6dffffffff,2114.0,15.0,0.0,0.0
8466ecbffffffff,2.0,0.0,0.0,0.0
8466f01ffffffff,11.0,0.0,0.0,0.0
8466f03ffffffff,20.0,0.0,0.0,0.0
8466f0bffffffff,10.0,0.0,0.0,0.0
8466f13ffffffff,3.0,0.0,0.0,0.0
8466f15ffffffff,4.0,0.0,0.0,0.0
8466f17ffffffff,4.0,0.0,0.0,0.0
8466f19ffffffff,49.0,0.0,0.0,0.0
8466f1bffffffff,3.0,0.0,0.0,0.0
8466f1dffffffff,70.0,0.0,0.0,0.0
8466f51ffffffff,10.0,0.0,0.0,0.0
8466f53ffffffff,70.0,0.0,0.0,0.0
8466f57ffffffff,254.0,5.0,0.0,0.0
8466f59ffffffff,31.0,0.0,0.0,0.0
8466f5bffffffff,44.0,6.0,0.0,0.0
8466f5dffffffff,9.0,0.0,0.0,0.0
8467413ffffffff,274.0,7.0,0.0,0.0
8467417ffffffff,10.0,0.0,0.0,0.0
8467425ffffffff,334.0,0.0,0.0,0.0
8467427ffffffff,6.0,0.0,0.0,0.0
8467431ffffffff,2.0,0.0,0.0,0.0
8467433ffffffff,70.0,0.0,0.0,0.0
8467437ffffffff,186.0,5.0,0.0,0.0
846743bffffffff,88.0,0.0,0.0,0.0
846743dffffffff,5.0,0.0,0.0,0.0
84674c1ffffffff,4.0,0.0,0.0,0.0
84674c5ffffffff,410.0,9.0,0.0,0.0
84674c7ffffffff,19.0,0.0,0.0,0.0
84674c9ffffffff,4.0,0.0,0.0,0.0
84674cdffffffff,96.0,3.0,0.0,0.0
84674e1ffffffff,31.0,0.0,0.0,0.0
84674e5ffffffff,6.0,0.0,0.0,0.0
84674e9ffffffff,48.0,0.0,0.0,0.0
84674ebffffffff,7.0,0.0,0.0,0.0
84674edffffffff,164.0,1.0,0.0,0.0
8467519ffffffff,85.0,0.0,0.0,0.0
8467523ffffffff,2.0,0.0,0.0,0.0
8467531ffffffff,6.0,0.0,0.0,0.0
8467535ffffffff,14.0,0.0,0.0,0.0
8467537ffffffff,11.0,0.0,0.0,0.0
8467553ffffffff,6.0,0.0,0.0,0.0
8467585ffffffff,2.0,0.0,0.0,0.0
846758dffffffff,6.0,0.0,0.0,0.0
84675a5ffffffff,54.0,2.0,0.0,0.0
84675a9ffffffff,17.0,0.0,0.0,0.0
84675abffffffff,22.0,0.0,0.0,0.0
84675adffffffff,4.0,0.0,0.0,0.0
84675c1ffffffff,12.0,0.0,0.0,0.0
84675c7ffffffff,17.0,0.0,0.0,0.0
84675cbffffffff,131.0,0.0,0.0,0.0
84675ddffffffff,8.0,0.0,0.0,0.0
84675e1ffffffff,2.0,0.0,0.0,0.0
84675e3ffffffff,20.0,0.0,0.0,0.0
84675e7ffffffff,3.0,0.0,0.0,0.0
84675ebffffffff,24.0,0.0,0.0,0.0
848f099ffffffff,1.0,0.0,0.0,0.0
848f0d1ffffffff,76.0,0.0,0.0,13.0
848f0d3ffffffff,57.0,0.0,0.0,26.0
848f0d5ffffffff,2.0,0.0,0.0,0.0
848f0dbffffffff,123.0,0.0,0.0,37.0
848f72dffffffff,1.0,0.0,0.0,1.0
