cell_id,Calendulauda africanoides,Calendulauda africanoides [africanoides Group],Calendulauda africanoides alopex/intercedens
847ae87ffffffff,7.0,0.0,7.0
847ae91ffffffff,4.0,0.0,4.0
847ae99ffffffff,22.0,0.0,20.0
847ae9bffffffff,32.0,0.0,25.0
847ae9dffffffff,4.0,0.0,4.0
847aed3ffffffff,33.0,0.0,33.0
849668bffffffff,1.0,0.0,0.0
8496757ffffffff,1.0,1.0,0.0
8496905ffffffff,19.0,0.0,19.0
8496907ffffffff,59.0,0.0,58.0
8496921ffffffff,2.0,0.0,2.0
8496925ffffffff,172.0,0.0,172.0
8496927ffffffff,4.0,0.0,4.0
849692bffffffff,46.0,0.0,42.0
849692dffffffff,9.0,0.0,7.0
8496931ffffffff,1.0,0.0,1.0
8496933ffffffff,14.0,0.0,14.0
8496935ffffffff,6.0,0.0,6.0
8496937ffffffff,11.0,0.0,11.0
849693dffffffff,3.0,0.0,3.0
8497245ffffffff,1.0,1.0,0.0
84972cdffffffff,1.0,1.0,0.0
84972d7ffffffff,1.0,1.0,0.0
84972e7ffffffff,1.0,1.0,0.0
8497405ffffffff,10.0,7.0,0.0
8497409ffffffff,2.0,2.0,0.0
849740bffffffff,2.0,2.0,0.0
8497411ffffffff,3.0,2.0,0.0
8497415ffffffff,2.0,2.0,0.0
8497417ffffffff,4.0,4.0,0.0
8497435ffffffff,4.0,2.0,0.0
8497437ffffffff,7.0,7.0,0.0
849743bffffffff,3.0,3.0,0.0
8497447ffffffff,3.0,3.0,0.0
8497453ffffffff,18.0,18.0,0.0
8497455ffffffff,4.0,4.0,0.0
8497459ffffffff,42.0,18.0,0.0
849745dffffffff,2.0,2.0,0.0
8497463ffffffff,2.0,0.0,0.0
8497485ffffffff,4.0,4.0,0.0
84974a1ffffffff,2.0,2.0,0.0
84974a9ffffffff,1.0,1.0,0.0
84974abffffffff,35.0,33.0,0.0
84974b9ffffffff,16.0,12.0,0.0
84974bdffffffff,5.0,2.0,0.0
84974e3ffffffff,1.0,1.0,0.0
84974e5ffffffff,9.0,9.0,0.0
84974e9ffffffff,19.0,8.0,0.0
84974edffffffff,6.0,6.0,0.0
8497513ffffffff,14.0,14.0,0.0
8497543ffffffff,8.0,8.0,0.0
8497547ffffffff,3.0,0.0,0.0
84975c5ffffffff,2.0,2.0,0.0
84975cbffffffff,2.0,2.0,0.0
84975ddffffffff,3.0,3.0,0.0
84975e1ffffffff,3.0,3.0,0.0
8497637ffffffff,9.0,9.0,0.0
8497685ffffffff,4.0,4.0,0.0
8497733ffffffff,2.0,2.0,0.0
8497751ffffffff,2.0,2.0,0.0
84ac801ffffffff,15.0,15.0,0.0
84ac805ffffffff,12.0,10.0,0.0
84ac811ffffffff,4.0,2.0,0.0
84ac815ffffffff,4.0,4.0,0.0
84ac821ffffffff,2.0,2.0,0.0
84ac82dffffffff,15.0,11.0,0.0
84ac841ffffffff,2.0,2.0,0.0
84ac849ffffffff,3.0,2.0,0.0
84ac851ffffffff,2.0,2.0,0.0
84ac857ffffffff,2.0,2.0,0.0
84ac863ffffffff,3.0,3.0,0.0
84ac867ffffffff,21.0,20.0,0.0
84ac969ffffffff,3.0,3.0,0.0
84aca15ffffffff,6.0,5.0,0.0
84aca27ffffffff,16.0,10.0,0.0
84aca29ffffffff,4.0,4.0,0.0
84aca2bffffffff,5.0,4.0,0.0
84aca39ffffffff,3.0,3.0,0.0
84aca3dffffffff,2.0,2.0,0.0
84aca41ffffffff,6.0,6.0,0.0
84aca45ffffffff,2.0,2.0,0.0
84aca61ffffffff,4.0,4.0,0.0
84aca6bffffffff,8.0,8.0,0.0
84aca6dffffffff,1.0,0.0,0.0
84acaa1ffffffff,1.0,1.0,0.0
84ad821ffffffff,4.0,4.0,0.0
84ad825ffffffff,15.0,12.0,0.0
84ad827ffffffff,2.0,2.0,0.0
84ad829ffffffff,2.0,2.0,0.0
84ad82dffffffff,18.0,18.0,0.0
84ad861ffffffff,11.0,9.0,0.0
84ad865ffffffff,10.0,10.0,0.0
84ad867ffffffff,20.0,16.0,0.0
84ad869ffffffff,1.0,1.0,0.0
84ad883ffffffff,1.0,1.0,0.0
84ad91bffffffff,2.0,0.0,0.0
84ad927ffffffff,5.0,4.0,0.0
84ad945ffffffff,2.0,2.0,0.0
84ad953ffffffff,12.0,4.0,0.0
84ad95bffffffff,1.0,1.0,0.0
84ad9a7ffffffff,1.0,1.0,0.0
84ad9b5ffffffff,3.0,3.0,0.0
84ad9d3ffffffff,6.0,6.0,0.0
84ada03ffffffff,13.0,11.0,0.0
84ada07ffffffff,2.0,2.0,0.0
84ada1dffffffff,31.0,31.0,0.0
84ada21ffffffff,4.0,4.0,0.0
84ada2bffffffff,4.0,2.0,0.0
84ada2dffffffff,1.0,1.0,0.0
84ada4dffffffff,3.0,2.0,0.0
84adb07ffffffff,16.0,12.0,0.0
84adb19ffffffff,1.0,1.0,0.0
84adb2bffffffff,17.0,17.0,0.0
84adb31ffffffff,3.0,3.0,0.0
84adb39ffffffff,1.0,1.0,0.0
84adb3dffffffff,2.0,2.0,0.0
84adb41ffffffff,1.0,1.0,0.0
84adb43ffffffff,6.0,6.0,0.0
84adb53ffffffff,5.0,5.0,0.0
84adb5dffffffff,1.0,0.0,0.0
84adb63ffffffff,2.0,2.0,0.0
84bc581ffffffff,2.0,2.0,0.0
84bc5b9ffffffff,1.0,1.0,0.0
84bc893ffffffff,5.0,5.0,0.0
84bcc3dffffffff,2.0,2.0,0.0
84bcca5ffffffff,6.0,6.0,0.0
84bccc9ffffffff,1.0,1.0,0.0
84bccdbffffffff,1.0,1.0,0.0
84bcdc1ffffffff,5.0,4.0,0.0
84bcdc9ffffffff,5.0,5.0,0.0
84bcdcbffffffff,2.0,2.0,0.0
84bcdcdffffffff,3.0,2.0,0.0
84bcde5ffffffff,1.0,0.0,0.0
84bce83ffffffff,34.0,33.0,0.0
84bce89ffffffff,2.0,2.0,0.0
84bce95ffffffff,17.0,15.0,0.0
84bce99ffffffff,22.0,21.0,0.0
84bce9dffffffff,3.0,2.0,0.0
84bcea1ffffffff,2.0,2.0,0.0
