cell_id,Cecropis melanocrissus,Cecropis melanocrissus domicella,Cecropis melanocrissus [melanocrissus Group]
846add9ffffffff,1.0,0.0,1.0
846ae85ffffffff,2.0,0.0,2.0
8475069ffffffff,1.0,1.0,0.0
8475087ffffffff,1.0,0.0,1.0
84750d1ffffffff,1.0,1.0,0.0
8475201ffffffff,9.0,9.0,0.0
8475209ffffffff,14.0,14.0,0.0
847520bffffffff,1.0,1.0,0.0
8475257ffffffff,3.0,3.0,0.0
8475863ffffffff,1.0,1.0,0.0
8475b05ffffffff,1.0,1.0,0.0
8475b09ffffffff,1.0,1.0,0.0
847a401ffffffff,2.0,0.0,1.0
847a40bffffffff,3.0,0.0,3.0
847a40dffffffff,1.0,0.0,0.0
847a41dffffffff,5.0,0.0,5.0
847a439ffffffff,1.0,0.0,0.0
847a451ffffffff,1.0,0.0,1.0
847a453ffffffff,7.0,0.0,6.0
847a455ffffffff,5.0,0.0,5.0
847a457ffffffff,5.0,0.0,4.0
847a459ffffffff,2.0,0.0,2.0
847a45bffffffff,1.0,0.0,1.0
847a483ffffffff,1.0,0.0,1.0
847a489ffffffff,3.0,0.0,3.0
847a48dffffffff,1.0,0.0,1.0
847a4b5ffffffff,1.0,0.0,1.0
847a4e3ffffffff,5.0,0.0,5.0
847a601ffffffff,2.0,0.0,2.0
847a609ffffffff,3.0,0.0,3.0
847a611ffffffff,2.0,0.0,2.0
847a61dffffffff,12.0,0.0,12.0
847a633ffffffff,1.0,0.0,1.0
847a641ffffffff,13.0,0.0,13.0
847a643ffffffff,1.0,0.0,1.0
847a681ffffffff,1.0,0.0,1.0
847a683ffffffff,16.0,0.0,13.0
847a685ffffffff,1.0,0.0,0.0
847a68bffffffff,2.0,0.0,1.0
847a695ffffffff,1.0,0.0,0.0
847a6a1ffffffff,10.0,0.0,9.0
847a6a5ffffffff,2.0,0.0,2.0
847a6adffffffff,4.0,0.0,4.0
847a6d1ffffffff,19.0,0.0,14.0
847a6d3ffffffff,2.0,0.0,2.0
847a6d7ffffffff,1.0,0.0,1.0
847a6d9ffffffff,2.0,0.0,2.0
847a6e1ffffffff,5.0,0.0,5.0
847a6e5ffffffff,16.0,0.0,13.0
847a6e7ffffffff,1.0,0.0,1.0
847a6edffffffff,2.0,0.0,1.0
847aca3ffffffff,4.0,0.0,0.0
847acabffffffff,2.0,0.0,2.0
847acb5ffffffff,2.0,0.0,0.0
847acc5ffffffff,4.0,0.0,0.0
847ad99ffffffff,1.0,0.0,1.0
847aea3ffffffff,2.0,0.0,2.0
847b4b9ffffffff,2.0,0.0,1.0
8482d27ffffffff,1.0,1.0,0.0
8482d37ffffffff,1.0,1.0,0.0
8482d3dffffffff,2.0,2.0,0.0
8496905ffffffff,2.0,0.0,0.0
8496907ffffffff,5.0,0.0,4.0
8496925ffffffff,8.0,0.0,7.0
849692bffffffff,3.0,0.0,3.0
849692dffffffff,3.0,0.0,3.0
8496933ffffffff,2.0,0.0,2.0
8496935ffffffff,22.0,0.0,20.0
8496937ffffffff,3.0,0.0,3.0
849693dffffffff,2.0,0.0,2.0
8496b13ffffffff,1.0,0.0,1.0
