cell_id,Willisornis poecilinotus,Willisornis poecilinotus poecilinotus,Willisornis poecilinotus lepidonota/duidae,Willisornis poecilinotus gutturalis,Willisornis poecilinotus griseiventris
848a213ffffffff,9.0,0.0,0.0,0.0,0.0
848a217ffffffff,2.0,0.0,0.0,0.0,0.0
848a21bffffffff,2.0,0.0,0.0,0.0,0.0
848a249ffffffff,5.0,0.0,0.0,0.0,0.0
848a2cdffffffff,4.0,0.0,0.0,0.0,0.0
848a313ffffffff,14.0,0.0,0.0,0.0,0.0
848a317ffffffff,20.0,0.0,0.0,0.0,0.0
848a337ffffffff,4.0,0.0,0.0,0.0,0.0
848a33bffffffff,5.0,0.0,0.0,0.0,0.0
848a451ffffffff,3.0,0.0,0.0,0.0,0.0
848a453ffffffff,1.0,0.0,0.0,0.0,0.0
848a459ffffffff,35.0,0.0,0.0,0.0,0.0
848a45bffffffff,12.0,0.0,0.0,0.0,0.0
848a45dffffffff,22.0,0.0,0.0,0.0,0.0
848a4b9ffffffff,4.0,0.0,0.0,0.0,0.0
848a565ffffffff,3.0,0.0,0.0,0.0,0.0
848a5a1ffffffff,1.0,0.0,0.0,0.0,0.0
848a68bffffffff,8.0,0.0,0.0,0.0,0.0
848a699ffffffff,79.0,0.0,0.0,0.0,0.0
848a6b1ffffffff,1.0,0.0,0.0,0.0,0.0
848a6d3ffffffff,6.0,0.0,0.0,0.0,0.0
848a6d7ffffffff,19.0,0.0,0.0,0.0,0.0
848a6d9ffffffff,16.0,0.0,0.0,0.0,0.0
848a6dbffffffff,69.0,0.0,0.0,0.0,0.0
848a6e5ffffffff,3.0,0.0,0.0,0.0,0.0
848a707ffffffff,4.0,0.0,0.0,0.0,0.0
848a70bffffffff,2.0,0.0,0.0,0.0,0.0
848a73dffffffff,12.0,0.0,0.0,0.0,0.0
848a755ffffffff,4.0,0.0,0.0,0.0,0.0
848a809ffffffff,8.0,0.0,0.0,0.0,0.0
848aa8bffffffff,8.0,0.0,0.0,0.0,0.0
848aa93ffffffff,5.0,0.0,0.0,0.0,0.0
848aa9dffffffff,15.0,0.0,0.0,0.0,0.0
848aab9ffffffff,4.0,0.0,0.0,0.0,0.0
848aac9ffffffff,4.0,0.0,0.0,0.0,0.0
848aacbffffffff,4.0,0.0,0.0,0.0,0.0
848aad5ffffffff,2.0,0.0,0.0,0.0,0.0
848aaddffffffff,4.0,0.0,0.0,0.0,0.0
848ad13ffffffff,6.0,2.0,0.0,0.0,0.0
848adb9ffffffff,4.0,0.0,0.0,0.0,0.0
848ae59ffffffff,2.0,0.0,0.0,0.0,0.0
848ae5bffffffff,2.0,0.0,0.0,0.0,0.0
848af09ffffffff,38.0,0.0,0.0,0.0,0.0
848af0bffffffff,6.0,0.0,0.0,0.0,0.0
848af11ffffffff,14.0,0.0,0.0,0.0,0.0
848af1dffffffff,2.0,0.0,0.0,0.0,0.0
848af29ffffffff,42.0,0.0,0.0,0.0,0.0
848af2dffffffff,6.0,0.0,0.0,0.0,0.0
848af41ffffffff,9.0,0.0,0.0,0.0,0.0
848af45ffffffff,2.0,0.0,0.0,0.0,0.0
848af47ffffffff,2.0,0.0,0.0,0.0,0.0
848af4dffffffff,9.0,0.0,0.0,0.0,0.0
848af61ffffffff,10.0,0.0,0.0,0.0,0.0
848af63ffffffff,115.0,0.0,0.0,0.0,0.0
848af67ffffffff,142.0,0.0,0.0,0.0,0.0
848af6bffffffff,5.0,0.0,0.0,0.0,0.0
848b05dffffffff,2.0,0.0,0.0,0.0,0.0
848b0c9ffffffff,1.0,0.0,0.0,0.0,0.0
848b11dffffffff,2.0,0.0,0.0,0.0,0.0
848b1a5ffffffff,2.0,0.0,0.0,0.0,0.0
848b1b5ffffffff,1.0,0.0,0.0,0.0,0.0
848b1cdffffffff,2.0,0.0,0.0,0.0,0.0
848b1dbffffffff,2.0,0.0,0.0,0.0,0.0
848b40dffffffff,16.0,0.0,0.0,0.0,3.0
848b429ffffffff,2.0,0.0,0.0,0.0,0.0
848b42dffffffff,2.0,0.0,0.0,0.0,0.0
848b445ffffffff,6.0,0.0,0.0,0.0,0.0
848b447ffffffff,1.0,0.0,0.0,0.0,0.0
848b44bffffffff,36.0,0.0,0.0,0.0,0.0
848b44dffffffff,178.0,0.0,0.0,0.0,1.0
848b463ffffffff,4.0,0.0,0.0,0.0,0.0
848b469ffffffff,24.0,0.0,0.0,0.0,0.0
848b46bffffffff,2.0,0.0,0.0,0.0,0.0
848b4cdffffffff,1.0,0.0,0.0,0.0,0.0
848b4e5ffffffff,5.0,0.0,0.0,0.0,0.0
848b513ffffffff,4.0,0.0,0.0,0.0,0.0
848b53dffffffff,3.0,0.0,0.0,0.0,0.0
848b567ffffffff,2.0,0.0,0.0,0.0,0.0
848b617ffffffff,1.0,0.0,0.0,0.0,0.0
848b627ffffffff,7.0,0.0,0.0,0.0,0.0
848b631ffffffff,2.0,0.0,0.0,0.0,2.0
848b635ffffffff,2.0,0.0,0.0,0.0,0.0
848b637ffffffff,51.0,0.0,0.0,0.0,0.0
848b63bffffffff,3.0,0.0,0.0,0.0,0.0
848b63dffffffff,1.0,0.0,0.0,0.0,0.0
848b693ffffffff,9.0,0.0,0.0,0.0,0.0
848b69bffffffff,4.0,0.0,0.0,0.0,0.0
848b6bbffffffff,2.0,0.0,0.0,0.0,0.0
848b6e7ffffffff,22.0,0.0,0.0,0.0,0.0
848b6edffffffff,26.0,0.0,0.0,0.0,0.0
848b709ffffffff,16.0,0.0,0.0,0.0,0.0
848b713ffffffff,30.0,0.0,0.0,0.0,0.0
848b717ffffffff,4.0,0.0,0.0,0.0,0.0
848b71bffffffff,16.0,0.0,0.0,0.0,0.0
848b745ffffffff,2.0,0.0,0.0,0.0,0.0
848b747ffffffff,7.0,0.0,0.0,0.0,0.0
848b757ffffffff,2.0,0.0,0.0,0.0,0.0
848b829ffffffff,3.0,0.0,0.0,0.0,0.0
848b82bffffffff,1.0,0.0,0.0,0.0,0.0
848b849ffffffff,16.0,0.0,0.0,0.0,0.0
848b881ffffffff,3.0,0.0,0.0,0.0,0.0
848b9c9ffffffff,1.0,0.0,0.0,0.0,0.0
848b9d5ffffffff,4.0,0.0,0.0,0.0,0.0
848b9d7ffffffff,4.0,0.0,0.0,0.0,0.0
848ba09ffffffff,6.0,0.0,0.0,0.0,0.0
848bad5ffffffff,2.0,0.0,0.0,0.0,0.0
848e649ffffffff,1.0,0.0,0.0,0.0,0.0
848e64bffffffff,3.0,0.0,0.0,0.0,0.0
848f401ffffffff,39.0,0.0,0.0,0.0,0.0
848f403ffffffff,2.0,0.0,0.0,0.0,0.0
848f437ffffffff,1.0,0.0,0.0,0.0,0.0
848f439ffffffff,3.0,0.0,0.0,0.0,0.0
848f461ffffffff,8.0,0.0,0.0,0.0,0.0
848f463ffffffff,22.0,0.0,0.0,0.0,0.0
848f465ffffffff,21.0,0.0,0.0,0.0,0.0
848f485ffffffff,2.0,0.0,0.0,0.0,0.0
848f489ffffffff,19.0,0.0,0.0,0.0,0.0
848f4a5ffffffff,8.0,0.0,0.0,0.0,0.0
848f4b3ffffffff,6.0,0.0,0.0,0.0,0.0
848f5ddffffffff,4.0,0.0,0.0,0.0,0.0
848f611ffffffff,7.0,0.0,0.0,0.0,0.0
848f613ffffffff,2.0,0.0,0.0,0.0,0.0
848f619ffffffff,38.0,0.0,0.0,0.0,0.0
848f61bffffffff,20.0,0.0,0.0,0.0,0.0
848f655ffffffff,9.0,0.0,0.0,0.0,0.0
848f657ffffffff,46.0,0.0,0.0,0.0,0.0
848f6b5ffffffff,12.0,0.0,0.0,0.0,0.0
848f71bffffffff,5.0,0.0,0.0,0.0,0.0
848f71dffffffff,6.0,0.0,0.0,0.0,0.0
848f729ffffffff,30.0,0.0,3.0,0.0,0.0
848f72bffffffff,24.0,0.0,1.0,0.0,0.0
848f74bffffffff,5.0,0.0,0.0,0.0,0.0
84a8c97ffffffff,9.0,0.0,0.0,0.0,0.0
