cell_id,Apus barbatus,Apus barbatus sladeniae,Apus barbatus [barbatus Group]
84969a5ffffffff,4.0,0.0,0.0
8496a39ffffffff,2.0,0.0,0.0
8496b0dffffffff,1.0,0.0,1.0
8496b1bffffffff,8.0,0.0,2.0
8496b47ffffffff,1.0,0.0,1.0
8496b63ffffffff,3.0,0.0,0.0
8497027ffffffff,1.0,0.0,0.0
849702bffffffff,24.0,0.0,8.0
8497035ffffffff,18.0,0.0,1.0
849703dffffffff,9.0,0.0,0.0
8497195ffffffff,1.0,0.0,0.0
8497199ffffffff,2.0,0.0,0.0
84971c1ffffffff,5.0,0.0,2.0
84971c3ffffffff,1.0,0.0,0.0
84971c9ffffffff,3.0,0.0,0.0
84971cbffffffff,3.0,0.0,1.0
849728dffffffff,7.0,0.0,0.0
8497291ffffffff,2.0,0.0,0.0
8497297ffffffff,5.0,0.0,0.0
84972c5ffffffff,8.0,0.0,0.0
84972cdffffffff,6.0,0.0,1.0
84972d5ffffffff,2.0,0.0,0.0
84972d7ffffffff,12.0,0.0,2.0
84972d9ffffffff,28.0,0.0,5.0
84972e3ffffffff,36.0,0.0,10.0
84972ebffffffff,1.0,0.0,0.0
8497417ffffffff,1.0,0.0,0.0
849741dffffffff,2.0,0.0,0.0
84974a9ffffffff,2.0,0.0,0.0
84974e9ffffffff,2.0,0.0,0.0
8497503ffffffff,2.0,0.0,0.0
8497509ffffffff,2.0,0.0,0.0
8497513ffffffff,10.0,0.0,3.0
8497515ffffffff,136.0,0.0,36.0
8497517ffffffff,13.0,0.0,7.0
8497557ffffffff,1.0,0.0,0.0
84975c5ffffffff,2.0,0.0,0.0
84978cbffffffff,2.0,0.0,0.0
8497a33ffffffff,2.0,0.0,0.0
8497a85ffffffff,4.0,0.0,0.0
8497a8bffffffff,2.0,0.0,0.0
8497ac3ffffffff,1.0,0.0,0.0
84ad321ffffffff,56.0,0.0,26.0
84ad325ffffffff,2.0,0.0,2.0
84ad329ffffffff,88.0,0.0,25.0
84ad361ffffffff,222.0,0.0,74.0
84ad365ffffffff,19.0,0.0,11.0
84ad367ffffffff,19.0,0.0,10.0
84ad369ffffffff,233.0,0.0,90.0
84ad36bffffffff,1.0,0.0,0.0
84ad36dffffffff,45.0,0.0,14.0
84ada21ffffffff,2.0,0.0,2.0
84adb4bffffffff,1.0,0.0,0.0
84adb4dffffffff,1.0,0.0,0.0
84bc091ffffffff,3.0,0.0,0.0
84bc0a3ffffffff,1.0,0.0,0.0
84bc0bbffffffff,1.0,0.0,1.0
84bc193ffffffff,1.0,0.0,0.0
84bc197ffffffff,7.0,0.0,1.0
84bc19bffffffff,3.0,0.0,0.0
84bc1b7ffffffff,2.0,0.0,2.0
84bc1bbffffffff,1.0,0.0,0.0
84bc403ffffffff,2.0,0.0,0.0
84bc411ffffffff,2.0,0.0,0.0
84bc41dffffffff,2.0,0.0,0.0
84bc431ffffffff,12.0,0.0,8.0
84bc443ffffffff,13.0,0.0,0.0
84bc447ffffffff,16.0,0.0,5.0
84bc453ffffffff,3.0,0.0,0.0
84bc455ffffffff,13.0,0.0,3.0
84bc457ffffffff,2.0,0.0,0.0
84bc45bffffffff,3.0,0.0,0.0
84bc46dffffffff,4.0,0.0,4.0
84bc481ffffffff,2.0,0.0,0.0
84bc49dffffffff,1.0,0.0,0.0
84bc4bdffffffff,2.0,0.0,2.0
84bc4d5ffffffff,7.0,0.0,3.0
84bc4d7ffffffff,1.0,0.0,0.0
84bc4d9ffffffff,20.0,0.0,8.0
84bc4ddffffffff,6.0,0.0,0.0
84bc501ffffffff,2.0,0.0,0.0
84bc50bffffffff,1.0,0.0,0.0
84bc525ffffffff,2.0,0.0,2.0
84bc535ffffffff,2.0,0.0,0.0
84bc545ffffffff,1.0,0.0,0.0
84bc559ffffffff,1.0,0.0,0.0
84bc5c1ffffffff,2.0,0.0,2.0
84bc5edffffffff,3.0,0.0,0.0
84bc683ffffffff,2.0,0.0,0.0
84bc687ffffffff,112.0,0.0,40.0
84bc695ffffffff,10.0,0.0,4.0
84bc697ffffffff,158.0,0.0,56.0
84bc6a3ffffffff,23.0,0.0,4.0
84bc6a7ffffffff,6.0,0.0,0.0
84bc6abffffffff,14.0,0.0,5.0
84bc6adffffffff,2.0,0.0,2.0
84bc6b1ffffffff,1.0,0.0,0.0
84bc6b3ffffffff,6.0,0.0,0.0
84bc6b9ffffffff,3.0,0.0,0.0
84bc6bdffffffff,4.0,0.0,4.0
84bc717ffffffff,7.0,0.0,2.0
84bc737ffffffff,4.0,0.0,0.0
84bcc23ffffffff,9.0,0.0,2.0
84bcc27ffffffff,3.0,0.0,0.0
84bcc2bffffffff,4.0,0.0,0.0
84bcc35ffffffff,22.0,0.0,8.0
84bcc37ffffffff,4.0,0.0,0.0
84bcc3dffffffff,12.0,0.0,1.0
84bcc45ffffffff,1.0,0.0,0.0
84bcc49ffffffff,14.0,0.0,2.0
84bcc4bffffffff,28.0,0.0,12.0
84bcc4dffffffff,3.0,0.0,1.0
84bcc63ffffffff,1.0,0.0,0.0
84bcc65ffffffff,1.0,0.0,0.0
84bcc69ffffffff,2.0,0.0,0.0
84bcc6dffffffff,19.0,0.0,4.0
84bccedffffffff,1.0,0.0,1.0
84bcd01ffffffff,16.0,0.0,5.0
84bcd03ffffffff,2.0,0.0,0.0
84bcd05ffffffff,23.0,0.0,7.0
84bcd07ffffffff,83.0,0.0,21.0
84bcd09ffffffff,2.0,0.0,2.0
84bcd0bffffffff,9.0,0.0,4.0
84bcd0dffffffff,2.0,0.0,0.0
84bcd11ffffffff,4.0,0.0,0.0
84bcd13ffffffff,2.0,0.0,0.0
84bcd15ffffffff,11.0,0.0,0.0
84bcd19ffffffff,4.0,0.0,0.0
84bcd1dffffffff,29.0,0.0,12.0
84bcd21ffffffff,19.0,0.0,3.0
84bcd23ffffffff,37.0,0.0,27.0
84bcd25ffffffff,9.0,0.0,6.0
84bcd27ffffffff,28.0,0.0,10.0
84bcd29ffffffff,27.0,0.0,4.0
84bcd2dffffffff,12.0,0.0,0.0
84bcd33ffffffff,3.0,0.0,0.0
84bcd35ffffffff,15.0,0.0,0.0
84bcd37ffffffff,2.0,0.0,0.0
84bcd3dffffffff,36.0,0.0,14.0
84bcd43ffffffff,2.0,0.0,0.0
84bcd55ffffffff,6.0,0.0,6.0
84bcd57ffffffff,5.0,0.0,2.0
84bcd5bffffffff,2.0,0.0,2.0
84bcd61ffffffff,2.0,0.0,0.0
84bcd63ffffffff,23.0,0.0,0.0
84bcd67ffffffff,8.0,0.0,0.0
84bcd81ffffffff,4.0,0.0,0.0
84bcdc1ffffffff,8.0,0.0,3.0
84bcdc9ffffffff,22.0,0.0,3.0
84bcdcbffffffff,2.0,0.0,0.0
84bcdcdffffffff,4.0,0.0,0.0
84bcdd1ffffffff,5.0,0.0,0.0
84bcdd9ffffffff,2.0,0.0,2.0
84bcde5ffffffff,3.0,0.0,0.0
84bcdebffffffff,6.0,0.0,0.0
84bce05ffffffff,3.0,0.0,0.0
84bce0dffffffff,3.0,0.0,3.0
84bce1bffffffff,1.0,0.0,0.0
84bce21ffffffff,13.0,0.0,2.0
84bce25ffffffff,2.0,0.0,0.0
84bce27ffffffff,3.0,0.0,3.0
84bce29ffffffff,155.0,0.0,60.0
84bce2bffffffff,12.0,0.0,2.0
84bce2dffffffff,7.0,0.0,0.0
84bce37ffffffff,6.0,0.0,0.0
84bce45ffffffff,1.0,0.0,0.0
84bce4dffffffff,1.0,0.0,0.0
84bce55ffffffff,1.0,0.0,1.0
84bce5bffffffff,3.0,0.0,0.0
84bce61ffffffff,13.0,0.0,3.0
84bce63ffffffff,12.0,0.0,8.0
84bce65ffffffff,10.0,0.0,6.0
84bce67ffffffff,43.0,0.0,7.0
84bce69ffffffff,8.0,0.0,0.0
84bce83ffffffff,6.0,0.0,2.0
84bce93ffffffff,1.0,0.0,0.0
84bce95ffffffff,11.0,0.0,9.0
84bcf09ffffffff,2.0,0.0,0.0
84bcf13ffffffff,1.0,0.0,0.0
84bcf15ffffffff,2.0,0.0,0.0
84bcf17ffffffff,5.0,0.0,0.0
84bcf1bffffffff,4.0,0.0,4.0
84bcf1dffffffff,2.0,0.0,0.0
84bcf21ffffffff,13.0,0.0,12.0
84bcf29ffffffff,31.0,0.0,10.0
84bcf2dffffffff,2.0,0.0,0.0
84bcf33ffffffff,41.0,0.0,20.0
84bcf35ffffffff,2.0,0.0,0.0
84bcf39ffffffff,1.0,0.0,0.0
84bcf3bffffffff,3.0,0.0,0.0
84bcf3dffffffff,6.0,0.0,6.0
84bcf43ffffffff,4.0,0.0,4.0
84bcf47ffffffff,1.0,0.0,1.0
84bcf59ffffffff,25.0,0.0,13.0
84bcf5bffffffff,79.0,0.0,26.0
84bcf5dffffffff,1.0,0.0,0.0
84bcf61ffffffff,13.0,0.0,0.0
84bcf63ffffffff,17.0,0.0,0.0
