cell_id,Monasa morphoeus,Monasa morphoeus grandior/fidelis,Monasa morphoeus pallescens/sclateri,Monasa morphoeus [morphoeus Group]
838a69fffffffff,161.0,0.0,0.0,0.0
838a6dfffffffff,85.0,0.0,0.0,0.0
838a70fffffffff,2.0,0.0,0.0,0.0
838a75fffffffff,6.0,0.0,0.0,0.0
838a80fffffffff,67.0,0.0,0.0,4.0
838a81fffffffff,10.0,0.0,0.0,0.0
838a82fffffffff,4.0,0.0,0.0,0.0
838a83fffffffff,1.0,0.0,0.0,0.0
838a90fffffffff,1.0,0.0,0.0,0.0
838a92fffffffff,22.0,0.0,0.0,0.0
838a9cfffffffff,23.0,0.0,0.0,0.0
838aa8fffffffff,45.0,0.0,0.0,0.0
838aa9fffffffff,2.0,0.0,0.0,0.0
838aaafffffffff,70.0,0.0,0.0,0.0
838aabfffffffff,6.0,0.0,0.0,0.0
838aacfffffffff,4.0,0.0,0.0,0.0
838aadfffffffff,2.0,0.0,0.0,0.0
838ab6fffffffff,3.0,0.0,0.0,0.0
838ae5fffffffff,2.0,0.0,0.0,0.0
838af0fffffffff,82.0,0.0,0.0,27.0
838af1fffffffff,7.0,0.0,0.0,0.0
838af4fffffffff,34.0,0.0,0.0,4.0
838af6fffffffff,7.0,0.0,0.0,2.0
838b0bfffffffff,1.0,0.0,0.0,0.0
838b10fffffffff,1.0,0.0,0.0,0.0
838b11fffffffff,4.0,0.0,0.0,0.0
838b1afffffffff,4.0,0.0,0.0,0.0
838b1dfffffffff,2.0,0.0,0.0,0.0
838b40fffffffff,89.0,0.0,0.0,0.0
838b42fffffffff,13.0,0.0,0.0,0.0
838b44fffffffff,381.0,0.0,0.0,0.0
838b45fffffffff,3.0,0.0,0.0,0.0
838b46fffffffff,39.0,0.0,0.0,0.0
838b4efffffffff,11.0,0.0,0.0,2.0
838b51fffffffff,18.0,0.0,0.0,0.0
838b52fffffffff,2.0,0.0,0.0,0.0
838b53fffffffff,6.0,0.0,0.0,0.0
838b56fffffffff,4.0,0.0,0.0,0.0
838b5cfffffffff,26.0,0.0,0.0,0.0
838b5dfffffffff,4.0,0.0,0.0,0.0
838b61fffffffff,19.0,0.0,0.0,0.0
838b62fffffffff,41.0,0.0,0.0,0.0
838b63fffffffff,290.0,0.0,0.0,0.0
838b69fffffffff,27.0,0.0,0.0,0.0
838b6cfffffffff,1.0,0.0,0.0,0.0
838b6efffffffff,82.0,0.0,0.0,0.0
838b71fffffffff,215.0,0.0,0.0,0.0
838b74fffffffff,23.0,0.0,0.0,0.0
838b75fffffffff,12.0,0.0,0.0,0.0
838b82fffffffff,1.0,0.0,0.0,0.0
838b83fffffffff,3.0,0.0,0.0,0.0
838b84fffffffff,49.0,0.0,0.0,1.0
838b88fffffffff,23.0,0.0,0.0,0.0
838b8dfffffffff,1.0,0.0,0.0,0.0
838b96fffffffff,7.0,0.0,0.0,7.0
838b98fffffffff,1.0,0.0,0.0,0.0
838b99fffffffff,32.0,0.0,0.0,0.0
838b9dfffffffff,272.0,0.0,0.0,6.0
838bb5fffffffff,1.0,0.0,0.0,0.0
838e65fffffffff,7.0,0.0,0.0,0.0
838f40fffffffff,83.0,0.0,0.0,2.0
838f42fffffffff,2.0,0.0,0.0,0.0
838f43fffffffff,61.0,0.0,0.0,0.0
838f44fffffffff,8.0,0.0,0.0,0.0
838f46fffffffff,77.0,0.0,0.0,4.0
838f48fffffffff,6.0,0.0,0.0,0.0
838f49fffffffff,1.0,0.0,0.0,0.0
838f4afffffffff,21.0,0.0,0.0,0.0
838f4bfffffffff,1.0,0.0,0.0,0.0
838f4cfffffffff,3.0,0.0,0.0,0.0
838f5dfffffffff,9.0,0.0,0.0,0.0
838f61fffffffff,23.0,0.0,0.0,0.0
838f65fffffffff,11.0,0.0,0.0,0.0
838f6bfffffffff,12.0,0.0,0.0,0.0
838f6efffffffff,1.0,0.0,0.0,0.0
838f71fffffffff,8.0,0.0,0.0,0.0
838f73fffffffff,5.0,0.0,0.0,0.0
838f74fffffffff,8.0,0.0,0.0,0.0
83a596fffffffff,7.0,0.0,0.0,0.0
83a8c9fffffffff,1.0,0.0,0.0,1.0
83b325fffffffff,1.0,0.0,0.0,0.0
