cell_id,Cistothorus palustris,Cistothorus palustris [paludicola Group],Cistothorus palustris [plesius Group],Cistothorus palustris [palustris Group],Cistothorus palustris griseus,Cistothorus palustris tolucensis
8427537ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8427541ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8427543ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8427545ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8427551ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
842755dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8427561ffffffff,2.0,0.0,0.0,2.0,0.0,0.0
8427569ffffffff,24.0,0.0,0.0,7.0,0.0,0.0
8427581ffffffff,15.0,0.0,0.0,0.0,0.0,0.0
8427583ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8427585ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
842758dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8427591ffffffff,9.0,0.0,0.0,0.0,0.0,0.0
8427593ffffffff,53.0,0.0,0.0,0.0,0.0,0.0
8427597ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
842759bffffffff,5.0,0.0,0.0,0.0,0.0,0.0
842759dffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84275b5ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
84275c3ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
84275cdffffffff,6.0,0.0,0.0,0.0,0.0,0.0
84275d1ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84275d3ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
84275d5ffffffff,9.0,0.0,0.0,0.0,0.0,0.0
84275d7ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
84275d9ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84275ddffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84275e9ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8427617ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8427637ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
842763bffffffff,19.0,0.0,0.0,0.0,0.0,0.0
8427685ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8427699ffffffff,2.0,0.0,0.0,2.0,0.0,0.0
84276a7ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84276b1ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
84276b5ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84276b7ffffffff,24.0,0.0,0.0,0.0,0.0,0.0
84276bdffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84276cbffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84276d1ffffffff,2.0,0.0,0.0,2.0,0.0,0.0
84276d3ffffffff,37.0,0.0,0.0,37.0,0.0,0.0
84276d7ffffffff,4.0,0.0,0.0,4.0,0.0,0.0
84276e5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84276e7ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84276edffffffff,60.0,0.0,0.0,1.0,0.0,0.0
842770dffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8427713ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
842771dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
842773bffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8427747ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
842785bffffffff,4.0,0.0,0.0,2.0,0.0,0.0
8427861ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
84278b1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8427927ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8427937ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
8427967ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8427969ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8427995ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8427997ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
84279bdffffffff,3.0,0.0,3.0,0.0,0.0,0.0
84279ddffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8427a03ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8427a05ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8427a09ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8427a1dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8427a8dffffffff,1.0,0.0,0.0,1.0,0.0,0.0
8427aa9ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8427b17ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8427b25ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8428023ffffffff,6.0,6.0,0.0,0.0,0.0,0.0
842802bffffffff,13.0,11.0,0.0,0.0,0.0,0.0
8428035ffffffff,1.0,1.0,0.0,0.0,0.0,0.0
8428069ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8428107ffffffff,1.0,1.0,0.0,0.0,0.0,0.0
842810dffffffff,2.0,0.0,2.0,0.0,0.0,0.0
8428123ffffffff,2.0,0.0,2.0,0.0,0.0,0.0
842812bffffffff,2.0,1.0,1.0,0.0,0.0,0.0
842813bffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8428149ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8428151ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8428153ffffffff,3.0,3.0,0.0,0.0,0.0,0.0
8428159ffffffff,2.0,2.0,0.0,0.0,0.0,0.0
842816bffffffff,3.0,2.0,1.0,0.0,0.0,0.0
84281b1ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
84281b5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84281cbffffffff,1.0,1.0,0.0,0.0,0.0,0.0
84281e5ffffffff,29.0,0.0,0.0,0.0,0.0,0.0
84281ebffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84281edffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8428301ffffffff,13.0,0.0,0.0,0.0,0.0,0.0
8428305ffffffff,324.0,0.0,0.0,0.0,0.0,0.0
8428309ffffffff,16.0,7.0,0.0,0.0,0.0,0.0
842830bffffffff,25.0,4.0,0.0,0.0,0.0,0.0
842830dffffffff,26.0,0.0,0.0,0.0,0.0,0.0
