cell_id,Tympanuchus cupido,Tympanuchus cupido pinnatus,Tympanuchus cupido cupido,Tympanuchus cupido attwateri
8426191ffffffff,6.0,0.0,0.0,0.0
8426193ffffffff,2.0,0.0,0.0,0.0
8426197ffffffff,3.0,0.0,0.0,0.0
8426199ffffffff,7.0,0.0,0.0,0.0
842619dffffffff,20.0,0.0,0.0,0.0
84261a3ffffffff,1.0,0.0,0.0,0.0
84261a7ffffffff,32.0,0.0,0.0,0.0
84261a9ffffffff,3.0,0.0,0.0,0.0
84261adffffffff,17.0,0.0,0.0,0.0
84261b1ffffffff,2.0,0.0,0.0,0.0
84261b3ffffffff,7.0,0.0,0.0,0.0
84261b9ffffffff,7.0,0.0,0.0,0.0
84261bdffffffff,1.0,0.0,0.0,0.0
84261c1ffffffff,1.0,0.0,0.0,0.0
84261c3ffffffff,5.0,0.0,0.0,0.0
84261c5ffffffff,117.0,0.0,0.0,0.0
84261c7ffffffff,9.0,0.0,0.0,0.0
84261cbffffffff,2.0,0.0,0.0,0.0
84261cdffffffff,15.0,0.0,0.0,0.0
84261d5ffffffff,14.0,0.0,0.0,0.0
84261d7ffffffff,2.0,0.0,0.0,0.0
84261ddffffffff,1.0,0.0,0.0,0.0
84261e1ffffffff,2.0,0.0,0.0,0.0
84261e5ffffffff,2.0,0.0,0.0,0.0
84261e7ffffffff,13.0,0.0,0.0,0.0
84261e9ffffffff,4.0,0.0,0.0,0.0
84261ebffffffff,3.0,0.0,0.0,0.0
84261edffffffff,11.0,0.0,0.0,0.0
8426205ffffffff,6.0,0.0,0.0,0.0
8426207ffffffff,1.0,0.0,0.0,0.0
8426223ffffffff,1.0,0.0,0.0,0.0
842622bffffffff,2.0,0.0,0.0,0.0
842623dffffffff,2.0,0.0,0.0,0.0
8426245ffffffff,69.0,0.0,0.0,0.0
8426261ffffffff,2.0,0.0,0.0,0.0
8426263ffffffff,6.0,0.0,0.0,0.0
8426265ffffffff,7.0,0.0,0.0,0.0
8426269ffffffff,408.0,0.0,0.0,0.0
842626bffffffff,65.0,0.0,0.0,0.0
8426333ffffffff,4.0,0.0,0.0,0.0
8426335ffffffff,1.0,0.0,0.0,0.0
8426337ffffffff,16.0,0.0,0.0,0.0
842633bffffffff,3.0,0.0,0.0,0.0
8426525ffffffff,20.0,0.0,0.0,0.0
842652bffffffff,21.0,0.0,0.0,0.0
8426535ffffffff,11.0,0.0,0.0,0.0
842653dffffffff,8.0,0.0,0.0,0.0
8426a81ffffffff,24.0,0.0,0.0,0.0
8426a83ffffffff,6.0,0.0,0.0,0.0
8426a87ffffffff,182.0,0.0,0.0,0.0
8426a8bffffffff,27.0,0.0,0.0,0.0
8426a91ffffffff,50.0,0.0,0.0,0.0
8426a95ffffffff,681.0,0.0,0.0,0.0
8426a97ffffffff,39.0,0.0,0.0,0.0
8426a99ffffffff,3.0,0.0,0.0,0.0
8426a9bffffffff,3.0,0.0,0.0,0.0
8426a9dffffffff,14.0,0.0,0.0,0.0
8426ab1ffffffff,2.0,0.0,0.0,0.0
8426abbffffffff,13.0,0.0,0.0,0.0
8426abdffffffff,5.0,0.0,0.0,0.0
8426ad1ffffffff,6.0,0.0,0.0,0.0
8426ad3ffffffff,12.0,0.0,0.0,0.0
8426ad5ffffffff,1.0,0.0,0.0,0.0
8426ad7ffffffff,6.0,0.0,0.0,0.0
8426adbffffffff,24.0,0.0,0.0,0.0
8426c5bffffffff,2.0,0.0,0.0,0.0
8426e01ffffffff,7.0,0.0,0.0,0.0
8426e03ffffffff,21.0,0.0,0.0,0.0
8426e05ffffffff,2.0,0.0,0.0,0.0
8426e09ffffffff,22.0,0.0,0.0,0.0
8426e0bffffffff,26.0,0.0,0.0,0.0
8426e15ffffffff,5.0,0.0,0.0,0.0
8426e19ffffffff,2.0,0.0,0.0,0.0
8426e1dffffffff,5.0,0.0,0.0,0.0
8426e21ffffffff,2.0,0.0,0.0,0.0
8426e29ffffffff,2.0,0.0,0.0,0.0
8426e2dffffffff,31.0,0.0,0.0,0.0
8426e3bffffffff,5.0,0.0,0.0,0.0
8426e43ffffffff,172.0,0.0,0.0,0.0
8426e47ffffffff,3.0,0.0,0.0,0.0
8426e4bffffffff,12.0,0.0,0.0,0.0
8426e51ffffffff,3.0,0.0,0.0,0.0
8426e53ffffffff,6.0,0.0,0.0,0.0
8426e55ffffffff,60.0,0.0,0.0,0.0
8426e57ffffffff,53.0,0.0,0.0,0.0
8426e59ffffffff,1.0,0.0,0.0,0.0
8426e5dffffffff,128.0,0.0,0.0,0.0
8426e61ffffffff,5.0,0.0,0.0,0.0
8426e63ffffffff,7.0,0.0,0.0,0.0
8426e65ffffffff,7.0,0.0,0.0,0.0
8426e67ffffffff,54.0,0.0,0.0,0.0
8426e6bffffffff,1.0,0.0,0.0,0.0
8426e6dffffffff,2.0,0.0,0.0,0.0
8426ee1ffffffff,4.0,0.0,0.0,0.0
8426ee5ffffffff,2.0,0.0,0.0,0.0
8426eedffffffff,276.0,0.0,0.0,0.0
8426f09ffffffff,59.0,0.0,0.0,0.0
8426f0dffffffff,84.0,0.0,0.0,0.0
8426f41ffffffff,7.0,0.0,0.0,0.0
8426f43ffffffff,9.0,0.0,0.0,0.0
8426f47ffffffff,10.0,0.0,0.0,0.0
8426f51ffffffff,1.0,0.0,0.0,0.0
8426f55ffffffff,23.0,0.0,0.0,0.0
8426f59ffffffff,20.0,0.0,0.0,0.0
8426f5bffffffff,3.0,0.0,0.0,0.0
8426f5dffffffff,28.0,0.0,0.0,0.0
8426f6dffffffff,5.0,0.0,0.0,0.0
84270a5ffffffff,4.0,0.0,0.0,0.0
8427183ffffffff,52.0,0.0,0.0,0.0
8427191ffffffff,142.0,0.0,0.0,0.0
8427193ffffffff,51.0,0.0,0.0,0.0
8427195ffffffff,9.0,0.0,0.0,0.0
8427199ffffffff,14.0,0.0,0.0,0.0
842719bffffffff,11.0,0.0,0.0,0.0
842719dffffffff,13.0,0.0,0.0,0.0
84271d3ffffffff,1.0,0.0,0.0,0.0
84271d7ffffffff,1.0,0.0,0.0,0.0
8427513ffffffff,22.0,0.0,0.0,0.0
84275c5ffffffff,911.0,0.0,0.0,0.0
8448933ffffffff,5.0,0.0,0.0,4.0
8448937ffffffff,344.0,0.0,0.0,210.0
