cell_id,Thraupis episcopus,Thraupis episcopus [cana Group],Thraupis episcopus [episcopus Group]
836613fffffffff,1605.0,0.0,0.0
836615fffffffff,42.0,0.0,0.0
836616fffffffff,2279.0,0.0,0.0
836618fffffffff,2496.0,33.0,0.0
836619fffffffff,7251.0,31.0,0.0
83661afffffffff,531.0,5.0,0.0
83661bfffffffff,8355.0,350.0,0.0
83661cfffffffff,328.0,0.0,0.0
83661dfffffffff,1087.0,3.0,0.0
83661efffffffff,384.0,0.0,0.0
836620fffffffff,3170.0,130.0,0.0
836621fffffffff,735.0,4.0,0.0
836622fffffffff,2208.0,129.0,0.0
836623fffffffff,92.0,14.0,0.0
836625fffffffff,72.0,1.0,0.0
836628fffffffff,42.0,3.0,0.0
836629fffffffff,446.0,2.0,0.0
83662afffffffff,12.0,0.0,0.0
83662bfffffffff,317.0,9.0,0.0
83662cfffffffff,320.0,5.0,0.0
83662dfffffffff,210.0,0.0,0.0
83662efffffffff,209.0,8.0,0.0
836631fffffffff,892.0,3.0,0.0
836640fffffffff,5.0,0.0,0.0
836641fffffffff,1116.0,0.0,150.0
836642fffffffff,1.0,0.0,0.0
836643fffffffff,2.0,0.0,0.0
836644fffffffff,14.0,0.0,0.0
836645fffffffff,11.0,0.0,0.0
836646fffffffff,3.0,0.0,0.0
836648fffffffff,17.0,0.0,0.0
83664bfffffffff,2.0,0.0,0.0
83664efffffffff,5.0,0.0,0.0
836650fffffffff,74.0,0.0,0.0
836652fffffffff,765.0,0.0,0.0
836653fffffffff,7.0,0.0,0.0
836654fffffffff,447.0,0.0,0.0
836656fffffffff,1017.0,0.0,4.0
83665afffffffff,759.0,0.0,104.0
83665bfffffffff,273.0,0.0,58.0
83665cfffffffff,3.0,0.0,0.0
83665efffffffff,164.0,0.0,9.0
836660fffffffff,10.0,0.0,0.0
836661fffffffff,4.0,0.0,0.0
836662fffffffff,11.0,0.0,0.0
836663fffffffff,188.0,1.0,0.0
836664fffffffff,88.0,0.0,0.0
836666fffffffff,2.0,0.0,0.0
83666afffffffff,6.0,0.0,0.0
83666bfffffffff,2.0,0.0,0.0
83666cfffffffff,2.0,0.0,0.0
83666efffffffff,13.0,0.0,0.0
836670fffffffff,97.0,0.0,0.0
836671fffffffff,14.0,0.0,0.0
836672fffffffff,471.0,9.0,0.0
836673fffffffff,111.0,0.0,0.0
836674fffffffff,5.0,0.0,0.0
836675fffffffff,130.0,0.0,0.0
836676fffffffff,38.0,4.0,0.0
836684fffffffff,72.0,0.0,0.0
8366a0fffffffff,4467.0,0.0,0.0
8366a1fffffffff,1212.0,0.0,0.0
8366a2fffffffff,421.0,0.0,0.0
8366a3fffffffff,591.0,0.0,0.0
8366a5fffffffff,16012.0,0.0,0.0
8366a6fffffffff,910.0,0.0,0.0
8366adfffffffff,1.0,0.0,0.0
8366aefffffffff,43.0,0.0,0.0
8366b0fffffffff,3421.0,0.0,0.0
8366b1fffffffff,153.0,0.0,0.0
8366b4fffffffff,19650.0,0.0,0.0
8366b5fffffffff,12823.0,0.0,0.0
8366b6fffffffff,1013.0,0.0,0.0
8366c0fffffffff,1202.0,1.0,9.0
8366c1fffffffff,44.0,0.0,0.0
8366c2fffffffff,3604.0,2.0,210.0
8366c3fffffffff,64.0,0.0,0.0
8366c4fffffffff,1730.0,11.0,0.0
8366c5fffffffff,196.0,0.0,0.0
8366c6fffffffff,3080.0,42.0,0.0
8366c9fffffffff,16.0,0.0,0.0
8366cdfffffffff,14.0,0.0,0.0
8366cefffffffff,219.0,0.0,12.0
8366d0fffffffff,1574.0,164.0,0.0
8366d1fffffffff,293.0,0.0,16.0
8366d2fffffffff,452.0,30.0,0.0
8366d3fffffffff,15583.0,1681.0,0.0
8366d4fffffffff,191.0,20.0,0.0
8366d5fffffffff,307.0,7.0,0.0
8366d6fffffffff,23.0,2.0,0.0
8366d8fffffffff,92.0,0.0,11.0
8366dafffffffff,757.0,0.0,121.0
8366dbfffffffff,87.0,0.0,10.0
8366dcfffffffff,2550.0,0.0,532.0
8366ddfffffffff,177.0,0.0,20.0
8366defffffffff,5849.0,0.0,1477.0
8366e0fffffffff,4624.0,71.0,1.0
8366e1fffffffff,1625.0,2.0,5.0
8366e2fffffffff,668.0,2.0,0.0
8366e3fffffffff,381.0,2.0,0.0
8366e4fffffffff,5222.0,98.0,0.0
8366e5fffffffff,7202.0,20.0,74.0
8366e6fffffffff,17376.0,282.0,0.0
8366e8fffffffff,24.0,0.0,0.0
8366e9fffffffff,32.0,0.0,2.0
8366eafffffffff,9.0,0.0,2.0
8366ecfffffffff,1102.0,0.0,15.0
8366eefffffffff,697.0,0.0,15.0
8366f0fffffffff,2490.0,41.0,0.0
8366f1fffffffff,10275.0,134.0,0.0
8366f2fffffffff,1.0,0.0,0.0
8366f3fffffffff,186.0,2.0,0.0
8366f5fffffffff,6432.0,82.0,0.0
836740fffffffff,1.0,0.0,0.0
836741fffffffff,6269.0,60.0,0.0
836742fffffffff,600.0,0.0,0.0
836743fffffffff,1811.0,24.0,0.0
836748fffffffff,3.0,0.0,0.0
83674afffffffff,249.0,12.0,0.0
83674cfffffffff,3635.0,72.0,0.0
83674dfffffffff,16.0,0.0,0.0
83674efffffffff,1440.0,29.0,0.0
836750fffffffff,2.0,0.0,0.0
836751fffffffff,420.0,4.0,0.0
836752fffffffff,845.0,1.0,0.0
836753fffffffff,517.0,0.0,0.0
836755fffffffff,2818.0,1.0,0.0
836756fffffffff,11.0,0.0,0.0
836758fffffffff,42.0,0.0,0.0
836759fffffffff,93.0,3.0,0.0
83675afffffffff,535.0,4.0,0.0
83675bfffffffff,24.0,0.0,0.0
83675cfffffffff,2014.0,2.0,0.0
83675dfffffffff,86.0,2.0,0.0
83675efffffffff,261.0,2.0,0.0
83676bfffffffff,47.0,0.0,0.0
83678bfffffffff,29.0,0.0,0.0
836790fffffffff,40.0,0.0,0.0
836791fffffffff,18.0,0.0,0.0
836792fffffffff,72.0,0.0,0.0
836793fffffffff,77.0,0.0,0.0
836794fffffffff,52.0,0.0,0.0
836795fffffffff,7.0,0.0,0.0
836796fffffffff,295.0,0.0,0.0
83679afffffffff,8354.0,0.0,0.0
83679bfffffffff,2346.0,0.0,0.0
8367b2fffffffff,31.0,0.0,0.0
836d04fffffffff,93.0,4.0,0.0
836d05fffffffff,285.0,89.0,0.0
836d14fffffffff,6.0,0.0,0.0
836d15fffffffff,74.0,3.0,0.0
836d20fffffffff,43.0,0.0,0.0
836d21fffffffff,274.0,44.0,0.0
836d22fffffffff,33.0,5.0,0.0
836d23fffffffff,204.0,16.0,0.0
836d24fffffffff,61.0,0.0,0.0
836d25fffffffff,431.0,13.0,0.0
836d26fffffffff,6.0,0.0,0.0
836d28fffffffff,932.0,0.0,0.0
836d29fffffffff,647.0,4.0,0.0
836d2afffffffff,216.0,24.0,0.0
836d2bfffffffff,2388.0,0.0,0.0
836d2cfffffffff,851.0,158.0,0.0
836d2dfffffffff,952.0,97.0,0.0
836d2efffffffff,65.0,17.0,0.0
836d30fffffffff,425.0,32.0,0.0
836d31fffffffff,242.0,23.0,0.0
836d33fffffffff,3.0,0.0,0.0
836d34fffffffff,1342.0,87.0,0.0
836d35fffffffff,1943.0,11.0,0.0
836d36fffffffff,98.0,2.0,0.0
836d60fffffffff,458.0,0.0,0.0
836d61fffffffff,2106.0,0.0,0.0
836d63fffffffff,276.0,0.0,0.0
836d64fffffffff,1344.0,0.0,0.0
836d65fffffffff,2161.0,0.0,0.0
836d66fffffffff,277.0,0.0,0.0
836d68fffffffff,3925.0,0.0,0.0
836d69fffffffff,47616.0,0.0,0.0
836d6afffffffff,23.0,0.0,0.0
836d6bfffffffff,812.0,0.0,0.0
836d6cfffffffff,188.0,0.0,0.0
836d6dfffffffff,4140.0,0.0,0.0
836d6efffffffff,1149.0,0.0,0.0
836d74fffffffff,1156.0,0.0,0.0
836d75fffffffff,225.0,0.0,0.0
836d76fffffffff,37.0,0.0,0.0
838005fffffffff,1.0,0.0,0.0
838008fffffffff,4.0,0.0,2.0
83800cfffffffff,10.0,0.0,0.0
83802bfffffffff,3.0,0.0,0.0
838040fffffffff,6.0,0.0,0.0
838044fffffffff,204.0,0.0,0.0
838046fffffffff,275.0,0.0,1.0
838048fffffffff,9.0,0.0,0.0
83804cfffffffff,26.0,0.0,0.0
838054fffffffff,21.0,0.0,0.0
838055fffffffff,15.0,0.0,0.0
838061fffffffff,13.0,0.0,0.0
838062fffffffff,3.0,0.0,0.0
838063fffffffff,2.0,0.0,0.0
838065fffffffff,41.0,0.0,0.0
838066fffffffff,17.0,0.0,0.0
838068fffffffff,7.0,0.0,0.0
83806afffffffff,55.0,0.0,1.0
83806bfffffffff,48.0,0.0,0.0
83806cfffffffff,2.0,0.0,0.0
83806efffffffff,2.0,0.0,0.0
838071fffffffff,38.0,0.0,0.0
838072fffffffff,2.0,0.0,0.0
838073fffffffff,39.0,0.0,0.0
838074fffffffff,18.0,0.0,0.0
838075fffffffff,6.0,0.0,0.0
838140fffffffff,1.0,0.0,0.0
838141fffffffff,4.0,0.0,0.0
838143fffffffff,8.0,0.0,0.0
83814afffffffff,263.0,0.0,1.0
83814cfffffffff,5.0,0.0,0.0
83814dfffffffff,142.0,0.0,0.0
83814efffffffff,84.0,0.0,0.0
838151fffffffff,1.0,0.0,0.0
838159fffffffff,17.0,0.0,0.0
83815afffffffff,10.0,0.0,1.0
83815dfffffffff,102.0,0.0,0.0
838163fffffffff,4.0,0.0,0.0
838a00fffffffff,36.0,0.0,3.0
838a01fffffffff,11.0,0.0,2.0
838a04fffffffff,5.0,0.0,0.0
838a05fffffffff,81.0,0.0,1.0
838a10fffffffff,8.0,0.0,0.0
838a12fffffffff,2.0,0.0,0.0
838a14fffffffff,1.0,0.0,0.0
838a15fffffffff,5.0,0.0,2.0
838a18fffffffff,2.0,0.0,0.0
838a1afffffffff,34.0,0.0,1.0
838a20fffffffff,1.0,0.0,1.0
838a21fffffffff,10.0,0.0,0.0
838a22fffffffff,3.0,0.0,1.0
838a23fffffffff,13.0,0.0,2.0
838a24fffffffff,4.0,0.0,3.0
838a25fffffffff,8.0,0.0,1.0
838a2cfffffffff,2.0,0.0,0.0
838a2efffffffff,10.0,0.0,0.0
838a31fffffffff,49.0,0.0,5.0
838a33fffffffff,12.0,0.0,0.0
838a35fffffffff,4.0,0.0,0.0
838a41fffffffff,12.0,0.0,0.0
838a45fffffffff,1475.0,0.0,139.0
838a4bfffffffff,8.0,0.0,4.0
838a4efffffffff,2.0,0.0,0.0
838a52fffffffff,2.0,0.0,0.0
838a56fffffffff,2.0,0.0,0.0
838a5afffffffff,1.0,0.0,1.0
838a63fffffffff,129.0,0.0,43.0
838a68fffffffff,35.0,0.0,0.0
838a69fffffffff,356.0,0.0,16.0
838a6dfffffffff,1578.0,0.0,264.0
838a6efffffffff,4.0,0.0,0.0
838a70fffffffff,32.0,0.0,0.0
838a73fffffffff,17.0,0.0,3.0
838a75fffffffff,3.0,0.0,0.0
838a80fffffffff,32.0,0.0,1.0
838a81fffffffff,9.0,0.0,0.0
838a82fffffffff,18.0,0.0,0.0
838a85fffffffff,3.0,0.0,0.0
838a8cfffffffff,48.0,0.0,3.0
838a8dfffffffff,10.0,0.0,0.0
838a8efffffffff,6.0,0.0,0.0
838a90fffffffff,6.0,0.0,0.0
838a92fffffffff,33.0,0.0,0.0
838a9cfffffffff,61.0,0.0,2.0
838a9dfffffffff,6.0,0.0,0.0
838a9efffffffff,1.0,0.0,0.0
838aa8fffffffff,28.0,0.0,1.0
838aa9fffffffff,48.0,0.0,7.0
838aaafffffffff,61.0,0.0,5.0
838aabfffffffff,65.0,0.0,1.0
838aadfffffffff,8.0,0.0,0.0
838ab6fffffffff,3.0,0.0,0.0
838ad1fffffffff,33.0,0.0,0.0
838ad5fffffffff,1.0,0.0,0.0
838ad8fffffffff,21.0,0.0,2.0
838adafffffffff,130.0,0.0,10.0
838adbfffffffff,98.0,0.0,6.0
838adcfffffffff,59.0,0.0,6.0
838adefffffffff,8.0,0.0,0.0
838ae1fffffffff,1.0,0.0,0.0
838ae5fffffffff,21.0,0.0,0.0
838ae8fffffffff,2.0,0.0,0.0
838aeefffffffff,2.0,0.0,0.0
838af0fffffffff,115.0,0.0,14.0
838af1fffffffff,14.0,0.0,5.0
838af2fffffffff,480.0,0.0,57.0
838af4fffffffff,148.0,0.0,12.0
838af6fffffffff,1177.0,0.0,149.0
838b0afffffffff,3.0,0.0,0.0
838b0bfffffffff,4.0,0.0,0.0
838b0cfffffffff,8.0,0.0,0.0
838b0dfffffffff,5.0,0.0,0.0
838b10fffffffff,2.0,0.0,0.0
838b13fffffffff,1.0,0.0,0.0
838b1efffffffff,10.0,0.0,0.0
838b21fffffffff,6.0,0.0,0.0
838b29fffffffff,4.0,0.0,0.0
838b2afffffffff,1.0,0.0,0.0
838b2cfffffffff,24.0,0.0,0.0
838b2dfffffffff,1.0,0.0,0.0
838b2efffffffff,19.0,0.0,0.0
838b40fffffffff,108.0,0.0,3.0
838b42fffffffff,79.0,0.0,0.0
838b44fffffffff,690.0,0.0,97.0
838b45fffffffff,35.0,0.0,2.0
838b46fffffffff,52.0,0.0,0.0
838b48fffffffff,10.0,0.0,0.0
838b49fffffffff,2.0,0.0,0.0
838b4efffffffff,18.0,0.0,0.0
838b50fffffffff,5.0,0.0,0.0
838b51fffffffff,101.0,0.0,4.0
838b52fffffffff,12.0,0.0,1.0
838b53fffffffff,2.0,0.0,0.0
838b56fffffffff,81.0,0.0,2.0
838b5cfffffffff,90.0,0.0,11.0
838b5dfffffffff,12.0,0.0,0.0
838b61fffffffff,2290.0,0.0,303.0
838b62fffffffff,73.0,0.0,6.0
838b63fffffffff,744.0,0.0,51.0
838b66fffffffff,5.0,0.0,0.0
838b68fffffffff,2.0,0.0,0.0
838b69fffffffff,52.0,0.0,0.0
838b6cfffffffff,1579.0,0.0,186.0
838b6dfffffffff,7.0,0.0,0.0
838b6efffffffff,90.0,0.0,9.0
838b70fffffffff,8.0,0.0,0.0
838b71fffffffff,715.0,0.0,38.0
838b74fffffffff,49.0,0.0,4.0
838b75fffffffff,68.0,0.0,0.0
838b76fffffffff,7.0,0.0,0.0
838b82fffffffff,6.0,0.0,0.0
838b83fffffffff,4.0,0.0,0.0
838b84fffffffff,80.0,0.0,7.0
838b86fffffffff,2.0,0.0,0.0
838b88fffffffff,59.0,0.0,3.0
838b8afffffffff,5.0,0.0,0.0
838b8dfffffffff,2.0,0.0,0.0
838b98fffffffff,4.0,0.0,0.0
838b99fffffffff,118.0,0.0,2.0
838b9dfffffffff,611.0,0.0,20.0
838ba0fffffffff,28.0,0.0,16.0
838ba6fffffffff,2.0,0.0,0.0
838bb5fffffffff,13.0,0.0,6.0
838e60fffffffff,4.0,0.0,0.0
838e61fffffffff,6.0,0.0,0.0
838e62fffffffff,3595.0,25.0,5.0
838e64fffffffff,576.0,0.0,0.0
838e65fffffffff,162.0,0.0,0.0
838e66fffffffff,3.0,0.0,0.0
838e6cfffffffff,22.0,0.0,0.0
838e6dfffffffff,1.0,0.0,0.0
838e6efffffffff,1.0,0.0,0.0
838e75fffffffff,32.0,0.0,0.0
838f08fffffffff,26.0,0.0,0.0
838f09fffffffff,203.0,0.0,0.0
838f0bfffffffff,15.0,0.0,0.0
838f0dfffffffff,2113.0,89.0,23.0
838f28fffffffff,176.0,7.0,0.0
838f29fffffffff,464.0,2.0,0.0
838f2afffffffff,1218.0,47.0,0.0
838f2bfffffffff,1763.0,198.0,0.0
838f2cfffffffff,532.0,24.0,0.0
838f2dfffffffff,177.0,0.0,4.0
838f2efffffffff,433.0,37.0,0.0
838f40fffffffff,978.0,0.0,201.0
838f41fffffffff,2.0,0.0,0.0
838f42fffffffff,87.0,0.0,4.0
838f43fffffffff,197.0,0.0,32.0
838f44fffffffff,37.0,0.0,2.0
838f46fffffffff,1532.0,0.0,356.0
838f48fffffffff,87.0,0.0,12.0
838f49fffffffff,2.0,0.0,0.0
838f4afffffffff,324.0,0.0,10.0
838f4bfffffffff,39.0,0.0,0.0
838f4cfffffffff,83.0,0.0,5.0
838f4efffffffff,12.0,0.0,0.0
838f50fffffffff,1063.0,0.0,0.0
838f51fffffffff,38.0,0.0,0.0
838f53fffffffff,60.0,0.0,0.0
838f54fffffffff,533.0,0.0,86.0
838f55fffffffff,1006.0,0.0,221.0
838f56fffffffff,79.0,0.0,0.0
838f58fffffffff,2.0,0.0,0.0
838f59fffffffff,69.0,0.0,6.0
838f5bfffffffff,2.0,2.0,0.0
838f5cfffffffff,9.0,0.0,0.0
838f5dfffffffff,107.0,0.0,6.0
838f5efffffffff,1.0,0.0,0.0
838f61fffffffff,446.0,0.0,57.0
838f63fffffffff,5.0,0.0,0.0
838f65fffffffff,3.0,0.0,0.0
838f6bfffffffff,32.0,0.0,14.0
838f6cfffffffff,25.0,0.0,15.0
838f6efffffffff,47.0,0.0,7.0
838f70fffffffff,261.0,0.0,34.0
838f71fffffffff,53.0,0.0,12.0
838f72fffffffff,1928.0,0.0,422.0
838f73fffffffff,113.0,0.0,6.0
838f74fffffffff,320.0,0.0,38.0
838f76fffffffff,691.0,0.0,47.0
83a859fffffffff,9.0,0.0,0.0
83a85dfffffffff,6.0,0.0,2.0
83a8c9fffffffff,1.0,0.0,0.0
83b324fffffffff,8.0,0.0,0.0
83b325fffffffff,28.0,0.0,0.0
