cell_id,Pachyramphus major,Pachyramphus major uropygialis,Pachyramphus major [major Group]
8448369ffffffff,9.0,0.0,0.0
844836dffffffff,25.0,3.0,0.0
8448a21ffffffff,239.0,0.0,0.0
8448a29ffffffff,4.0,0.0,0.0
8448a2dffffffff,21.0,0.0,0.0
8448b5bffffffff,6.0,0.0,0.0
8448e47ffffffff,1.0,0.0,0.0
8448e49ffffffff,5.0,0.0,0.0
8448e4dffffffff,18.0,0.0,0.0
8449801ffffffff,2.0,0.0,0.0
8449809ffffffff,13.0,2.0,0.0
8449855ffffffff,7.0,0.0,0.0
8449857ffffffff,5.0,0.0,0.0
8449863ffffffff,5.0,0.0,0.0
844986dffffffff,5.0,0.0,0.0
8449911ffffffff,3.0,0.0,0.0
8449913ffffffff,2.0,0.0,0.0
8449917ffffffff,1.0,0.0,0.0
8449945ffffffff,1.0,0.0,0.0
8449959ffffffff,35.0,0.0,0.0
8449963ffffffff,12.0,0.0,2.0
8449981ffffffff,9.0,0.0,0.0
8449987ffffffff,106.0,0.0,1.0
84499a3ffffffff,2.0,0.0,0.0
84499b5ffffffff,3.0,0.0,0.0
84499b7ffffffff,1.0,0.0,0.0
84499bdffffffff,1.0,0.0,0.0
84499c5ffffffff,8.0,0.0,0.0
8449a81ffffffff,7.0,0.0,0.0
8449a83ffffffff,3.0,2.0,0.0
8449a85ffffffff,31.0,4.0,0.0
8449a8bffffffff,1.0,0.0,0.0
8449a8dffffffff,13.0,0.0,0.0
8449a91ffffffff,47.0,6.0,0.0
8449a93ffffffff,34.0,3.0,0.0
8449a95ffffffff,4.0,0.0,0.0
8449a97ffffffff,3.0,0.0,0.0
8449aa3ffffffff,12.0,0.0,0.0
8449aa9ffffffff,2.0,0.0,0.0
8449ab1ffffffff,54.0,1.0,0.0
8449ab5ffffffff,27.0,0.0,0.0
8449abdffffffff,2.0,0.0,0.0
8449ad7ffffffff,1.0,0.0,0.0
8449b19ffffffff,2.0,0.0,0.0
8449b1dffffffff,4.0,0.0,0.0
8449b33ffffffff,6.0,0.0,0.0
8449b53ffffffff,16.0,0.0,0.0
8467925ffffffff,1.0,0.0,0.0
846d04bffffffff,4.0,0.0,0.0
846d059ffffffff,14.0,0.0,0.0
846d05bffffffff,77.0,0.0,0.0
846d207ffffffff,14.0,0.0,0.0
846d21bffffffff,1.0,0.0,0.0
846d21dffffffff,3.0,0.0,0.0
846d223ffffffff,2.0,0.0,0.0
846d239ffffffff,7.0,0.0,0.0
846d23bffffffff,3.0,0.0,0.0
846d23dffffffff,10.0,0.0,0.0
846d283ffffffff,13.0,0.0,0.0
846d287ffffffff,11.0,0.0,0.0
846d291ffffffff,20.0,0.0,0.0
846d295ffffffff,25.0,0.0,0.0
846d297ffffffff,2.0,0.0,0.0
846d2a1ffffffff,2.0,0.0,0.0
846d2a9ffffffff,10.0,0.0,0.0
846d2abffffffff,8.0,0.0,0.0
846d2b9ffffffff,189.0,0.0,0.0
846d2bbffffffff,1.0,0.0,0.0
846d2c3ffffffff,5.0,0.0,0.0
846d2c7ffffffff,2.0,0.0,0.0
846d2c9ffffffff,9.0,0.0,0.0
846d2cbffffffff,2.0,0.0,0.0
846d2d1ffffffff,15.0,0.0,0.0
846d2d7ffffffff,284.0,0.0,0.0
846d2e5ffffffff,16.0,0.0,0.0
846d2e7ffffffff,3.0,0.0,0.0
846d2e9ffffffff,2.0,0.0,0.0
846d2ebffffffff,6.0,0.0,0.0
846d305ffffffff,46.0,0.0,0.0
846d30dffffffff,4.0,0.0,0.0
846d32bffffffff,88.0,0.0,0.0
846d335ffffffff,5.0,0.0,0.0
846d337ffffffff,51.0,0.0,0.0
846d34bffffffff,9.0,0.0,0.0
846d35dffffffff,4.0,0.0,0.0
846d36dffffffff,3.0,0.0,0.0
846d651ffffffff,113.0,0.0,0.0
846d653ffffffff,2.0,0.0,0.0
846d655ffffffff,64.0,0.0,0.0
846d657ffffffff,2.0,0.0,0.0
