cell_id,Horornis fortipes,Horornis fortipes [fortipes Group],Horornis fortipes robustipes
843c5d5ffffffff,3.0,0.0,0.0
843c5ddffffffff,2.0,0.0,0.0
843c5e1ffffffff,1.0,0.0,0.0
843c5e3ffffffff,3.0,0.0,0.0
843c5ebffffffff,21.0,0.0,0.0
843cd8bffffffff,63.0,2.0,0.0
843ce31ffffffff,33.0,0.0,0.0
843ce33ffffffff,4.0,0.0,0.0
843ce3bffffffff,13.0,0.0,0.0
843ce43ffffffff,1.0,0.0,0.0
843ce49ffffffff,1.0,0.0,0.0
843ce4bffffffff,24.0,0.0,0.0
843ce4dffffffff,3.0,0.0,0.0
843ce51ffffffff,16.0,0.0,0.0
843ce53ffffffff,39.0,0.0,0.0
843ce57ffffffff,1.0,0.0,0.0
843ce59ffffffff,36.0,0.0,0.0
843ce5bffffffff,29.0,0.0,0.0
843ce5dffffffff,14.0,0.0,0.0
843ce81ffffffff,1.0,0.0,0.0
843ce83ffffffff,22.0,0.0,0.0
843ce85ffffffff,126.0,0.0,0.0
843ce87ffffffff,22.0,0.0,0.0
843ce8bffffffff,3.0,0.0,0.0
843ce95ffffffff,70.0,0.0,0.0
843cea1ffffffff,19.0,0.0,0.0
843cebdffffffff,19.0,0.0,0.0
843d101ffffffff,12.0,0.0,0.0
843d103ffffffff,37.0,0.0,0.0
843d107ffffffff,12.0,0.0,0.0
843d109ffffffff,99.0,0.0,0.0
843d111ffffffff,43.0,0.0,0.0
843d113ffffffff,2.0,0.0,0.0
843d115ffffffff,23.0,0.0,0.0
843d117ffffffff,4.0,0.0,0.0
843d119ffffffff,5.0,0.0,0.0
843d11dffffffff,1.0,0.0,0.0
843d131ffffffff,1.0,0.0,0.0
843d137ffffffff,3.0,0.0,0.0
843d139ffffffff,19.0,0.0,0.0
843d13bffffffff,3.0,0.0,0.0
843d13dffffffff,1.0,0.0,0.0
843d143ffffffff,2.0,0.0,0.0
843d14bffffffff,1.0,0.0,0.0
843d151ffffffff,82.0,0.0,0.0
843d153ffffffff,12.0,0.0,0.0
843d155ffffffff,42.0,0.0,0.0
843d157ffffffff,75.0,0.0,0.0
843d159ffffffff,6.0,0.0,0.0
843d15dffffffff,82.0,0.0,0.0
843d1a9ffffffff,6.0,0.0,0.0
843d1adffffffff,1.0,0.0,0.0
843d1e1ffffffff,2.0,0.0,0.0
843d1e7ffffffff,76.0,0.0,0.0
843d1e9ffffffff,10.0,0.0,0.0
843d1edffffffff,38.0,0.0,0.0
843d301ffffffff,42.0,0.0,0.0
843d303ffffffff,5.0,0.0,0.0
843d305ffffffff,7.0,0.0,0.0
843d307ffffffff,18.0,0.0,0.0
843d30dffffffff,8.0,0.0,0.0
843d31dffffffff,27.0,0.0,0.0
843d333ffffffff,25.0,0.0,0.0
843d335ffffffff,8.0,0.0,0.0
843d337ffffffff,4.0,0.0,0.0
843d339ffffffff,2.0,0.0,0.0
843d33dffffffff,68.0,0.0,0.0
843d343ffffffff,3.0,0.0,0.0
843d345ffffffff,10.0,0.0,0.0
843d349ffffffff,2.0,0.0,0.0
843d34bffffffff,27.0,0.0,0.0
843d34dffffffff,5.0,0.0,0.0
843d355ffffffff,1.0,0.0,0.0
843d35dffffffff,61.0,0.0,0.0
843d363ffffffff,9.0,0.0,0.0
843d36bffffffff,3.0,0.0,0.0
843dad1ffffffff,49.0,0.0,0.0
843dad9ffffffff,13.0,0.0,0.0
843dadbffffffff,4.0,0.0,0.0
843daddffffffff,2.0,0.0,0.0
8440023ffffffff,2.0,0.0,0.0
8440035ffffffff,2.0,0.0,0.0
8440041ffffffff,1.0,0.0,0.0
844004dffffffff,2.0,0.0,0.0
84400a5ffffffff,12.0,0.0,0.0
84400c1ffffffff,18.0,0.0,0.0
84400c7ffffffff,4.0,0.0,0.0
8440125ffffffff,2.0,0.0,0.0
8440133ffffffff,7.0,0.0,0.0
8440135ffffffff,2.0,0.0,0.0
84401dbffffffff,26.0,0.0,0.0
844020bffffffff,4.0,0.0,0.0
844022bffffffff,6.0,0.0,0.0
84402a3ffffffff,2.0,0.0,0.0
84402d7ffffffff,22.0,0.0,0.0
844030dffffffff,12.0,0.0,0.0
8440349ffffffff,2.0,0.0,0.0
844034bffffffff,2.0,0.0,0.0
8440363ffffffff,4.0,0.0,0.0
844036dffffffff,7.0,0.0,0.0
8440403ffffffff,2.0,0.0,0.0
8440457ffffffff,4.0,0.0,0.0
84404c1ffffffff,18.0,0.0,0.0
84404c3ffffffff,3.0,0.0,0.0
84404c5ffffffff,10.0,0.0,0.0
84404cbffffffff,2.0,0.0,0.0
84404cdffffffff,2.0,0.0,0.0
84404ddffffffff,36.0,0.0,0.0
84404e1ffffffff,8.0,0.0,0.0
84404e7ffffffff,1.0,0.0,0.0
84404e9ffffffff,1.0,0.0,0.0
84404edffffffff,4.0,0.0,0.0
8440527ffffffff,2.0,0.0,0.0
8440529ffffffff,5.0,0.0,0.0
844052dffffffff,11.0,0.0,0.0
8440591ffffffff,10.0,0.0,0.0
84405d7ffffffff,1.0,0.0,0.0
844066dffffffff,6.0,0.0,0.0
84406b7ffffffff,3.0,0.0,0.0
8440711ffffffff,2.0,0.0,0.0
8440717ffffffff,3.0,0.0,0.0
844083bffffffff,2.0,0.0,0.0
8440899ffffffff,11.0,0.0,0.0
844089dffffffff,7.0,0.0,0.0
84408d3ffffffff,2.0,0.0,0.0
844095dffffffff,2.0,0.0,0.0
8440a45ffffffff,2.0,0.0,0.0
8440a61ffffffff,1.0,0.0,0.0
8440a69ffffffff,3.0,0.0,0.0
8440a8bffffffff,2.0,0.0,0.0
8440a8dffffffff,2.0,0.0,0.0
8440ac5ffffffff,9.0,0.0,0.0
8440ac9ffffffff,2.0,0.0,0.0
8440b51ffffffff,42.0,0.0,0.0
8440b53ffffffff,59.0,0.0,0.0
8440c29ffffffff,4.0,0.0,0.0
8440c2dffffffff,6.0,0.0,0.0
8440c41ffffffff,2.0,0.0,0.0
8440c43ffffffff,2.0,0.0,0.0
8440c45ffffffff,2.0,0.0,0.0
8440c49ffffffff,2.0,0.0,0.0
8440c4bffffffff,3.0,1.0,0.0
8440c59ffffffff,76.0,2.0,0.0
8440c61ffffffff,11.0,1.0,0.0
8440c67ffffffff,1.0,0.0,0.0
8440c69ffffffff,2.0,0.0,0.0
8440c6bffffffff,2.0,0.0,0.0
8440c6dffffffff,39.0,0.0,0.0
8440e11ffffffff,23.0,0.0,0.0
8440e13ffffffff,149.0,6.0,0.0
8440e17ffffffff,6.0,0.0,0.0
8440e1bffffffff,2.0,0.0,0.0
8440e31ffffffff,3.0,0.0,0.0
8440e33ffffffff,13.0,0.0,0.0
8440e35ffffffff,4.0,0.0,0.0
8440e37ffffffff,32.0,0.0,0.0
8440e39ffffffff,3.0,0.0,0.0
8440e3bffffffff,7.0,0.0,0.0
8440e3dffffffff,34.0,0.0,0.0
8440e5bffffffff,18.0,1.0,0.0
8440ec1ffffffff,4.0,0.0,0.0
8440ec5ffffffff,15.0,0.0,0.0
8440ee5ffffffff,23.0,1.0,0.0
8440ee9ffffffff,8.0,0.0,0.0
8440eebffffffff,13.0,0.0,0.0
8440eedffffffff,18.0,0.0,0.0
8440f13ffffffff,4.0,0.0,0.0
8440f17ffffffff,4.0,0.0,0.0
8440f39ffffffff,2.0,0.0,0.0
8441035ffffffff,9.0,0.0,0.0
8441037ffffffff,80.0,0.0,0.0
844112bffffffff,2.0,0.0,0.0
8441139ffffffff,1.0,0.0,0.0
8441189ffffffff,2.0,0.0,0.0
844118bffffffff,18.0,0.0,0.0
8441199ffffffff,3.0,0.0,0.0
844119dffffffff,4.0,0.0,0.0
84411a5ffffffff,6.0,0.0,0.0
84411a7ffffffff,1.0,0.0,0.0
84411adffffffff,3.0,0.0,0.0
84411b5ffffffff,16.0,0.0,0.0
84411bdffffffff,4.0,0.0,0.0
84411c1ffffffff,7.0,1.0,0.0
84411c5ffffffff,1.0,0.0,0.0
84411c9ffffffff,52.0,3.0,0.0
84411cbffffffff,205.0,43.0,0.0
84411d1ffffffff,2.0,0.0,0.0
84411d5ffffffff,8.0,0.0,0.0
84411d7ffffffff,5.0,0.0,0.0
84411ddffffffff,3.0,0.0,0.0
84411e3ffffffff,2.0,0.0,0.0
8441433ffffffff,4.0,0.0,0.0
8441517ffffffff,3.0,0.0,0.0
8441539ffffffff,2.0,0.0,0.0
844153bffffffff,5.0,0.0,0.0
844153dffffffff,1.0,0.0,0.0
8441541ffffffff,9.0,0.0,0.0
8441585ffffffff,1.0,0.0,0.0
8441593ffffffff,11.0,0.0,0.0
8441599ffffffff,6.0,0.0,0.0
844159bffffffff,18.0,0.0,0.0
84415c3ffffffff,11.0,0.0,0.0
84415e7ffffffff,2.0,0.0,0.0
84415edffffffff,21.0,0.0,0.0
8441833ffffffff,7.0,0.0,0.0
8441837ffffffff,16.0,0.0,0.0
844184bffffffff,2.0,0.0,0.0
8441859ffffffff,9.0,0.0,0.0
8441863ffffffff,3.0,0.0,0.0
8441891ffffffff,4.0,0.0,0.0
84418a1ffffffff,2.0,0.0,0.0
84418c9ffffffff,1.0,0.0,0.0
8441901ffffffff,6.0,0.0,0.0
8441907ffffffff,2.0,0.0,0.0
844190bffffffff,2.0,0.0,0.0
8441911ffffffff,14.0,0.0,0.0
8441915ffffffff,2.0,1.0,0.0
8441919ffffffff,23.0,0.0,0.0
844191bffffffff,5.0,0.0,0.0
8441921ffffffff,53.0,0.0,0.0
8441925ffffffff,14.0,0.0,0.0
8441929ffffffff,8.0,0.0,0.0
844192bffffffff,12.0,1.0,0.0
844192dffffffff,127.0,1.0,0.0
844193bffffffff,2.0,0.0,0.0
844193dffffffff,1.0,0.0,0.0
8441949ffffffff,9.0,0.0,0.0
844195dffffffff,3.0,0.0,0.0
8441967ffffffff,2.0,0.0,0.0
844196bffffffff,1.0,1.0,0.0
844196dffffffff,2.0,1.0,0.0
8441993ffffffff,2.0,0.0,0.0
84419a1ffffffff,2.0,0.0,0.0
84419bbffffffff,2.0,0.0,0.0
84419d5ffffffff,5.0,0.0,0.0
84419dbffffffff,2.0,0.0,0.0
84419ddffffffff,14.0,0.0,0.0
8441a09ffffffff,88.0,0.0,0.0
8441a0bffffffff,6.0,0.0,0.0
8441a43ffffffff,483.0,16.0,0.0
8441a55ffffffff,316.0,22.0,0.0
8441a97ffffffff,2.0,0.0,0.0
8441b05ffffffff,2.0,0.0,0.0
8441b21ffffffff,4.0,0.0,0.0
8441b29ffffffff,3.0,0.0,0.0
8441b2dffffffff,1.0,0.0,0.0
8441b31ffffffff,6.0,1.0,0.0
8441b35ffffffff,7.0,0.0,0.0
8441b37ffffffff,6.0,0.0,0.0
8441b43ffffffff,2795.0,143.0,0.0
8441b51ffffffff,4.0,0.0,0.0
8441b53ffffffff,13.0,0.0,0.0
8441b55ffffffff,572.0,25.0,0.0
8441b5dffffffff,1833.0,85.0,0.0
8441b61ffffffff,9.0,0.0,0.0
8441b65ffffffff,16.0,1.0,0.0
844269bffffffff,9.0,0.0,0.0
844b265ffffffff,4.0,0.0,0.0
844b26dffffffff,24.0,0.0,0.0
844b30bffffffff,23.0,0.0,0.0
844b321ffffffff,3.0,0.0,0.0
844b325ffffffff,7.0,0.0,0.0
844b32dffffffff,1.0,1.0,0.0
844b343ffffffff,3.0,0.0,0.0
844b349ffffffff,12.0,0.0,0.0
844b351ffffffff,10.0,0.0,0.0
844b353ffffffff,1.0,0.0,0.0
844b355ffffffff,1.0,0.0,0.0
844b35dffffffff,10.0,0.0,0.0
844b841ffffffff,3.0,0.0,0.0
844b84dffffffff,2.0,0.0,0.0
844b869ffffffff,2.0,0.0,0.0
844ba01ffffffff,128.0,0.0,7.0
844ba03ffffffff,229.0,0.0,20.0
844ba05ffffffff,229.0,0.0,32.0
844ba07ffffffff,613.0,0.0,52.0
844ba09ffffffff,2.0,0.0,0.0
844ba0bffffffff,6.0,0.0,2.0
844ba15ffffffff,2.0,0.0,0.0
844ba1dffffffff,4.0,0.0,0.0
844ba21ffffffff,365.0,0.0,7.0
844ba23ffffffff,1.0,0.0,0.0
844ba25ffffffff,22.0,0.0,2.0
844ba27ffffffff,370.0,0.0,13.0
844ba29ffffffff,29.0,0.0,1.0
844ba2bffffffff,1055.0,0.0,36.0
844ba39ffffffff,12.0,0.0,2.0
844ba3dffffffff,42.0,0.0,0.0
844ba57ffffffff,9.0,0.0,0.0
844bb1bffffffff,42.0,0.0,4.0
