cell_id,Pteruthius aeralatus,Pteruthius aeralatus ripleyi,Pteruthius aeralatus validirostris,Pteruthius aeralatus ricketti,Pteruthius aeralatus [aeralatus Group],Pteruthius aeralatus annamensis
83404cfffffffff,177.0,0.0,0.0,3.0,0.0,0.0
83404dfffffffff,56.0,0.0,0.0,0.0,0.0,0.0
83404efffffffff,8.0,0.0,0.0,0.0,0.0,0.0
834059fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
83405dfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
834061fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
834065fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
834066fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
834069fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83406bfffffffff,50.0,0.0,0.0,0.0,0.0,0.0
83406dfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
834071fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8340c6fffffffff,16.0,0.0,0.0,0.0,0.0,0.0
8340e1fffffffff,28.0,0.0,0.0,0.0,0.0,0.0
8340e3fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
8340eefffffffff,4.0,0.0,0.0,0.0,0.0,0.0
83411bfffffffff,7.0,0.0,0.0,5.0,0.0,0.0
83414cfffffffff,29.0,0.0,0.0,0.0,3.0,0.0
834159fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
83415afffffffff,11.0,0.0,0.0,0.0,0.0,0.0
83415cfffffffff,19.0,0.0,0.0,5.0,0.0,0.0
83415dfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
834160fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
834161fffffffff,13.0,0.0,0.0,0.0,5.0,0.0
834165fffffffff,35.0,0.0,0.0,0.0,2.0,0.0
83416efffffffff,3.0,0.0,0.0,0.0,0.0,0.0
834170fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
834171fffffffff,104.0,0.0,0.0,24.0,0.0,0.0
834185fffffffff,45.0,0.0,0.0,7.0,0.0,0.0
834186fffffffff,6.0,0.0,0.0,2.0,0.0,0.0
8341a3fffffffff,2.0,0.0,0.0,2.0,0.0,0.0
8341b3fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
836416fffffffff,214.0,0.0,0.0,0.0,55.0,0.0
836480fffffffff,12.0,0.0,0.0,0.0,10.0,0.0
836482fffffffff,917.0,0.0,0.0,0.0,270.0,0.0
836484fffffffff,11.0,0.0,0.0,0.0,2.0,0.0
836490fffffffff,56.0,0.0,0.0,0.0,27.0,0.0
836491fffffffff,847.0,0.0,0.0,0.0,247.0,0.0
836492fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
836494fffffffff,27.0,0.0,0.0,0.0,9.0,0.0
836498fffffffff,21.0,0.0,0.0,2.0,2.0,0.0
83649bfffffffff,6.0,0.0,2.0,0.0,0.0,0.0
83649cfffffffff,12.0,0.0,0.0,0.0,12.0,0.0
8364a3fffffffff,75.0,0.0,0.0,0.0,29.0,0.0
8364a5fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8364b0fffffffff,14.0,0.0,0.0,0.0,5.0,0.0
8364b1fffffffff,8.0,0.0,0.0,0.0,6.0,0.0
8364b5fffffffff,1.0,0.0,0.0,0.0,1.0,0.0
836500fffffffff,402.0,0.0,0.0,0.0,36.0,0.0
836503fffffffff,42.0,0.0,0.0,0.0,0.0,0.0
836505fffffffff,45.0,0.0,0.0,0.0,2.0,0.0
83650dfffffffff,11.0,0.0,0.0,0.0,4.0,0.0
83651cfffffffff,6.0,0.0,0.0,0.0,0.0,0.0
83652dfffffffff,10.0,0.0,0.0,0.0,0.0,0.0
836554fffffffff,12.0,0.0,0.0,0.0,7.0,0.0
836556fffffffff,15.0,0.0,0.0,0.0,1.0,0.0
836580fffffffff,58.0,0.0,0.0,0.0,0.0,0.0
836581fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
836585fffffffff,24.0,0.0,0.0,0.0,0.0,0.0
836599fffffffff,31.0,0.0,0.0,0.0,18.0,0.0
8365b2fffffffff,7.0,0.0,0.0,0.0,0.0,7.0
8365b6fffffffff,239.0,0.0,0.0,0.0,0.0,231.0
836802fffffffff,2.0,0.0,0.0,0.0,2.0,0.0
836811fffffffff,773.0,0.0,0.0,0.0,194.0,0.0
836813fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83689afffffffff,7.0,0.0,0.0,0.0,7.0,0.0
8368acfffffffff,14.0,0.0,0.0,0.0,4.0,0.0
836934fffffffff,25.0,0.0,0.0,0.0,8.0,0.0
838c1afffffffff,8.0,0.0,0.0,0.0,3.0,0.0
838cd0fffffffff,28.0,0.0,0.0,0.0,10.0,0.0
838cd3fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
838cd5fffffffff,24.0,0.0,0.0,0.0,4.0,0.0
838cf4fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
