cell_id,Trogon chrysochloros,Trogon chrysochloros muriciensis,Trogon chrysochloros chrysochloros
84a8239ffffffff,1.0,0.0,0.0
84a824bffffffff,1.0,0.0,0.0
84a8251ffffffff,1.0,0.0,0.0
84a8267ffffffff,3.0,0.0,0.0
84a826dffffffff,3.0,0.0,0.0
84a8287ffffffff,9.0,0.0,0.0
84a82a5ffffffff,3.0,0.0,0.0
84a82d3ffffffff,10.0,0.0,0.0
84a82dbffffffff,4.0,0.0,0.0
84a82e7ffffffff,4.0,0.0,0.0
84a8311ffffffff,19.0,0.0,0.0
84a8313ffffffff,22.0,0.0,0.0
84a8317ffffffff,2.0,0.0,0.0
84a8319ffffffff,15.0,0.0,0.0
84a831bffffffff,21.0,0.0,0.0
84a8333ffffffff,1.0,0.0,0.0
84a833bffffffff,35.0,0.0,0.0
84a8351ffffffff,1.0,0.0,0.0
84a8353ffffffff,83.0,0.0,0.0
84a8357ffffffff,6.0,0.0,0.0
84a8359ffffffff,9.0,0.0,0.0
84a835bffffffff,13.0,0.0,0.0
84a835dffffffff,1.0,0.0,0.0
84a8629ffffffff,5.0,0.0,0.0
84a8759ffffffff,1.0,0.0,0.0
84a8801ffffffff,3.0,0.0,0.0
84a8805ffffffff,7.0,0.0,0.0
84a8821ffffffff,1.0,0.0,0.0
84a8825ffffffff,6.0,0.0,0.0
84a882dffffffff,72.0,0.0,0.0
84a8849ffffffff,43.0,0.0,0.0
84a884dffffffff,4.0,0.0,0.0
84a8867ffffffff,3.0,0.0,0.0
84a8917ffffffff,7.0,0.0,0.0
84a8919ffffffff,27.0,0.0,0.0
84a8953ffffffff,12.0,0.0,0.0
84a8a03ffffffff,2.0,0.0,0.0
84a8a11ffffffff,8.0,0.0,0.0
84a8a13ffffffff,52.0,0.0,0.0
84a8a15ffffffff,4.0,0.0,0.0
84a8a17ffffffff,16.0,0.0,0.0
84a8a19ffffffff,21.0,0.0,0.0
84a8a1dffffffff,10.0,0.0,0.0
84a8a23ffffffff,114.0,0.0,0.0
84a8a27ffffffff,34.0,0.0,0.0
84a8a39ffffffff,1.0,0.0,0.0
84a8a3bffffffff,1.0,0.0,0.0
84a8a3dffffffff,47.0,0.0,0.0
84a8a53ffffffff,13.0,0.0,0.0
84a8acdffffffff,6.0,0.0,0.0
84a8ae9ffffffff,1.0,0.0,0.0
84a8b13ffffffff,5.0,0.0,0.0
84a9033ffffffff,3.0,0.0,0.0
84a90c3ffffffff,2.0,0.0,0.0
84a90d5ffffffff,4.0,0.0,0.0
84a90e1ffffffff,2.0,0.0,0.0
84a90e5ffffffff,30.0,0.0,0.0
84a9195ffffffff,21.0,0.0,0.0
84a91b1ffffffff,20.0,0.0,0.0
84a91b3ffffffff,4.0,0.0,0.0
84a91b7ffffffff,4.0,0.0,0.0
84a91bbffffffff,3.0,0.0,0.0
84a91d7ffffffff,1.0,0.0,0.0
84a91d9ffffffff,33.0,0.0,0.0
84a9425ffffffff,70.0,0.0,0.0
84a9427ffffffff,11.0,0.0,0.0
84a942dffffffff,18.0,0.0,0.0
84a9431ffffffff,1.0,0.0,0.0
84a943dffffffff,68.0,0.0,0.0
84a9465ffffffff,72.0,0.0,0.0
84a9501ffffffff,27.0,0.0,0.0
84a9503ffffffff,5.0,0.0,0.0
84a9507ffffffff,88.0,0.0,0.0
84a9509ffffffff,40.0,0.0,0.0
84a950bffffffff,50.0,0.0,0.0
84a950dffffffff,39.0,0.0,0.0
84a9511ffffffff,2.0,0.0,0.0
84a9515ffffffff,3.0,0.0,0.0
84a951bffffffff,1.0,0.0,0.0
84a9521ffffffff,1.0,0.0,0.0
84a9525ffffffff,2.0,0.0,0.0
84a9527ffffffff,6.0,0.0,0.0
84a9531ffffffff,119.0,0.0,0.0
84a9533ffffffff,146.0,0.0,0.0
84a9539ffffffff,5.0,0.0,0.0
84a953bffffffff,950.0,0.0,0.0
84a953dffffffff,2.0,0.0,0.0
84a9547ffffffff,3.0,0.0,0.0
84a9551ffffffff,10.0,0.0,0.0
84a9553ffffffff,2.0,0.0,0.0
84a9555ffffffff,12.0,0.0,0.0
84a9557ffffffff,12.0,0.0,0.0
84a9559ffffffff,8.0,0.0,0.0
84a955bffffffff,35.0,0.0,0.0
84a955dffffffff,2.0,0.0,0.0
84a9589ffffffff,2.0,0.0,0.0
84a95a5ffffffff,3.0,0.0,0.0
84a95abffffffff,36.0,0.0,0.0
84a95adffffffff,2.0,0.0,0.0
84a95b3ffffffff,2.0,0.0,0.0
84a95c3ffffffff,3.0,0.0,0.0
84a95c5ffffffff,13.0,0.0,0.0
84a95c9ffffffff,45.0,0.0,0.0
84a95edffffffff,56.0,0.0,0.0
84a9717ffffffff,6.0,0.0,0.0
84a9733ffffffff,23.0,0.0,0.0
84a973bffffffff,7.0,0.0,0.0
