cell_id,Rauenia bonariensis,Rauenia bonariensis darwinii,Rauenia bonariensis [bonariensis Group]
838f76fffffffff,151.0,10.0,0.0
83a800fffffffff,4.0,0.0,0.0
83a801fffffffff,11.0,0.0,0.0
83a802fffffffff,6.0,0.0,0.0
83a803fffffffff,2.0,0.0,0.0
83a804fffffffff,52.0,0.0,0.0
83a805fffffffff,7.0,0.0,0.0
83a806fffffffff,19.0,0.0,0.0
83a811fffffffff,10.0,0.0,0.0
83a815fffffffff,28.0,0.0,0.0
83a81cfffffffff,11.0,0.0,0.0
83a820fffffffff,2.0,0.0,0.0
83a821fffffffff,2.0,0.0,0.0
83a822fffffffff,4.0,0.0,0.0
83a823fffffffff,6.0,0.0,0.0
83a824fffffffff,18.0,0.0,0.0
83a825fffffffff,15.0,0.0,0.0
83a826fffffffff,2.0,0.0,0.0
83a82afffffffff,1.0,0.0,0.0
83a82dfffffffff,6.0,0.0,0.0
83a82efffffffff,23.0,0.0,0.0
83a831fffffffff,70.0,0.0,6.0
83a833fffffffff,2.0,0.0,0.0
83a845fffffffff,6.0,0.0,0.0
83a86dfffffffff,4.0,0.0,0.0
83a901fffffffff,92.0,0.0,0.0
83a903fffffffff,5.0,0.0,0.0
83a905fffffffff,98.0,0.0,7.0
83a908fffffffff,3.0,0.0,0.0
83a909fffffffff,28.0,0.0,0.0
83a90afffffffff,6.0,0.0,0.0
83a90bfffffffff,9.0,0.0,0.0
83a90cfffffffff,14.0,0.0,0.0
83a90efffffffff,70.0,0.0,5.0
83a919fffffffff,145.0,0.0,7.0
83a91dfffffffff,11.0,0.0,0.0
83a921fffffffff,13.0,0.0,0.0
83a928fffffffff,1.0,0.0,0.0
83a929fffffffff,5.0,0.0,0.0
83a92afffffffff,4.0,0.0,0.0
83a92bfffffffff,4.0,0.0,0.0
83a92cfffffffff,495.0,0.0,0.0
83a92dfffffffff,37.0,0.0,0.0
83a92efffffffff,150.0,0.0,2.0
83a940fffffffff,7.0,0.0,0.0
83a941fffffffff,20.0,0.0,0.0
83a942fffffffff,11.0,0.0,0.0
83a944fffffffff,11.0,0.0,0.0
83a945fffffffff,2.0,0.0,0.0
83a946fffffffff,91.0,0.0,0.0
83a948fffffffff,2.0,0.0,0.0
83a949fffffffff,8.0,0.0,0.0
83a94afffffffff,1.0,0.0,0.0
83a94bfffffffff,4.0,0.0,0.0
83a94cfffffffff,3.0,0.0,0.0
83a94dfffffffff,21.0,0.0,0.0
83a94efffffffff,34.0,0.0,0.0
83a950fffffffff,13.0,0.0,0.0
83a951fffffffff,17.0,0.0,0.0
83a952fffffffff,68.0,0.0,2.0
83a953fffffffff,95.0,0.0,0.0
83a954fffffffff,3.0,0.0,0.0
83a955fffffffff,18.0,0.0,0.0
83a956fffffffff,4.0,0.0,0.0
83a95efffffffff,6.0,0.0,0.0
83a960fffffffff,8.0,0.0,0.0
83a961fffffffff,14.0,0.0,0.0
83a962fffffffff,56.0,0.0,0.0
83a963fffffffff,2.0,0.0,0.0
83a964fffffffff,50.0,0.0,0.0
83a968fffffffff,6.0,0.0,0.0
83a969fffffffff,1.0,0.0,0.0
83a96afffffffff,7.0,0.0,0.0
83a96bfffffffff,7.0,0.0,0.0
83a96efffffffff,7.0,0.0,0.0
83a971fffffffff,44.0,0.0,0.0
83a972fffffffff,3.0,0.0,0.0
83a973fffffffff,7.0,0.0,0.0
83a974fffffffff,6.0,0.0,0.0
83a975fffffffff,18.0,0.0,0.0
83a976fffffffff,36.0,0.0,0.0
83b209fffffffff,72.0,0.0,0.0
83b20bfffffffff,30.0,0.0,0.0
83b20dfffffffff,10.0,0.0,0.0
83b229fffffffff,8.0,0.0,0.0
83b22bfffffffff,7.0,0.0,0.0
83b22dfffffffff,11.0,0.0,0.0
83b240fffffffff,75.0,0.0,0.0
83b241fffffffff,297.0,0.0,0.0
83b242fffffffff,163.0,0.0,0.0
83b243fffffffff,1065.0,0.0,0.0
83b244fffffffff,3.0,0.0,0.0
83b245fffffffff,11.0,0.0,0.0
83b246fffffffff,43.0,0.0,0.0
83b248fffffffff,1.0,0.0,0.0
83b24afffffffff,103.0,0.0,0.0
83b24bfffffffff,9.0,0.0,0.0
83b24cfffffffff,62.0,0.0,0.0
83b24dfffffffff,12.0,0.0,0.0
83b24efffffffff,115.0,0.0,0.0
83b250fffffffff,20.0,0.0,0.0
83b251fffffffff,173.0,0.0,0.0
83b252fffffffff,29.0,0.0,0.0
83b253fffffffff,1.0,0.0,0.0
83b254fffffffff,11.0,0.0,0.0
83b255fffffffff,23.0,0.0,0.0
83b256fffffffff,8.0,0.0,0.0
83b258fffffffff,281.0,0.0,0.0
83b259fffffffff,115.0,0.0,0.0
83b25afffffffff,35.0,0.0,0.0
83b25bfffffffff,27.0,0.0,0.0
83b25cfffffffff,329.0,0.0,0.0
83b25dfffffffff,426.0,0.0,0.0
83b25efffffffff,370.0,0.0,0.0
83b261fffffffff,16.0,0.0,0.0
83b262fffffffff,268.0,0.0,0.0
83b263fffffffff,16.0,0.0,0.0
83b265fffffffff,6.0,0.0,0.0
83b266fffffffff,23.0,0.0,0.0
83b268fffffffff,43.0,0.0,0.0
83b269fffffffff,30.0,0.0,0.0
83b26afffffffff,12.0,0.0,0.0
83b26dfffffffff,31.0,0.0,0.0
83b26efffffffff,11.0,0.0,0.0
83b270fffffffff,222.0,0.0,0.0
83b271fffffffff,23.0,0.0,0.0
83b272fffffffff,54.0,0.0,0.0
83b273fffffffff,2.0,0.0,0.0
83b274fffffffff,138.0,0.0,0.0
83b275fffffffff,387.0,0.0,0.0
83b276fffffffff,23.0,0.0,0.0
83b2c8fffffffff,20.0,0.0,0.0
83b2ccfffffffff,3.0,0.0,0.0
83b2cdfffffffff,11.0,0.0,0.0
83b2cefffffffff,5.0,0.0,0.0
83b2e1fffffffff,51.0,0.0,0.0
83b2e4fffffffff,2.0,0.0,0.0
83b2e5fffffffff,5.0,0.0,0.0
83b2e8fffffffff,81.0,0.0,0.0
83b2e9fffffffff,126.0,0.0,0.0
83b2eafffffffff,32.0,0.0,0.0
83b2ebfffffffff,35.0,0.0,0.0
83b2ecfffffffff,46.0,0.0,0.0
83b2edfffffffff,4.0,0.0,0.0
83b2eefffffffff,220.0,0.0,0.0
83b300fffffffff,21.0,0.0,0.0
83b301fffffffff,35.0,0.0,0.0
83b304fffffffff,322.0,0.0,0.0
83b305fffffffff,568.0,0.0,0.0
83b320fffffffff,2.0,0.0,0.0
83b321fffffffff,70.0,0.0,0.0
83b324fffffffff,18.0,0.0,0.0
83b325fffffffff,21.0,1.0,0.0
83b326fffffffff,1.0,0.0,0.0
83b32cfffffffff,6.0,0.0,0.0
83b32dfffffffff,34.0,0.0,4.0
83b330fffffffff,9.0,0.0,0.0
83b334fffffffff,37.0,0.0,0.0
83b335fffffffff,70.0,0.0,0.0
83b336fffffffff,1.0,0.0,0.0
83b340fffffffff,22.0,0.0,0.0
83b341fffffffff,3.0,0.0,0.0
83b342fffffffff,384.0,0.0,0.0
83b343fffffffff,91.0,0.0,0.0
83b344fffffffff,19.0,0.0,0.0
83b345fffffffff,3.0,0.0,0.0
83b346fffffffff,36.0,0.0,0.0
83b348fffffffff,13.0,0.0,0.0
83b349fffffffff,41.0,0.0,0.0
83b34afffffffff,9.0,0.0,0.0
83b34bfffffffff,30.0,0.0,0.0
83b34cfffffffff,42.0,0.0,0.0
83b34dfffffffff,165.0,0.0,0.0
83b34efffffffff,8.0,0.0,0.0
83b351fffffffff,876.0,0.0,0.0
83b355fffffffff,144.0,0.0,0.0
83b358fffffffff,125.0,0.0,0.0
83b359fffffffff,4.0,0.0,0.0
83b35afffffffff,303.0,0.0,0.0
83b35bfffffffff,82.0,0.0,0.0
83b35cfffffffff,437.0,0.0,0.0
83b35dfffffffff,48.0,0.0,0.0
83b35efffffffff,1506.0,0.0,0.0
83b360fffffffff,3.0,0.0,0.0
83b362fffffffff,49.0,0.0,1.0
83b363fffffffff,5.0,0.0,0.0
83b366fffffffff,62.0,0.0,0.0
83b368fffffffff,5.0,0.0,0.0
83b369fffffffff,1.0,0.0,0.0
83b36afffffffff,8.0,0.0,0.0
83b36bfffffffff,9.0,0.0,0.0
83b36dfffffffff,59.0,0.0,0.0
83b371fffffffff,5.0,0.0,0.0
83b373fffffffff,134.0,0.0,0.0
83c203fffffffff,19.0,0.0,0.0
83c205fffffffff,21.0,0.0,0.0
83c218fffffffff,24.0,0.0,0.0
83c219fffffffff,14.0,0.0,0.0
83c21bfffffffff,76.0,0.0,0.0
83c21dfffffffff,119.0,0.0,0.0
83c221fffffffff,2.0,0.0,0.0
83c228fffffffff,3.0,0.0,0.0
83c22afffffffff,8.0,0.0,0.0
83c22bfffffffff,2.0,0.0,0.0
83c22cfffffffff,16.0,0.0,0.0
83c22efffffffff,2.0,0.0,0.0
83c289fffffffff,2.0,0.0,0.0
83c2c0fffffffff,10.0,0.0,0.0
83c2c1fffffffff,296.0,0.0,0.0
83c2c2fffffffff,48.0,0.0,0.0
83c2c3fffffffff,15.0,0.0,0.0
83c2c4fffffffff,126.0,0.0,1.0
83c2c5fffffffff,464.0,0.0,1.0
83c2c6fffffffff,152.0,0.0,0.0
83c2c8fffffffff,14.0,0.0,0.0
83c2c9fffffffff,11.0,0.0,0.0
83c2cafffffffff,143.0,0.0,0.0
83c2cbfffffffff,14.0,0.0,0.0
83c2ccfffffffff,40.0,0.0,0.0
83c2cdfffffffff,111.0,0.0,0.0
83c2cefffffffff,165.0,0.0,0.0
83c2d0fffffffff,79.0,0.0,0.0
83c2d1fffffffff,15.0,0.0,0.0
83c2d2fffffffff,15.0,0.0,0.0
83c2d3fffffffff,124.0,0.0,0.0
83c2d4fffffffff,243.0,0.0,6.0
83c2d5fffffffff,51.0,0.0,0.0
83c2d6fffffffff,81.0,0.0,2.0
83c2d8fffffffff,83.0,0.0,3.0
83c2d9fffffffff,134.0,0.0,19.0
83c2dbfffffffff,7.0,0.0,0.0
83c2dcfffffffff,3.0,0.0,0.0
83c2ddfffffffff,1.0,0.0,0.0
83c2defffffffff,19.0,0.0,0.0
83c2e0fffffffff,6.0,0.0,0.0
83c2e2fffffffff,260.0,0.0,0.0
83c2e3fffffffff,1153.0,0.0,2.0
83c2e6fffffffff,27.0,0.0,0.0
83c2eafffffffff,50.0,0.0,0.0
83c2ebfffffffff,6.0,0.0,0.0
83c2ecfffffffff,2.0,0.0,0.0
83c2eefffffffff,11.0,0.0,0.0
83c2f1fffffffff,348.0,0.0,0.0
83c2f2fffffffff,446.0,0.0,2.0
83c2f3fffffffff,894.0,0.0,0.0
83c308fffffffff,2.0,0.0,0.0
83c309fffffffff,5.0,0.0,0.0
83c30cfffffffff,1.0,0.0,0.0
83c321fffffffff,5.0,0.0,0.0
83c328fffffffff,22.0,0.0,0.0
83c329fffffffff,177.0,0.0,0.0
83c32afffffffff,1.0,0.0,0.0
83c32bfffffffff,18.0,0.0,0.0
83c32dfffffffff,7.0,0.0,0.0
83c32efffffffff,11.0,0.0,0.0
83c340fffffffff,98.0,0.0,0.0
83c341fffffffff,10.0,0.0,0.0
83c344fffffffff,5.0,0.0,0.0
83c345fffffffff,36.0,0.0,0.0
83c346fffffffff,15.0,0.0,0.0
83c34cfffffffff,7.0,0.0,0.0
83c34dfffffffff,3.0,0.0,0.0
83c350fffffffff,31.0,0.0,0.0
83c353fffffffff,8.0,0.0,0.0
83c354fffffffff,15.0,0.0,0.0
83c355fffffffff,11.0,0.0,0.0
83c356fffffffff,37.0,0.0,0.0
83c360fffffffff,136.0,0.0,0.0
83c361fffffffff,4.0,0.0,0.0
83c362fffffffff,2.0,0.0,0.0
83c364fffffffff,1.0,0.0,0.0
83c366fffffffff,11.0,0.0,0.0
83c368fffffffff,3.0,0.0,0.0
83c36afffffffff,15.0,0.0,0.0
83c36bfffffffff,7.0,0.0,0.0
83c36cfffffffff,3.0,0.0,0.0
83c36dfffffffff,12.0,0.0,0.0
83c36efffffffff,4.0,0.0,0.0
83c370fffffffff,32.0,0.0,0.0
83c371fffffffff,86.0,0.0,0.0
83c373fffffffff,41.0,0.0,0.0
83c374fffffffff,2.0,0.0,0.0
83c375fffffffff,30.0,0.0,0.0
83c376fffffffff,69.0,0.0,0.0
83ce82fffffffff,7.0,0.0,0.0
83ce91fffffffff,4.0,0.0,0.0
83ce92fffffffff,3.0,0.0,0.0
83ce93fffffffff,203.0,0.0,0.0
83ce96fffffffff,27.0,0.0,0.0
83ce98fffffffff,76.0,0.0,0.0
83ce9cfffffffff,25.0,0.0,0.0
83ce9efffffffff,6.0,0.0,0.0
