cell_id,Cisticola subruficapilla,Cisticola subruficapilla newtoni,Cisticola subruficapilla [subruficapilla Group],Cisticola subruficapilla jamesi
84bc6adffffffff,2.0,0.0,0.0,0.0
84bc6b1ffffffff,23.0,0.0,0.0,0.0
84bc6b3ffffffff,27.0,0.0,1.0,0.0
84bc6b5ffffffff,5.0,0.0,1.0,0.0
84bc6b7ffffffff,7.0,0.0,0.0,0.0
84bc6b9ffffffff,6.0,0.0,2.0,0.0
84bc6bbffffffff,8.0,0.0,3.0,0.0
84bc6bdffffffff,32.0,0.0,11.0,0.0
84bc717ffffffff,7.0,0.0,0.0,0.0
84bc731ffffffff,3.0,0.0,0.0,0.0
84bc737ffffffff,5.0,0.0,0.0,0.0
84bc739ffffffff,4.0,0.0,0.0,0.0
84bce55ffffffff,1.0,0.0,0.0,0.0
84bce85ffffffff,3.0,0.0,0.0,0.0
84bce99ffffffff,2.0,0.0,0.0,0.0
84bcebbffffffff,1.0,0.0,0.0,0.0
84bced1ffffffff,1.0,0.0,0.0,0.0
