cell_id,Aegithalos concinnus,Aegithalos concinnus [concinnus Group],Aegithalos concinnus iredalei/rubricapillus,Aegithalos concinnus annamensis
8340a6fffffffff,18.0,1.0,0.0,0.0
8340a8fffffffff,2.0,0.0,0.0,0.0
8340aefffffffff,7.0,0.0,0.0,0.0
8340b5fffffffff,100.0,4.0,0.0,0.0
8340c4fffffffff,18.0,0.0,0.0,0.0
8340c5fffffffff,7.0,0.0,0.0,0.0
8340c6fffffffff,52.0,0.0,0.0,0.0
8340e0fffffffff,2.0,0.0,0.0,0.0
8340e1fffffffff,98.0,3.0,0.0,0.0
8340e2fffffffff,18.0,0.0,0.0,0.0
8340e3fffffffff,250.0,16.0,0.0,0.0
8340e5fffffffff,6.0,0.0,0.0,0.0
8340e6fffffffff,7.0,0.0,0.0,0.0
8340ecfffffffff,5.0,0.0,0.0,0.0
8340eefffffffff,9.0,2.0,0.0,0.0
8340f1fffffffff,8.0,0.0,0.0,0.0
8340f3fffffffff,4.0,0.0,0.0,0.0
83410afffffffff,2.0,0.0,0.0,0.0
834110fffffffff,3.0,0.0,0.0,0.0
834118fffffffff,33.0,2.0,0.0,0.0
834119fffffffff,17.0,0.0,0.0,0.0
83411afffffffff,9.0,0.0,0.0,0.0
83411bfffffffff,2.0,0.0,0.0,0.0
83411cfffffffff,16.0,0.0,0.0,0.0
83411dfffffffff,5.0,0.0,0.0,0.0
83414cfffffffff,22.0,3.0,0.0,0.0
83414dfffffffff,1.0,0.0,0.0,0.0
834153fffffffff,2.0,0.0,0.0,0.0
834158fffffffff,7.0,3.0,0.0,0.0
834159fffffffff,31.0,17.0,0.0,0.0
83415afffffffff,13.0,0.0,0.0,0.0
83415cfffffffff,2.0,0.0,0.0,0.0
83415efffffffff,4.0,0.0,0.0,0.0
834160fffffffff,2.0,0.0,0.0,2.0
834165fffffffff,47.0,0.0,0.0,18.0
834182fffffffff,3.0,0.0,0.0,0.0
834183fffffffff,15.0,1.0,0.0,0.0
834184fffffffff,17.0,0.0,0.0,0.0
834185fffffffff,76.0,11.0,0.0,0.0
834186fffffffff,10.0,2.0,0.0,0.0
834189fffffffff,12.0,0.0,0.0,0.0
83418afffffffff,1.0,1.0,0.0,0.0
83418bfffffffff,7.0,0.0,0.0,0.0
83418efffffffff,4.0,0.0,0.0,0.0
834190fffffffff,11.0,0.0,0.0,0.0
834191fffffffff,73.0,7.0,0.0,0.0
834192fffffffff,140.0,0.0,0.0,0.0
834193fffffffff,6.0,4.0,0.0,0.0
834194fffffffff,12.0,1.0,0.0,0.0
834195fffffffff,7.0,0.0,0.0,0.0
834196fffffffff,4.0,0.0,0.0,0.0
834199fffffffff,4.0,0.0,0.0,0.0
83419afffffffff,2.0,0.0,0.0,0.0
83419bfffffffff,4.0,0.0,0.0,0.0
83419dfffffffff,15.0,5.0,0.0,0.0
8341a0fffffffff,6.0,3.0,0.0,0.0
8341a3fffffffff,3.0,3.0,0.0,0.0
8341a4fffffffff,41.0,0.0,0.0,0.0
8341a5fffffffff,20.0,0.0,0.0,0.0
8341a9fffffffff,3.0,0.0,0.0,0.0
8341abfffffffff,2.0,0.0,0.0,0.0
8341adfffffffff,6.0,2.0,0.0,0.0
8341aefffffffff,2.0,2.0,0.0,0.0
8341b2fffffffff,4.0,0.0,0.0,0.0
8341b3fffffffff,20.0,1.0,0.0,0.0
8341b4fffffffff,82.0,0.0,0.0,0.0
8341b5fffffffff,464.0,51.0,0.0,0.0
8341b6fffffffff,6.0,0.0,0.0,0.0
834269fffffffff,1.0,0.0,0.0,0.0
834b26fffffffff,3.0,0.0,0.0,0.0
834b30fffffffff,13.0,0.0,0.0,0.0
834b32fffffffff,3.0,0.0,0.0,0.0
834b34fffffffff,9.0,1.0,0.0,0.0
834b35fffffffff,13.0,0.0,0.0,0.0
834b36fffffffff,6.0,0.0,0.0,0.0
834b84fffffffff,95.0,0.0,0.0,0.0
834ba0fffffffff,4550.0,838.0,0.0,0.0
834ba1fffffffff,2.0,0.0,0.0,0.0
834ba2fffffffff,4524.0,362.0,0.0,0.0
834ba3fffffffff,452.0,43.0,0.0,0.0
834bb1fffffffff,202.0,4.0,0.0,0.0
836491fffffffff,347.0,89.0,0.0,0.0
836494fffffffff,5.0,0.0,0.0,0.0
836498fffffffff,37.0,9.0,0.0,0.0
8365b2fffffffff,31.0,0.0,0.0,0.0
8365b6fffffffff,331.0,0.0,0.0,253.0
836934fffffffff,122.0,0.0,0.0,99.0
