cell_id,Chloropsis hardwickii,Chloropsis hardwickii hardwickii/malayana,Chloropsis hardwickii lazulina/melliana
843cebbffffffff,4.0,0.0,0.0
843cebdffffffff,15.0,0.0,0.0
843cec1ffffffff,14.0,0.0,0.0
843cec3ffffffff,2.0,0.0,0.0
843cec9ffffffff,207.0,0.0,0.0
843ced5ffffffff,2.0,0.0,0.0
843ced7ffffffff,1.0,0.0,0.0
843d103ffffffff,7.0,0.0,0.0
843d107ffffffff,60.0,0.0,0.0
843d131ffffffff,6.0,0.0,0.0
843d135ffffffff,1.0,0.0,0.0
843d137ffffffff,32.0,0.0,0.0
843d139ffffffff,44.0,0.0,0.0
843d13dffffffff,11.0,0.0,0.0
843d1a7ffffffff,1.0,0.0,0.0
843d1adffffffff,4.0,0.0,0.0
843d1e7ffffffff,9.0,0.0,0.0
843d1edffffffff,2.0,0.0,0.0
843da99ffffffff,6.0,0.0,0.0
843dad1ffffffff,221.0,0.0,0.0
843dad7ffffffff,4.0,0.0,0.0
843dad9ffffffff,79.0,0.0,0.0
843dadbffffffff,2.0,0.0,0.0
843daddffffffff,55.0,0.0,0.0
84400c1ffffffff,4.0,0.0,0.0
84404c1ffffffff,48.0,1.0,0.0
84404c3ffffffff,5.0,0.0,0.0
84404c5ffffffff,216.0,0.0,0.0
84404c7ffffffff,7.0,0.0,0.0
84404c9ffffffff,1.0,0.0,0.0
84404cbffffffff,4.0,0.0,0.0
84404cdffffffff,3.0,0.0,0.0
84404ddffffffff,276.0,1.0,0.0
84404e1ffffffff,2.0,0.0,0.0
84404e7ffffffff,2.0,0.0,0.0
8440591ffffffff,17.0,0.0,0.0
8440611ffffffff,2.0,0.0,0.0
8440613ffffffff,2.0,0.0,0.0
8440619ffffffff,7.0,0.0,0.0
844061bffffffff,4.0,0.0,0.0
8440651ffffffff,6.0,0.0,0.0
8440653ffffffff,25.0,0.0,0.0
8440657ffffffff,2.0,0.0,0.0
84406b5ffffffff,4.0,0.0,0.0
84406b7ffffffff,67.0,0.0,0.0
8441035ffffffff,3.0,0.0,1.0
844118bffffffff,4.0,0.0,0.0
8441199ffffffff,11.0,0.0,2.0
84411a5ffffffff,3.0,0.0,3.0
84411a7ffffffff,2.0,0.0,0.0
84411b5ffffffff,5.0,0.0,0.0
84411bdffffffff,2.0,0.0,0.0
84411c1ffffffff,2.0,0.0,0.0
84411c9ffffffff,78.0,0.0,3.0
84411cbffffffff,221.0,0.0,25.0
84411e9ffffffff,1.0,0.0,0.0
8441487ffffffff,2.0,0.0,0.0
844149bffffffff,2.0,0.0,0.0
84414b3ffffffff,2.0,0.0,0.0
84414c1ffffffff,1.0,1.0,0.0
84414c3ffffffff,37.0,2.0,0.0
84414cbffffffff,9.0,0.0,0.0
84415a1ffffffff,5.0,0.0,0.0
84415a9ffffffff,2.0,0.0,0.0
84416a9ffffffff,1.0,0.0,0.0
8441703ffffffff,1.0,0.0,0.0
844170bffffffff,4.0,0.0,0.0
8441715ffffffff,11.0,0.0,0.0
8441719ffffffff,165.0,0.0,6.0
844171dffffffff,1.0,0.0,1.0
844184bffffffff,9.0,0.0,0.0
8441855ffffffff,23.0,0.0,1.0
8441859ffffffff,5.0,0.0,0.0
8441911ffffffff,45.0,0.0,0.0
8441919ffffffff,17.0,0.0,2.0
844191bffffffff,2.0,0.0,0.0
8441921ffffffff,2.0,0.0,2.0
844192bffffffff,1.0,0.0,1.0
844192dffffffff,1.0,0.0,0.0
844195dffffffff,2.0,0.0,0.0
84419dbffffffff,1.0,0.0,0.0
8441a2bffffffff,1.0,0.0,0.0
8441a37ffffffff,2.0,0.0,0.0
8441ab3ffffffff,4.0,0.0,0.0
8441b19ffffffff,1.0,0.0,0.0
8441b31ffffffff,2.0,0.0,2.0
8441b33ffffffff,2.0,0.0,2.0
8441b35ffffffff,2.0,0.0,0.0
8441b3dffffffff,2.0,0.0,2.0
8441b53ffffffff,31.0,0.0,1.0
8441b5bffffffff,1.0,0.0,1.0
8464125ffffffff,2.0,0.0,0.0
8464161ffffffff,2.0,0.0,0.0
846416dffffffff,123.0,20.0,0.0
846480bffffffff,6.0,6.0,0.0
8464821ffffffff,16.0,1.0,0.0
8464823ffffffff,3.0,3.0,0.0
8464825ffffffff,64.0,20.0,0.0
8464827ffffffff,24.0,18.0,0.0
846482bffffffff,373.0,80.0,0.0
846482dffffffff,5.0,2.0,0.0
8464843ffffffff,2.0,0.0,0.0
846484bffffffff,1.0,0.0,0.0
8464903ffffffff,14.0,5.0,0.0
8464909ffffffff,2.0,2.0,0.0
846490dffffffff,2.0,0.0,0.0
8464911ffffffff,829.0,243.0,0.0
846491bffffffff,8.0,6.0,0.0
846491dffffffff,8.0,6.0,0.0
8464941ffffffff,2.0,0.0,0.0
8464949ffffffff,11.0,3.0,0.0
846494bffffffff,34.0,7.0,0.0
8464951ffffffff,3.0,3.0,0.0
8464955ffffffff,3.0,3.0,0.0
8464981ffffffff,1.0,0.0,0.0
8464983ffffffff,58.0,0.0,0.0
84649c1ffffffff,2.0,0.0,0.0
84649cdffffffff,1.0,1.0,0.0
8464a15ffffffff,2.0,2.0,0.0
8464a31ffffffff,1.0,1.0,0.0
8464a35ffffffff,77.0,19.0,0.0
8464a3dffffffff,14.0,9.0,0.0
8464a57ffffffff,2.0,0.0,0.0
8464b01ffffffff,2.0,0.0,0.0
8464b03ffffffff,10.0,4.0,0.0
8464b0bffffffff,13.0,3.0,0.0
8464b15ffffffff,2.0,0.0,0.0
8464b25ffffffff,2.0,0.0,0.0
8464b55ffffffff,6.0,0.0,0.0
8464b57ffffffff,1.0,0.0,0.0
8464b5dffffffff,1.0,1.0,0.0
