cell_id,Campethera bennettii,Campethera bennettii bennettii,Campethera bennettii capricorni
84975c5ffffffff,9.0,0.0,0.0
84975c7ffffffff,30.0,0.0,4.0
84975c9ffffffff,3.0,0.0,0.0
84975cbffffffff,9.0,0.0,0.0
84975d1ffffffff,4.0,0.0,0.0
84975d5ffffffff,3.0,0.0,0.0
84975d9ffffffff,3.0,0.0,0.0
84975ddffffffff,12.0,0.0,2.0
84975e1ffffffff,9.0,0.0,2.0
84975e9ffffffff,1.0,0.0,0.0
84975ebffffffff,5.0,0.0,0.0
8497681ffffffff,1.0,0.0,0.0
8497749ffffffff,1.0,0.0,0.0
8497751ffffffff,1.0,0.0,0.0
8497a8bffffffff,2.0,0.0,0.0
8497aabffffffff,1.0,0.0,0.0
84ac8a9ffffffff,12.0,0.0,0.0
84ac8e7ffffffff,3.0,0.0,0.0
84ac96dffffffff,2.0,0.0,0.0
84aca07ffffffff,1.0,0.0,0.0
84aca5dffffffff,2.0,0.0,0.0
84aca61ffffffff,3.0,0.0,0.0
84acb1bffffffff,1.0,0.0,0.0
84bcd01ffffffff,2.0,0.0,0.0
84bcd05ffffffff,11.0,2.0,0.0
84bcd07ffffffff,1.0,0.0,0.0
84bcd0dffffffff,19.0,1.0,0.0
84bcd21ffffffff,12.0,0.0,0.0
84bcd23ffffffff,28.0,2.0,0.0
84bcd27ffffffff,12.0,3.0,0.0
84bcd29ffffffff,47.0,6.0,0.0
84bcd2bffffffff,2.0,0.0,0.0
84bcd2dffffffff,5.0,0.0,0.0
84bcd35ffffffff,8.0,0.0,0.0
84bcd41ffffffff,1.0,0.0,0.0
84bcd45ffffffff,5.0,0.0,0.0
84bcd4dffffffff,1.0,0.0,0.0
84bcd63ffffffff,33.0,16.0,0.0
84bcd67ffffffff,7.0,2.0,0.0
84bcd81ffffffff,2.0,0.0,0.0
84bcd85ffffffff,2.0,0.0,0.0
84bcd89ffffffff,6.0,0.0,0.0
84bcd8bffffffff,1.0,1.0,0.0
84bcdc1ffffffff,11.0,0.0,0.0
84bcdc3ffffffff,9.0,2.0,0.0
84bcdc5ffffffff,2.0,0.0,0.0
84bcdebffffffff,10.0,1.0,0.0
84bcf21ffffffff,3.0,0.0,0.0
84bcf29ffffffff,9.0,6.0,0.0
84bcf61ffffffff,2.0,0.0,0.0
