cell_id,Turdus ignobilis,Turdus ignobilis ignobilis/goodfellowi,Turdus ignobilis debilis
8466f37ffffffff,1.0,0.0,0.0
8466f3bffffffff,7.0,0.0,0.0
8466f51ffffffff,148.0,0.0,0.0
8466f53ffffffff,418.0,0.0,0.0
8466f57ffffffff,2111.0,24.0,0.0
8466f59ffffffff,1269.0,2.0,0.0
8466f5bffffffff,1064.0,10.0,0.0
8466f5dffffffff,21.0,0.0,0.0
8467585ffffffff,2.0,0.0,0.0
846758dffffffff,1.0,0.0,0.0
84675a1ffffffff,1.0,0.0,0.0
84675a5ffffffff,20.0,0.0,0.0
84675a7ffffffff,2.0,0.0,0.0
84675a9ffffffff,11.0,0.0,0.0
84675abffffffff,2.0,0.0,0.0
84675cbffffffff,4.0,0.0,0.0
84675e3ffffffff,1.0,0.0,0.0
84675e7ffffffff,2.0,0.0,0.0
84675ebffffffff,2.0,0.0,0.0
848a003ffffffff,3.0,0.0,3.0
848a01dffffffff,2.0,0.0,2.0
848a051ffffffff,2.0,0.0,0.0
848a055ffffffff,1.0,0.0,1.0
848a059ffffffff,7.0,0.0,0.0
848a069ffffffff,11.0,0.0,2.0
848a1a7ffffffff,6.0,0.0,2.0
848a41dffffffff,6.0,0.0,0.0
848a451ffffffff,47.0,0.0,2.0
848a459ffffffff,80.0,0.0,12.0
848a45bffffffff,119.0,0.0,14.0
848a45dffffffff,575.0,0.0,26.0
848a637ffffffff,4.0,0.0,0.0
848a68bffffffff,2.0,0.0,0.0
848a699ffffffff,61.0,0.0,5.0
848a6d1ffffffff,2.0,0.0,2.0
848a6d3ffffffff,264.0,0.0,7.0
848a6d7ffffffff,181.0,0.0,10.0
848a6d9ffffffff,78.0,0.0,2.0
848a6dbffffffff,108.0,0.0,12.0
848a6e5ffffffff,1.0,0.0,0.0
848a73dffffffff,8.0,0.0,0.0
848a8d9ffffffff,2.0,0.0,0.0
848aa93ffffffff,4.0,0.0,4.0
848aad3ffffffff,1.0,0.0,0.0
848ad13ffffffff,5.0,0.0,2.0
848ada9ffffffff,3.0,0.0,0.0
848adbbffffffff,3.0,0.0,1.0
848adc5ffffffff,7.0,0.0,3.0
848ae5bffffffff,2.0,0.0,0.0
848af09ffffffff,29.0,0.0,21.0
848af29ffffffff,50.0,0.0,21.0
848af41ffffffff,6.0,0.0,2.0
848af45ffffffff,17.0,0.0,1.0
848af61ffffffff,19.0,0.0,3.0
848af63ffffffff,4.0,0.0,0.0
848af69ffffffff,89.0,0.0,14.0
848af6bffffffff,40.0,0.0,1.0
848b009ffffffff,3.0,0.0,0.0
848b043ffffffff,2.0,0.0,0.0
848b045ffffffff,12.0,0.0,0.0
848b06dffffffff,2.0,0.0,0.0
848b099ffffffff,1.0,0.0,0.0
848b0c1ffffffff,3.0,0.0,0.0
848b0c9ffffffff,31.0,0.0,0.0
848b0cdffffffff,2.0,0.0,0.0
848b0d1ffffffff,26.0,0.0,0.0
848b0dbffffffff,7.0,0.0,0.0
848b1e1ffffffff,1.0,0.0,0.0
848b203ffffffff,4.0,0.0,0.0
848b205ffffffff,4.0,0.0,0.0
848b20bffffffff,1.0,0.0,0.0
848b211ffffffff,4.0,0.0,0.0
848b213ffffffff,8.0,0.0,0.0
848b217ffffffff,3.0,0.0,0.0
848b221ffffffff,101.0,0.0,0.0
848b223ffffffff,166.0,0.0,0.0
848b225ffffffff,6.0,0.0,0.0
848b227ffffffff,2.0,0.0,0.0
848b229ffffffff,15.0,0.0,0.0
848b22dffffffff,134.0,0.0,0.0
848b239ffffffff,2.0,0.0,0.0
848b23bffffffff,3.0,0.0,0.0
848b23dffffffff,22.0,0.0,0.0
848b2a5ffffffff,14.0,0.0,0.0
848b2a7ffffffff,24.0,0.0,0.0
848b2c5ffffffff,7.0,0.0,0.0
848b2c9ffffffff,6.0,0.0,0.0
848b2e9ffffffff,24.0,0.0,0.0
848b2ebffffffff,5.0,0.0,0.0
848b2edffffffff,3.0,0.0,0.0
848b315ffffffff,3.0,0.0,0.0
848b319ffffffff,2.0,0.0,0.0
848b31bffffffff,3.0,0.0,0.0
848b401ffffffff,8.0,0.0,1.0
848b407ffffffff,4.0,0.0,0.0
848b40dffffffff,13.0,0.0,2.0
848b429ffffffff,23.0,0.0,0.0
848b445ffffffff,12.0,0.0,0.0
848b447ffffffff,1.0,0.0,0.0
848b449ffffffff,7.0,0.0,0.0
848b44bffffffff,126.0,0.0,2.0
848b44dffffffff,129.0,0.0,4.0
848b459ffffffff,35.0,0.0,0.0
848b461ffffffff,2.0,0.0,0.0
848b463ffffffff,2.0,0.0,0.0
848b469ffffffff,5.0,0.0,0.0
848b46bffffffff,10.0,0.0,0.0
848b483ffffffff,8.0,0.0,0.0
848b493ffffffff,4.0,0.0,0.0
848b4e5ffffffff,2.0,0.0,0.0
848b4e9ffffffff,5.0,0.0,0.0
848b511ffffffff,4.0,0.0,0.0
848b513ffffffff,48.0,0.0,5.0
848b529ffffffff,4.0,0.0,0.0
848b563ffffffff,22.0,0.0,0.0
848b56bffffffff,1.0,0.0,0.0
848b5c3ffffffff,4.0,0.0,0.0
848b5cdffffffff,48.0,0.0,5.0
848b5d1ffffffff,5.0,0.0,0.0
848b611ffffffff,4.0,0.0,2.0
848b617ffffffff,875.0,0.0,22.0
848b623ffffffff,1.0,0.0,0.0
848b627ffffffff,36.0,0.0,4.0
848b62bffffffff,3.0,0.0,0.0
848b631ffffffff,4.0,0.0,0.0
848b633ffffffff,20.0,0.0,0.0
848b635ffffffff,19.0,0.0,0.0
848b637ffffffff,330.0,0.0,7.0
848b639ffffffff,3.0,0.0,1.0
848b63bffffffff,542.0,0.0,64.0
848b683ffffffff,3.0,0.0,0.0
848b691ffffffff,4.0,0.0,0.0
848b693ffffffff,10.0,0.0,0.0
848b697ffffffff,2.0,0.0,0.0
848b6e1ffffffff,2.0,0.0,0.0
848b6e5ffffffff,20.0,0.0,0.0
848b6e7ffffffff,14.0,0.0,0.0
848b6edffffffff,76.0,0.0,12.0
848b709ffffffff,8.0,0.0,0.0
848b70bffffffff,2.0,0.0,0.0
848b713ffffffff,492.0,0.0,15.0
848b717ffffffff,21.0,0.0,0.0
848b71bffffffff,17.0,0.0,0.0
848b745ffffffff,21.0,0.0,0.0
848b747ffffffff,6.0,0.0,0.0
848b74bffffffff,6.0,0.0,0.0
848b751ffffffff,5.0,0.0,0.0
848b75bffffffff,12.0,0.0,0.0
848b75dffffffff,2.0,0.0,0.0
848b761ffffffff,2.0,0.0,0.0
848b767ffffffff,6.0,0.0,0.0
848b76bffffffff,20.0,0.0,0.0
848b833ffffffff,2.0,0.0,0.0
848b999ffffffff,5.0,0.0,0.0
848b99dffffffff,3.0,0.0,0.0
848bb59ffffffff,2.0,0.0,0.0
848e641ffffffff,15.0,0.0,0.0
848e643ffffffff,24.0,0.0,0.0
848e649ffffffff,43.0,0.0,0.0
848e64bffffffff,83.0,0.0,0.0
848e651ffffffff,39.0,0.0,0.0
848e65bffffffff,3.0,0.0,0.0
848e65dffffffff,7.0,0.0,0.0
848f29bffffffff,6.0,0.0,0.0
848f2d3ffffffff,15.0,0.0,0.0
848f401ffffffff,391.0,0.0,18.0
848f405ffffffff,4.0,0.0,0.0
848f407ffffffff,24.0,0.0,0.0
848f409ffffffff,9.0,0.0,0.0
848f40dffffffff,27.0,0.0,0.0
848f421ffffffff,29.0,0.0,0.0
848f423ffffffff,2.0,0.0,0.0
848f429ffffffff,12.0,0.0,0.0
848f42dffffffff,4.0,0.0,0.0
848f437ffffffff,6.0,0.0,0.0
848f439ffffffff,29.0,0.0,2.0
848f43dffffffff,2.0,0.0,0.0
848f443ffffffff,5.0,0.0,0.0
848f447ffffffff,3.0,0.0,2.0
848f44bffffffff,17.0,0.0,0.0
848f455ffffffff,7.0,0.0,0.0
848f461ffffffff,321.0,0.0,9.0
848f463ffffffff,749.0,0.0,21.0
848f465ffffffff,152.0,0.0,6.0
848f467ffffffff,16.0,0.0,0.0
848f46bffffffff,4.0,0.0,0.0
848f46dffffffff,2.0,0.0,0.0
848f487ffffffff,2.0,0.0,0.0
848f489ffffffff,6.0,0.0,0.0
848f48dffffffff,14.0,0.0,0.0
848f4a1ffffffff,4.0,0.0,0.0
848f4a5ffffffff,42.0,0.0,0.0
848f4a7ffffffff,19.0,0.0,0.0
848f4abffffffff,4.0,0.0,0.0
848f4adffffffff,34.0,0.0,0.0
848f4b3ffffffff,14.0,0.0,0.0
848f4b5ffffffff,5.0,0.0,0.0
848f4c1ffffffff,2.0,0.0,0.0
848f4c7ffffffff,51.0,0.0,0.0
848f4e7ffffffff,2.0,0.0,0.0
848f559ffffffff,5.0,0.0,0.0
848f59bffffffff,5.0,0.0,0.0
848f5d3ffffffff,64.0,0.0,0.0
848f5d7ffffffff,19.0,0.0,0.0
848f5d9ffffffff,5.0,0.0,0.0
848f5dbffffffff,2.0,0.0,0.0
848f5ddffffffff,18.0,0.0,0.0
848f611ffffffff,16.0,0.0,0.0
848f613ffffffff,35.0,0.0,9.0
848f61bffffffff,94.0,0.0,10.0
848f657ffffffff,3.0,0.0,0.0
848f6b5ffffffff,7.0,0.0,0.0
848f6c9ffffffff,12.0,0.0,0.0
848f6e9ffffffff,37.0,0.0,0.0
848f6edffffffff,2.0,0.0,0.0
848f705ffffffff,187.0,0.0,13.0
848f70dffffffff,7.0,0.0,0.0
848f71bffffffff,24.0,0.0,4.0
848f721ffffffff,48.0,0.0,2.0
848f723ffffffff,2.0,0.0,0.0
848f729ffffffff,502.0,0.0,47.0
848f72bffffffff,150.0,0.0,14.0
848f731ffffffff,6.0,0.0,0.0
848f733ffffffff,33.0,0.0,1.0
848f735ffffffff,1.0,0.0,1.0
848f737ffffffff,12.0,0.0,0.0
848f73dffffffff,2.0,0.0,0.0
848f741ffffffff,2.0,0.0,0.0
848f745ffffffff,69.0,0.0,0.0
848f74bffffffff,7.0,0.0,0.0
848f74dffffffff,107.0,0.0,0.0
848f763ffffffff,142.0,0.0,20.0
848f76bffffffff,145.0,0.0,0.0
84b324bffffffff,1.0,0.0,0.0
84b3253ffffffff,10.0,0.0,0.0
84b3259ffffffff,2.0,0.0,0.0
84b325dffffffff,1.0,0.0,0.0
84b3629ffffffff,2.0,0.0,0.0
