cell_id,Saucerottia cyanocephala,Saucerottia cyanocephala cyanocephala,Saucerottia cyanocephala chlorostephana
846d283ffffffff,1189.0,48.0,0.0
846d285ffffffff,33.0,2.0,0.0
846d287ffffffff,15.0,0.0,0.0
846d289ffffffff,11.0,0.0,0.0
846d28bffffffff,4.0,1.0,0.0
846d28dffffffff,6.0,0.0,0.0
846d291ffffffff,1403.0,125.0,0.0
846d293ffffffff,3.0,0.0,0.0
846d295ffffffff,854.0,103.0,0.0
846d297ffffffff,30.0,0.0,0.0
846d299ffffffff,194.0,16.0,0.0
846d29bffffffff,37.0,13.0,0.0
846d2a9ffffffff,69.0,13.0,0.0
846d2abffffffff,2.0,0.0,0.0
846d2b9ffffffff,737.0,68.0,0.0
846d2c1ffffffff,2.0,0.0,0.0
846d2c5ffffffff,4.0,2.0,0.0
846d2c7ffffffff,71.0,1.0,0.0
846d2d1ffffffff,925.0,149.0,0.0
846d2d3ffffffff,513.0,263.0,0.0
846d2d5ffffffff,2.0,0.0,0.0
846d2d7ffffffff,3444.0,1621.0,0.0
846d2dbffffffff,4.0,3.0,0.0
846d2ddffffffff,10.0,5.0,0.0
846d2e3ffffffff,33.0,2.0,0.0
846d2e5ffffffff,112.0,48.0,0.0
846d2e9ffffffff,91.0,15.0,0.0
846d2ebffffffff,132.0,23.0,0.0
846d303ffffffff,20.0,0.0,0.0
846d305ffffffff,92.0,4.0,0.0
846d307ffffffff,14.0,0.0,0.0
846d30dffffffff,113.0,12.0,0.0
846d311ffffffff,18.0,0.0,0.0
846d313ffffffff,3.0,0.0,0.0
846d315ffffffff,35.0,0.0,0.0
846d319ffffffff,3.0,0.0,0.0
846d31bffffffff,10.0,0.0,0.0
846d34bffffffff,3.0,3.0,0.0
846d35dffffffff,58.0,9.0,0.0
846d361ffffffff,5.0,0.0,0.0
846d363ffffffff,29.0,0.0,0.0
846d369ffffffff,12.0,0.0,0.0
846d36dffffffff,16.0,0.0,0.0
846d609ffffffff,228.0,0.0,0.0
846d60dffffffff,7.0,0.0,0.0
846d619ffffffff,5.0,0.0,0.0
846d641ffffffff,124.0,0.0,0.0
846d643ffffffff,22.0,0.0,0.0
846d645ffffffff,1727.0,0.0,0.0
846d647ffffffff,4.0,0.0,0.0
846d649ffffffff,4.0,0.0,0.0
846d64bffffffff,30.0,0.0,0.0
846d64dffffffff,135.0,0.0,0.0
846d651ffffffff,234.0,0.0,0.0
846d653ffffffff,71.0,0.0,0.0
846d655ffffffff,174.0,0.0,0.0
846d657ffffffff,46.0,0.0,0.0
846d65bffffffff,1.0,0.0,0.0
846d65dffffffff,40.0,0.0,0.0
846d665ffffffff,1.0,0.0,0.0
846d669ffffffff,4.0,0.0,0.0
846d66dffffffff,475.0,0.0,0.0
846d749ffffffff,17.0,0.0,0.0
