cell_id,Mimus gilvus,Mimus gilvus gracilis/leucophaeus,Mimus gilvus [gilvus Group],Mimus gilvus magnirostris
846601bffffffff,10.0,0.0,0.0,0.0
846602bffffffff,2.0,0.0,0.0,0.0
8466037ffffffff,2.0,0.0,0.0,0.0
8466045ffffffff,2.0,0.0,0.0,0.0
8466059ffffffff,7.0,0.0,0.0,0.0
8466061ffffffff,1.0,0.0,0.0,0.0
8466067ffffffff,2.0,0.0,0.0,0.0
8466081ffffffff,352.0,0.0,0.0,0.0
8466083ffffffff,47.0,0.0,0.0,0.0
8466085ffffffff,14.0,0.0,0.0,0.0
8466087ffffffff,220.0,0.0,0.0,0.0
8466089ffffffff,145.0,0.0,0.0,0.0
846608bffffffff,18.0,0.0,0.0,0.0
846608dffffffff,1894.0,0.0,29.0,0.0
8466091ffffffff,15.0,0.0,0.0,0.0
8466093ffffffff,32.0,0.0,0.0,0.0
8466095ffffffff,7.0,0.0,0.0,0.0
8466097ffffffff,40.0,0.0,0.0,0.0
8466099ffffffff,17.0,0.0,0.0,0.0
846609bffffffff,46.0,0.0,0.0,0.0
846609dffffffff,25.0,0.0,0.0,0.0
84660a1ffffffff,7.0,0.0,0.0,0.0
84660a3ffffffff,4.0,0.0,0.0,0.0
84660a5ffffffff,33.0,0.0,0.0,0.0
84660a7ffffffff,81.0,0.0,1.0,0.0
84660a9ffffffff,5.0,0.0,0.0,0.0
84660abffffffff,3.0,0.0,0.0,0.0
84660adffffffff,7.0,0.0,0.0,0.0
84660b1ffffffff,87.0,0.0,0.0,0.0
84660b3ffffffff,102.0,0.0,0.0,0.0
84660b5ffffffff,556.0,0.0,0.0,0.0
84660b7ffffffff,57.0,0.0,2.0,0.0
84660b9ffffffff,101.0,0.0,0.0,0.0
84660bbffffffff,77.0,0.0,0.0,0.0
84660bdffffffff,333.0,0.0,0.0,0.0
84660c1ffffffff,66.0,0.0,0.0,0.0
84660c3ffffffff,52.0,0.0,0.0,0.0
84660c7ffffffff,30.0,0.0,0.0,0.0
84660cbffffffff,156.0,0.0,2.0,0.0
84660cdffffffff,50.0,0.0,0.0,0.0
84660d1ffffffff,58.0,0.0,0.0,0.0
84660d3ffffffff,29.0,0.0,0.0,0.0
84660d5ffffffff,5.0,0.0,0.0,0.0
84660d9ffffffff,16.0,0.0,0.0,0.0
84660dbffffffff,16.0,0.0,0.0,0.0
84660ddffffffff,110.0,0.0,0.0,0.0
84660e1ffffffff,19.0,0.0,0.0,0.0
84660e3ffffffff,1.0,0.0,0.0,0.0
84660e5ffffffff,3.0,0.0,0.0,0.0
84660e7ffffffff,8.0,0.0,0.0,0.0
84660e9ffffffff,1.0,0.0,0.0,0.0
84660ebffffffff,12.0,0.0,0.0,0.0
8466103ffffffff,6.0,0.0,0.0,0.0
8466105ffffffff,34.0,0.0,0.0,0.0
8466107ffffffff,430.0,0.0,0.0,0.0
8466111ffffffff,3.0,0.0,0.0,0.0
8466113ffffffff,31.0,0.0,0.0,0.0
8466117ffffffff,5.0,0.0,0.0,0.0
8466119ffffffff,68.0,0.0,0.0,0.0
8466123ffffffff,8.0,0.0,0.0,0.0
8466125ffffffff,4.0,0.0,0.0,0.0
8466129ffffffff,11.0,0.0,0.0,0.0
846612dffffffff,14.0,0.0,3.0,0.0
8466139ffffffff,242.0,0.0,0.0,0.0
846613dffffffff,2.0,0.0,0.0,0.0
8466153ffffffff,5.0,0.0,0.0,0.0
8466163ffffffff,348.0,0.0,0.0,0.0
8466165ffffffff,53.0,0.0,2.0,0.0
8466167ffffffff,140.0,0.0,8.0,0.0
8466181ffffffff,108.0,0.0,3.0,0.0
8466183ffffffff,83.0,0.0,4.0,0.0
8466185ffffffff,1.0,0.0,0.0,0.0
8466187ffffffff,8.0,0.0,3.0,0.0
8466189ffffffff,86.0,0.0,0.0,0.0
846618bffffffff,234.0,0.0,0.0,0.0
846618dffffffff,17.0,0.0,0.0,0.0
8466191ffffffff,113.0,0.0,0.0,0.0
8466193ffffffff,968.0,0.0,16.0,0.0
8466195ffffffff,72.0,0.0,0.0,0.0
8466197ffffffff,498.0,0.0,0.0,0.0
8466199ffffffff,230.0,0.0,0.0,0.0
846619bffffffff,197.0,0.0,2.0,0.0
846619dffffffff,190.0,0.0,1.0,0.0
84661a5ffffffff,1.0,0.0,0.0,0.0
84661a7ffffffff,1.0,0.0,0.0,0.0
84661adffffffff,1.0,0.0,0.0,0.0
84661b1ffffffff,41.0,0.0,5.0,0.0
84661b3ffffffff,71.0,0.0,3.0,0.0
84661b9ffffffff,332.0,0.0,9.0,0.0
84661bbffffffff,582.0,0.0,12.0,0.0
84661bdffffffff,3.0,0.0,0.0,0.0
84661c3ffffffff,16.0,0.0,0.0,0.0
84661d1ffffffff,59.0,0.0,0.0,0.0
84661d3ffffffff,30.0,0.0,0.0,0.0
84661d5ffffffff,49.0,0.0,0.0,0.0
84661d7ffffffff,167.0,0.0,0.0,0.0
84661d9ffffffff,4.0,0.0,0.0,0.0
