cell_id,Anisognathus igniventris,Anisognathus igniventris [lunulatus Group],Anisognathus igniventris igniventris
848b21dffffffff,13.0,0.0,0.0
848b2c1ffffffff,15.0,0.0,0.0
848b2c5ffffffff,4.0,0.0,0.0
848b2cdffffffff,218.0,0.0,0.0
848b603ffffffff,3.0,0.0,0.0
848b611ffffffff,198.0,0.0,20.0
848b615ffffffff,1.0,0.0,0.0
848b617ffffffff,1118.0,0.0,84.0
848b61bffffffff,2.0,0.0,0.0
848b665ffffffff,11.0,0.0,0.0
848b6c5ffffffff,31.0,0.0,0.0
848b6c9ffffffff,59.0,0.0,5.0
848b6cdffffffff,591.0,0.0,64.0
848b759ffffffff,7.0,0.0,0.0
848b75bffffffff,2.0,0.0,0.0
848e60bffffffff,1.0,0.0,0.0
848e619ffffffff,4.0,0.0,0.0
848e61dffffffff,4.0,0.0,0.0
848e649ffffffff,13.0,0.0,0.0
848e651ffffffff,109.0,0.0,0.0
848e655ffffffff,43.0,0.0,0.0
848e657ffffffff,71.0,0.0,0.0
848e6c1ffffffff,10.0,0.0,0.0
848e6d9ffffffff,30.0,0.0,5.0
848e6ddffffffff,64.0,0.0,0.0
848f291ffffffff,6.0,0.0,0.0
848f297ffffffff,62.0,1.0,0.0
848f29bffffffff,3.0,0.0,0.0
848f29dffffffff,2.0,0.0,0.0
848f2d3ffffffff,41.0,0.0,0.0
848f2d9ffffffff,6.0,0.0,0.0
848f2ddffffffff,8.0,0.0,0.0
848f425ffffffff,18.0,0.0,0.0
848f427ffffffff,1.0,0.0,0.0
848f42dffffffff,23.0,4.0,0.0
848f465ffffffff,7.0,0.0,0.0
848f4a5ffffffff,258.0,27.0,0.0
848f4a7ffffffff,19.0,0.0,0.0
848f519ffffffff,55.0,0.0,0.0
848f54dffffffff,45.0,0.0,0.0
848f551ffffffff,1.0,0.0,0.0
848f553ffffffff,302.0,3.0,0.0
848f559ffffffff,68.0,0.0,0.0
848f55bffffffff,40.0,0.0,0.0
848f599ffffffff,17.0,0.0,0.0
848f59bffffffff,28.0,7.0,0.0
848f5c1ffffffff,3.0,0.0,0.0
848f5c3ffffffff,7.0,0.0,0.0
848f5c9ffffffff,4.0,0.0,0.0
848f5cdffffffff,4.0,0.0,0.0
848f5d7ffffffff,2.0,0.0,0.0
848f5ddffffffff,29.0,0.0,0.0
848f705ffffffff,1.0,0.0,0.0
848f721ffffffff,154.0,10.0,0.0
848f725ffffffff,3.0,3.0,0.0
848f727ffffffff,15.0,4.0,0.0
848f72dffffffff,29.0,3.0,0.0
848f745ffffffff,10.0,0.0,0.0
848f761ffffffff,44.0,0.0,0.0
848f765ffffffff,21.0,2.0,0.0
848f767ffffffff,170.0,26.0,0.0
848f769ffffffff,104.0,0.0,0.0
848f76bffffffff,6.0,0.0,0.0
848f76dffffffff,297.0,16.0,0.0
84b3219ffffffff,52.0,0.0,0.0
84b3253ffffffff,174.0,0.0,0.0
84b3257ffffffff,4.0,0.0,0.0
