cell_id,Perisoreus canadensis,Perisoreus canadensis [canadensis Group],Perisoreus canadensis capitalis/bicolor,Perisoreus canadensis obscurus/griseus
840d6bbffffffff,4.0,0.0,0.0,0.0
840d6c1ffffffff,2.0,0.0,0.0,0.0
840d6c5ffffffff,4.0,0.0,0.0,0.0
840d6cdffffffff,14.0,0.0,0.0,0.0
840d6e3ffffffff,2.0,0.0,0.0,0.0
840d6e7ffffffff,8.0,0.0,0.0,0.0
840d6e9ffffffff,4.0,0.0,0.0,0.0
840d6ebffffffff,3.0,0.0,0.0,0.0
840d70bffffffff,4.0,0.0,0.0,0.0
840d723ffffffff,37.0,0.0,0.0,0.0
840d729ffffffff,5.0,0.0,0.0,0.0
840d72bffffffff,3.0,0.0,0.0,0.0
840d737ffffffff,23.0,0.0,0.0,0.0
840d753ffffffff,40.0,0.0,0.0,0.0
840e0bbffffffff,1.0,0.0,0.0,0.0
840e409ffffffff,1.0,0.0,0.0,0.0
840e413ffffffff,2.0,0.0,0.0,0.0
840e449ffffffff,17.0,0.0,0.0,0.0
840e451ffffffff,1.0,0.0,0.0,0.0
840e453ffffffff,16.0,0.0,0.0,0.0
840e45bffffffff,72.0,0.0,0.0,0.0
840e469ffffffff,4.0,0.0,0.0,0.0
840e481ffffffff,9.0,0.0,0.0,0.0
840e483ffffffff,6.0,0.0,0.0,0.0
840e48dffffffff,23.0,0.0,0.0,0.0
840e491ffffffff,8.0,0.0,0.0,0.0
840e495ffffffff,4.0,0.0,0.0,0.0
840e497ffffffff,26.0,0.0,0.0,0.0
840e499ffffffff,2.0,0.0,0.0,0.0
840e49bffffffff,48.0,0.0,0.0,0.0
840e49dffffffff,4.0,0.0,0.0,0.0
840e4a1ffffffff,3.0,0.0,0.0,0.0
840e4a3ffffffff,7.0,0.0,0.0,0.0
840e4a5ffffffff,22.0,0.0,0.0,0.0
840e4a7ffffffff,12.0,0.0,0.0,0.0
840e4a9ffffffff,139.0,0.0,0.0,0.0
840e4b1ffffffff,5.0,0.0,0.0,0.0
840e4b3ffffffff,23.0,0.0,0.0,0.0
840e4b7ffffffff,4.0,0.0,0.0,0.0
