cell_id,Harpactes oreskios,Harpactes oreskios [dulitensis Group],Harpactes oreskios oreskios
84658adffffffff,2.0,0.0,0.0
846590bffffffff,1.0,0.0,0.0
8465911ffffffff,44.0,0.0,0.0
8465915ffffffff,24.0,0.0,0.0
8465917ffffffff,3.0,0.0,0.0
846591bffffffff,4.0,0.0,0.0
846591dffffffff,39.0,0.0,0.0
8465947ffffffff,2.0,0.0,0.0
8465961ffffffff,6.0,0.0,0.0
8465969ffffffff,4.0,0.0,0.0
846598bffffffff,2.0,2.0,0.0
8465991ffffffff,8.0,2.0,0.0
8465993ffffffff,514.0,72.0,0.0
846599bffffffff,6.0,0.0,0.0
84659c1ffffffff,11.0,0.0,0.0
84659c9ffffffff,3.0,0.0,0.0
84659d7ffffffff,1.0,0.0,0.0
84659dbffffffff,6.0,0.0,0.0
84659e9ffffffff,7.0,0.0,0.0
8465b01ffffffff,242.0,13.0,0.0
8465b09ffffffff,16.0,3.0,0.0
8465b0bffffffff,3.0,1.0,0.0
8465b23ffffffff,6.0,0.0,0.0
8465b2bffffffff,8.0,0.0,0.0
8465b39ffffffff,25.0,0.0,0.0
8465b3dffffffff,75.0,0.0,0.0
8465b67ffffffff,1.0,0.0,0.0
8465b6bffffffff,3.0,0.0,0.0
8468103ffffffff,1.0,0.0,0.0
8468111ffffffff,1.0,0.0,0.0
8468119ffffffff,10.0,0.0,0.0
846811bffffffff,6.0,0.0,0.0
8468123ffffffff,6.0,0.0,0.0
8468181ffffffff,3.0,0.0,0.0
846818dffffffff,1.0,0.0,0.0
84681a9ffffffff,11.0,0.0,0.0
84681edffffffff,11.0,0.0,0.0
8468985ffffffff,4.0,0.0,0.0
8468ac9ffffffff,19.0,0.0,0.0
8469345ffffffff,1.0,1.0,0.0
848c101ffffffff,6.0,0.0,0.0
848c103ffffffff,31.0,0.0,2.0
848c109ffffffff,2.0,0.0,0.0
848c10dffffffff,1.0,0.0,0.0
848c13bffffffff,3.0,0.0,0.0
848c147ffffffff,1.0,0.0,0.0
848c1a7ffffffff,8.0,0.0,0.0
848cd55ffffffff,4.0,0.0,0.0
848d855ffffffff,4.0,0.0,0.0
848d889ffffffff,2.0,0.0,0.0
848d891ffffffff,1.0,0.0,0.0
848da25ffffffff,28.0,0.0,1.0
848da2dffffffff,2.0,0.0,0.0
