cell_id,Saucerottia beryllina,Saucerottia beryllina beryllina/viola,Saucerottia beryllina [devillei Group]
8449a23ffffffff,2.0,0.0,0.0
8449a27ffffffff,10.0,0.0,0.0
8449a2bffffffff,3.0,0.0,0.0
8449a3dffffffff,3.0,0.0,0.0
8449a81ffffffff,28.0,0.0,0.0
8449a83ffffffff,38.0,4.0,0.0
8449a85ffffffff,432.0,10.0,0.0
8449a87ffffffff,14.0,0.0,0.0
8449a8dffffffff,18.0,0.0,0.0
8449a91ffffffff,299.0,25.0,0.0
8449a93ffffffff,185.0,4.0,0.0
8449a95ffffffff,5.0,0.0,0.0
8449a97ffffffff,37.0,4.0,0.0
8449a9bffffffff,2.0,0.0,0.0
8449a9dffffffff,1.0,0.0,0.0
8449aa1ffffffff,60.0,2.0,0.0
8449aa3ffffffff,253.0,25.0,0.0
8449aa5ffffffff,3.0,0.0,0.0
8449aa7ffffffff,21.0,4.0,0.0
8449aa9ffffffff,37.0,0.0,0.0
8449aabffffffff,50.0,0.0,0.0
8449ab1ffffffff,195.0,12.0,0.0
8449ab3ffffffff,8.0,0.0,0.0
8449ab5ffffffff,138.0,0.0,0.0
8449ab7ffffffff,2.0,0.0,0.0
8449ab9ffffffff,5.0,0.0,0.0
8449abbffffffff,5.0,0.0,0.0
8449abdffffffff,1.0,0.0,0.0
8449ae1ffffffff,1.0,0.0,0.0
8449ae3ffffffff,8.0,0.0,0.0
8449b0bffffffff,3.0,0.0,0.0
8449b17ffffffff,1.0,0.0,0.0
8449b19ffffffff,79.0,0.0,0.0
8449b1dffffffff,23.0,0.0,0.0
8449b21ffffffff,2.0,0.0,0.0
8449b29ffffffff,1.0,0.0,0.0
8449b2dffffffff,339.0,0.0,0.0
8449b31ffffffff,11.0,0.0,0.0
8449b33ffffffff,169.0,4.0,0.0
8449b35ffffffff,1.0,0.0,0.0
8449b37ffffffff,130.0,22.0,0.0
8449b3bffffffff,2.0,0.0,0.0
8449b53ffffffff,30.0,0.0,0.0
8449b55ffffffff,3.0,0.0,0.0
8449b57ffffffff,117.0,0.0,0.0
8449b65ffffffff,1.0,0.0,0.0
8449b67ffffffff,11.0,1.0,0.0
8449b69ffffffff,2.0,0.0,0.0
846d049ffffffff,2.0,0.0,0.0
846d04bffffffff,33.0,0.0,4.0
846d059ffffffff,95.0,0.0,0.0
846d05bffffffff,392.0,0.0,28.0
846d141ffffffff,2.0,0.0,0.0
846d207ffffffff,1.0,0.0,0.0
846d211ffffffff,2.0,0.0,0.0
846d21bffffffff,9.0,0.0,0.0
846d223ffffffff,13.0,0.0,0.0
846d231ffffffff,377.0,0.0,19.0
846d233ffffffff,49.0,0.0,2.0
846d235ffffffff,7.0,0.0,0.0
846d237ffffffff,13.0,0.0,0.0
846d239ffffffff,167.0,0.0,7.0
846d23bffffffff,2.0,0.0,0.0
846d23dffffffff,222.0,0.0,7.0
846d283ffffffff,18.0,0.0,0.0
846d287ffffffff,18.0,0.0,0.0
846d28dffffffff,8.0,0.0,0.0
846d291ffffffff,145.0,0.0,0.0
846d293ffffffff,7.0,0.0,0.0
846d295ffffffff,1057.0,0.0,0.0
846d297ffffffff,85.0,0.0,0.0
846d299ffffffff,2.0,0.0,0.0
846d2a9ffffffff,7.0,0.0,0.0
846d2b9ffffffff,845.0,0.0,0.0
846d2bdffffffff,8.0,0.0,0.0
846d2c7ffffffff,2.0,0.0,0.0
846d2e3ffffffff,20.0,0.0,0.0
846d2e5ffffffff,197.0,0.0,21.0
846d2e9ffffffff,5.0,0.0,0.0
846d2ebffffffff,19.0,0.0,0.0
846d2edffffffff,12.0,0.0,0.0
846d303ffffffff,33.0,0.0,0.0
846d305ffffffff,170.0,12.0,0.0
846d307ffffffff,73.0,2.0,0.0
846d30dffffffff,33.0,0.0,0.0
846d321ffffffff,4.0,0.0,0.0
846d323ffffffff,35.0,0.0,0.0
846d325ffffffff,3.0,0.0,0.0
846d329ffffffff,4.0,0.0,0.0
846d32bffffffff,2579.0,178.0,0.0
846d32dffffffff,6.0,0.0,0.0
846d333ffffffff,2.0,0.0,0.0
846d335ffffffff,41.0,12.0,0.0
846d337ffffffff,798.0,65.0,0.0
846d33dffffffff,111.0,2.0,0.0
846d347ffffffff,2.0,0.0,0.0
846d361ffffffff,1.0,0.0,0.0
846d363ffffffff,1.0,0.0,0.0
846d365ffffffff,2.0,0.0,0.0
846d367ffffffff,2.0,0.0,0.0
846d36dffffffff,83.0,2.0,0.0
846d665ffffffff,71.0,0.0,0.0
846d66dffffffff,109.0,0.0,0.0
846d741ffffffff,264.0,0.0,0.0
846d743ffffffff,115.0,0.0,0.0
846d745ffffffff,128.0,0.0,0.0
846d747ffffffff,2.0,0.0,0.0
846d749ffffffff,59.0,0.0,0.0
846d74bffffffff,500.0,0.0,0.0
846d74dffffffff,3.0,0.0,0.0
846d751ffffffff,6.0,0.0,0.0
846d759ffffffff,16.0,0.0,0.0
846d75dffffffff,95.0,0.0,0.0
846d769ffffffff,11.0,0.0,0.0
