cell_id,Petroica boodang,Petroica boodang campbelli,Petroica boodang boodang/leggii
84c9939ffffffff,1.0,1.0,0.0
84c993bffffffff,2.0,0.0,0.0
84c993dffffffff,18.0,9.0,0.0
84c9951ffffffff,4.0,0.0,0.0
84c9953ffffffff,6.0,6.0,0.0
84c9955ffffffff,4.0,2.0,0.0
84c9957ffffffff,14.0,8.0,0.0
84c995bffffffff,11.0,10.0,0.0
84c99c1ffffffff,10.0,0.0,0.0
84c99c5ffffffff,21.0,6.0,0.0
84c99c7ffffffff,11.0,4.0,0.0
84c99c9ffffffff,2.0,0.0,0.0
84c99cdffffffff,12.0,2.0,0.0
84c99e9ffffffff,5.0,0.0,0.0
84c99ebffffffff,7.0,0.0,0.0
84c9b03ffffffff,6.0,2.0,0.0
84c9b17ffffffff,4.0,0.0,0.0
84c9b33ffffffff,124.0,30.0,0.0
84c9b6bffffffff,2.0,0.0,0.0
84d8961ffffffff,2.0,0.0,2.0
84d8965ffffffff,10.0,0.0,0.0
84d896dffffffff,11.0,0.0,0.0
