cell_id,Dicaeum trigonostigma,Dicaeum trigonostigma [trigonostigma Group],Dicaeum trigonostigma xanthopygium/dorsale,Dicaeum trigonostigma [sibuyanicum Group],Dicaeum trigonostigma [cinereigulare Group],Dicaeum trigonostigma sibutuense/assimile
8465227ffffffff,9.0,0.0,0.0,0.0,0.0,0.0
8465229ffffffff,492.0,0.0,0.0,0.0,0.0,0.0
846522dffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8465237ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8465257ffffffff,9.0,0.0,0.0,0.0,0.0,0.0
8465263ffffffff,80.0,0.0,0.0,0.0,0.0,0.0
8465267ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8465269ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
846526bffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8465295ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84652b7ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
84652cdffffffff,5.0,0.0,0.0,0.0,0.0,0.0
84652d7ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84652d9ffffffff,12.0,0.0,0.0,0.0,0.0,0.0
8465353ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
846552bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8465545ffffffff,11.0,0.0,0.0,0.0,0.0,0.0
8465547ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8465561ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
846556bffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8465731ffffffff,31.0,0.0,0.0,0.0,0.0,0.0
8465739ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
846589bffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8468021ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8468025ffffffff,87.0,0.0,0.0,0.0,0.0,0.0
8468101ffffffff,42.0,0.0,0.0,0.0,0.0,0.0
8468103ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8468105ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8468107ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
846810dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8468111ffffffff,15.0,0.0,0.0,0.0,0.0,0.0
8468113ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8468115ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8468119ffffffff,55.0,0.0,0.0,0.0,0.0,0.0
846811bffffffff,232.0,0.0,0.0,0.0,0.0,0.0
846811dffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8468123ffffffff,41.0,0.0,0.0,0.0,0.0,0.0
8468125ffffffff,9.0,0.0,0.0,0.0,0.0,0.0
8468129ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
846812bffffffff,12.0,0.0,0.0,0.0,0.0,0.0
8468157ffffffff,36.0,0.0,0.0,0.0,0.0,0.0
8468167ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8468181ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8468185ffffffff,28.0,0.0,0.0,0.0,0.0,0.0
8468189ffffffff,70.0,0.0,0.0,0.0,0.0,0.0
846818bffffffff,4.0,0.0,0.0,0.0,0.0,0.0
846818dffffffff,356.0,0.0,0.0,0.0,0.0,0.0
8468193ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8468197ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
846819dffffffff,28.0,0.0,0.0,0.0,0.0,0.0
84681a9ffffffff,9.0,0.0,0.0,0.0,0.0,0.0
84681c3ffffffff,474.0,0.0,0.0,0.0,0.0,0.0
84681c5ffffffff,22.0,0.0,0.0,0.0,0.0,0.0
84681d5ffffffff,45.0,0.0,0.0,0.0,0.0,0.0
84681e3ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84681edffffffff,19.0,0.0,0.0,0.0,0.0,0.0
8468401ffffffff,23.0,0.0,0.0,0.0,0.0,0.0
8468407ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8468423ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
846842bffffffff,3.0,0.0,0.0,0.0,0.0,0.0
846842dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8468435ffffffff,31.0,0.0,0.0,0.0,0.0,0.0
8468439ffffffff,27.0,0.0,0.0,0.0,0.0,0.0
846843dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8468441ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8468447ffffffff,64.0,0.0,0.0,0.0,0.0,0.0
8468449ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8468461ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
846846dffffffff,116.0,0.0,0.0,0.0,0.0,0.0
84684e5ffffffff,284.0,0.0,0.0,0.0,0.0,0.0
846855dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
846856bffffffff,45.0,0.0,0.0,0.0,0.0,0.0
8468583ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8468589ffffffff,12.0,0.0,0.0,0.0,0.0,0.0
846858bffffffff,15.0,0.0,0.0,0.0,0.0,0.0
846858dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84685c1ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84685c3ffffffff,130.0,0.0,0.0,0.0,0.0,0.0
84685c7ffffffff,211.0,0.0,0.0,0.0,0.0,0.0
84685cbffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84685d1ffffffff,12.0,0.0,0.0,0.0,0.0,0.0
84685d7ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
84685dbffffffff,7.0,0.0,0.0,0.0,0.0,0.0
84685e1ffffffff,17.0,0.0,0.0,0.0,0.0,0.0
84685e3ffffffff,13.0,0.0,0.0,0.0,0.0,0.0
84685e7ffffffff,41.0,0.0,0.0,0.0,0.0,0.0
84685e9ffffffff,44.0,0.0,0.0,0.0,0.0,0.0
84685edffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8468621ffffffff,42.0,0.0,0.0,0.0,0.0,0.0
8468625ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8468627ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8468651ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
8468657ffffffff,12.0,0.0,0.0,0.0,0.0,0.0
8468665ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
846866dffffffff,8.0,0.0,0.0,0.0,0.0,0.0
84686e9ffffffff,26.0,0.0,0.0,0.0,0.0,0.0
8468711ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
846871bffffffff,9.0,0.0,0.0,0.0,0.0,0.0
8468751ffffffff,27.0,0.0,0.0,0.0,0.0,0.0
846875bffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8468889ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84688adffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8468915ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8468965ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84689a1ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84689a3ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84689a9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8468a0bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8468a1dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8468a51ffffffff,11.0,0.0,0.0,0.0,0.0,0.0
8468a59ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8468a6bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8468aa3ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8468ab3ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8468ab5ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8468ab7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8468ac9ffffffff,43.0,0.0,0.0,0.0,0.0,0.0
8468b55ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8469417ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8469433ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8469437ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8469439ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
846943bffffffff,5.0,0.0,0.0,0.0,0.0,0.0
84694a9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84694b7ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84694cdffffffff,5.0,0.0,0.0,0.0,0.0,0.0
84694e1ffffffff,266.0,0.0,0.0,0.0,0.0,0.0
84694e5ffffffff,43.0,0.0,0.0,0.0,0.0,0.0
84694e7ffffffff,20.0,0.0,0.0,0.0,0.0,0.0
84694e9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84694ebffffffff,6.0,0.0,0.0,0.0,0.0,0.0
84694edffffffff,21.0,0.0,0.0,0.0,0.0,0.0
846958bffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8469593ffffffff,13.0,0.0,0.0,0.0,0.0,0.0
84695d1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8469683ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8469685ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
846968bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
846969dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84696a1ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84696a3ffffffff,12.0,0.0,0.0,0.0,0.0,0.0
84696a5ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84696a9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84696adffffffff,16.0,0.0,0.0,0.0,0.0,0.0
84696cbffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84696d7ffffffff,25.0,0.0,0.0,0.0,0.0,0.0
84699a5ffffffff,21.0,0.0,0.0,0.0,0.0,0.0
848c101ffffffff,16.0,0.0,0.0,0.0,0.0,0.0
848c103ffffffff,70.0,0.0,0.0,0.0,0.0,0.0
848c109ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
848c13bffffffff,22.0,0.0,0.0,0.0,0.0,0.0
848c1a7ffffffff,20.0,0.0,0.0,0.0,0.0,0.0
848c843ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
848c92dffffffff,3.0,0.0,0.0,0.0,0.0,0.0
848c961ffffffff,23.0,0.0,0.0,0.0,0.0,0.0
848c965ffffffff,16.0,0.0,0.0,0.0,0.0,0.0
848c967ffffffff,22.0,0.0,0.0,0.0,0.0,0.0
848cad5ffffffff,25.0,0.0,0.0,0.0,0.0,0.0
848caddffffffff,24.0,0.0,0.0,0.0,0.0,0.0
848cc27ffffffff,20.0,0.0,0.0,0.0,0.0,0.0
848cd33ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
848cd55ffffffff,42.0,0.0,0.0,0.0,0.0,0.0
848cd5dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
848cd8dffffffff,6.0,0.0,0.0,0.0,0.0,0.0
848cdc1ffffffff,14.0,0.0,0.0,0.0,0.0,0.0
848d889ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
848d8cbffffffff,26.0,0.0,0.0,0.0,0.0,0.0
848d9a5ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
848da25ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
848da37ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
848db53ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
848db59ffffffff,65.0,0.0,0.0,0.0,0.0,0.0
848db5bffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8495a49ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8495a4dffffffff,4.0,0.0,0.0,0.0,0.0,0.0
