cell_id,Aramides cajaneus,Aramides cajaneus cajaneus,Aramides cajaneus avicenniae
82b357fffffffff,262.0,0.0,0.0
82b35ffffffffff,1042.0,0.0,0.0
82b367fffffffff,30.0,0.0,0.0
82b36ffffffffff,10.0,0.0,0.0
82c207fffffffff,7.0,0.0,0.0
82c21ffffffffff,79.0,0.0,0.0
82c22ffffffffff,2.0,0.0,0.0
82c2c7fffffffff,170.0,0.0,0.0
82c2cffffffffff,129.0,0.0,0.0
82c2d7fffffffff,117.0,2.0,0.0
82c2dffffffffff,35.0,0.0,0.0
82c2e7fffffffff,1966.0,12.0,0.0
82c2effffffffff,8.0,0.0,0.0
82c2f7fffffffff,758.0,3.0,0.0
