cell_id,Geranospiza caerulescens,Geranospiza caerulescens [nigra Group],Geranospiza caerulescens caerulescens,Geranospiza caerulescens gracilis/flexipes
8366a1fffffffff,14.0,0.0,0.0,0.0
8366a5fffffffff,980.0,42.0,0.0,0.0
8366b0fffffffff,171.0,0.0,0.0,0.0
8366b1fffffffff,1.0,0.0,0.0,0.0
8366b4fffffffff,40.0,0.0,0.0,0.0
8366b5fffffffff,41.0,0.0,0.0,0.0
8366b6fffffffff,59.0,0.0,0.0,0.0
8366c0fffffffff,7.0,0.0,0.0,0.0
8366c1fffffffff,4.0,0.0,0.0,0.0
8366c2fffffffff,63.0,0.0,0.0,0.0
8366c3fffffffff,2.0,0.0,0.0,0.0
8366c5fffffffff,28.0,0.0,0.0,0.0
8366cefffffffff,9.0,0.0,0.0,0.0
8366d0fffffffff,33.0,0.0,0.0,0.0
8366d2fffffffff,9.0,3.0,0.0,0.0
8366d3fffffffff,47.0,0.0,0.0,0.0
8366d4fffffffff,2.0,0.0,0.0,0.0
8366d8fffffffff,23.0,0.0,0.0,0.0
8366dcfffffffff,445.0,0.0,82.0,0.0
8366ddfffffffff,42.0,0.0,1.0,0.0
8366defffffffff,29.0,0.0,9.0,0.0
8366e0fffffffff,14.0,0.0,0.0,0.0
8366e1fffffffff,96.0,0.0,0.0,0.0
8366e3fffffffff,28.0,0.0,0.0,0.0
8366e4fffffffff,78.0,0.0,0.0,0.0
8366e5fffffffff,92.0,0.0,0.0,0.0
8366e6fffffffff,90.0,0.0,0.0,0.0
8366e8fffffffff,9.0,0.0,0.0,0.0
8366eafffffffff,3.0,0.0,0.0,0.0
8366ecfffffffff,89.0,0.0,0.0,0.0
8366eefffffffff,49.0,0.0,0.0,0.0
8366f3fffffffff,3.0,0.0,0.0,0.0
836741fffffffff,4.0,0.0,0.0,0.0
836742fffffffff,38.0,0.0,0.0,0.0
836743fffffffff,43.0,0.0,0.0,0.0
836748fffffffff,1.0,0.0,0.0,0.0
83674afffffffff,70.0,0.0,4.0,0.0
83674cfffffffff,18.0,0.0,0.0,0.0
83674efffffffff,15.0,0.0,0.0,0.0
836750fffffffff,3.0,0.0,0.0,0.0
836751fffffffff,6.0,0.0,0.0,0.0
836752fffffffff,43.0,0.0,0.0,0.0
836753fffffffff,87.0,0.0,0.0,0.0
836755fffffffff,48.0,0.0,0.0,0.0
836756fffffffff,1.0,0.0,0.0,0.0
836758fffffffff,2.0,0.0,0.0,0.0
836759fffffffff,63.0,0.0,2.0,0.0
83675afffffffff,6.0,0.0,0.0,0.0
83675bfffffffff,4.0,0.0,0.0,0.0
83675cfffffffff,31.0,0.0,0.0,0.0
83675dfffffffff,7.0,0.0,0.0,0.0
83678bfffffffff,1.0,0.0,0.0,0.0
836796fffffffff,3.0,0.0,0.0,0.0
83679afffffffff,87.0,0.0,0.0,0.0
836d04fffffffff,20.0,0.0,0.0,0.0
836d05fffffffff,43.0,8.0,0.0,0.0
836d06fffffffff,6.0,0.0,0.0,0.0
836d14fffffffff,16.0,0.0,0.0,0.0
836d15fffffffff,60.0,6.0,0.0,0.0
836d20fffffffff,7.0,0.0,0.0,0.0
836d21fffffffff,5.0,0.0,0.0,0.0
836d24fffffffff,14.0,0.0,0.0,0.0
836d25fffffffff,24.0,4.0,0.0,0.0
836d26fffffffff,2.0,0.0,0.0,0.0
836d2afffffffff,5.0,0.0,0.0,0.0
836d2cfffffffff,88.0,20.0,0.0,0.0
836d2dfffffffff,11.0,0.0,0.0,0.0
836d30fffffffff,11.0,0.0,0.0,0.0
836d31fffffffff,19.0,2.0,0.0,0.0
836d33fffffffff,42.0,2.0,0.0,0.0
836d34fffffffff,74.0,3.0,0.0,0.0
836d35fffffffff,3.0,0.0,0.0,0.0
836d60fffffffff,35.0,1.0,0.0,0.0
836d61fffffffff,2.0,0.0,0.0,0.0
836d63fffffffff,2.0,0.0,0.0,0.0
836d65fffffffff,2.0,0.0,0.0,0.0
836d66fffffffff,20.0,0.0,0.0,0.0
836d68fffffffff,189.0,0.0,0.0,0.0
836d69fffffffff,976.0,0.0,0.0,0.0
836d6afffffffff,3.0,0.0,0.0,0.0
836d6bfffffffff,92.0,0.0,0.0,0.0
836d6cfffffffff,2.0,0.0,0.0,0.0
836d6dfffffffff,102.0,0.0,0.0,0.0
836d6efffffffff,5.0,0.0,0.0,0.0
836d74fffffffff,33.0,0.0,0.0,0.0
836d75fffffffff,51.0,0.0,0.0,0.0
838002fffffffff,5.0,0.0,0.0,0.0
838005fffffffff,5.0,0.0,0.0,1.0
838006fffffffff,2.0,0.0,0.0,0.0
838010fffffffff,82.0,0.0,0.0,0.0
838011fffffffff,6.0,0.0,0.0,0.0
838014fffffffff,23.0,0.0,0.0,2.0
838015fffffffff,2.0,0.0,0.0,0.0
838016fffffffff,5.0,0.0,0.0,0.0
83801cfffffffff,3.0,0.0,0.0,0.0
838030fffffffff,9.0,0.0,0.0,1.0
838032fffffffff,3.0,0.0,0.0,0.0
838035fffffffff,2.0,0.0,0.0,0.0
838036fffffffff,11.0,0.0,0.0,0.0
838044fffffffff,6.0,0.0,0.0,0.0
838046fffffffff,7.0,0.0,0.0,0.0
838048fffffffff,8.0,0.0,0.0,0.0
838068fffffffff,2.0,0.0,0.0,0.0
83806afffffffff,14.0,0.0,0.0,0.0
83806dfffffffff,2.0,0.0,0.0,0.0
838071fffffffff,7.0,0.0,0.0,0.0
838074fffffffff,2.0,0.0,0.0,0.0
838100fffffffff,2.0,0.0,0.0,0.0
838102fffffffff,3.0,0.0,0.0,0.0
838106fffffffff,4.0,0.0,0.0,0.0
838112fffffffff,9.0,0.0,0.0,0.0
838113fffffffff,1.0,0.0,0.0,0.0
838114fffffffff,2.0,0.0,0.0,0.0
83811afffffffff,4.0,0.0,0.0,1.0
83811bfffffffff,2.0,0.0,0.0,0.0
83811cfffffffff,2.0,0.0,0.0,0.0
838121fffffffff,4.0,0.0,0.0,1.0
838124fffffffff,30.0,0.0,0.0,0.0
83812cfffffffff,2.0,0.0,0.0,0.0
83812dfffffffff,1.0,0.0,0.0,0.0
838130fffffffff,7.0,0.0,0.0,0.0
838132fffffffff,6.0,0.0,0.0,0.0
838133fffffffff,24.0,0.0,0.0,0.0
838134fffffffff,3.0,0.0,0.0,0.0
838136fffffffff,12.0,0.0,0.0,0.0
838145fffffffff,7.0,0.0,0.0,0.0
838146fffffffff,1.0,0.0,0.0,0.0
83814dfffffffff,9.0,0.0,0.0,0.0
838151fffffffff,1.0,0.0,0.0,0.0
83815dfffffffff,16.0,0.0,0.0,0.0
838162fffffffff,43.0,0.0,0.0,0.0
838163fffffffff,21.0,0.0,0.0,0.0
838171fffffffff,2.0,0.0,0.0,0.0
838175fffffffff,3.0,0.0,0.0,0.0
838181fffffffff,23.0,0.0,0.0,1.0
838183fffffffff,7.0,0.0,0.0,0.0
838185fffffffff,15.0,0.0,0.0,1.0
838188fffffffff,16.0,0.0,0.0,0.0
83818cfffffffff,2.0,0.0,0.0,0.0
83818dfffffffff,6.0,0.0,0.0,0.0
83818efffffffff,19.0,0.0,0.0,0.0
8381a1fffffffff,23.0,0.0,0.0,2.0
8381a9fffffffff,2.0,0.0,0.0,0.0
8381aafffffffff,1.0,0.0,0.0,0.0
8381adfffffffff,16.0,0.0,0.0,0.0
838a00fffffffff,7.0,0.0,0.0,0.0
838a01fffffffff,2.0,0.0,0.0,0.0
838a05fffffffff,4.0,0.0,0.0,0.0
838a15fffffffff,6.0,0.0,0.0,0.0
838a1afffffffff,2.0,0.0,0.0,0.0
838a1efffffffff,2.0,0.0,0.0,0.0
838a21fffffffff,4.0,0.0,0.0,0.0
838a31fffffffff,2.0,0.0,0.0,0.0
838a33fffffffff,3.0,0.0,0.0,0.0
838a45fffffffff,46.0,0.0,0.0,0.0
838a52fffffffff,4.0,0.0,0.0,0.0
838a63fffffffff,18.0,0.0,0.0,0.0
838a68fffffffff,2.0,0.0,0.0,0.0
838a69fffffffff,47.0,0.0,0.0,0.0
838a6dfffffffff,118.0,0.0,0.0,0.0
838a6efffffffff,1.0,0.0,0.0,0.0
838a81fffffffff,1.0,0.0,0.0,0.0
838a8cfffffffff,4.0,0.0,0.0,0.0
838a90fffffffff,1.0,0.0,0.0,0.0
838a9cfffffffff,2.0,0.0,0.0,0.0
838a9dfffffffff,6.0,0.0,0.0,0.0
838a9efffffffff,2.0,0.0,0.0,0.0
838aa8fffffffff,5.0,0.0,0.0,0.0
838aaafffffffff,13.0,0.0,0.0,0.0
838aabfffffffff,19.0,0.0,0.0,0.0
838aadfffffffff,8.0,0.0,0.0,0.0
838ad1fffffffff,1.0,0.0,1.0,0.0
838adafffffffff,3.0,0.0,0.0,0.0
838adbfffffffff,2.0,0.0,2.0,0.0
838adcfffffffff,18.0,0.0,0.0,0.0
838ae1fffffffff,1.0,0.0,0.0,0.0
838ae5fffffffff,29.0,0.0,0.0,0.0
838af0fffffffff,30.0,0.0,6.0,0.0
838af1fffffffff,10.0,0.0,0.0,0.0
838af2fffffffff,2.0,0.0,0.0,0.0
838af4fffffffff,8.0,0.0,0.0,0.0
838af6fffffffff,35.0,0.0,0.0,0.0
838b04fffffffff,2.0,0.0,0.0,0.0
838b05fffffffff,2.0,0.0,0.0,0.0
838b08fffffffff,2.0,0.0,0.0,0.0
838b0bfffffffff,2.0,0.0,0.0,0.0
838b0cfffffffff,30.0,0.0,0.0,4.0
838b0dfffffffff,15.0,0.0,0.0,0.0
838b10fffffffff,4.0,0.0,0.0,0.0
838b1efffffffff,2.0,0.0,0.0,0.0
838b20fffffffff,2.0,0.0,0.0,0.0
838b22fffffffff,8.0,0.0,0.0,0.0
838b26fffffffff,2.0,0.0,0.0,0.0
838b2afffffffff,27.0,0.0,0.0,9.0
838b31fffffffff,13.0,0.0,0.0,0.0
838b32fffffffff,2.0,0.0,0.0,0.0
838b34fffffffff,2.0,0.0,0.0,0.0
838b44fffffffff,27.0,0.0,0.0,0.0
838b45fffffffff,10.0,0.0,0.0,0.0
838b48fffffffff,1.0,0.0,0.0,0.0
838b52fffffffff,4.0,0.0,0.0,0.0
838b56fffffffff,15.0,0.0,0.0,0.0
838b5cfffffffff,14.0,0.0,0.0,0.0
838b61fffffffff,5.0,0.0,0.0,0.0
838b62fffffffff,8.0,0.0,0.0,0.0
838b63fffffffff,108.0,0.0,0.0,0.0
838b69fffffffff,3.0,0.0,0.0,0.0
838b6efffffffff,10.0,0.0,0.0,0.0
838b71fffffffff,50.0,0.0,0.0,0.0
838b76fffffffff,8.0,0.0,0.0,0.0
838b84fffffffff,2.0,0.0,0.0,0.0
838b9dfffffffff,10.0,0.0,0.0,0.0
838ba4fffffffff,2.0,0.0,0.0,2.0
838ba6fffffffff,28.0,0.0,0.0,2.0
838bb5fffffffff,30.0,0.0,0.0,0.0
838f08fffffffff,5.0,0.0,0.0,0.0
838f09fffffffff,13.0,0.0,0.0,0.0
838f0dfffffffff,70.0,2.0,0.0,0.0
838f28fffffffff,3.0,0.0,0.0,0.0
838f29fffffffff,19.0,0.0,0.0,0.0
838f2afffffffff,119.0,1.0,0.0,0.0
838f2bfffffffff,213.0,9.0,0.0,0.0
838f2cfffffffff,17.0,0.0,0.0,0.0
838f2efffffffff,11.0,0.0,0.0,0.0
838f40fffffffff,10.0,0.0,0.0,0.0
838f43fffffffff,3.0,0.0,0.0,0.0
838f44fffffffff,2.0,0.0,0.0,0.0
838f48fffffffff,7.0,0.0,0.0,0.0
838f4cfffffffff,3.0,0.0,0.0,0.0
838f54fffffffff,2.0,0.0,0.0,0.0
838f61fffffffff,87.0,0.0,0.0,0.0
838f63fffffffff,1.0,0.0,0.0,0.0
838f6bfffffffff,11.0,0.0,0.0,0.0
838f6cfffffffff,2.0,0.0,0.0,0.0
838f6efffffffff,23.0,0.0,0.0,0.0
838f71fffffffff,1.0,0.0,0.0,0.0
838f74fffffffff,3.0,0.0,0.0,0.0
83a596fffffffff,48.0,0.0,0.0,0.0
83a800fffffffff,2.0,0.0,0.0,0.0
83a801fffffffff,6.0,0.0,0.0,0.0
83a804fffffffff,4.0,0.0,0.0,0.0
83a805fffffffff,5.0,0.0,0.0,3.0
83a806fffffffff,20.0,0.0,0.0,1.0
83a80cfffffffff,3.0,0.0,0.0,0.0
83a80efffffffff,1.0,0.0,0.0,0.0
83a810fffffffff,73.0,0.0,0.0,0.0
83a811fffffffff,18.0,0.0,0.0,2.0
83a812fffffffff,58.0,0.0,0.0,0.0
83a813fffffffff,32.0,0.0,0.0,0.0
83a814fffffffff,2.0,0.0,0.0,0.0
83a815fffffffff,10.0,0.0,0.0,0.0
83a816fffffffff,1.0,0.0,0.0,0.0
83a818fffffffff,26.0,0.0,0.0,0.0
83a819fffffffff,14.0,0.0,0.0,0.0
83a81afffffffff,12.0,0.0,0.0,0.0
83a81bfffffffff,11.0,0.0,0.0,0.0
83a81cfffffffff,27.0,0.0,0.0,0.0
83a81dfffffffff,2.0,0.0,0.0,0.0
83a81efffffffff,137.0,0.0,0.0,0.0
83a822fffffffff,2.0,0.0,0.0,0.0
83a823fffffffff,6.0,0.0,0.0,0.0
83a826fffffffff,10.0,0.0,0.0,0.0
83a82afffffffff,2.0,0.0,0.0,0.0
83a82dfffffffff,3.0,0.0,0.0,0.0
83a831fffffffff,11.0,0.0,0.0,0.0
83a833fffffffff,6.0,0.0,0.0,0.0
83a835fffffffff,8.0,0.0,0.0,0.0
83a840fffffffff,154.0,0.0,0.0,0.0
83a841fffffffff,11.0,0.0,0.0,0.0
83a842fffffffff,9.0,0.0,0.0,0.0
83a843fffffffff,4.0,0.0,0.0,0.0
83a844fffffffff,8.0,0.0,0.0,0.0
83a845fffffffff,17.0,0.0,0.0,0.0
83a846fffffffff,85.0,0.0,0.0,11.0
83a84afffffffff,7.0,0.0,0.0,0.0
83a84efffffffff,7.0,0.0,0.0,0.0
83a852fffffffff,1.0,0.0,0.0,0.0
83a853fffffffff,1.0,0.0,0.0,0.0
83a856fffffffff,1.0,0.0,0.0,0.0
83a859fffffffff,530.0,0.0,0.0,15.0
83a85bfffffffff,5.0,0.0,0.0,0.0
83a85dfffffffff,427.0,0.0,0.0,26.0
83a860fffffffff,6.0,0.0,0.0,0.0
83a862fffffffff,4.0,0.0,0.0,0.0
83a863fffffffff,2.0,0.0,0.0,0.0
83a864fffffffff,6.0,0.0,0.0,0.0
83a865fffffffff,5.0,0.0,0.0,0.0
83a868fffffffff,1.0,0.0,0.0,0.0
83a869fffffffff,1.0,0.0,0.0,0.0
83a86cfffffffff,6.0,0.0,0.0,0.0
83a86dfffffffff,3.0,0.0,0.0,0.0
83a86efffffffff,6.0,0.0,0.0,0.0
83a873fffffffff,3.0,0.0,0.0,0.0
83a875fffffffff,4.0,0.0,0.0,0.0
83a876fffffffff,10.0,0.0,0.0,0.0
83a880fffffffff,8.0,0.0,0.0,0.0
83a881fffffffff,3.0,0.0,0.0,0.0
83a882fffffffff,7.0,0.0,0.0,0.0
83a883fffffffff,13.0,0.0,0.0,4.0
83a884fffffffff,3.0,0.0,0.0,0.0
83a886fffffffff,13.0,0.0,0.0,0.0
83a88bfffffffff,4.0,0.0,0.0,0.0
83a88cfffffffff,8.0,0.0,0.0,0.0
83a88dfffffffff,9.0,0.0,0.0,0.0
83a88efffffffff,12.0,0.0,0.0,0.0
83a891fffffffff,15.0,0.0,0.0,4.0
83a895fffffffff,2.0,0.0,0.0,0.0
83a89afffffffff,2.0,0.0,0.0,0.0
83a8a0fffffffff,22.0,0.0,0.0,0.0
83a8a1fffffffff,21.0,0.0,0.0,0.0
83a8a2fffffffff,30.0,0.0,0.0,0.0
83a8a3fffffffff,12.0,0.0,0.0,0.0
83a8a5fffffffff,12.0,0.0,0.0,0.0
83a8a9fffffffff,10.0,0.0,0.0,0.0
83a8abfffffffff,2.0,0.0,0.0,0.0
83a8acfffffffff,14.0,0.0,0.0,0.0
83a8aefffffffff,2.0,0.0,0.0,0.0
83a8b1fffffffff,2.0,0.0,0.0,0.0
83a8c0fffffffff,5.0,0.0,0.0,0.0
83a8c1fffffffff,1.0,0.0,0.0,0.0
83a8c2fffffffff,17.0,0.0,0.0,0.0
83a8cafffffffff,4.0,0.0,0.0,0.0
83a8cefffffffff,4.0,0.0,0.0,0.0
83a8d1fffffffff,1.0,0.0,0.0,0.0
83a8d3fffffffff,8.0,0.0,0.0,0.0
83a8d4fffffffff,5.0,0.0,0.0,0.0
83a8d5fffffffff,1.0,0.0,0.0,0.0
83a8defffffffff,11.0,0.0,0.0,0.0
83a8e6fffffffff,10.0,0.0,0.0,0.0
83a8ecfffffffff,9.0,0.0,0.0,0.0
83a8f4fffffffff,4.0,0.0,0.0,0.0
83a8f5fffffffff,2.0,0.0,0.0,0.0
83a8f6fffffffff,1.0,0.0,0.0,0.0
83a903fffffffff,1.0,0.0,0.0,0.0
83a908fffffffff,1.0,0.0,0.0,0.0
83a909fffffffff,3.0,0.0,0.0,0.0
83a90afffffffff,2.0,0.0,0.0,0.0
83a90cfffffffff,2.0,0.0,0.0,0.0
83a90dfffffffff,2.0,0.0,0.0,0.0
83a90efffffffff,9.0,0.0,0.0,0.0
83a918fffffffff,1.0,0.0,0.0,0.0
83a919fffffffff,7.0,0.0,0.0,0.0
83a91bfffffffff,4.0,0.0,0.0,0.0
83a91dfffffffff,16.0,0.0,0.0,0.0
83a940fffffffff,2.0,0.0,0.0,0.0
83a941fffffffff,20.0,0.0,0.0,0.0
83a944fffffffff,8.0,0.0,0.0,0.0
83a945fffffffff,14.0,0.0,0.0,0.0
83a946fffffffff,11.0,0.0,0.0,0.0
83a948fffffffff,2.0,0.0,0.0,0.0
83a949fffffffff,2.0,0.0,0.0,0.0
83a94bfffffffff,3.0,0.0,0.0,0.0
83a94cfffffffff,24.0,0.0,0.0,0.0
83a94dfffffffff,13.0,0.0,0.0,0.0
83a94efffffffff,23.0,0.0,0.0,0.0
83a950fffffffff,3.0,0.0,0.0,0.0
83a952fffffffff,2.0,0.0,0.0,0.0
83a953fffffffff,3.0,0.0,0.0,0.0
83a955fffffffff,4.0,0.0,0.0,0.0
83a959fffffffff,1.0,0.0,0.0,0.0
83a95afffffffff,4.0,0.0,0.0,0.0
83a95bfffffffff,2.0,0.0,0.0,0.0
83a95dfffffffff,8.0,0.0,0.0,0.0
83a961fffffffff,3.0,0.0,0.0,0.0
83a962fffffffff,2.0,0.0,0.0,0.0
83a964fffffffff,10.0,0.0,0.0,0.0
83a968fffffffff,45.0,0.0,0.0,0.0
83a96afffffffff,37.0,0.0,0.0,0.0
83a96bfffffffff,10.0,0.0,0.0,0.0
83a96cfffffffff,5.0,0.0,0.0,0.0
83a96efffffffff,33.0,0.0,0.0,0.0
83a971fffffffff,12.0,0.0,0.0,0.0
83a975fffffffff,3.0,0.0,0.0,0.0
83a976fffffffff,2.0,0.0,0.0,0.0
83b340fffffffff,13.0,0.0,0.0,0.0
83b342fffffffff,105.0,0.0,0.0,0.0
83b343fffffffff,17.0,0.0,0.0,0.0
83b344fffffffff,10.0,0.0,0.0,0.0
83b346fffffffff,17.0,0.0,0.0,0.0
83b349fffffffff,5.0,0.0,0.0,0.0
83b34dfffffffff,28.0,0.0,0.0,0.0
83b34efffffffff,2.0,0.0,0.0,0.0
83b351fffffffff,2.0,0.0,0.0,0.0
83b358fffffffff,14.0,0.0,0.0,0.0
83b35cfffffffff,31.0,0.0,0.0,0.0
83b35dfffffffff,4.0,0.0,0.0,0.0
83b35efffffffff,10.0,0.0,0.0,0.0
83b361fffffffff,3.0,0.0,0.0,0.0
83b362fffffffff,9.0,0.0,0.0,0.0
83b363fffffffff,4.0,0.0,0.0,0.0
83b366fffffffff,16.0,0.0,0.0,0.0
83b368fffffffff,8.0,0.0,0.0,0.0
83b369fffffffff,9.0,0.0,0.0,0.0
83b36afffffffff,2.0,0.0,0.0,0.0
83b36bfffffffff,4.0,0.0,0.0,0.0
83b36dfffffffff,17.0,0.0,0.0,0.0
83b371fffffffff,3.0,0.0,0.0,0.0
83c2c1fffffffff,10.0,0.0,0.0,2.0
83c2c3fffffffff,2.0,0.0,0.0,0.0
83c2c4fffffffff,11.0,0.0,0.0,0.0
83c2c5fffffffff,6.0,0.0,0.0,1.0
83c2cefffffffff,56.0,0.0,0.0,0.0
83c2d8fffffffff,16.0,0.0,0.0,0.0
83c2d9fffffffff,8.0,0.0,0.0,0.0
83c2dbfffffffff,2.0,0.0,0.0,0.0
83c2defffffffff,2.0,0.0,0.0,0.0
