cell_id,Canachites canadensis,Canachites canadensis [canadensis Group],Canachites canadensis franklinii/isleibi,Canachites canadensis [canadensis Group] x franklinii/isleibi
841251bffffffff,2.0,0.0,0.0,0.0
841251dffffffff,4.0,0.0,0.0,0.0
8412543ffffffff,2.0,0.0,0.0,0.0
8412549ffffffff,4.0,0.0,0.0,0.0
841254bffffffff,3.0,0.0,0.0,0.0
8412555ffffffff,19.0,0.0,0.0,0.0
84125d9ffffffff,32.0,0.0,0.0,0.0
8412601ffffffff,1.0,0.0,0.0,0.0
8412603ffffffff,1.0,0.0,0.0,0.0
841260bffffffff,1.0,0.0,0.0,0.0
841263bffffffff,1.0,0.0,0.0,0.0
841266bffffffff,1.0,0.0,0.0,0.0
84126a1ffffffff,2.0,0.0,0.0,0.0
84126b3ffffffff,1.0,0.0,0.0,0.0
84126b5ffffffff,1.0,0.0,0.0,0.0
84126c1ffffffff,2.0,0.0,0.0,0.0
84126e7ffffffff,3.0,0.0,0.0,0.0
8412705ffffffff,5.0,0.0,0.0,0.0
8412721ffffffff,4.0,0.0,0.0,0.0
8412723ffffffff,1.0,0.0,0.0,0.0
8412727ffffffff,3.0,0.0,0.0,0.0
8412729ffffffff,1.0,0.0,0.0,0.0
8412759ffffffff,2.0,0.0,0.0,0.0
841275bffffffff,2.0,0.0,0.0,0.0
8412763ffffffff,2.0,0.0,0.0,0.0
841276bffffffff,7.0,0.0,0.0,0.0
8412801ffffffff,2.0,0.0,0.0,0.0
8412819ffffffff,2.0,0.0,0.0,0.0
8412843ffffffff,2.0,0.0,0.0,0.0
8412851ffffffff,2.0,0.0,0.0,0.0
8412855ffffffff,2.0,0.0,0.0,0.0
8412859ffffffff,2.0,0.0,0.0,0.0
8412883ffffffff,2.0,0.0,0.0,0.0
841288dffffffff,1.0,0.0,0.0,0.0
8412895ffffffff,2.0,0.0,0.0,0.0
841289bffffffff,2.0,0.0,0.0,0.0
84128a9ffffffff,2.0,0.0,0.0,0.0
84128abffffffff,4.0,0.0,0.0,0.0
84128b1ffffffff,13.0,0.0,0.0,0.0
84128bdffffffff,8.0,0.0,0.0,0.0
84128c9ffffffff,6.0,0.0,0.0,0.0
84128d1ffffffff,1.0,0.0,0.0,0.0
84128d9ffffffff,3.0,0.0,0.0,0.0
84128dbffffffff,2.0,0.0,0.0,0.0
84128ddffffffff,2.0,0.0,0.0,0.0
84128e3ffffffff,4.0,0.0,0.0,0.0
84128ebffffffff,1.0,0.0,0.0,0.0
8412a33ffffffff,3.0,0.0,0.0,0.0
8412a37ffffffff,4.0,0.0,0.0,0.0
8412a69ffffffff,4.0,0.0,0.0,0.0
8412a87ffffffff,1.0,0.0,0.0,0.0
8412a89ffffffff,1.0,0.0,0.0,0.0
8412a8bffffffff,2.0,0.0,0.0,0.0
8412a91ffffffff,2.0,0.0,0.0,0.0
8412a97ffffffff,8.0,0.0,2.0,0.0
8412aa3ffffffff,1.0,0.0,0.0,0.0
8412aa5ffffffff,3.0,0.0,0.0,0.0
8412aa7ffffffff,3.0,0.0,0.0,0.0
8412aabffffffff,1.0,0.0,0.0,0.0
8412ab3ffffffff,2.0,0.0,0.0,0.0
