cell_id,Dryobates lignarius,Dryobates lignarius puncticeps,Dryobates lignarius lignarius
84ce8a5ffffffff,5.0,0.0,0.0
84ce8a9ffffffff,73.0,0.0,0.0
84ce8b5ffffffff,18.0,0.0,0.0
84ce8bdffffffff,5.0,0.0,0.0
84ce8c1ffffffff,120.0,0.0,0.0
84ce8c3ffffffff,3.0,0.0,0.0
84ce8c7ffffffff,31.0,0.0,0.0
84ce8c9ffffffff,12.0,0.0,0.0
84ce8cbffffffff,8.0,0.0,0.0
84ce8cdffffffff,10.0,0.0,0.0
84ce8e1ffffffff,5.0,0.0,0.0
84ce8e3ffffffff,4.0,0.0,0.0
84ce8e5ffffffff,42.0,0.0,0.0
84ce8e7ffffffff,1.0,0.0,0.0
84ce8e9ffffffff,2.0,0.0,0.0
84ce8ebffffffff,1.0,0.0,0.0
84ce8edffffffff,11.0,0.0,0.0
84ce983ffffffff,2.0,0.0,0.0
84ce993ffffffff,3.0,0.0,0.0
84ce995ffffffff,8.0,0.0,0.0
84ce997ffffffff,4.0,0.0,0.0
84ce999ffffffff,2.0,0.0,0.0
84ce99bffffffff,10.0,0.0,0.0
84ce9b3ffffffff,30.0,0.0,0.0
84ce9d1ffffffff,38.0,0.0,0.0
84ce9d3ffffffff,73.0,0.0,0.0
84ce9d7ffffffff,9.0,0.0,0.0
84ce9d9ffffffff,4.0,0.0,0.0
84ce9dbffffffff,41.0,0.0,0.0
84cea03ffffffff,3.0,0.0,0.0
84cea07ffffffff,7.0,0.0,0.0
84cea0bffffffff,2.0,0.0,0.0
84cea11ffffffff,2.0,0.0,0.0
84cea15ffffffff,5.0,0.0,0.0
84cea17ffffffff,44.0,0.0,0.0
84cea1dffffffff,4.0,0.0,0.0
84cea31ffffffff,3.0,0.0,0.0
84cea33ffffffff,1.0,0.0,0.0
84cea37ffffffff,8.0,0.0,0.0
84cea39ffffffff,7.0,0.0,0.0
84cea3dffffffff,1.0,0.0,0.0
84cea4bffffffff,5.0,0.0,0.0
84cea51ffffffff,6.0,0.0,0.0
84cea53ffffffff,3.0,0.0,0.0
84cea59ffffffff,4.0,0.0,0.0
84cea81ffffffff,2.0,0.0,0.0
84cea85ffffffff,37.0,0.0,0.0
84cea89ffffffff,14.0,0.0,0.0
84cea8dffffffff,44.0,0.0,0.0
84ceaa1ffffffff,18.0,0.0,0.0
84ceaa5ffffffff,17.0,0.0,0.0
84ceaa7ffffffff,180.0,0.0,0.0
84ceaa9ffffffff,80.0,0.0,0.0
84ceaabffffffff,5.0,0.0,0.0
84ceaadffffffff,42.0,0.0,0.0
84ceab5ffffffff,7.0,0.0,0.0
84ceac1ffffffff,31.0,0.0,0.0
84ceac3ffffffff,5.0,0.0,0.0
84ceac5ffffffff,7.0,0.0,0.0
84ceac7ffffffff,9.0,0.0,0.0
84ceac9ffffffff,1.0,0.0,0.0
84ceacdffffffff,6.0,0.0,0.0
84ceae3ffffffff,5.0,0.0,0.0
84ceae5ffffffff,2.0,0.0,0.0
84ceae7ffffffff,37.0,0.0,0.0
84ceaedffffffff,1.0,0.0,0.0
84cf105ffffffff,2.0,0.0,0.0
84cf121ffffffff,5.0,0.0,0.0
84cf123ffffffff,40.0,0.0,0.0
84cf129ffffffff,35.0,0.0,0.0
84cf12bffffffff,50.0,0.0,0.0
84cf13dffffffff,39.0,0.0,0.0
84cf161ffffffff,2.0,0.0,0.0
84cf163ffffffff,3.0,0.0,0.0
84cf165ffffffff,6.0,0.0,0.0
84cf881ffffffff,4.0,0.0,0.0
84cf885ffffffff,5.0,0.0,0.0
84cf887ffffffff,25.0,0.0,0.0
84cf889ffffffff,2.0,0.0,0.0
84cf88dffffffff,2.0,0.0,0.0
84cf893ffffffff,1.0,0.0,0.0
84cf895ffffffff,1.0,0.0,0.0
84cf8b9ffffffff,13.0,0.0,0.0
84cf8bbffffffff,2.0,0.0,0.0
84cf8bdffffffff,49.0,0.0,0.0
84cf8c3ffffffff,17.0,0.0,0.0
84cf8c7ffffffff,2.0,0.0,0.0
84cf8c9ffffffff,6.0,0.0,0.0
84cf8cbffffffff,6.0,0.0,0.0
84cf8d3ffffffff,2.0,0.0,0.0
84cf8d5ffffffff,3.0,0.0,0.0
84cf8d7ffffffff,3.0,0.0,0.0
84cf8ddffffffff,12.0,0.0,0.0
84cfa81ffffffff,13.0,0.0,0.0
84cfa89ffffffff,23.0,0.0,0.0
84cfab3ffffffff,7.0,0.0,0.0
84cfabbffffffff,4.0,0.0,0.0
84df699ffffffff,6.0,0.0,0.0
84df69bffffffff,2.0,0.0,0.0
