cell_id,Calendulauda sabota,Calendulauda sabota [naevia Group],Calendulauda sabota [sabota Group]
84ad885ffffffff,1.0,0.0,0.0
84ad895ffffffff,3.0,0.0,0.0
84ad8b1ffffffff,12.0,0.0,0.0
84ad8b5ffffffff,25.0,0.0,0.0
84ad8b7ffffffff,8.0,0.0,0.0
84ad8b9ffffffff,16.0,0.0,0.0
84ad8bdffffffff,5.0,0.0,0.0
84ad91bffffffff,1.0,0.0,0.0
84ad95bffffffff,1.0,0.0,0.0
84ada03ffffffff,7.0,0.0,0.0
84ada07ffffffff,1.0,0.0,0.0
84ada1bffffffff,4.0,0.0,0.0
84ada1dffffffff,6.0,0.0,0.0
84ada21ffffffff,16.0,0.0,0.0
84ada2bffffffff,2.0,0.0,0.0
84ada39ffffffff,2.0,0.0,0.0
84ada49ffffffff,2.0,0.0,0.0
84ada4dffffffff,19.0,1.0,0.0
84ada65ffffffff,2.0,0.0,0.0
84adaadffffffff,4.0,0.0,0.0
84adb3bffffffff,1.0,0.0,0.0
84adb43ffffffff,2.0,0.0,0.0
84adb53ffffffff,2.0,0.0,0.0
84bc091ffffffff,4.0,0.0,0.0
84bc193ffffffff,1.0,0.0,0.0
84bc415ffffffff,3.0,0.0,0.0
84bc423ffffffff,2.0,0.0,0.0
84bc431ffffffff,41.0,0.0,0.0
84bc433ffffffff,2.0,0.0,0.0
84bc435ffffffff,5.0,0.0,0.0
84bc43dffffffff,6.0,0.0,0.0
84bc463ffffffff,2.0,0.0,0.0
84bc559ffffffff,4.0,0.0,0.0
84bc581ffffffff,2.0,0.0,0.0
84bc595ffffffff,3.0,0.0,0.0
84bc5c1ffffffff,2.0,0.0,0.0
84bc5c9ffffffff,2.0,0.0,0.0
84bc5d7ffffffff,2.0,0.0,0.0
84bc893ffffffff,8.0,0.0,0.0
84bc89bffffffff,4.0,0.0,0.0
84bcc03ffffffff,1.0,0.0,0.0
84bcc17ffffffff,6.0,0.0,0.0
84bcc27ffffffff,2.0,0.0,2.0
84bcc33ffffffff,3.0,0.0,2.0
84bcc3dffffffff,5.0,0.0,0.0
84bcc51ffffffff,2.0,0.0,0.0
84bcca5ffffffff,64.0,0.0,35.0
84bcca7ffffffff,8.0,0.0,0.0
84bcca9ffffffff,1.0,0.0,1.0
84bccc7ffffffff,1.0,0.0,0.0
84bccc9ffffffff,4.0,0.0,0.0
84bcccbffffffff,6.0,0.0,0.0
84bccedffffffff,3.0,0.0,2.0
84bcd05ffffffff,20.0,0.0,2.0
84bcd07ffffffff,2.0,0.0,0.0
84bcd0dffffffff,39.0,0.0,11.0
84bcd13ffffffff,3.0,0.0,3.0
84bcd19ffffffff,2.0,0.0,2.0
84bcd1dffffffff,2.0,0.0,0.0
84bcd21ffffffff,233.0,0.0,25.0
84bcd23ffffffff,146.0,0.0,49.0
84bcd25ffffffff,157.0,0.0,64.0
84bcd27ffffffff,198.0,0.0,52.0
84bcd29ffffffff,77.0,0.0,7.0
84bcd2bffffffff,2.0,0.0,0.0
84bcd2dffffffff,82.0,0.0,24.0
84bcd35ffffffff,18.0,0.0,6.0
84bcd39ffffffff,1.0,0.0,0.0
84bcd45ffffffff,2.0,0.0,0.0
84bcd61ffffffff,2.0,0.0,0.0
84bcd63ffffffff,143.0,0.0,33.0
84bcd67ffffffff,72.0,0.0,21.0
84bcd81ffffffff,2.0,0.0,0.0
84bcd85ffffffff,1.0,0.0,0.0
84bcd89ffffffff,4.0,0.0,0.0
84bcd8bffffffff,2.0,0.0,0.0
84bcd99ffffffff,3.0,0.0,0.0
84bcd9bffffffff,2.0,0.0,0.0
84bcdc1ffffffff,106.0,0.0,8.0
84bcdc3ffffffff,23.0,0.0,2.0
84bcdc5ffffffff,12.0,0.0,1.0
84bcdc7ffffffff,5.0,0.0,2.0
84bcdc9ffffffff,6.0,0.0,2.0
84bcdcbffffffff,4.0,0.0,4.0
84bcdd1ffffffff,64.0,0.0,7.0
84bcdd9ffffffff,1.0,0.0,0.0
84bcdddffffffff,15.0,0.0,2.0
84bcde3ffffffff,8.0,0.0,0.0
84bcde5ffffffff,92.0,0.0,18.0
84bcdebffffffff,20.0,0.0,0.0
84bce21ffffffff,1.0,0.0,0.0
84bce25ffffffff,2.0,0.0,0.0
84bce27ffffffff,6.0,0.0,0.0
84bce83ffffffff,19.0,0.0,0.0
84bce85ffffffff,5.0,0.0,0.0
84bce95ffffffff,18.0,0.0,0.0
84bce99ffffffff,5.0,0.0,0.0
84bce9dffffffff,3.0,0.0,0.0
84bced1ffffffff,2.0,0.0,0.0
84bcf05ffffffff,15.0,0.0,2.0
84bcf0dffffffff,11.0,0.0,0.0
84bcf19ffffffff,4.0,0.0,0.0
84bcf21ffffffff,24.0,0.0,2.0
84bcf23ffffffff,1.0,0.0,0.0
84bcf25ffffffff,2.0,0.0,0.0
84bcf29ffffffff,324.0,0.0,69.0
84bcf2bffffffff,1.0,0.0,0.0
84bcf2dffffffff,3.0,0.0,0.0
84bcf33ffffffff,1.0,0.0,1.0
84bcf3dffffffff,1.0,0.0,0.0
84bcf61ffffffff,5.0,0.0,0.0
84bcf63ffffffff,10.0,0.0,2.0
