cell_id,Cormobates leucophaea,Cormobates leucophaea minor,Cormobates leucophaea [leucophaea Group]
84be1d3ffffffff,61.0,0.0,22.0
84be1d5ffffffff,88.0,0.0,19.0
84be1d7ffffffff,38.0,0.0,6.0
84be1dbffffffff,29.0,0.0,0.0
84be293ffffffff,74.0,0.0,7.0
84be297ffffffff,4.0,0.0,0.0
84be29bffffffff,17.0,0.0,9.0
84be2b3ffffffff,17.0,0.0,0.0
84be401ffffffff,2.0,0.0,0.0
84be405ffffffff,27.0,0.0,1.0
84be407ffffffff,10.0,0.0,0.0
84be409ffffffff,6.0,0.0,0.0
84be40bffffffff,2.0,0.0,0.0
84be40dffffffff,180.0,0.0,54.0
84be419ffffffff,6.0,0.0,0.0
84be41dffffffff,9.0,0.0,0.0
84be429ffffffff,35.0,0.0,5.0
84be441ffffffff,247.0,0.0,117.0
84be443ffffffff,250.0,0.0,92.0
84be445ffffffff,212.0,0.0,125.0
84be447ffffffff,57.0,0.0,18.0
84be449ffffffff,178.0,0.0,49.0
84be44bffffffff,34.0,0.0,24.0
84be44dffffffff,200.0,0.0,82.0
84be451ffffffff,73.0,0.0,6.0
84be453ffffffff,4.0,0.0,0.0
84be455ffffffff,124.0,0.0,13.0
84be457ffffffff,52.0,0.0,4.0
84be459ffffffff,106.0,0.0,8.0
84be45bffffffff,15.0,0.0,4.0
84be45dffffffff,194.0,0.0,36.0
84be461ffffffff,15.0,0.0,7.0
84be463ffffffff,180.0,0.0,40.0
84be469ffffffff,120.0,0.0,45.0
84be46bffffffff,53.0,0.0,30.0
84be46dffffffff,24.0,0.0,6.0
84be493ffffffff,38.0,0.0,0.0
84be497ffffffff,2.0,0.0,0.0
84be4c9ffffffff,93.0,0.0,13.0
84be4cbffffffff,29.0,0.0,0.0
84be4cdffffffff,17.0,0.0,0.0
84be4d9ffffffff,3.0,0.0,0.0
84be4ddffffffff,14.0,0.0,0.0
84be509ffffffff,13.0,0.0,0.0
84be50dffffffff,2.0,0.0,2.0
84be541ffffffff,42.0,0.0,9.0
84be545ffffffff,99.0,0.0,6.0
84be547ffffffff,12.0,0.0,0.0
84be549ffffffff,7.0,0.0,2.0
84be54bffffffff,5.0,0.0,0.0
84be54dffffffff,27.0,0.0,3.0
84be557ffffffff,9.0,0.0,0.0
84be561ffffffff,53.0,0.0,27.0
84be565ffffffff,13.0,0.0,1.0
84be569ffffffff,60.0,0.0,0.0
84be56bffffffff,13.0,0.0,1.0
84be56dffffffff,11.0,0.0,5.0
84be605ffffffff,22.0,0.0,3.0
84be607ffffffff,32.0,0.0,4.0
84be60dffffffff,54.0,0.0,5.0
84be613ffffffff,101.0,0.0,8.0
84be617ffffffff,420.0,0.0,49.0
84be621ffffffff,58.0,0.0,9.0
84be623ffffffff,472.0,0.0,121.0
84be625ffffffff,7.0,0.0,0.0
84be627ffffffff,108.0,0.0,50.0
84be629ffffffff,222.0,0.0,2.0
84be62bffffffff,359.0,0.0,48.0
84be62dffffffff,35.0,0.0,2.0
84be631ffffffff,213.0,0.0,16.0
84be633ffffffff,621.0,0.0,53.0
84be635ffffffff,193.0,0.0,49.0
84be637ffffffff,124.0,0.0,14.0
84be639ffffffff,42.0,0.0,3.0
84be63bffffffff,547.0,0.0,58.0
84be63dffffffff,380.0,0.0,59.0
84be661ffffffff,10.0,0.0,0.0
84be663ffffffff,112.0,0.0,12.0
84be665ffffffff,4.0,0.0,0.0
84be667ffffffff,47.0,0.0,5.0
84be681ffffffff,31.0,0.0,11.0
84be683ffffffff,126.0,0.0,19.0
84be695ffffffff,46.0,0.0,3.0
84be6a1ffffffff,165.0,0.0,15.0
84be6a3ffffffff,11.0,0.0,2.0
84be6a5ffffffff,14.0,0.0,0.0
84be6a7ffffffff,20.0,0.0,4.0
84be6a9ffffffff,30.0,0.0,6.0
84be6abffffffff,2.0,0.0,0.0
84be6adffffffff,36.0,0.0,10.0
84be6b1ffffffff,60.0,0.0,6.0
84be6b3ffffffff,13.0,0.0,1.0
84be6b5ffffffff,38.0,0.0,4.0
84be6b7ffffffff,12.0,0.0,1.0
84be6b9ffffffff,31.0,0.0,9.0
84be6bbffffffff,52.0,0.0,1.0
84be6bdffffffff,7.0,0.0,0.0
84be6c5ffffffff,6.0,0.0,2.0
84be6e1ffffffff,6.0,0.0,0.0
84be6e5ffffffff,101.0,0.0,15.0
84be6e9ffffffff,233.0,0.0,22.0
84be6ebffffffff,59.0,0.0,23.0
84be6edffffffff,59.0,0.0,8.0
84be701ffffffff,40.0,0.0,0.0
84be703ffffffff,11.0,0.0,4.0
84be705ffffffff,23.0,0.0,1.0
84be707ffffffff,29.0,0.0,0.0
84be709ffffffff,27.0,0.0,3.0
84be70bffffffff,5.0,0.0,0.0
84be70dffffffff,33.0,0.0,1.0
84be711ffffffff,46.0,0.0,5.0
84be713ffffffff,320.0,0.0,130.0
84be715ffffffff,8.0,0.0,0.0
84be717ffffffff,589.0,0.0,106.0
84be719ffffffff,1.0,0.0,0.0
84be71bffffffff,97.0,0.0,31.0
84be71dffffffff,61.0,0.0,21.0
84be721ffffffff,389.0,0.0,26.0
84be723ffffffff,95.0,0.0,2.0
84be725ffffffff,476.0,0.0,10.0
84be727ffffffff,33.0,0.0,2.0
84be729ffffffff,458.0,0.0,0.0
84be72bffffffff,24.0,0.0,0.0
84be72dffffffff,3259.0,0.0,45.0
84be735ffffffff,43.0,0.0,4.0
84be737ffffffff,20.0,0.0,0.0
84be739ffffffff,45.0,0.0,2.0
84be73bffffffff,79.0,0.0,4.0
84be741ffffffff,126.0,0.0,25.0
84be743ffffffff,42.0,0.0,2.0
84be745ffffffff,110.0,0.0,0.0
84be747ffffffff,53.0,0.0,0.0
84be749ffffffff,115.0,0.0,21.0
84be74bffffffff,416.0,0.0,116.0
84be74dffffffff,722.0,0.0,109.0
84be751ffffffff,230.0,0.0,24.0
84be753ffffffff,4.0,0.0,0.0
84be755ffffffff,31.0,0.0,5.0
84be757ffffffff,11.0,0.0,2.0
84be759ffffffff,28.0,0.0,0.0
84be75bffffffff,29.0,0.0,5.0
84be75dffffffff,256.0,0.0,37.0
84be761ffffffff,6.0,0.0,0.0
84be763ffffffff,11.0,0.0,0.0
84be765ffffffff,21.0,0.0,2.0
84be767ffffffff,124.0,0.0,8.0
84be769ffffffff,101.0,0.0,4.0
84be76bffffffff,72.0,0.0,2.0
84be76dffffffff,44.0,0.0,8.0
84be883ffffffff,50.0,0.0,1.0
84be887ffffffff,11.0,0.0,0.0
84be88bffffffff,323.0,0.0,16.0
84be891ffffffff,13.0,0.0,0.0
84be895ffffffff,14.0,0.0,0.0
84be897ffffffff,2.0,0.0,0.0
84be899ffffffff,12.0,0.0,2.0
84be89bffffffff,133.0,0.0,8.0
84be89dffffffff,100.0,0.0,4.0
84be8b1ffffffff,23.0,0.0,0.0
84be8b3ffffffff,7.0,0.0,0.0
84be8b5ffffffff,4.0,0.0,2.0
84be8b7ffffffff,29.0,0.0,0.0
84be8b9ffffffff,8.0,0.0,0.0
84be8bdffffffff,6.0,0.0,0.0
84be8d1ffffffff,3085.0,0.0,185.0
84be8d3ffffffff,83.0,0.0,4.0
84be8d5ffffffff,102.0,0.0,1.0
84be8d7ffffffff,342.0,0.0,12.0
84be8d9ffffffff,819.0,0.0,30.0
84be8dbffffffff,357.0,0.0,16.0
84be8ddffffffff,12.0,0.0,0.0
84bea91ffffffff,29.0,0.0,5.0
84bea93ffffffff,11.0,0.0,0.0
84bea95ffffffff,147.0,0.0,0.0
84bea97ffffffff,43.0,0.0,0.0
84bea9bffffffff,4.0,0.0,0.0
84beab3ffffffff,1165.0,0.0,123.0
84beabbffffffff,148.0,0.0,7.0
84bed25ffffffff,24.0,0.0,0.0
84bed2dffffffff,2.0,0.0,0.0
84bed45ffffffff,8.0,0.0,2.0
84bed47ffffffff,6.0,0.0,2.0
84bede5ffffffff,44.0,0.0,0.0
84bededffffffff,16.0,0.0,0.0
84bee01ffffffff,135.0,0.0,21.0
84bee05ffffffff,58.0,0.0,14.0
84bee07ffffffff,25.0,0.0,0.0
84bee09ffffffff,5.0,0.0,0.0
84bee0dffffffff,15.0,0.0,2.0
84bee25ffffffff,2.0,0.0,0.0
84bee29ffffffff,9.0,0.0,0.0
84bee2bffffffff,31.0,0.0,0.0
84bee2dffffffff,40.0,0.0,10.0
84bee3dffffffff,1.0,0.0,0.0
84bee41ffffffff,60.0,0.0,5.0
84bee45ffffffff,6.0,0.0,0.0
84bee47ffffffff,1.0,0.0,0.0
84bee49ffffffff,30.0,0.0,7.0
84bee4bffffffff,49.0,0.0,10.0
84bee4dffffffff,12.0,0.0,0.0
84bee51ffffffff,18.0,0.0,1.0
84bee55ffffffff,34.0,0.0,13.0
84bee57ffffffff,2.0,0.0,0.0
84bee59ffffffff,3.0,0.0,0.0
84bee5bffffffff,12.0,0.0,4.0
84bee5dffffffff,12.0,0.0,1.0
84bee61ffffffff,17.0,0.0,0.0
84bee65ffffffff,23.0,0.0,4.0
84bee67ffffffff,51.0,0.0,8.0
84bee69ffffffff,1.0,0.0,0.0
84bee6bffffffff,2.0,0.0,2.0
84bee6dffffffff,25.0,0.0,0.0
84bef01ffffffff,29.0,0.0,0.0
84bef03ffffffff,1.0,0.0,0.0
84bef05ffffffff,286.0,0.0,16.0
84bef07ffffffff,63.0,0.0,3.0
84bef09ffffffff,13.0,0.0,0.0
84bef0bffffffff,14.0,0.0,1.0
84bef0dffffffff,662.0,0.0,63.0
84bef23ffffffff,7.0,0.0,3.0
84bef25ffffffff,29.0,0.0,3.0
84bef29ffffffff,6.0,0.0,0.0
84bef2bffffffff,15.0,0.0,0.0
84bef2dffffffff,219.0,0.0,5.0
84bef35ffffffff,2.0,0.0,0.0
84bef3dffffffff,91.0,0.0,4.0
84bef41ffffffff,38.0,0.0,1.0
84bef43ffffffff,56.0,0.0,2.0
84bef47ffffffff,73.0,0.0,2.0
84bef49ffffffff,9.0,0.0,9.0
84bef4bffffffff,12.0,0.0,0.0
84bef51ffffffff,19.0,0.0,0.0
84bef53ffffffff,6.0,0.0,0.0
84bef55ffffffff,2.0,0.0,0.0
84bef57ffffffff,4.0,0.0,0.0
84bef59ffffffff,24.0,0.0,0.0
84bef5bffffffff,11.0,0.0,0.0
84bef5dffffffff,84.0,0.0,0.0
84bef61ffffffff,62.0,0.0,8.0
84bef63ffffffff,83.0,0.0,19.0
84bef65ffffffff,35.0,0.0,0.0
84bef67ffffffff,263.0,0.0,29.0
84bef69ffffffff,19.0,0.0,0.0
84bef6bffffffff,162.0,0.0,18.0
84bef6dffffffff,204.0,0.0,10.0
