cell_id,Tyrannus caudifasciatus,Tyrannus caudifasciatus [caudifasciatus Group],Tyrannus caudifasciatus taylori,Tyrannus caudifasciatus gabbii
844cd65ffffffff,1.0,0.0,0.0,0.0
844cd67ffffffff,2.0,0.0,0.0,0.0
844ce85ffffffff,130.0,0.0,0.0,0.0
844cea9ffffffff,176.0,0.0,30.0,0.0
844ceadffffffff,692.0,0.0,249.0,0.0
844cee3ffffffff,103.0,0.0,18.0,0.0
844cee5ffffffff,31.0,0.0,0.0,0.0
844cee7ffffffff,927.0,0.0,200.0,0.0
844cf25ffffffff,2.0,0.0,0.0,0.0
844cf31ffffffff,1.0,0.0,0.0,0.0
844cf35ffffffff,2.0,0.0,0.0,0.0
844cf37ffffffff,2.0,0.0,0.0,0.0
8467209ffffffff,4.0,0.0,0.0,0.0
8467249ffffffff,4.0,0.0,0.0,0.0
8467251ffffffff,5.0,0.0,0.0,0.0
8467253ffffffff,2.0,0.0,0.0,0.0
846725bffffffff,242.0,0.0,0.0,138.0
846725dffffffff,2.0,0.0,0.0,2.0
8467261ffffffff,5.0,0.0,0.0,0.0
8467263ffffffff,15.0,0.0,0.0,0.0
8467267ffffffff,7.0,0.0,0.0,0.0
8467305ffffffff,450.0,11.0,0.0,0.0
8467325ffffffff,46.0,0.0,0.0,0.0
8467329ffffffff,1058.0,31.0,0.0,0.0
846732dffffffff,107.0,6.0,0.0,0.0
8467363ffffffff,487.0,10.0,0.0,0.0
8467365ffffffff,60.0,0.0,0.0,0.0
8467367ffffffff,496.0,0.0,0.0,0.0
