cell_id,Elliotomyia chionogaster,Elliotomyia chionogaster chionogaster,Elliotomyia chionogaster hypoleuca
84b2707ffffffff,5.0,0.0,0.0
84b2709ffffffff,47.0,0.0,0.0
84b270bffffffff,33.0,0.0,0.0
84b270dffffffff,13.0,0.0,0.0
84b2719ffffffff,3.0,0.0,0.0
84b2721ffffffff,2.0,0.0,0.0
84b2723ffffffff,20.0,0.0,0.0
84b2727ffffffff,6.0,0.0,0.0
84b2741ffffffff,25.0,0.0,0.0
84b2745ffffffff,2.0,0.0,0.0
84b2747ffffffff,3.0,0.0,0.0
84b2749ffffffff,147.0,0.0,0.0
84b2757ffffffff,8.0,0.0,0.0
84b275dffffffff,1.0,0.0,0.0
84b276bffffffff,2.0,0.0,0.0
84b276dffffffff,2.0,0.0,0.0
84b3219ffffffff,13.0,0.0,0.0
84b3241ffffffff,3.0,0.0,0.0
84b3243ffffffff,32.0,0.0,0.0
84b3251ffffffff,4.0,0.0,0.0
84b3253ffffffff,81.0,0.0,0.0
84b3257ffffffff,5.0,0.0,0.0
84b32c9ffffffff,3.0,0.0,0.0
84b32dbffffffff,9.0,0.0,0.0
84b32ddffffffff,4.0,0.0,0.0
84b3405ffffffff,1.0,0.0,0.0
84b3407ffffffff,1.0,0.0,0.0
84b340dffffffff,29.0,0.0,0.0
84b3421ffffffff,22.0,0.0,0.0
84b3423ffffffff,53.0,0.0,0.0
84b3425ffffffff,758.0,0.0,0.0
84b3427ffffffff,25.0,0.0,0.0
84b3429ffffffff,33.0,0.0,0.0
84b342bffffffff,6.0,0.0,0.0
84b342dffffffff,33.0,0.0,0.0
84b3435ffffffff,16.0,0.0,0.0
84b3439ffffffff,6.0,0.0,0.0
84b343dffffffff,2.0,0.0,0.0
84b3441ffffffff,12.0,0.0,0.0
84b3445ffffffff,41.0,0.0,0.0
84b3447ffffffff,10.0,0.0,0.0
84b3461ffffffff,6.0,0.0,0.0
84b3463ffffffff,18.0,0.0,0.0
84b3467ffffffff,10.0,0.0,0.0
84b346bffffffff,9.0,0.0,0.0
84b346dffffffff,32.0,0.0,0.0
84b3511ffffffff,350.0,0.0,0.0
84b3513ffffffff,212.0,0.0,0.0
84b3517ffffffff,8.0,0.0,0.0
84b3519ffffffff,29.0,0.0,0.0
84b351bffffffff,38.0,0.0,0.0
84b3553ffffffff,4.0,0.0,0.0
84b3585ffffffff,13.0,0.0,0.0
84b3587ffffffff,2.0,0.0,0.0
84b3589ffffffff,12.0,0.0,0.0
84b358dffffffff,6.0,0.0,0.0
84b35a1ffffffff,5.0,0.0,0.0
84b35a3ffffffff,21.0,0.0,0.0
84b35a7ffffffff,5.0,0.0,0.0
84b35a9ffffffff,2.0,0.0,0.0
84b35abffffffff,2.0,0.0,0.0
84b35b5ffffffff,295.0,0.0,0.0
84b35bdffffffff,127.0,0.0,0.0
84b35c1ffffffff,18.0,0.0,0.0
84b35c5ffffffff,107.0,0.0,0.0
84b35c7ffffffff,22.0,0.0,0.0
84b35c9ffffffff,339.0,0.0,0.0
84b35cbffffffff,1.0,0.0,0.0
84b35cdffffffff,123.0,0.0,0.0
84b35d5ffffffff,9.0,0.0,0.0
84b35e1ffffffff,252.0,0.0,0.0
84b35e3ffffffff,34.0,0.0,0.0
84b35e7ffffffff,12.0,0.0,0.0
84b35e9ffffffff,579.0,0.0,0.0
84b35ebffffffff,37.0,0.0,0.0
84b35edffffffff,32.0,0.0,0.0
84b3627ffffffff,1.0,0.0,0.0
84b3629ffffffff,3.0,0.0,0.0
84b362dffffffff,8.0,0.0,0.0
84b3661ffffffff,11.0,0.0,0.0
84b3665ffffffff,10.0,0.0,0.0
84b3667ffffffff,4.0,0.0,0.0
84b366dffffffff,41.0,0.0,0.0
84b3717ffffffff,3.0,0.0,0.0
84b3733ffffffff,2.0,0.0,0.0
