cell_id,Cochlearius cochlearius,Cochlearius cochlearius [zeledoni Group],Cochlearius cochlearius cochlearius/panamensis
8445767ffffffff,14.0,0.0,0.0
8448017ffffffff,1.0,0.0,0.0
8448333ffffffff,4.0,0.0,0.0
844833bffffffff,66.0,0.0,0.0
844833dffffffff,5.0,0.0,0.0
8448361ffffffff,60.0,3.0,0.0
8448363ffffffff,982.0,39.0,0.0
8448369ffffffff,181.0,5.0,0.0
844992bffffffff,6.0,0.0,0.0
8449961ffffffff,2.0,0.0,0.0
8449965ffffffff,41.0,0.0,0.0
8449967ffffffff,16.0,0.0,0.0
8449987ffffffff,30.0,0.0,0.0
84499bdffffffff,1.0,0.0,0.0
84499e7ffffffff,1.0,0.0,0.0
84499ebffffffff,15.0,0.0,0.0
8449a21ffffffff,5.0,0.0,0.0
8449a23ffffffff,12.0,0.0,0.0
8449a2bffffffff,11.0,0.0,0.0
8449a89ffffffff,15.0,0.0,0.0
8449a8bffffffff,5.0,0.0,0.0
8449a8dffffffff,2.0,0.0,0.0
8449a91ffffffff,8.0,0.0,0.0
8449a93ffffffff,1.0,0.0,0.0
8449a97ffffffff,33.0,0.0,0.0
8449ac7ffffffff,27.0,0.0,0.0
8449b55ffffffff,6.0,0.0,0.0
845f129ffffffff,6.0,0.0,0.0
845f1c3ffffffff,4.0,0.0,0.0
845f291ffffffff,1.0,0.0,0.0
845f295ffffffff,17.0,0.0,0.0
845f299ffffffff,3.0,0.0,0.0
845f29dffffffff,104.0,0.0,0.0
845f2b3ffffffff,15.0,0.0,0.0
845f2b9ffffffff,4.0,0.0,0.0
845f2bbffffffff,10.0,0.0,0.0
845f2d1ffffffff,2.0,0.0,0.0
845f2d7ffffffff,1.0,0.0,0.0
845f4a3ffffffff,1.0,0.0,0.0
845f4e7ffffffff,2.0,0.0,0.0
845f581ffffffff,1.0,0.0,0.0
845f583ffffffff,4.0,0.0,0.0
845f683ffffffff,4.0,0.0,0.0
845f68bffffffff,10.0,0.0,0.0
8466021ffffffff,3.0,0.0,0.0
8466025ffffffff,3.0,0.0,0.0
8466035ffffffff,4.0,0.0,0.0
8466057ffffffff,3.0,0.0,0.0
8466061ffffffff,2.0,0.0,0.0
8466063ffffffff,1.0,0.0,0.0
8466067ffffffff,77.0,0.0,0.0
846608dffffffff,1.0,0.0,0.0
8466093ffffffff,1.0,0.0,0.0
84660a5ffffffff,3.0,0.0,0.0
84660a7ffffffff,1.0,0.0,0.0
84660a9ffffffff,2.0,0.0,0.0
84660d1ffffffff,2.0,0.0,0.0
84660d3ffffffff,1.0,0.0,0.0
84660e1ffffffff,9.0,0.0,0.0
84660e7ffffffff,4.0,0.0,0.0
84660e9ffffffff,3.0,0.0,0.0
84660ebffffffff,5.0,0.0,0.0
8466105ffffffff,29.0,0.0,2.0
8466107ffffffff,186.0,0.0,16.0
8466113ffffffff,10.0,0.0,0.0
8466117ffffffff,2.0,0.0,0.0
8466129ffffffff,6.0,0.0,0.0
8466139ffffffff,17.0,0.0,2.0
846613dffffffff,2.0,0.0,0.0
8466163ffffffff,50.0,0.0,10.0
8466165ffffffff,5.0,0.0,0.0
8466193ffffffff,67.0,0.0,0.0
846619bffffffff,9.0,0.0,0.0
84661a7ffffffff,6.0,0.0,0.0
84661adffffffff,5.0,0.0,0.0
8466221ffffffff,5.0,0.0,0.0
846622bffffffff,2.0,0.0,0.0
8466313ffffffff,6.0,0.0,0.0
846631bffffffff,6.0,0.0,4.0
8466415ffffffff,25.0,0.0,0.0
846641dffffffff,4.0,0.0,0.0
8466439ffffffff,1.0,0.0,0.0
846652dffffffff,6.0,0.0,0.0
8466545ffffffff,21.0,0.0,0.0
8466549ffffffff,5.0,0.0,0.0
846654bffffffff,29.0,0.0,0.0
8466561ffffffff,1.0,0.0,0.0
8466563ffffffff,1.0,0.0,0.0
8466565ffffffff,2.0,0.0,0.0
8466569ffffffff,5.0,0.0,0.0
846656bffffffff,2.0,0.0,0.0
84665abffffffff,3.0,0.0,0.0
84665bdffffffff,2.0,0.0,0.0
8466639ffffffff,7.0,0.0,0.0
846663dffffffff,1.0,0.0,0.0
8466647ffffffff,17.0,0.0,0.0
84666ebffffffff,3.0,0.0,0.0
846670dffffffff,2.0,0.0,0.0
8466715ffffffff,3.0,0.0,0.0
8466727ffffffff,39.0,0.0,0.0
8466735ffffffff,2.0,0.0,0.0
846674bffffffff,4.0,0.0,0.0
8466759ffffffff,1.0,0.0,0.0
846675dffffffff,97.0,0.0,0.0
8466763ffffffff,2.0,0.0,0.0
8466a01ffffffff,1.0,0.0,0.0
8466a09ffffffff,6.0,0.0,0.0
8466a0bffffffff,9.0,0.0,0.0
8466a15ffffffff,19.0,0.0,0.0
8466a17ffffffff,6.0,0.0,0.0
8466a1dffffffff,1.0,0.0,0.0
8466a25ffffffff,3.0,0.0,0.0
8466a31ffffffff,15.0,0.0,0.0
8466a39ffffffff,6.0,0.0,0.0
8466a3bffffffff,1.0,0.0,0.0
8466a3dffffffff,3.0,0.0,0.0
8466a51ffffffff,1282.0,0.0,62.0
8466a53ffffffff,2.0,0.0,0.0
8466a55ffffffff,2.0,0.0,0.0
8466a57ffffffff,8.0,0.0,0.0
8466a59ffffffff,1.0,0.0,0.0
8466a5bffffffff,16.0,0.0,0.0
8466a5dffffffff,27.0,0.0,0.0
8466a65ffffffff,8.0,0.0,0.0
8466b01ffffffff,89.0,0.0,0.0
8466b09ffffffff,188.0,0.0,0.0
8466b0bffffffff,388.0,0.0,0.0
8466b19ffffffff,3.0,0.0,0.0
8466b1dffffffff,9.0,0.0,0.0
8466b45ffffffff,82.0,0.0,0.0
8466b47ffffffff,38.0,0.0,0.0
8466b49ffffffff,5.0,0.0,0.0
8466b4dffffffff,377.0,0.0,0.0
8466b53ffffffff,43.0,0.0,0.0
8466b55ffffffff,123.0,0.0,0.0
8466b57ffffffff,86.0,0.0,0.0
8466b59ffffffff,51.0,0.0,1.0
8466b5bffffffff,203.0,0.0,7.0
8466b69ffffffff,21.0,0.0,0.0
8466c03ffffffff,3.0,0.0,0.0
8466c17ffffffff,2.0,0.0,0.0
8466c23ffffffff,6.0,0.0,0.0
8466c37ffffffff,7.0,0.0,1.0
8466c57ffffffff,4.0,0.0,0.0
8466ce9ffffffff,19.0,0.0,0.0
8466cedffffffff,4.0,0.0,0.0
8466d81ffffffff,2.0,0.0,0.0
8466d8dffffffff,1.0,0.0,0.0
8466db1ffffffff,2.0,0.0,0.0
8466dc3ffffffff,493.0,0.0,64.0
8466dc7ffffffff,30.0,0.0,0.0
8466dcbffffffff,42.0,0.0,5.0
8466dd1ffffffff,2.0,0.0,0.0
8466dd3ffffffff,3.0,0.0,1.0
8466dd5ffffffff,11.0,0.0,0.0
8466dd7ffffffff,5.0,0.0,0.0
8466ddbffffffff,4.0,0.0,0.0
8466dddffffffff,7.0,0.0,0.0
8466de3ffffffff,7.0,0.0,0.0
8466debffffffff,1.0,0.0,0.0
8466e11ffffffff,7.0,0.0,0.0
8466e13ffffffff,2.0,0.0,0.0
8466e15ffffffff,2.0,0.0,0.0
8466e17ffffffff,4.0,0.0,0.0
8466e19ffffffff,2.0,0.0,0.0
8466e1dffffffff,3.0,0.0,0.0
8466e3bffffffff,3.0,0.0,0.0
8466e41ffffffff,3.0,0.0,0.0
8466e43ffffffff,7.0,0.0,0.0
8466e53ffffffff,5.0,0.0,0.0
8466e57ffffffff,69.0,0.0,0.0
8466e5bffffffff,4.0,0.0,0.0
8466e63ffffffff,3.0,0.0,0.0
8466e69ffffffff,3.0,0.0,0.0
8466eadffffffff,2.0,0.0,0.0
8466ec1ffffffff,3.0,0.0,0.0
8466ec7ffffffff,26.0,0.0,0.0
8466ecbffffffff,7.0,0.0,0.0
8466ee5ffffffff,24.0,0.0,0.0
84674a7ffffffff,29.0,0.0,2.0
84674edffffffff,2.0,0.0,0.0
8467521ffffffff,2.0,0.0,0.0
8467535ffffffff,7.0,0.0,0.0
8467599ffffffff,40.0,0.0,0.0
84675b3ffffffff,6.0,0.0,0.0
84675b7ffffffff,1.0,0.0,0.0
8467903ffffffff,2.0,0.0,0.0
8467909ffffffff,7.0,0.0,0.0
8467967ffffffff,2.0,0.0,0.0
84679a1ffffffff,295.0,0.0,0.0
84679a3ffffffff,30.0,0.0,0.0
84679a5ffffffff,281.0,0.0,0.0
84679a7ffffffff,88.0,0.0,0.0
84679adffffffff,7.0,0.0,0.0
84679b3ffffffff,17.0,0.0,0.0
84679b5ffffffff,55.0,0.0,0.0
84679b7ffffffff,83.0,0.0,0.0
846d041ffffffff,4.0,0.0,0.0
846d043ffffffff,11.0,0.0,0.0
846d04bffffffff,6.0,0.0,0.0
846d051ffffffff,27.0,2.0,0.0
846d053ffffffff,183.0,49.0,0.0
846d05dffffffff,5.0,0.0,0.0
846d141ffffffff,63.0,0.0,0.0
846d143ffffffff,3.0,0.0,0.0
846d145ffffffff,2.0,0.0,0.0
846d159ffffffff,116.0,2.0,0.0
846d15dffffffff,25.0,1.0,0.0
846d201ffffffff,2.0,0.0,0.0
846d20bffffffff,2.0,0.0,0.0
846d20dffffffff,29.0,0.0,0.0
846d219ffffffff,1.0,1.0,0.0
846d21dffffffff,12.0,0.0,0.0
846d243ffffffff,2.0,0.0,0.0
846d247ffffffff,1.0,0.0,0.0
846d24bffffffff,11.0,0.0,0.0
846d251ffffffff,31.0,0.0,0.0
846d253ffffffff,4.0,0.0,0.0
846d255ffffffff,13.0,0.0,0.0
846d257ffffffff,12.0,2.0,0.0
846d25dffffffff,64.0,0.0,0.0
846d26bffffffff,3.0,0.0,0.0
846d295ffffffff,1.0,0.0,0.0
846d297ffffffff,2.0,0.0,0.0
846d2a1ffffffff,10.0,0.0,0.0
846d2a3ffffffff,40.0,0.0,0.0
846d2adffffffff,10.0,0.0,0.0
846d2b3ffffffff,16.0,0.0,0.0
846d2b9ffffffff,24.0,0.0,0.0
846d2c1ffffffff,2.0,0.0,0.0
846d2c3ffffffff,4.0,0.0,0.0
846d2c9ffffffff,15.0,6.0,0.0
846d2cbffffffff,38.0,25.0,0.0
846d30dffffffff,5.0,0.0,0.0
846d313ffffffff,22.0,0.0,0.0
846d319ffffffff,2.0,0.0,0.0
846d341ffffffff,12.0,0.0,0.0
846d347ffffffff,3.0,0.0,0.0
846d34dffffffff,61.0,0.0,0.0
846d359ffffffff,3.0,0.0,0.0
846d35bffffffff,25.0,0.0,0.0
846d35dffffffff,72.0,3.0,0.0
846d601ffffffff,28.0,0.0,0.0
846d605ffffffff,6.0,0.0,0.0
846d607ffffffff,4.0,0.0,0.0
846d60dffffffff,3.0,0.0,0.0
846d613ffffffff,17.0,0.0,0.0
846d615ffffffff,6.0,0.0,0.0
846d639ffffffff,73.0,0.0,0.0
846d63bffffffff,7.0,0.0,0.0
846d649ffffffff,2.0,0.0,0.0
846d661ffffffff,9.0,0.0,0.0
846d663ffffffff,25.0,0.0,0.0
846d667ffffffff,6.0,0.0,0.0
846d681ffffffff,4.0,0.0,0.0
846d683ffffffff,248.0,0.0,0.0
846d685ffffffff,12.0,0.0,0.0
846d687ffffffff,179.0,0.0,0.0
846d689ffffffff,85.0,0.0,0.0
846d68bffffffff,1880.0,0.0,0.0
846d68dffffffff,25.0,0.0,0.0
846d691ffffffff,28.0,0.0,0.0
846d693ffffffff,67.0,0.0,0.0
846d695ffffffff,198.0,0.0,0.0
846d697ffffffff,1772.0,0.0,0.0
846d699ffffffff,135.0,0.0,0.0
846d69bffffffff,15.0,0.0,0.0
846d69dffffffff,588.0,0.0,0.0
846d6abffffffff,24.0,0.0,0.0
846d6b1ffffffff,4.0,0.0,0.0
846d6b9ffffffff,40.0,0.0,0.0
846d6bbffffffff,309.0,0.0,0.0
846d6bdffffffff,6.0,0.0,0.0
846d6c3ffffffff,24.0,0.0,0.0
846d6c7ffffffff,11.0,0.0,0.0
846d6d1ffffffff,19.0,0.0,0.0
846d6d3ffffffff,94.0,0.0,0.0
846d6d5ffffffff,391.0,0.0,0.0
846d6d7ffffffff,50.0,0.0,0.0
846d6dbffffffff,4.0,0.0,0.0
846d6e9ffffffff,2.0,0.0,0.0
846d6edffffffff,4.0,0.0,0.0
846d745ffffffff,125.0,0.0,0.0
846d747ffffffff,13.0,0.0,0.0
846d751ffffffff,9.0,0.0,0.0
846d75bffffffff,40.0,0.0,0.0
846d769ffffffff,89.0,0.0,0.0
846d76dffffffff,23.0,0.0,0.0
8480091ffffffff,2.0,0.0,0.0
848040bffffffff,1.0,0.0,0.0
848041dffffffff,3.0,0.0,0.0
848121dffffffff,3.0,0.0,0.0
84812d1ffffffff,3.0,0.0,0.0
8481403ffffffff,2.0,0.0,0.0
84814d5ffffffff,14.0,0.0,0.0
848162bffffffff,11.0,0.0,0.0
8481635ffffffff,25.0,0.0,1.0
8481637ffffffff,3.0,0.0,0.0
848a109ffffffff,2.0,0.0,0.0
848a33bffffffff,3.0,0.0,0.0
848a451ffffffff,2.0,0.0,0.0
848a459ffffffff,12.0,0.0,0.0
848a45bffffffff,7.0,0.0,0.0
848a45dffffffff,7.0,0.0,0.0
848a489ffffffff,3.0,0.0,0.0
848a4e5ffffffff,2.0,0.0,0.0
848a565ffffffff,2.0,0.0,0.0
848a68bffffffff,7.0,0.0,0.0
848a699ffffffff,45.0,0.0,0.0
848a6d3ffffffff,7.0,0.0,0.0
848a6d7ffffffff,8.0,0.0,0.0
848a6d9ffffffff,58.0,0.0,0.0
848a6dbffffffff,1.0,0.0,0.0
848a8cbffffffff,2.0,0.0,0.0
848aab1ffffffff,2.0,0.0,0.0
848ae5bffffffff,4.0,0.0,0.0
848af11ffffffff,1.0,0.0,0.0
848af45ffffffff,2.0,0.0,0.0
848af47ffffffff,2.0,0.0,0.0
848af69ffffffff,3.0,0.0,0.0
848af6dffffffff,3.0,0.0,0.0
848b0b5ffffffff,2.0,0.0,0.0
848b0c9ffffffff,2.0,0.0,0.0
848b1edffffffff,1.0,0.0,0.0
848b221ffffffff,6.0,0.0,0.0
848b223ffffffff,5.0,0.0,0.0
848b229ffffffff,8.0,0.0,0.0
848b22dffffffff,4.0,0.0,0.0
848b2a7ffffffff,2.0,0.0,0.0
848b2e9ffffffff,2.0,0.0,0.0
848b2ebffffffff,3.0,0.0,0.0
848b315ffffffff,6.0,0.0,0.0
848b40dffffffff,2.0,0.0,0.0
848b447ffffffff,2.0,0.0,0.0
848b44dffffffff,7.0,0.0,0.0
848b459ffffffff,4.0,0.0,0.0
848b461ffffffff,2.0,0.0,0.0
848b463ffffffff,2.0,0.0,0.0
848b469ffffffff,2.0,0.0,0.0
848b529ffffffff,12.0,0.0,0.0
848b563ffffffff,6.0,0.0,0.0
848b633ffffffff,2.0,0.0,0.0
848b635ffffffff,2.0,0.0,0.0
848b637ffffffff,31.0,0.0,0.0
848b63bffffffff,6.0,0.0,0.0
848b6e1ffffffff,1.0,0.0,0.0
848b6e5ffffffff,7.0,0.0,0.0
848b6e7ffffffff,29.0,0.0,0.0
848b709ffffffff,1.0,0.0,0.0
848b713ffffffff,29.0,0.0,0.0
848b717ffffffff,1.0,0.0,0.0
848b71bffffffff,3.0,0.0,0.0
848b747ffffffff,5.0,0.0,0.0
848b761ffffffff,10.0,0.0,0.0
848b765ffffffff,2.0,0.0,0.0
848b76bffffffff,15.0,0.0,0.0
848b849ffffffff,4.0,0.0,0.0
848b98bffffffff,8.0,0.0,0.0
848b999ffffffff,1.0,0.0,0.0
848b9d5ffffffff,93.0,0.0,2.0
848ba47ffffffff,1.0,0.0,0.0
848ba65ffffffff,1.0,0.0,0.0
848ba6dffffffff,1.0,0.0,0.0
848f401ffffffff,1.0,0.0,0.0
848f42bffffffff,1.0,0.0,0.0
848f44bffffffff,1.0,0.0,0.0
848f455ffffffff,2.0,0.0,0.0
848f461ffffffff,3.0,0.0,0.0
848f463ffffffff,3.0,0.0,0.0
848f48dffffffff,4.0,0.0,0.0
848f4adffffffff,2.0,0.0,0.0
848f611ffffffff,4.0,0.0,0.0
848f613ffffffff,9.0,0.0,0.0
848f617ffffffff,1.0,0.0,0.0
848f61bffffffff,13.0,0.0,0.0
848f631ffffffff,1.0,0.0,0.0
848f633ffffffff,1.0,0.0,0.0
848f6cdffffffff,1.0,0.0,0.0
848f6e1ffffffff,3.0,0.0,0.0
848f6e9ffffffff,25.0,0.0,0.0
848f6edffffffff,12.0,0.0,0.0
848f74bffffffff,2.0,0.0,0.0
84a8403ffffffff,7.0,0.0,0.0
84a8405ffffffff,6.0,0.0,0.0
84a840dffffffff,60.0,0.0,4.0
84a8411ffffffff,1.0,0.0,0.0
84a842bffffffff,4.0,0.0,0.0
84a8447ffffffff,2.0,0.0,0.0
84a845bffffffff,1.0,0.0,0.0
84a8461ffffffff,2.0,0.0,0.0
84a8463ffffffff,29.0,0.0,0.0
84a846bffffffff,2.0,0.0,0.0
84a84a3ffffffff,2.0,0.0,0.0
84a84edffffffff,3.0,0.0,0.0
84a8591ffffffff,430.0,0.0,18.0
84a8593ffffffff,1.0,0.0,0.0
84a8599ffffffff,391.0,0.0,24.0
84a859bffffffff,5.0,0.0,0.0
84a85b9ffffffff,7.0,0.0,0.0
84a85d3ffffffff,478.0,0.0,30.0
84a85d7ffffffff,56.0,0.0,1.0
84a85dbffffffff,2.0,0.0,0.0
84a8917ffffffff,5.0,0.0,0.0
84a8a19ffffffff,4.0,0.0,0.0
84a8a23ffffffff,114.0,0.0,2.0
84a8a3dffffffff,6.0,0.0,0.0
84a8ac9ffffffff,2.0,0.0,0.0
84a8cebffffffff,1.0,0.0,0.0
