cell_id,Curruca mystacea,Curruca mystacea mystacea,Curruca mystacea rubescens/turcmenica
8443acbffffffff,5.0,0.0,0.0
8443acdffffffff,39.0,0.0,0.0
8443ad3ffffffff,4.0,0.0,0.0
8443ad9ffffffff,1.0,0.0,0.0
8443ae3ffffffff,5.0,0.0,0.0
8443ae5ffffffff,208.0,0.0,0.0
8443aedffffffff,26.0,0.0,0.0
8443b53ffffffff,1.0,0.0,0.0
8443b5bffffffff,1.0,0.0,0.0
8452113ffffffff,3.0,0.0,0.0
84521c5ffffffff,4.0,0.0,0.0
84521e9ffffffff,2.0,0.0,0.0
84522b3ffffffff,2.0,0.0,0.0
8452309ffffffff,1.0,0.0,0.0
8452345ffffffff,4.0,0.0,0.0
84524ddffffffff,7.0,0.0,0.0
845269bffffffff,16.0,0.0,0.0
8452893ffffffff,2.0,0.0,0.0
8452d41ffffffff,2.0,0.0,0.0
8452d45ffffffff,7.0,0.0,0.0
8453115ffffffff,1.0,0.0,0.0
845312bffffffff,1.0,0.0,0.0
8453169ffffffff,1.0,0.0,0.0
84531adffffffff,2.0,0.0,0.0
8453323ffffffff,1.0,0.0,0.0
845343dffffffff,2.0,0.0,0.0
84534cdffffffff,2.0,0.0,0.0
84534d3ffffffff,1.0,0.0,0.0
84534d5ffffffff,51.0,0.0,0.0
84534d9ffffffff,4.0,0.0,0.0
84534dbffffffff,13.0,0.0,0.0
8453551ffffffff,2.0,0.0,0.0
845355dffffffff,1.0,0.0,0.0
845362bffffffff,1.0,0.0,0.0
8453645ffffffff,49.0,0.0,0.0
845364dffffffff,1.0,0.0,0.0
8453685ffffffff,4.0,0.0,0.0
84536a3ffffffff,45.0,0.0,0.0
84536e5ffffffff,2.0,0.0,0.0
84536e7ffffffff,2.0,0.0,0.0
845373dffffffff,2.0,0.0,0.0
8453a95ffffffff,1.0,0.0,0.0
8453a99ffffffff,2.0,0.0,0.0
846330bffffffff,15.0,0.0,0.0
8463321ffffffff,3.0,0.0,0.0
846332dffffffff,6.0,0.0,0.0
846333dffffffff,2.0,0.0,0.0
846336dffffffff,4.0,0.0,0.0
847ac81ffffffff,2.0,0.0,0.0
847acd5ffffffff,2.0,0.0,0.0
847ad99ffffffff,1.0,0.0,0.0
847ae99ffffffff,1.0,0.0,0.0
