cell_id,Junco hyemalis,Junco hyemalis hyemalis/carolinensis,Junco hyemalis cismontanus,Junco hyemalis [oreganus Group],Junco hyemalis mearnsi,Junco hyemalis aikeni,Junco hyemalis caniceps,Junco hyemalis dorsalis,Junco hyemalis hyemalis/carolinensis/cismontanus,Junco hyemalis [oreganus Group] x mearnsi,Junco hyemalis mearnsi x aikeni,Junco hyemalis [oreganus Group] x caniceps,Junco hyemalis mearnsi x caniceps,Junco hyemalis caniceps x dorsalis
82266ffffffffff,10082.0,2731.0,9.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
822677fffffffff,5513.0,989.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
822687fffffffff,35277.0,2308.0,156.0,2392.0,3297.0,241.0,8809.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0
82268ffffffffff,50505.0,5070.0,348.0,5297.0,6838.0,439.0,9155.0,0.0,204.0,0.0,0.0,0.0,0.0,0.0
822697fffffffff,20705.0,986.0,14.0,5343.0,1237.0,0.0,2558.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0
82269ffffffffff,18434.0,460.0,46.0,1792.0,1832.0,0.0,2107.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0
8226a7fffffffff,1134.0,78.0,0.0,44.0,55.0,324.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8226affffffffff,10151.0,1572.0,145.0,1433.0,1596.0,78.0,74.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0
8226b7fffffffff,3072.0,78.0,0.0,87.0,953.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8226c7fffffffff,4383.0,710.0,15.0,18.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
8226cffffffffff,9999.0,2195.0,1.0,34.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0
8226d7fffffffff,3605.0,500.0,3.0,415.0,293.0,0.0,40.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0
8226dffffffffff,2289.0,463.0,0.0,98.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8226e7fffffffff,13351.0,1841.0,0.0,167.0,31.0,0.0,0.0,0.0,183.0,0.0,0.0,0.0,0.0,0.0
8226effffffffff,5176.0,1281.0,10.0,18.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
8226f7fffffffff,2945.0,564.0,5.0,338.0,293.0,0.0,16.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0
822707fffffffff,4080.0,1124.0,9.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0
82270ffffffffff,2274.0,532.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
822717fffffffff,1154.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
82271ffffffffff,2286.0,714.0,7.0,27.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
822727fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82272ffffffffff,62.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822737fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822747fffffffff,7851.0,2653.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
82274ffffffffff,35209.0,7733.0,2.0,3.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0
822757fffffffff,13217.0,2985.0,72.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0
82275ffffffffff,37804.0,5631.0,22.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0
822767fffffffff,3584.0,895.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82276ffffffffff,6592.0,1449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822777fffffffff,2331.0,490.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
822787fffffffff,156.0,31.0,0.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82278ffffffffff,654.0,178.0,0.0,15.0,2.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822797fffffffff,2091.0,114.0,7.0,163.0,129.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
82279ffffffffff,1139.0,99.0,0.0,27.0,313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8227a7fffffffff,1476.0,640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8227affffffffff,1017.0,544.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8227b7fffffffff,416.0,80.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822807fffffffff,8496.0,121.0,0.0,5308.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0
822817fffffffff,18458.0,454.0,17.0,9984.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
82281ffffffffff,23612.0,196.0,20.0,10289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822837fffffffff,132962.0,696.0,48.0,55631.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0
822887fffffffff,17422.0,369.0,19.0,5734.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82288ffffffffff,20496.0,538.0,135.0,5299.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0
822897fffffffff,6311.0,118.0,1.0,284.0,1930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82289ffffffffff,6437.0,334.0,0.0,1413.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8228a7fffffffff,551.0,7.0,0.0,196.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8228affffffffff,13955.0,97.0,4.0,4210.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
8228b7fffffffff,6830.0,176.0,9.0,1372.0,364.0,0.0,322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8228c7fffffffff,6016.0,34.0,22.0,2884.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
8228cffffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8228d7fffffffff,125496.0,819.0,337.0,45904.0,0.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0
8228dffffffffff,46545.0,338.0,15.0,17083.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0
8228e7fffffffff,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8228f7fffffffff,91876.0,858.0,263.0,38245.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0
822917fffffffff,8697.0,73.0,0.0,2841.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
82291ffffffffff,8387.0,0.0,0.0,5379.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
822987fffffffff,3730.0,174.0,0.0,1034.0,0.0,0.0,323.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0
82298ffffffffff,18665.0,119.0,3.0,8297.0,0.0,0.0,11.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
822997fffffffff,7782.0,145.0,38.0,1523.0,331.0,0.0,1212.0,153.0,22.0,0.0,0.0,0.0,0.0,0.0
82299ffffffffff,1254.0,16.0,0.0,143.0,10.0,0.0,349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8229a7fffffffff,61454.0,960.0,94.0,26036.0,0.0,0.0,12.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0
8229affffffffff,29534.0,392.0,1.0,14872.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8229b7fffffffff,8010.0,66.0,24.0,1748.0,420.0,0.0,312.0,850.0,71.0,0.0,0.0,0.0,0.0,26.0
822a07fffffffff,679.0,348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822a17fffffffff,96634.0,25203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822a1ffffffffff,23.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822a27fffffffff,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822a37fffffffff,93222.0,32960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822a4ffffffffff,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822a87fffffffff,22377.0,7995.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0
822a8ffffffffff,31442.0,10649.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822a97fffffffff,23246.0,4094.0,8.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
822a9ffffffffff,3653.0,1004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822aa7fffffffff,57170.0,29667.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822aaffffffffff,101630.0,34805.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822ab7fffffffff,56912.0,10979.0,3.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0
822ad7fffffffff,3975.0,1481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822af7fffffffff,7776.0,1861.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822b07fffffffff,7670.0,2492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822b0ffffffffff,11476.0,4107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822b17fffffffff,15272.0,642.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822b1ffffffffff,17194.0,5714.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
