cell_id,Euplectes capensis,Euplectes capensis phoenicomerus,Euplectes capensis xanthomelas,Euplectes capensis [capensis Group]
837b4cfffffffff,10.0,0.0,0.0,0.0
837b4dfffffffff,4.0,0.0,0.0,1.0
837b68fffffffff,2.0,0.0,0.0,0.0
837b6bfffffffff,3.0,0.0,0.0,0.0
8382d0fffffffff,12.0,6.0,0.0,0.0
8382d1fffffffff,6.0,3.0,0.0,0.0
8382d3fffffffff,25.0,7.0,0.0,0.0
838312fffffffff,3.0,0.0,0.0,1.0
838314fffffffff,1.0,0.0,0.0,0.0
838330fffffffff,12.0,0.0,0.0,6.0
838332fffffffff,5.0,0.0,0.0,2.0
838333fffffffff,21.0,0.0,0.0,5.0
838336fffffffff,1.0,0.0,0.0,0.0
839600fffffffff,17.0,0.0,0.0,3.0
839603fffffffff,3.0,0.0,0.0,1.0
839604fffffffff,4.0,0.0,0.0,0.0
839608fffffffff,3.0,0.0,0.0,1.0
839609fffffffff,11.0,0.0,0.0,0.0
83960bfffffffff,47.0,0.0,0.0,0.0
839614fffffffff,1.0,0.0,0.0,0.0
839621fffffffff,7.0,0.0,0.0,0.0
839623fffffffff,68.0,0.0,0.0,11.0
839624fffffffff,1.0,0.0,0.0,0.0
839626fffffffff,2.0,0.0,0.0,0.0
839628fffffffff,5.0,0.0,0.0,0.0
83962bfffffffff,1.0,0.0,0.0,0.0
83962cfffffffff,33.0,0.0,0.0,5.0
83962efffffffff,20.0,0.0,0.0,1.0
839632fffffffff,1.0,0.0,0.0,0.0
839633fffffffff,2.0,0.0,0.0,0.0
839636fffffffff,1.0,0.0,0.0,0.0
839690fffffffff,12.0,0.0,0.0,0.0
839691fffffffff,3.0,0.0,0.0,0.0
839692fffffffff,295.0,0.0,0.0,17.0
839693fffffffff,218.0,0.0,0.0,7.0
83969afffffffff,4.0,0.0,0.0,0.0
8396a1fffffffff,1.0,0.0,0.0,0.0
8396a2fffffffff,2.0,0.0,0.0,0.0
8396a3fffffffff,2.0,0.0,0.0,0.0
8396a5fffffffff,2.0,0.0,0.0,0.0
8396a8fffffffff,2.0,0.0,0.0,0.0
8396acfffffffff,4.0,0.0,0.0,4.0
8396b0fffffffff,20.0,0.0,0.0,2.0
8396b1fffffffff,11.0,0.0,0.0,0.0
8396b4fffffffff,34.0,0.0,0.0,9.0
8396b5fffffffff,2.0,0.0,0.0,0.0
8396b6fffffffff,28.0,0.0,0.0,4.0
839700fffffffff,5.0,0.0,0.0,0.0
839702fffffffff,34.0,0.0,0.0,0.0
839703fffffffff,34.0,0.0,0.0,0.0
839706fffffffff,6.0,0.0,0.0,0.0
839708fffffffff,2.0,0.0,0.0,0.0
83970afffffffff,6.0,0.0,0.0,0.0
83970cfffffffff,3.0,0.0,0.0,0.0
83970dfffffffff,4.0,0.0,0.0,0.0
839710fffffffff,20.0,0.0,0.0,0.0
839711fffffffff,64.0,0.0,0.0,0.0
839713fffffffff,6.0,0.0,0.0,0.0
839715fffffffff,7.0,0.0,0.0,0.0
839719fffffffff,47.0,0.0,0.0,0.0
83971cfffffffff,76.0,0.0,0.0,11.0
83971dfffffffff,5.0,0.0,0.0,0.0
839728fffffffff,2.0,0.0,0.0,2.0
83972dfffffffff,135.0,0.0,0.0,15.0
839731fffffffff,3.0,0.0,0.0,0.0
839735fffffffff,2.0,0.0,0.0,0.0
839751fffffffff,8.0,0.0,0.0,0.0
839772fffffffff,19.0,0.0,0.0,0.0
839782fffffffff,2.0,0.0,0.0,0.0
839788fffffffff,6.0,0.0,0.0,0.0
839789fffffffff,6.0,0.0,0.0,1.0
83978bfffffffff,6.0,0.0,0.0,0.0
83978cfffffffff,2.0,0.0,0.0,0.0
83978dfffffffff,2.0,0.0,0.0,0.0
83978efffffffff,4.0,0.0,0.0,0.0
839791fffffffff,3.0,0.0,0.0,0.0
839799fffffffff,6.0,0.0,0.0,0.0
83979efffffffff,3.0,0.0,0.0,0.0
8397a8fffffffff,15.0,0.0,0.0,3.0
8397aafffffffff,2.0,0.0,0.0,2.0
8397abfffffffff,3.0,0.0,0.0,0.0
8397acfffffffff,4.0,0.0,0.0,3.0
83ad32fffffffff,482.0,0.0,0.0,160.0
83ad36fffffffff,695.0,0.0,0.0,170.0
83bc09fffffffff,4.0,0.0,0.0,0.0
83bc19fffffffff,2.0,0.0,0.0,0.0
83bc1bfffffffff,3.0,0.0,0.0,0.0
83bc40fffffffff,91.0,0.0,0.0,2.0
83bc41fffffffff,17.0,0.0,0.0,0.0
83bc43fffffffff,4.0,0.0,0.0,0.0
83bc44fffffffff,20.0,0.0,0.0,2.0
83bc45fffffffff,96.0,0.0,0.0,3.0
83bc46fffffffff,2.0,0.0,0.0,0.0
83bc49fffffffff,71.0,0.0,0.0,21.0
83bc4dfffffffff,73.0,0.0,0.0,2.0
83bc55fffffffff,4.0,0.0,0.0,0.0
83bc68fffffffff,140.0,0.0,0.0,27.0
83bc69fffffffff,523.0,0.0,0.0,124.0
83bc6afffffffff,222.0,0.0,0.0,32.0
83bc6bfffffffff,110.0,0.0,0.0,21.0
83bc71fffffffff,26.0,0.0,0.0,0.0
83bc73fffffffff,5.0,0.0,0.0,0.0
83bcc0fffffffff,2.0,0.0,0.0,0.0
83bcc4fffffffff,35.0,0.0,0.0,6.0
83bcc6fffffffff,10.0,0.0,0.0,4.0
83bcd0fffffffff,72.0,0.0,0.0,18.0
83bcd1fffffffff,86.0,0.0,0.0,28.0
83bcd2fffffffff,11.0,0.0,0.0,0.0
83bcd3fffffffff,28.0,0.0,0.0,5.0
83bcd4fffffffff,27.0,0.0,0.0,5.0
83bcd5fffffffff,1.0,0.0,0.0,0.0
83bcdcfffffffff,5.0,0.0,0.0,3.0
83bcdefffffffff,1.0,0.0,0.0,0.0
83bce1fffffffff,1.0,0.0,0.0,0.0
83bce2fffffffff,239.0,0.0,0.0,48.0
83bce6fffffffff,68.0,0.0,0.0,14.0
83bceafffffffff,3.0,0.0,0.0,0.0
83bcf0fffffffff,1.0,0.0,0.0,0.0
83bcf1fffffffff,2.0,0.0,0.0,0.0
83bcf2fffffffff,1.0,0.0,0.0,0.0
83bcf3fffffffff,33.0,0.0,0.0,9.0
83bcf5fffffffff,36.0,0.0,0.0,13.0
83bcf6fffffffff,2.0,0.0,0.0,0.0
