cell_id,Paroaria gularis,Paroaria gularis gularis,Paroaria gularis cervicalis
838b0afffffffff,5.0,0.0,4.0
838b0bfffffffff,7.0,0.0,6.0
838b0cfffffffff,115.0,0.0,1.0
838b0dfffffffff,149.0,0.0,3.0
838b0efffffffff,10.0,0.0,0.0
838b11fffffffff,2.0,0.0,0.0
838b1cfffffffff,1.0,0.0,0.0
838b1efffffffff,23.0,0.0,12.0
838b20fffffffff,1.0,0.0,0.0
838b21fffffffff,2.0,0.0,0.0
838b22fffffffff,171.0,0.0,3.0
838b23fffffffff,5.0,0.0,0.0
838b28fffffffff,3.0,0.0,1.0
838b2afffffffff,114.0,0.0,8.0
838b2bfffffffff,3.0,0.0,0.0
838b2cfffffffff,3.0,0.0,0.0
838b2efffffffff,15.0,0.0,0.0
838b31fffffffff,66.0,0.0,0.0
838b34fffffffff,1.0,0.0,0.0
838b40fffffffff,2.0,0.0,0.0
838b42fffffffff,3.0,0.0,0.0
838b44fffffffff,288.0,0.0,0.0
838b45fffffffff,54.0,0.0,0.0
838b46fffffffff,9.0,0.0,0.0
838b48fffffffff,9.0,0.0,0.0
838b4efffffffff,11.0,0.0,0.0
838b50fffffffff,8.0,0.0,0.0
838b51fffffffff,5.0,0.0,0.0
838b52fffffffff,4.0,0.0,0.0
838b56fffffffff,33.0,0.0,0.0
838b5cfffffffff,11.0,0.0,0.0
838b5dfffffffff,8.0,0.0,0.0
838b61fffffffff,836.0,4.0,0.0
838b62fffffffff,28.0,0.0,0.0
838b63fffffffff,709.0,0.0,0.0
838b69fffffffff,10.0,0.0,0.0
838b6cfffffffff,3.0,0.0,0.0
838b6efffffffff,224.0,0.0,0.0
838b71fffffffff,480.0,0.0,0.0
838b72fffffffff,8.0,0.0,0.0
838b74fffffffff,31.0,0.0,0.0
838b75fffffffff,2.0,0.0,0.0
838b76fffffffff,39.0,0.0,1.0
838b82fffffffff,2.0,2.0,0.0
838b88fffffffff,11.0,0.0,0.0
838b8dfffffffff,4.0,4.0,0.0
838b99fffffffff,106.0,12.0,0.0
838b9dfffffffff,448.0,26.0,0.0
838e64fffffffff,51.0,0.0,0.0
838e65fffffffff,21.0,0.0,0.0
838f40fffffffff,123.0,0.0,0.0
838f41fffffffff,2.0,0.0,0.0
838f43fffffffff,5.0,0.0,0.0
838f44fffffffff,9.0,0.0,0.0
838f46fffffffff,249.0,0.0,0.0
838f48fffffffff,16.0,0.0,0.0
838f4afffffffff,35.0,0.0,0.0
838f4bfffffffff,2.0,0.0,0.0
838f4cfffffffff,34.0,0.0,0.0
838f4efffffffff,2.0,0.0,0.0
838f5dfffffffff,14.0,0.0,0.0
838f61fffffffff,530.0,0.0,0.0
838f63fffffffff,14.0,0.0,0.0
838f6bfffffffff,30.0,12.0,0.0
838f6cfffffffff,21.0,0.0,0.0
838f6efffffffff,106.0,0.0,0.0
838f71fffffffff,14.0,0.0,0.0
838f73fffffffff,1.0,0.0,0.0
83a841fffffffff,8.0,0.0,0.0
83a859fffffffff,20.0,0.0,0.0
83a85dfffffffff,1.0,0.0,0.0
83b366fffffffff,10.0,0.0,0.0
