cell_id,Myiopagis viridicata,Myiopagis viridicata minima/jaliscensis,Myiopagis viridicata [viridicata Group]
84452a1ffffffff,57.0,0.0,21.0
84452a3ffffffff,7.0,0.0,0.0
84452a5ffffffff,213.0,0.0,0.0
84452a7ffffffff,11.0,0.0,0.0
84452a9ffffffff,495.0,0.0,11.0
84452abffffffff,20.0,0.0,0.0
84452adffffffff,974.0,0.0,118.0
84452b3ffffffff,2.0,0.0,0.0
84452b5ffffffff,17.0,0.0,2.0
84452b7ffffffff,2.0,0.0,0.0
84452b9ffffffff,30.0,0.0,11.0
84452bdffffffff,47.0,0.0,1.0
84452c1ffffffff,16.0,0.0,0.0
84452c3ffffffff,187.0,0.0,16.0
84452c5ffffffff,137.0,0.0,11.0
84452c7ffffffff,214.0,0.0,0.0
84452c9ffffffff,27.0,0.0,8.0
84452cbffffffff,13.0,0.0,3.0
84452d5ffffffff,5.0,0.0,0.0
84452d9ffffffff,103.0,0.0,39.0
84452dbffffffff,9.0,0.0,0.0
84452e1ffffffff,2486.0,0.0,88.0
84452e3ffffffff,296.0,0.0,13.0
84452e5ffffffff,813.0,0.0,43.0
84452e7ffffffff,140.0,0.0,4.0
84452e9ffffffff,86.0,0.0,1.0
84452ebffffffff,664.0,0.0,101.0
84452edffffffff,89.0,0.0,0.0
8445319ffffffff,3.0,0.0,0.0
844531bffffffff,4.0,0.0,0.0
8445321ffffffff,2.0,0.0,0.0
844532bffffffff,6.0,0.0,0.0
8445343ffffffff,4.0,0.0,0.0
8445365ffffffff,14.0,0.0,0.0
8445649ffffffff,7.0,0.0,0.0
8445721ffffffff,12.0,0.0,4.0
8445725ffffffff,30.0,0.0,13.0
8445727ffffffff,2.0,0.0,2.0
844574dffffffff,1.0,0.0,0.0
8445765ffffffff,2.0,0.0,0.0
8445767ffffffff,6.0,0.0,4.0
844815bffffffff,1.0,0.0,0.0
8448309ffffffff,2.0,0.0,0.0
8448333ffffffff,3.0,0.0,0.0
8448337ffffffff,30.0,5.0,0.0
844833bffffffff,3.0,0.0,0.0
8448361ffffffff,500.0,65.0,0.0
8448363ffffffff,185.0,13.0,0.0
8448365ffffffff,26.0,4.0,0.0
8448367ffffffff,11.0,2.0,0.0
8448369ffffffff,154.0,17.0,0.0
844836dffffffff,78.0,31.0,0.0
8449801ffffffff,85.0,57.0,0.0
8449803ffffffff,7.0,0.0,0.0
8449807ffffffff,2.0,0.0,0.0
8449809ffffffff,7.0,7.0,0.0
844980bffffffff,4.0,0.0,0.0
844980dffffffff,9.0,0.0,0.0
844982dffffffff,3.0,0.0,0.0
8449839ffffffff,4.0,0.0,0.0
8449851ffffffff,2.0,0.0,0.0
8449855ffffffff,9.0,3.0,0.0
8449861ffffffff,16.0,3.0,0.0
8449865ffffffff,39.0,12.0,0.0
8449869ffffffff,4.0,1.0,0.0
844986bffffffff,2.0,0.0,0.0
844986dffffffff,61.0,34.0,0.0
84498c9ffffffff,36.0,1.0,0.0
84498dbffffffff,2.0,0.0,0.0
8449907ffffffff,2.0,0.0,0.0
8449913ffffffff,2.0,0.0,0.0
844994bffffffff,7.0,0.0,0.0
8449959ffffffff,350.0,158.0,0.0
8449961ffffffff,111.0,0.0,38.0
8449963ffffffff,58.0,0.0,7.0
8449967ffffffff,2.0,0.0,0.0
8449969ffffffff,3.0,0.0,0.0
844996bffffffff,10.0,0.0,2.0
8449987ffffffff,18.0,0.0,0.0
84499b1ffffffff,2.0,0.0,0.0
84499c5ffffffff,2.0,0.0,0.0
8449a23ffffffff,4.0,0.0,0.0
8449a27ffffffff,2.0,0.0,0.0
8449a2bffffffff,3.0,1.0,0.0
8449a3dffffffff,9.0,6.0,0.0
8449a81ffffffff,50.0,2.0,0.0
8449a83ffffffff,52.0,5.0,0.0
8449a85ffffffff,254.0,33.0,0.0
8449a87ffffffff,6.0,2.0,0.0
8449a89ffffffff,16.0,8.0,0.0
8449a8bffffffff,18.0,6.0,0.0
8449a8dffffffff,24.0,0.0,0.0
8449a91ffffffff,224.0,63.0,0.0
8449a93ffffffff,97.0,18.0,0.0
8449a97ffffffff,22.0,3.0,0.0
8449a99ffffffff,1.0,0.0,0.0
8449a9dffffffff,1.0,0.0,0.0
8449aa1ffffffff,7.0,2.0,0.0
8449aa3ffffffff,126.0,10.0,0.0
8449aa5ffffffff,2.0,0.0,0.0
8449aa7ffffffff,7.0,0.0,0.0
8449aa9ffffffff,2.0,0.0,0.0
8449aabffffffff,4.0,0.0,0.0
8449ab1ffffffff,175.0,3.0,0.0
8449ab3ffffffff,9.0,0.0,0.0
8449ab5ffffffff,54.0,0.0,0.0
8449ab7ffffffff,2.0,0.0,0.0
8449ab9ffffffff,1.0,1.0,0.0
8449abbffffffff,2.0,2.0,0.0
8449ad5ffffffff,5.0,1.0,0.0
8449ad7ffffffff,5.0,3.0,0.0
8449ae1ffffffff,1.0,0.0,0.0
8449b03ffffffff,1.0,0.0,0.0
8449b0bffffffff,5.0,0.0,0.0
8449b0dffffffff,2.0,0.0,0.0
8449b15ffffffff,5.0,2.0,0.0
8449b19ffffffff,52.0,17.0,0.0
8449b1dffffffff,16.0,5.0,0.0
8449b21ffffffff,1.0,0.0,0.0
8449b25ffffffff,2.0,0.0,0.0
8449b29ffffffff,2.0,0.0,0.0
8449b31ffffffff,34.0,1.0,0.0
8449b33ffffffff,422.0,132.0,0.0
8449b35ffffffff,4.0,2.0,0.0
8449b37ffffffff,126.0,64.0,0.0
8449b3bffffffff,16.0,0.0,0.0
8449b53ffffffff,19.0,8.0,0.0
8449b55ffffffff,2.0,2.0,0.0
8449b57ffffffff,59.0,28.0,0.0
8449b65ffffffff,2.0,0.0,0.0
8449b67ffffffff,7.0,0.0,0.0
845f227ffffffff,1.0,0.0,0.0
845f291ffffffff,7.0,0.0,0.0
845f293ffffffff,2.0,0.0,0.0
845f29dffffffff,5.0,0.0,0.0
845f2b1ffffffff,3.0,0.0,0.0
845f2bbffffffff,1.0,0.0,0.0
845f2d1ffffffff,20.0,0.0,0.0
845f2dbffffffff,2.0,0.0,0.0
845f683ffffffff,6.0,0.0,0.0
846601bffffffff,12.0,0.0,0.0
8466045ffffffff,4.0,0.0,0.0
8466063ffffffff,1.0,0.0,0.0
8466067ffffffff,3.0,0.0,0.0
846606bffffffff,1.0,0.0,0.0
8466081ffffffff,6.0,0.0,0.0
846608dffffffff,48.0,0.0,0.0
84660a3ffffffff,2.0,0.0,0.0
84660a7ffffffff,5.0,0.0,0.0
84660cdffffffff,2.0,0.0,0.0
8466105ffffffff,3.0,0.0,0.0
8466107ffffffff,6.0,0.0,0.0
8466113ffffffff,3.0,0.0,0.0
8466119ffffffff,9.0,0.0,0.0
8466125ffffffff,2.0,0.0,0.0
8466129ffffffff,2.0,0.0,2.0
846612dffffffff,4.0,0.0,0.0
8466131ffffffff,2.0,0.0,0.0
8466139ffffffff,11.0,0.0,0.0
8466163ffffffff,53.0,0.0,2.0
8466165ffffffff,4.0,0.0,0.0
8466167ffffffff,14.0,0.0,0.0
8466181ffffffff,12.0,0.0,0.0
8466183ffffffff,187.0,0.0,16.0
8466189ffffffff,12.0,0.0,0.0
846618bffffffff,44.0,0.0,4.0
8466191ffffffff,1.0,0.0,0.0
8466193ffffffff,24.0,0.0,0.0
8466195ffffffff,5.0,0.0,0.0
8466199ffffffff,4.0,0.0,0.0
846619bffffffff,16.0,0.0,0.0
846619dffffffff,5.0,0.0,0.0
84661b1ffffffff,4.0,0.0,0.0
84661b3ffffffff,94.0,0.0,2.0
84661b9ffffffff,51.0,0.0,3.0
84661bbffffffff,14.0,0.0,0.0
84661c3ffffffff,5.0,0.0,0.0
84661d3ffffffff,1.0,0.0,0.0
84661d7ffffffff,3.0,0.0,0.0
8466201ffffffff,14.0,0.0,0.0
8466203ffffffff,29.0,0.0,0.0
8466205ffffffff,47.0,0.0,0.0
8466207ffffffff,7.0,0.0,0.0
846620bffffffff,12.0,0.0,0.0
8466211ffffffff,1.0,0.0,0.0
8466213ffffffff,5.0,0.0,0.0
8466217ffffffff,18.0,0.0,0.0
8466221ffffffff,2.0,0.0,0.0
8466225ffffffff,3.0,0.0,0.0
8466227ffffffff,7.0,0.0,0.0
846622bffffffff,89.0,0.0,0.0
846623bffffffff,12.0,0.0,0.0
8466297ffffffff,1.0,0.0,0.0
84662b7ffffffff,3.0,0.0,0.0
84662e9ffffffff,5.0,0.0,0.0
8466313ffffffff,15.0,0.0,0.0
846631bffffffff,2.0,0.0,0.0
846675dffffffff,5.0,0.0,0.0
8466769ffffffff,3.0,0.0,0.0
8466841ffffffff,2.0,0.0,0.0
8466849ffffffff,19.0,0.0,0.0
8466a03ffffffff,2.0,0.0,0.0
8466a15ffffffff,2.0,0.0,0.0
8466a1dffffffff,1.0,0.0,0.0
8466a21ffffffff,4.0,0.0,4.0
8466a25ffffffff,2.0,0.0,0.0
8466a27ffffffff,71.0,0.0,17.0
8466a2dffffffff,2.0,0.0,0.0
8466a33ffffffff,7.0,0.0,0.0
8466a39ffffffff,7.0,0.0,0.0
8466a3dffffffff,2.0,0.0,0.0
8466a51ffffffff,848.0,0.0,37.0
8466a55ffffffff,1.0,0.0,0.0
8466a57ffffffff,3.0,0.0,0.0
8466a59ffffffff,3.0,0.0,1.0
8466a5bffffffff,14.0,0.0,1.0
8466a5dffffffff,7.0,0.0,2.0
8466b01ffffffff,1.0,0.0,0.0
8466b09ffffffff,8.0,0.0,0.0
8466b0bffffffff,11.0,0.0,0.0
8466b19ffffffff,2.0,0.0,0.0
8466b41ffffffff,71.0,0.0,0.0
8466b43ffffffff,71.0,0.0,0.0
8466b45ffffffff,23.0,0.0,0.0
8466b47ffffffff,12.0,0.0,0.0
8466b49ffffffff,131.0,0.0,0.0
8466b4dffffffff,57.0,0.0,0.0
8466b51ffffffff,181.0,0.0,0.0
8466b53ffffffff,38.0,0.0,1.0
8466b55ffffffff,354.0,0.0,0.0
8466b57ffffffff,20.0,0.0,0.0
8466b5bffffffff,9.0,0.0,0.0
8466b5dffffffff,9.0,0.0,0.0
8466b69ffffffff,6.0,0.0,0.0
8466c41ffffffff,22.0,0.0,0.0
8466c45ffffffff,4.0,0.0,0.0
8466c47ffffffff,12.0,0.0,0.0
8466c49ffffffff,18.0,0.0,0.0
8466c4dffffffff,2.0,0.0,0.0
8466c63ffffffff,3.0,0.0,0.0
8466c65ffffffff,15.0,0.0,0.0
8466c6bffffffff,9.0,0.0,0.0
8466d05ffffffff,13.0,0.0,2.0
8466d07ffffffff,8.0,0.0,0.0
8466d19ffffffff,1.0,0.0,0.0
8466d23ffffffff,12.0,0.0,0.0
8466d31ffffffff,133.0,0.0,18.0
8466d35ffffffff,205.0,0.0,26.0
8466d37ffffffff,13.0,0.0,1.0
8466d3dffffffff,9.0,0.0,0.0
8466d51ffffffff,5.0,0.0,0.0
8466e01ffffffff,2.0,0.0,0.0
8466e05ffffffff,2.0,0.0,0.0
8466e0dffffffff,117.0,0.0,0.0
8466e23ffffffff,20.0,0.0,0.0
8466e27ffffffff,10.0,0.0,0.0
8466e29ffffffff,17.0,0.0,0.0
8466e2bffffffff,1.0,0.0,0.0
8466e2dffffffff,4.0,0.0,0.0
8466e41ffffffff,55.0,0.0,0.0
8466e45ffffffff,79.0,0.0,0.0
8466e47ffffffff,53.0,0.0,0.0
8466e49ffffffff,2.0,0.0,0.0
8466e63ffffffff,79.0,0.0,0.0
8466e65ffffffff,182.0,0.0,0.0
8466e67ffffffff,64.0,0.0,0.0
8466e69ffffffff,52.0,0.0,0.0
8466e6bffffffff,30.0,0.0,0.0
8466e6dffffffff,438.0,0.0,7.0
8466f13ffffffff,1.0,0.0,0.0
8466f15ffffffff,2.0,0.0,0.0
8466f19ffffffff,19.0,0.0,0.0
8466f1dffffffff,17.0,0.0,0.0
8466f51ffffffff,4.0,0.0,0.0
8466f53ffffffff,6.0,0.0,3.0
8466f57ffffffff,40.0,0.0,0.0
8466f59ffffffff,10.0,0.0,0.0
8466f5bffffffff,66.0,0.0,2.0
8467413ffffffff,7.0,0.0,0.0
8467425ffffffff,32.0,0.0,0.0
8467427ffffffff,2.0,0.0,0.0
846743bffffffff,3.0,0.0,0.0
84674a7ffffffff,4.0,0.0,0.0
84674c5ffffffff,80.0,0.0,19.0
84674c7ffffffff,2.0,0.0,0.0
84674cdffffffff,7.0,0.0,0.0
84674d9ffffffff,1.0,0.0,0.0
84674e1ffffffff,1.0,0.0,0.0
84674e7ffffffff,1.0,0.0,0.0
84674e9ffffffff,5.0,0.0,0.0
84674ebffffffff,3.0,0.0,0.0
84674edffffffff,1.0,0.0,0.0
8467531ffffffff,1.0,0.0,0.0
8467539ffffffff,10.0,0.0,0.0
8467589ffffffff,3.0,0.0,0.0
8467591ffffffff,2.0,0.0,0.0
8467599ffffffff,9.0,0.0,0.0
84675a5ffffffff,1.0,0.0,0.0
84675a9ffffffff,2.0,0.0,0.0
84675b3ffffffff,1.0,0.0,0.0
84675d9ffffffff,1.0,0.0,0.0
8467909ffffffff,7.0,0.0,0.0
846790dffffffff,7.0,0.0,0.0
846792dffffffff,5.0,0.0,0.0
8467937ffffffff,2.0,0.0,0.0
846793dffffffff,2.0,0.0,0.0
8467945ffffffff,1.0,0.0,0.0
8467949ffffffff,3.0,0.0,0.0
8467961ffffffff,19.0,0.0,0.0
8467963ffffffff,1.0,0.0,0.0
8467969ffffffff,1.0,0.0,0.0
846796bffffffff,2.0,0.0,0.0
84679a7ffffffff,2.0,0.0,0.0
8467b25ffffffff,1.0,0.0,0.0
8467b27ffffffff,4.0,0.0,0.0
846d049ffffffff,10.0,0.0,0.0
846d04bffffffff,21.0,0.0,4.0
846d04dffffffff,3.0,0.0,0.0
846d053ffffffff,8.0,0.0,8.0
846d059ffffffff,33.0,0.0,4.0
846d05bffffffff,322.0,0.0,145.0
846d149ffffffff,2.0,0.0,0.0
846d159ffffffff,22.0,0.0,0.0
846d203ffffffff,3.0,0.0,0.0
846d207ffffffff,5.0,0.0,0.0
846d21bffffffff,45.0,0.0,16.0
846d21dffffffff,15.0,0.0,0.0
846d223ffffffff,43.0,0.0,7.0
846d231ffffffff,34.0,0.0,7.0
846d237ffffffff,2.0,0.0,0.0
846d239ffffffff,86.0,0.0,19.0
846d23dffffffff,228.0,0.0,69.0
846d257ffffffff,2.0,0.0,0.0
846d283ffffffff,17.0,0.0,0.0
846d287ffffffff,18.0,0.0,0.0
846d293ffffffff,3.0,0.0,0.0
846d295ffffffff,378.0,0.0,0.0
846d297ffffffff,4.0,0.0,0.0
846d2a1ffffffff,3.0,0.0,1.0
846d2a9ffffffff,21.0,0.0,4.0
846d2abffffffff,9.0,0.0,0.0
846d2adffffffff,3.0,0.0,0.0
846d2b3ffffffff,1.0,0.0,0.0
846d2b9ffffffff,445.0,0.0,0.0
846d2bbffffffff,2.0,0.0,0.0
846d2bdffffffff,18.0,0.0,0.0
846d2c1ffffffff,18.0,0.0,14.0
846d2c3ffffffff,12.0,0.0,3.0
846d2c5ffffffff,1.0,0.0,1.0
846d2c9ffffffff,233.0,0.0,57.0
846d2cbffffffff,29.0,0.0,16.0
846d2d1ffffffff,59.0,0.0,0.0
846d2d7ffffffff,5.0,0.0,0.0
846d2d9ffffffff,12.0,0.0,0.0
846d2ddffffffff,6.0,0.0,0.0
846d2e5ffffffff,94.0,0.0,60.0
846d2e9ffffffff,8.0,0.0,2.0
846d2ebffffffff,4.0,0.0,0.0
846d303ffffffff,9.0,0.0,0.0
846d305ffffffff,109.0,0.0,0.0
846d307ffffffff,4.0,0.0,0.0
846d309ffffffff,4.0,0.0,0.0
846d30dffffffff,79.0,0.0,0.0
846d311ffffffff,2.0,0.0,0.0
846d313ffffffff,2.0,0.0,0.0
846d319ffffffff,80.0,0.0,25.0
846d31bffffffff,20.0,0.0,0.0
846d32bffffffff,677.0,7.0,0.0
846d333ffffffff,2.0,0.0,0.0
846d335ffffffff,16.0,0.0,0.0
846d337ffffffff,534.0,44.0,0.0
846d33dffffffff,11.0,0.0,0.0
846d34bffffffff,8.0,0.0,5.0
846d35bffffffff,3.0,0.0,0.0
846d35dffffffff,41.0,0.0,15.0
846d361ffffffff,2.0,0.0,0.0
846d369ffffffff,4.0,0.0,1.0
846d36dffffffff,4.0,0.0,0.0
846d605ffffffff,18.0,0.0,0.0
846d607ffffffff,12.0,0.0,0.0
846d609ffffffff,5.0,0.0,0.0
846d60dffffffff,97.0,0.0,0.0
846d613ffffffff,3.0,0.0,0.0
846d617ffffffff,65.0,0.0,1.0
846d61bffffffff,1.0,0.0,0.0
846d651ffffffff,64.0,0.0,0.0
846d653ffffffff,8.0,0.0,0.0
846d655ffffffff,105.0,0.0,0.0
846d657ffffffff,13.0,0.0,0.0
846d65bffffffff,6.0,0.0,0.0
846d665ffffffff,2.0,0.0,0.0
846d66dffffffff,14.0,0.0,0.0
846d681ffffffff,78.0,0.0,0.0
846d683ffffffff,58.0,0.0,0.0
846d685ffffffff,30.0,0.0,0.0
846d687ffffffff,32.0,0.0,0.0
846d689ffffffff,58.0,0.0,0.0
846d68bffffffff,801.0,0.0,0.0
846d68dffffffff,73.0,0.0,0.0
846d691ffffffff,53.0,0.0,0.0
846d693ffffffff,78.0,0.0,0.0
846d695ffffffff,96.0,0.0,0.0
846d697ffffffff,1879.0,0.0,0.0
846d69bffffffff,5.0,0.0,0.0
846d69dffffffff,24.0,0.0,0.0
846d6abffffffff,3.0,0.0,0.0
846d6b1ffffffff,5.0,0.0,0.0
846d6b9ffffffff,20.0,0.0,0.0
846d6bbffffffff,281.0,0.0,0.0
846d6bdffffffff,12.0,0.0,0.0
846d6c3ffffffff,2.0,0.0,0.0
846d6c9ffffffff,2.0,0.0,0.0
846d6d1ffffffff,4.0,0.0,0.0
846d6d5ffffffff,116.0,0.0,0.0
846d6d7ffffffff,27.0,0.0,0.0
846d6ddffffffff,5.0,0.0,0.0
846d6e9ffffffff,15.0,0.0,0.0
846d6ebffffffff,2.0,0.0,0.0
846d6edffffffff,2.0,0.0,0.0
846d741ffffffff,28.0,0.0,0.0
846d743ffffffff,6.0,0.0,0.0
846d745ffffffff,68.0,0.0,0.0
846d749ffffffff,1.0,0.0,0.0
846d74bffffffff,25.0,0.0,0.0
846d75dffffffff,6.0,0.0,0.0
846d76dffffffff,3.0,0.0,0.0
8480007ffffffff,3.0,0.0,0.0
8480021ffffffff,2.0,0.0,0.0
8480053ffffffff,4.0,0.0,2.0
8480055ffffffff,1.0,0.0,0.0
8480061ffffffff,4.0,0.0,0.0
848006bffffffff,1.0,0.0,0.0
8480105ffffffff,4.0,0.0,0.0
848011bffffffff,2.0,0.0,0.0
8480141ffffffff,40.0,0.0,4.0
8480147ffffffff,2.0,0.0,0.0
848014bffffffff,2.0,0.0,0.0
848016bffffffff,4.0,0.0,0.0
84801c9ffffffff,2.0,0.0,0.0
8480239ffffffff,3.0,0.0,0.0
848024dffffffff,4.0,0.0,0.0
8480265ffffffff,2.0,0.0,0.0
8480301ffffffff,31.0,0.0,0.0
8480305ffffffff,6.0,0.0,2.0
8480309ffffffff,50.0,0.0,0.0
848030dffffffff,13.0,0.0,0.0
848032dffffffff,2.0,0.0,0.0
8480341ffffffff,4.0,0.0,0.0
8480347ffffffff,2.0,0.0,0.0
8480359ffffffff,2.0,0.0,0.0
8480363ffffffff,15.0,0.0,1.0
8480369ffffffff,4.0,0.0,0.0
8481005ffffffff,13.0,0.0,0.0
8481007ffffffff,2.0,0.0,0.0
8481011ffffffff,6.0,0.0,0.0
8481013ffffffff,3.0,0.0,0.0
8481029ffffffff,48.0,0.0,0.0
8481049ffffffff,12.0,0.0,0.0
8481061ffffffff,2.0,0.0,0.0
8481063ffffffff,2.0,0.0,0.0
84810e5ffffffff,2.0,0.0,0.0
8481105ffffffff,1.0,0.0,0.0
8481189ffffffff,6.0,0.0,0.0
8481193ffffffff,7.0,0.0,0.0
84811abffffffff,1.0,0.0,0.0
84811e1ffffffff,3.0,0.0,0.0
8481211ffffffff,47.0,0.0,1.0
8481215ffffffff,33.0,0.0,0.0
8481219ffffffff,3.0,0.0,0.0
848121dffffffff,2.0,0.0,0.0
8481237ffffffff,1.0,0.0,0.0
848123bffffffff,11.0,0.0,0.0
8481241ffffffff,2.0,0.0,0.0
8481245ffffffff,8.0,0.0,2.0
848124bffffffff,78.0,0.0,6.0
848124dffffffff,11.0,0.0,0.0
84812bdffffffff,1.0,0.0,0.0
84812d1ffffffff,1.0,0.0,0.0
8481303ffffffff,5.0,0.0,0.0
8481331ffffffff,2.0,0.0,0.0
8481339ffffffff,24.0,0.0,1.0
8481343ffffffff,4.0,0.0,0.0
8481363ffffffff,6.0,0.0,2.0
8481431ffffffff,2.0,0.0,0.0
8481439ffffffff,2.0,0.0,0.0
848145dffffffff,6.0,0.0,0.0
848146bffffffff,2.0,0.0,0.0
84814a9ffffffff,2.0,0.0,0.0
84814adffffffff,8.0,0.0,0.0
84814e7ffffffff,12.0,0.0,0.0
84815c9ffffffff,3.0,0.0,0.0
84815d9ffffffff,5.0,0.0,0.0
848162bffffffff,4.0,0.0,0.0
848166dffffffff,3.0,0.0,0.0
8481711ffffffff,10.0,0.0,0.0
8481713ffffffff,18.0,0.0,0.0
848173dffffffff,4.0,0.0,0.0
8481749ffffffff,4.0,0.0,0.0
848174bffffffff,2.0,0.0,0.0
8481757ffffffff,2.0,0.0,0.0
848175dffffffff,9.0,0.0,0.0
848185bffffffff,1.0,0.0,0.0
8481881ffffffff,3.0,0.0,0.0
8481885ffffffff,11.0,0.0,0.0
84818b3ffffffff,2.0,0.0,0.0
84818bbffffffff,2.0,0.0,0.0
84818c3ffffffff,6.0,0.0,0.0
84818d9ffffffff,2.0,0.0,0.0
84818dbffffffff,10.0,0.0,0.0
84818e1ffffffff,5.0,0.0,0.0
8481ac3ffffffff,5.0,0.0,0.0
8481ad1ffffffff,6.0,0.0,2.0
8481ad5ffffffff,5.0,0.0,0.0
8481ad9ffffffff,2.0,0.0,0.0
848a069ffffffff,3.0,0.0,0.0
848a213ffffffff,3.0,0.0,0.0
848a317ffffffff,3.0,0.0,0.0
848a809ffffffff,4.0,0.0,0.0
848b0d1ffffffff,4.0,0.0,0.0
848b11dffffffff,2.0,0.0,0.0
848b229ffffffff,5.0,0.0,0.0
848b22dffffffff,3.0,0.0,0.0
848b23bffffffff,2.0,0.0,0.0
848b261ffffffff,2.0,0.0,0.0
848b269ffffffff,7.0,0.0,0.0
848b2a5ffffffff,5.0,0.0,0.0
848b2a7ffffffff,2.0,0.0,0.0
848b2dbffffffff,2.0,0.0,0.0
848b315ffffffff,4.0,0.0,0.0
848b345ffffffff,2.0,0.0,0.0
848b363ffffffff,2.0,0.0,0.0
848b44dffffffff,2.0,0.0,0.0
848b459ffffffff,1.0,0.0,0.0
848b529ffffffff,2.0,0.0,0.0
848b567ffffffff,2.0,0.0,0.0
848b637ffffffff,2.0,0.0,0.0
848b6edffffffff,3.0,0.0,0.0
848b713ffffffff,2.0,0.0,0.0
848b71bffffffff,8.0,0.0,0.0
848b747ffffffff,2.0,0.0,0.0
848b74bffffffff,2.0,0.0,0.0
848b75dffffffff,15.0,0.0,0.0
848b849ffffffff,17.0,0.0,0.0
848b96dffffffff,1.0,0.0,1.0
848b999ffffffff,7.0,0.0,0.0
848b9d5ffffffff,16.0,0.0,0.0
848ba09ffffffff,4.0,0.0,0.0
848ba63ffffffff,2.0,0.0,0.0
848ba65ffffffff,25.0,0.0,0.0
848bb53ffffffff,4.0,0.0,0.0
848bb59ffffffff,43.0,0.0,4.0
848f08bffffffff,2.0,0.0,0.0
848f0d1ffffffff,18.0,0.0,0.0
848f0d3ffffffff,3.0,0.0,0.0
848f0d9ffffffff,4.0,0.0,0.0
848f0dbffffffff,87.0,0.0,8.0
848f285ffffffff,2.0,0.0,2.0
848f295ffffffff,9.0,0.0,0.0
848f2a1ffffffff,4.0,0.0,0.0
848f2a9ffffffff,39.0,0.0,5.0
848f2abffffffff,6.0,0.0,0.0
848f2b9ffffffff,29.0,0.0,3.0
848f2bbffffffff,22.0,0.0,0.0
848f2bdffffffff,57.0,0.0,2.0
848f2c3ffffffff,2.0,0.0,0.0
848f2cbffffffff,2.0,0.0,0.0
848f2cdffffffff,78.0,0.0,0.0
848f2e3ffffffff,10.0,0.0,0.0
848f2e9ffffffff,1.0,0.0,0.0
848f401ffffffff,19.0,0.0,0.0
848f407ffffffff,9.0,0.0,0.0
848f461ffffffff,2.0,0.0,0.0
848f761ffffffff,2.0,0.0,0.0
848f765ffffffff,10.0,0.0,0.0
84a5969ffffffff,2.0,0.0,0.0
84a8013ffffffff,2.0,0.0,0.0
84a8019ffffffff,2.0,0.0,0.0
84a801bffffffff,14.0,0.0,0.0
84a802dffffffff,1.0,0.0,0.0
84a803dffffffff,2.0,0.0,0.0
84a8057ffffffff,2.0,0.0,0.0
84a8067ffffffff,4.0,0.0,3.0
