cell_id,Coturnicops noveboracensis,Coturnicops noveboracensis noveboracensis,Coturnicops noveboracensis goldmani
832aa4fffffffff,24.0,0.0,0.0
832aa6fffffffff,3.0,2.0,0.0
832aa8fffffffff,3.0,2.0,0.0
832aa9fffffffff,20.0,0.0,0.0
832aacfffffffff,14.0,0.0,0.0
832aadfffffffff,71.0,0.0,0.0
832ab0fffffffff,1.0,0.0,0.0
832ab2fffffffff,2.0,0.0,0.0
832ab4fffffffff,4.0,0.0,0.0
832ad5fffffffff,13.0,0.0,0.0
832af0fffffffff,1.0,0.0,0.0
832af6fffffffff,2.0,0.0,0.0
832b12fffffffff,124.0,0.0,0.0
832b16fffffffff,2.0,0.0,0.0
832b18fffffffff,4.0,0.0,0.0
832b23fffffffff,1.0,0.0,0.0
832b33fffffffff,2.0,0.0,0.0
832b81fffffffff,43.0,0.0,0.0
832b82fffffffff,2.0,0.0,0.0
832b83fffffffff,22.0,2.0,0.0
832b94fffffffff,30.0,0.0,0.0
832b98fffffffff,83.0,2.0,0.0
832b99fffffffff,6.0,0.0,0.0
832b9afffffffff,2.0,0.0,0.0
832b9bfffffffff,20.0,0.0,0.0
832b9cfffffffff,3.0,3.0,0.0
832b9dfffffffff,2.0,0.0,0.0
832b9efffffffff,1.0,0.0,0.0
832ba0fffffffff,8.0,0.0,0.0
832ba5fffffffff,45.0,0.0,0.0
832baafffffffff,1.0,0.0,0.0
832bacfffffffff,199.0,0.0,0.0
834444fffffffff,9.0,0.0,0.0
834445fffffffff,51.0,0.0,0.0
834446fffffffff,1.0,0.0,0.0
834448fffffffff,3.0,0.0,0.0
834449fffffffff,10.0,0.0,0.0
83444cfffffffff,6.0,0.0,0.0
834450fffffffff,68.0,0.0,0.0
834456fffffffff,1.0,0.0,0.0
834463fffffffff,10.0,0.0,0.0
83446cfffffffff,35.0,0.0,0.0
83446dfffffffff,33.0,0.0,0.0
83446efffffffff,56.0,0.0,0.0
8344a8fffffffff,2.0,0.0,0.0
8344d1fffffffff,2.0,0.0,0.0
8344d3fffffffff,1.0,0.0,0.0
8344dafffffffff,5.0,0.0,0.0
8344e6fffffffff,6.0,0.0,0.0
8344f3fffffffff,2.0,0.0,0.0
834890fffffffff,5.0,0.0,0.0
834892fffffffff,12.0,0.0,0.0
834893fffffffff,11.0,0.0,0.0
