cell_id,Lamprotornis chloropterus,Lamprotornis chloropterus chloropterus,Lamprotornis chloropterus elisabeth
846a619ffffffff,2.0,0.0,0.0
846a697ffffffff,16.0,0.0,0.0
846ac03ffffffff,2.0,0.0,0.0
846ac33ffffffff,4.0,0.0,0.0
846ac89ffffffff,11.0,0.0,0.0
846acc7ffffffff,1.0,0.0,0.0
846acc9ffffffff,1.0,0.0,0.0
846accbffffffff,5.0,0.0,0.0
846acd1ffffffff,1.0,0.0,0.0
846acd5ffffffff,3.0,3.0,0.0
846ace5ffffffff,39.0,2.0,0.0
846ae0bffffffff,3.0,0.0,0.0
846ae15ffffffff,2.0,0.0,0.0
846ae85ffffffff,56.0,15.0,0.0
846aea1ffffffff,68.0,19.0,0.0
846aea3ffffffff,77.0,11.0,0.0
846aea5ffffffff,7.0,3.0,0.0
846aea9ffffffff,17.0,6.0,0.0
846aeabffffffff,14.0,1.0,0.0
846aeb5ffffffff,3.0,0.0,0.0
846aee3ffffffff,28.0,4.0,0.0
846aee7ffffffff,4.0,0.0,0.0
846b127ffffffff,4.0,0.0,0.0
846bb61ffffffff,1.0,0.0,0.0
8475069ffffffff,1.0,0.0,0.0
8475201ffffffff,41.0,5.0,0.0
8475207ffffffff,33.0,5.0,0.0
847520bffffffff,4.0,0.0,0.0
8475293ffffffff,18.0,0.0,0.0
8475295ffffffff,2.0,2.0,0.0
847529bffffffff,2.0,0.0,0.0
8475313ffffffff,4.0,0.0,0.0
8475769ffffffff,7.0,0.0,0.0
847a481ffffffff,77.0,5.0,0.0
847a483ffffffff,13.0,0.0,0.0
847a487ffffffff,2.0,0.0,0.0
847a489ffffffff,31.0,2.0,0.0
847a48dffffffff,2.0,0.0,0.0
847a495ffffffff,2.0,0.0,0.0
847a49dffffffff,1.0,1.0,0.0
847a4bbffffffff,2.0,0.0,0.0
847a4bdffffffff,2.0,0.0,0.0
847a66dffffffff,1.0,0.0,1.0
847ac81ffffffff,3.0,0.0,0.0
847ac87ffffffff,3.0,0.0,0.0
847ac8bffffffff,2.0,0.0,0.0
847ac97ffffffff,7.0,6.0,0.0
847aca3ffffffff,4.0,0.0,0.0
847acb5ffffffff,1.0,0.0,0.0
847acc5ffffffff,4.0,0.0,0.0
847acd5ffffffff,11.0,1.0,0.0
847acd7ffffffff,3.0,1.0,0.0
847ad91ffffffff,8.0,1.0,0.0
847ad99ffffffff,2.0,0.0,0.0
847ad9dffffffff,1.0,0.0,0.0
847ae85ffffffff,2.0,0.0,0.0
847ae9bffffffff,5.0,0.0,0.0
847aed7ffffffff,4.0,0.0,0.0
847b4d1ffffffff,1.0,0.0,1.0
847b6bbffffffff,10.0,0.0,5.0
8496009ffffffff,9.0,0.0,9.0
849600bffffffff,2.0,0.0,2.0
849602dffffffff,14.0,0.0,8.0
8496047ffffffff,4.0,0.0,2.0
8496059ffffffff,1.0,0.0,0.0
8496089ffffffff,3.0,0.0,0.0
849608dffffffff,1.0,0.0,1.0
8496095ffffffff,5.0,0.0,2.0
84960c3ffffffff,2.0,0.0,2.0
84960edffffffff,3.0,0.0,2.0
849615bffffffff,2.0,0.0,2.0
849615dffffffff,3.0,0.0,3.0
8496207ffffffff,1.0,0.0,0.0
8496215ffffffff,1.0,0.0,1.0
8496233ffffffff,3.0,0.0,3.0
849623bffffffff,8.0,0.0,3.0
849624dffffffff,3.0,0.0,3.0
8496283ffffffff,7.0,0.0,5.0
849628bffffffff,1.0,0.0,1.0
84962b9ffffffff,38.0,0.0,22.0
84962c9ffffffff,64.0,0.0,56.0
84962cdffffffff,1.0,0.0,1.0
84962d1ffffffff,2.0,0.0,0.0
84962d7ffffffff,3.0,0.0,3.0
84962d9ffffffff,2.0,0.0,0.0
84962e5ffffffff,15.0,0.0,7.0
8496329ffffffff,1.0,0.0,1.0
8496335ffffffff,3.0,0.0,0.0
8496365ffffffff,2.0,0.0,2.0
8496811ffffffff,2.0,0.0,2.0
8496815ffffffff,2.0,0.0,2.0
8496829ffffffff,2.0,0.0,0.0
84968cdffffffff,2.0,0.0,2.0
8496a39ffffffff,2.0,0.0,2.0
8496a3bffffffff,2.0,0.0,0.0
8496a59ffffffff,22.0,0.0,15.0
8496a5dffffffff,1.0,0.0,0.0
8496abdffffffff,2.0,0.0,2.0
8496aebffffffff,2.0,0.0,0.0
8496b05ffffffff,1.0,0.0,1.0
8496b13ffffffff,1.0,0.0,1.0
8496b15ffffffff,2.0,0.0,0.0
8496b19ffffffff,14.0,0.0,6.0
8496b1bffffffff,7.0,0.0,3.0
8496b53ffffffff,4.0,0.0,2.0
8496b5bffffffff,2.0,0.0,0.0
8496b61ffffffff,1.0,0.0,0.0
8496b63ffffffff,58.0,0.0,43.0
8496b6dffffffff,4.0,0.0,0.0
8497027ffffffff,1.0,0.0,0.0
8497035ffffffff,4.0,0.0,0.0
8497085ffffffff,4.0,0.0,0.0
84970a7ffffffff,2.0,0.0,2.0
84970d3ffffffff,2.0,0.0,0.0
8497101ffffffff,3.0,0.0,3.0
8497103ffffffff,1.0,0.0,1.0
8497107ffffffff,2.0,0.0,2.0
8497119ffffffff,26.0,0.0,24.0
8497199ffffffff,44.0,0.0,33.0
849719bffffffff,8.0,0.0,5.0
8497509ffffffff,3.0,0.0,0.0
8497513ffffffff,4.0,0.0,0.0
8497535ffffffff,6.0,0.0,6.0
84975b1ffffffff,1.0,0.0,1.0
84975c7ffffffff,2.0,0.0,0.0
84975ddffffffff,3.0,0.0,3.0
8497725ffffffff,3.0,0.0,0.0
849772dffffffff,1.0,0.0,0.0
84978b3ffffffff,2.0,0.0,2.0
84978d9ffffffff,17.0,0.0,6.0
8497a85ffffffff,1.0,0.0,0.0
8497a8bffffffff,1.0,0.0,1.0
8497aabffffffff,5.0,0.0,1.0
8497ad5ffffffff,5.0,0.0,0.0
