cell_id,Pyrrhura frontalis,Pyrrhura frontalis frontalis,Pyrrhura frontalis chiripepe
84a8251ffffffff,6.0,0.0,0.0
84a8253ffffffff,2.0,0.0,0.0
84a8257ffffffff,32.0,0.0,0.0
84a825bffffffff,4.0,0.0,0.0
84a8261ffffffff,13.0,0.0,0.0
84a8265ffffffff,3.0,0.0,0.0
84a8267ffffffff,6.0,0.0,0.0
84a826dffffffff,29.0,0.0,0.0
84a8287ffffffff,18.0,0.0,0.0
84a82a1ffffffff,3.0,0.0,0.0
84a82a5ffffffff,12.0,0.0,0.0
84a82abffffffff,3.0,0.0,0.0
84a82b9ffffffff,8.0,0.0,0.0
84a82bdffffffff,13.0,0.0,0.0
84a82c9ffffffff,1.0,0.0,0.0
84a82d1ffffffff,4.0,0.0,0.0
84a82d3ffffffff,16.0,0.0,0.0
84a82dbffffffff,14.0,0.0,0.0
84a82ddffffffff,13.0,0.0,0.0
84a82e1ffffffff,13.0,0.0,0.0
84a82e3ffffffff,8.0,0.0,0.0
84a82e7ffffffff,2.0,0.0,0.0
84a8311ffffffff,101.0,0.0,0.0
84a8313ffffffff,120.0,0.0,14.0
84a8315ffffffff,2.0,0.0,0.0
84a8317ffffffff,39.0,0.0,0.0
84a8319ffffffff,34.0,0.0,0.0
84a831bffffffff,47.0,0.0,1.0
84a831dffffffff,39.0,0.0,3.0
84a8331ffffffff,2.0,0.0,0.0
84a8333ffffffff,8.0,1.0,0.0
84a8337ffffffff,3.0,0.0,0.0
84a833bffffffff,61.0,0.0,0.0
84a8351ffffffff,14.0,0.0,3.0
84a8353ffffffff,173.0,0.0,18.0
84a8357ffffffff,55.0,0.0,5.0
84a8359ffffffff,50.0,0.0,1.0
84a835bffffffff,83.0,0.0,0.0
84a835dffffffff,4.0,0.0,0.0
84a8603ffffffff,4.0,0.0,0.0
84a8605ffffffff,32.0,0.0,0.0
84a860dffffffff,65.0,0.0,0.0
84a8629ffffffff,24.0,0.0,0.0
84a862dffffffff,1.0,0.0,0.0
84a8639ffffffff,4.0,0.0,0.0
84a8645ffffffff,1.0,0.0,0.0
84a8663ffffffff,2.0,0.0,0.0
84a8759ffffffff,2.0,0.0,0.0
84a8805ffffffff,169.0,5.0,0.0
84a8811ffffffff,6.0,0.0,0.0
84a8821ffffffff,6.0,1.0,0.0
84a8825ffffffff,12.0,0.0,0.0
84a8829ffffffff,1.0,0.0,0.0
84a882dffffffff,282.0,66.0,0.0
84a8845ffffffff,1.0,0.0,0.0
84a8849ffffffff,334.0,8.0,0.0
84a884dffffffff,16.0,0.0,0.0
84a8867ffffffff,5.0,1.0,0.0
84a88a9ffffffff,4.0,0.0,0.0
84a88adffffffff,2.0,0.0,0.0
84a8917ffffffff,1.0,0.0,0.0
84a8919ffffffff,124.0,21.0,0.0
84a891bffffffff,2.0,0.0,0.0
84a8953ffffffff,30.0,6.0,0.0
84a8a07ffffffff,474.0,3.0,0.0
84a8a11ffffffff,60.0,0.0,0.0
84a8a13ffffffff,1246.0,49.0,0.0
84a8a15ffffffff,8.0,0.0,0.0
84a8a17ffffffff,119.0,0.0,0.0
84a8a19ffffffff,342.0,27.0,0.0
84a8a1dffffffff,64.0,0.0,0.0
84a8a23ffffffff,633.0,42.0,0.0
84a8a27ffffffff,157.0,9.0,0.0
84a8a31ffffffff,2.0,0.0,0.0
84a8a35ffffffff,15.0,0.0,0.0
84a8a37ffffffff,1.0,0.0,0.0
84a8a39ffffffff,15.0,0.0,0.0
84a8a3dffffffff,265.0,3.0,0.0
84a8a53ffffffff,437.0,74.0,0.0
84a8a57ffffffff,2.0,0.0,0.0
84a8a91ffffffff,69.0,0.0,0.0
84a8a93ffffffff,14.0,0.0,0.0
84a8a97ffffffff,31.0,0.0,0.0
84a8aadffffffff,5.0,0.0,0.0
84a8ab9ffffffff,2.0,0.0,0.0
84a8ac5ffffffff,3.0,0.0,0.0
84a8ac9ffffffff,100.0,6.0,0.0
84a8acbffffffff,17.0,0.0,0.0
84a8acdffffffff,60.0,0.0,0.0
84a8ad1ffffffff,9.0,0.0,0.0
84a8ad9ffffffff,1.0,0.0,0.0
84a8addffffffff,6.0,0.0,0.0
84a8ae1ffffffff,6.0,0.0,0.0
84a8ae3ffffffff,2.0,0.0,0.0
84a8ae5ffffffff,202.0,0.0,0.0
84a8ae9ffffffff,8.0,0.0,0.0
84a8b13ffffffff,5.0,0.0,0.0
84a8b1bffffffff,1.0,0.0,0.0
84a8f45ffffffff,5.0,0.0,0.0
84a8f6bffffffff,2.0,0.0,0.0
84a9011ffffffff,8.0,0.0,0.0
84a9013ffffffff,2.0,0.0,0.0
84a9017ffffffff,1.0,0.0,0.0
84a9033ffffffff,3.0,0.0,0.0
84a908bffffffff,6.0,0.0,0.0
84a9091ffffffff,5.0,0.0,0.0
84a9095ffffffff,40.0,0.0,0.0
84a9097ffffffff,2.0,0.0,0.0
84a909bffffffff,1.0,0.0,0.0
84a909dffffffff,19.0,0.0,0.0
84a90a5ffffffff,2.0,0.0,0.0
84a90a7ffffffff,9.0,0.0,0.0
84a90a9ffffffff,2.0,0.0,0.0
84a90adffffffff,22.0,0.0,1.0
84a90b9ffffffff,4.0,0.0,0.0
84a90bbffffffff,4.0,0.0,0.0
84a90c3ffffffff,1.0,0.0,0.0
84a90cbffffffff,4.0,0.0,0.0
84a90cdffffffff,20.0,0.0,0.0
84a90d1ffffffff,2.0,0.0,0.0
84a90d5ffffffff,6.0,0.0,0.0
84a90d9ffffffff,4.0,0.0,0.0
84a90dbffffffff,15.0,0.0,0.0
84a90e1ffffffff,95.0,0.0,5.0
84a90e3ffffffff,1.0,0.0,0.0
84a90e5ffffffff,222.0,0.0,17.0
84a90e7ffffffff,24.0,0.0,6.0
84a90e9ffffffff,3.0,0.0,0.0
84a90ebffffffff,2.0,0.0,0.0
84a9181ffffffff,2.0,0.0,0.0
84a918bffffffff,3.0,0.0,0.0
84a9191ffffffff,244.0,0.0,11.0
84a9195ffffffff,61.0,0.0,6.0
84a9197ffffffff,4.0,0.0,0.0
84a9199ffffffff,6.0,0.0,0.0
84a919bffffffff,7.0,0.0,0.0
84a919dffffffff,25.0,0.0,0.0
84a91b1ffffffff,65.0,0.0,8.0
84a91b3ffffffff,11.0,0.0,0.0
84a91b5ffffffff,70.0,0.0,3.0
84a91b7ffffffff,43.0,0.0,24.0
84a91b9ffffffff,5.0,0.0,0.0
84a91bbffffffff,23.0,0.0,1.0
84a91bdffffffff,2.0,0.0,0.0
84a91d1ffffffff,43.0,0.0,1.0
84a91d3ffffffff,2.0,0.0,0.0
84a91d5ffffffff,2.0,0.0,0.0
84a91d7ffffffff,15.0,0.0,1.0
84a91d9ffffffff,92.0,0.0,0.0
84a91dbffffffff,23.0,0.0,0.0
84a9283ffffffff,2.0,0.0,0.0
84a9289ffffffff,6.0,0.0,0.0
84a9291ffffffff,12.0,0.0,0.0
84a9295ffffffff,7.0,0.0,0.0
84a9297ffffffff,2.0,0.0,0.0
84a92a5ffffffff,4.0,0.0,0.0
84a92abffffffff,2.0,0.0,0.0
84a92adffffffff,2.0,0.0,0.0
84a92bdffffffff,6.0,0.0,0.0
84a92c3ffffffff,6.0,0.0,0.0
84a92c5ffffffff,4.0,0.0,0.0
84a92c7ffffffff,2.0,0.0,0.0
84a92c9ffffffff,1.0,0.0,0.0
84a92cbffffffff,1064.0,0.0,3.0
84a92d1ffffffff,4.0,0.0,0.0
84a92d7ffffffff,6.0,0.0,0.0
84a92ddffffffff,13.0,0.0,0.0
84a92e3ffffffff,27.0,0.0,0.0
84a92ebffffffff,50.0,0.0,0.0
84a9411ffffffff,22.0,0.0,0.0
84a9413ffffffff,61.0,0.0,0.0
84a9417ffffffff,8.0,0.0,0.0
84a9419ffffffff,18.0,0.0,0.0
84a941bffffffff,79.0,0.0,0.0
84a9425ffffffff,125.0,0.0,0.0
84a9427ffffffff,15.0,0.0,0.0
84a9429ffffffff,3.0,0.0,0.0
84a942dffffffff,22.0,0.0,0.0
84a9431ffffffff,3.0,0.0,0.0
84a9433ffffffff,6.0,0.0,0.0
84a9437ffffffff,40.0,0.0,0.0
84a9439ffffffff,2.0,0.0,0.0
84a943dffffffff,407.0,0.0,0.0
84a9453ffffffff,5.0,0.0,0.0
84a9457ffffffff,2.0,0.0,0.0
84a945bffffffff,2.0,0.0,0.0
84a9465ffffffff,12.0,0.0,0.0
84a9483ffffffff,6.0,0.0,0.0
84a94a9ffffffff,1.0,0.0,0.0
84a94c1ffffffff,13.0,0.0,0.0
84a94c3ffffffff,4.0,0.0,0.0
84a94c5ffffffff,13.0,0.0,0.0
84a94c7ffffffff,59.0,0.0,0.0
84a94cbffffffff,2.0,0.0,0.0
84a94cdffffffff,1.0,0.0,0.0
84a94e1ffffffff,4.0,0.0,0.0
84a94e3ffffffff,8.0,0.0,0.0
84a94e5ffffffff,8.0,0.0,0.0
84a94e7ffffffff,40.0,0.0,0.0
84a94e9ffffffff,20.0,0.0,0.0
84a9501ffffffff,45.0,0.0,0.0
84a9503ffffffff,13.0,0.0,0.0
84a9507ffffffff,207.0,0.0,0.0
84a9509ffffffff,142.0,0.0,0.0
84a950bffffffff,144.0,0.0,0.0
84a950dffffffff,90.0,0.0,0.0
84a9511ffffffff,5.0,0.0,0.0
84a9515ffffffff,2.0,0.0,0.0
84a951bffffffff,3.0,0.0,0.0
84a951dffffffff,6.0,0.0,0.0
84a9521ffffffff,4.0,0.0,4.0
84a9525ffffffff,23.0,0.0,1.0
84a9527ffffffff,39.0,0.0,1.0
84a9531ffffffff,123.0,0.0,0.0
84a9533ffffffff,32.0,0.0,0.0
84a9539ffffffff,21.0,0.0,0.0
84a953bffffffff,640.0,0.0,0.0
84a953dffffffff,2.0,0.0,0.0
84a9545ffffffff,4.0,0.0,0.0
84a9547ffffffff,24.0,0.0,0.0
84a9551ffffffff,21.0,0.0,0.0
84a9555ffffffff,14.0,0.0,0.0
84a9557ffffffff,17.0,0.0,0.0
84a9559ffffffff,18.0,0.0,0.0
84a955bffffffff,38.0,0.0,0.0
84a955dffffffff,9.0,0.0,0.0
84a9565ffffffff,2.0,0.0,0.0
84a9567ffffffff,2.0,0.0,0.0
84a956bffffffff,1.0,0.0,0.0
84a9595ffffffff,1.0,0.0,0.0
84a95a5ffffffff,5.0,0.0,0.0
84a95abffffffff,170.0,0.0,0.0
84a95adffffffff,11.0,0.0,0.0
84a95b3ffffffff,2.0,0.0,0.0
84a95bbffffffff,6.0,0.0,0.0
84a95c3ffffffff,11.0,0.0,0.0
84a95c5ffffffff,40.0,0.0,0.0
84a95c9ffffffff,137.0,0.0,0.0
84a95cbffffffff,2.0,0.0,0.0
84a95d5ffffffff,2.0,0.0,0.0
84a95d9ffffffff,29.0,0.0,0.0
84a95dbffffffff,14.0,0.0,0.0
84a95e5ffffffff,6.0,0.0,0.0
84a95edffffffff,77.0,0.0,0.0
84a9625ffffffff,3.0,0.0,0.0
84a9627ffffffff,2.0,0.0,0.0
84a9685ffffffff,78.0,0.0,0.0
84a96a1ffffffff,10.0,0.0,0.0
84a96a5ffffffff,11.0,0.0,0.0
84a96a7ffffffff,36.0,0.0,0.0
84a96a9ffffffff,2.0,0.0,0.0
84a96abffffffff,19.0,0.0,0.0
84a96adffffffff,156.0,0.0,0.0
84a96b1ffffffff,4.0,0.0,0.0
84a96b5ffffffff,2.0,0.0,0.0
84a96b9ffffffff,42.0,0.0,0.0
84a96bdffffffff,2.0,0.0,0.0
84a96e3ffffffff,2.0,0.0,0.0
84a96e7ffffffff,56.0,0.0,0.0
84a96edffffffff,1.0,0.0,0.0
84a9723ffffffff,2.0,0.0,0.0
84a9733ffffffff,11.0,0.0,0.0
84a973dffffffff,3.0,0.0,0.0
84a9761ffffffff,6.0,0.0,0.0
84a9765ffffffff,53.0,0.0,0.0
84a976dffffffff,3.0,0.0,0.0
84b3699ffffffff,2.0,0.0,0.0
84c2d03ffffffff,2.0,0.0,0.0
84c2d31ffffffff,4.0,0.0,0.0
84c2d35ffffffff,3.0,0.0,0.0
84c2d37ffffffff,5.0,0.0,0.0
84c2d3dffffffff,1.0,0.0,0.0
84c2e31ffffffff,537.0,0.0,0.0
84c2e39ffffffff,12.0,0.0,0.0
84c2e3dffffffff,40.0,0.0,0.0
