cell_id,Coracias caudatus,Coracias caudatus lorti,Coracias caudatus caudatus
849693dffffffff,95.0,0.0,0.0
84969a1ffffffff,1.0,0.0,0.0
84969a5ffffffff,35.0,0.0,0.0
84969adffffffff,1.0,0.0,0.0
84969e5ffffffff,1.0,0.0,0.0
84969edffffffff,2.0,0.0,0.0
8496a15ffffffff,2.0,0.0,0.0
8496a27ffffffff,10.0,0.0,0.0
8496a2bffffffff,1.0,0.0,0.0
8496a39ffffffff,3.0,0.0,0.0
8496a3bffffffff,2.0,0.0,0.0
8496a59ffffffff,4.0,0.0,0.0
8496a8bffffffff,2.0,0.0,0.0
8496ad9ffffffff,2.0,0.0,0.0
8496b01ffffffff,1.0,0.0,0.0
8496b0dffffffff,4.0,0.0,0.0
8496b13ffffffff,56.0,0.0,0.0
8496b15ffffffff,2.0,0.0,0.0
8496b19ffffffff,52.0,0.0,0.0
8496b1bffffffff,94.0,0.0,0.0
8496b2dffffffff,2.0,0.0,0.0
8496b43ffffffff,16.0,0.0,0.0
8496b47ffffffff,12.0,0.0,0.0
8496b57ffffffff,2.0,0.0,0.0
8496b61ffffffff,4.0,0.0,0.0
8496b63ffffffff,84.0,0.0,0.0
8496b67ffffffff,4.0,0.0,0.0
8496b69ffffffff,3.0,0.0,0.0
8496b6dffffffff,54.0,0.0,0.0
8497015ffffffff,14.0,0.0,0.0
8497019ffffffff,2.0,0.0,0.0
8497027ffffffff,1.0,0.0,0.0
8497035ffffffff,9.0,0.0,0.0
8497039ffffffff,2.0,0.0,0.0
849703bffffffff,1.0,0.0,0.0
849703dffffffff,4.0,0.0,0.0
8497051ffffffff,6.0,0.0,0.0
8497053ffffffff,9.0,0.0,0.0
8497057ffffffff,9.0,0.0,0.0
8497069ffffffff,2.0,0.0,0.0
8497081ffffffff,11.0,0.0,0.0
8497085ffffffff,5.0,0.0,0.0
8497087ffffffff,4.0,0.0,0.0
849708bffffffff,2.0,0.0,0.0
84970a7ffffffff,4.0,0.0,0.0
84970c5ffffffff,3.0,0.0,0.0
84970c9ffffffff,3.0,0.0,0.0
84970d3ffffffff,3.0,0.0,0.0
84970d7ffffffff,6.0,0.0,0.0
8497103ffffffff,13.0,0.0,0.0
8497107ffffffff,3.0,0.0,0.0
8497113ffffffff,1.0,0.0,0.0
8497119ffffffff,206.0,0.0,0.0
8497131ffffffff,9.0,0.0,0.0
8497139ffffffff,8.0,0.0,0.0
849713dffffffff,2.0,0.0,0.0
8497151ffffffff,30.0,0.0,0.0
8497153ffffffff,3.0,0.0,0.0
8497157ffffffff,1.0,0.0,0.0
8497159ffffffff,18.0,0.0,0.0
8497199ffffffff,16.0,0.0,0.0
849719bffffffff,5.0,0.0,0.0
84971c9ffffffff,6.0,0.0,0.0
84971cbffffffff,6.0,0.0,0.0
84971d3ffffffff,3.0,0.0,0.0
84971d5ffffffff,1.0,0.0,0.0
849721bffffffff,23.0,0.0,6.0
8497245ffffffff,15.0,0.0,0.0
8497249ffffffff,6.0,0.0,0.0
8497253ffffffff,15.0,0.0,0.0
8497283ffffffff,2.0,0.0,0.0
8497287ffffffff,1.0,0.0,1.0
849728bffffffff,2.0,0.0,0.0
849728dffffffff,155.0,0.0,29.0
8497291ffffffff,60.0,0.0,15.0
8497295ffffffff,7.0,0.0,0.0
8497297ffffffff,8.0,0.0,0.0
8497299ffffffff,9.0,0.0,0.0
849729bffffffff,4.0,0.0,0.0
84972a5ffffffff,2.0,0.0,0.0
84972adffffffff,2.0,0.0,0.0
84972c1ffffffff,3.0,0.0,0.0
84972c5ffffffff,184.0,0.0,54.0
84972c9ffffffff,84.0,0.0,16.0
84972cbffffffff,3.0,0.0,0.0
84972cdffffffff,212.0,0.0,53.0
84972d3ffffffff,3.0,0.0,0.0
84972d5ffffffff,5.0,0.0,0.0
84972d7ffffffff,2.0,0.0,0.0
84972dbffffffff,4.0,0.0,0.0
84972e3ffffffff,203.0,0.0,35.0
84972e7ffffffff,6.0,0.0,0.0
84972ebffffffff,128.0,0.0,40.0
8497311ffffffff,2.0,0.0,0.0
8497317ffffffff,6.0,0.0,0.0
8497357ffffffff,6.0,0.0,0.0
8497359ffffffff,6.0,0.0,0.0
849735bffffffff,4.0,0.0,0.0
8497401ffffffff,2.0,0.0,0.0
8497403ffffffff,4.0,0.0,0.0
8497405ffffffff,35.0,0.0,0.0
8497409ffffffff,14.0,0.0,0.0
849740bffffffff,9.0,0.0,0.0
849740dffffffff,11.0,0.0,4.0
8497411ffffffff,9.0,0.0,0.0
8497415ffffffff,96.0,0.0,2.0
8497417ffffffff,108.0,0.0,2.0
8497419ffffffff,4.0,0.0,0.0
849741bffffffff,2.0,0.0,0.0
849741dffffffff,47.0,0.0,2.0
8497423ffffffff,3.0,0.0,0.0
8497431ffffffff,203.0,0.0,5.0
8497433ffffffff,1.0,0.0,0.0
8497435ffffffff,143.0,0.0,5.0
8497437ffffffff,114.0,0.0,0.0
8497439ffffffff,38.0,0.0,0.0
849743bffffffff,220.0,0.0,2.0
849743dffffffff,5.0,0.0,0.0
8497441ffffffff,4.0,0.0,0.0
8497447ffffffff,8.0,0.0,0.0
8497453ffffffff,20.0,0.0,0.0
8497455ffffffff,7.0,0.0,0.0
8497459ffffffff,28.0,0.0,0.0
8497461ffffffff,6.0,0.0,0.0
849746bffffffff,11.0,0.0,0.0
8497485ffffffff,10.0,0.0,0.0
84974a1ffffffff,10.0,0.0,8.0
84974a9ffffffff,137.0,0.0,20.0
84974abffffffff,332.0,0.0,17.0
84974adffffffff,6.0,0.0,0.0
84974b9ffffffff,32.0,0.0,0.0
84974bbffffffff,5.0,0.0,0.0
84974bdffffffff,4.0,0.0,0.0
84974cdffffffff,2.0,0.0,0.0
84974e1ffffffff,34.0,0.0,0.0
84974e3ffffffff,27.0,0.0,0.0
84974e5ffffffff,43.0,0.0,0.0
84974e9ffffffff,100.0,0.0,25.0
84974edffffffff,61.0,0.0,15.0
8497505ffffffff,1.0,0.0,0.0
8497509ffffffff,124.0,0.0,0.0
849750bffffffff,2.0,0.0,0.0
8497511ffffffff,11.0,0.0,0.0
8497513ffffffff,388.0,0.0,20.0
8497515ffffffff,139.0,0.0,2.0
8497517ffffffff,93.0,0.0,2.0
8497519ffffffff,9.0,0.0,0.0
849751bffffffff,4.0,0.0,0.0
8497529ffffffff,1.0,0.0,0.0
8497531ffffffff,12.0,0.0,2.0
8497535ffffffff,12.0,0.0,7.0
849753bffffffff,7.0,0.0,0.0
8497541ffffffff,1.0,0.0,0.0
8497543ffffffff,36.0,0.0,0.0
8497545ffffffff,4.0,0.0,0.0
8497547ffffffff,23.0,0.0,0.0
8497555ffffffff,7.0,0.0,0.0
8497557ffffffff,21.0,0.0,0.0
8497559ffffffff,4.0,0.0,0.0
8497581ffffffff,4.0,0.0,0.0
8497583ffffffff,15.0,0.0,0.0
8497587ffffffff,1.0,0.0,0.0
849758dffffffff,3.0,0.0,0.0
84975c1ffffffff,4.0,0.0,0.0
84975c3ffffffff,6.0,0.0,0.0
84975c5ffffffff,138.0,0.0,4.0
84975c7ffffffff,119.0,0.0,0.0
84975c9ffffffff,29.0,0.0,0.0
84975cbffffffff,24.0,0.0,0.0
84975d1ffffffff,40.0,0.0,0.0
84975d5ffffffff,7.0,0.0,0.0
84975d9ffffffff,13.0,0.0,0.0
84975ddffffffff,54.0,0.0,1.0
84975e1ffffffff,8.0,0.0,3.0
84975e9ffffffff,21.0,0.0,2.0
84975ebffffffff,28.0,0.0,2.0
8497681ffffffff,8.0,0.0,0.0
8497685ffffffff,3.0,0.0,0.0
84976a5ffffffff,3.0,0.0,0.0
8497701ffffffff,2.0,0.0,0.0
8497705ffffffff,7.0,0.0,0.0
8497707ffffffff,2.0,0.0,0.0
8497709ffffffff,2.0,0.0,0.0
8497717ffffffff,2.0,0.0,0.0
8497725ffffffff,19.0,0.0,2.0
